auc,precision,recall,f1measure,gmean,recall20,fp,fn,waste_effort,all_effort
0.787936145,0.626789366,0.626789366,0.626789366,0.707236007,0.616564417,365,365,46475,129141
0.771776692,0.620187305,0.606307223,0.613168724,0.696879362,0.597151577,365,387,47638,130964
0.774024425,0.635258359,0.617125984,0.626060909,0.703363939,0.61023622,360,389,46344,117787
0.788750754,0.658110883,0.634653465,0.646169355,0.717904815,0.618811881,333,369,48074,134468
0.771417892,0.646799117,0.589537223,0.616842105,0.694992378,0.584507042,320,408,37490,104148
0.792502163,0.646443515,0.635149024,0.640746501,0.716311522,0.622816033,338,355,38268,106255
0.783017081,0.644859813,0.622244489,0.633350331,0.708385539,0.614228457,342,377,47113,119500
0.774373818,0.60261194,0.649899396,0.62536302,0.704699133,0.634808853,426,348,53268,124749
0.785156404,0.657731959,0.639278557,0.648373984,0.721278693,0.626252505,332,360,41185,124836
0.787371725,0.660888407,0.608782435,0.633766234,0.709664003,0.603792415,313,392,39235,106432
0.780458824,0.646594274,0.624404194,0.635305529,0.705313284,0.611058151,358,394,48706,127750
0.789422056,0.655543595,0.616396761,0.635367762,0.711218897,0.607287449,320,379,41649,124687
0.796548397,0.647727273,0.638492872,0.643076923,0.718739019,0.631364562,341,355,39674,118480
0.778449144,0.633891213,0.610271903,0.621857363,0.700483937,0.598187311,350,387,38876,126238
0.773779114,0.640425532,0.610547667,0.625129803,0.702632999,0.60040568,338,384,34311,120937
0.796035655,0.681576145,0.620756547,0.649746193,0.718627013,0.611057226,299,391,35052,111192
0.782176914,0.656353591,0.598187311,0.625922023,0.703033743,0.588116818,311,399,34401,101954
0.775930262,0.64,0.608608609,0.623909697,0.699422211,0.601601602,342,391,49987,123224
0.791139109,0.656024717,0.630069238,0.642785066,0.716620406,0.617210682,334,374,40659,128327
0.792977827,0.679958027,0.619502868,0.648324162,0.714649774,0.608986616,305,398,33293,105904
0.775973362,0.629707113,0.604417671,0.616803279,0.69719067,0.595381526,354,394,35364,115594
0.780790683,0.633554084,0.602308499,0.61753631,0.699750927,0.596012592,332,379,36297,110007
0.785075568,0.657505285,0.622,0.639260021,0.712387152,0.612,324,378,51372,132120
0.78556804,0.642487047,0.626262626,0.6342711,0.710549269,0.618181818,345,370,53485,122599
0.788246001,0.664943123,0.620656371,0.642036945,0.711158405,0.611003861,324,393,42657,118329
0.792419086,0.643231899,0.611776447,0.627109974,0.703691894,0.595808383,340,389,45951,136077
0.768266246,0.633149171,0.565646594,0.597497393,0.680087769,0.56071076,332,440,33102,97997
0.779573311,0.649419219,0.616232465,0.632390746,0.707331546,0.604208417,332,383,36157,120609
0.790906538,0.66521265,0.606361829,0.634425377,0.707948159,0.5944334,307,396,43674,131363
0.766697174,0.62755102,0.618090452,0.62278481,0.699198901,0.603015075,365,380,49854,132408
0.779886184,0.639034627,0.617647059,0.628158845,0.70682943,0.609533469,344,377,40238,116363
0.780079523,0.626789366,0.609343936,0.617943548,0.696981009,0.602385686,365,393,47163,117859
0.781345228,0.647586981,0.578156313,0.610905241,0.691710374,0.573146293,314,421,30998,98787
0.775203479,0.638255699,0.634482759,0.636363636,0.708995779,0.618719212,365,371,38770,114419
0.777090211,0.634655532,0.603773585,0.618829517,0.696266237,0.589870904,350,399,51160,143726
0.787721819,0.671945701,0.591633466,0.629237288,0.702320474,0.587649402,290,410,27663,92876
0.775255991,0.642137097,0.616054159,0.628825271,0.702421634,0.599613153,355,397,43485,132450
0.780069767,0.659229209,0.612629595,0.635075721,0.703085135,0.605089538,336,411,42246,104812
0.775230641,0.622736419,0.620862588,0.621798091,0.699939822,0.611835507,375,378,50312,132835
0.790221772,0.668437832,0.625870647,0.646454265,0.718016494,0.617910448,312,376,43702,132294
0.792090644,0.655555556,0.637524558,0.646414343,0.715949998,0.625736739,341,369,50754,134586
0.781136159,0.644153226,0.615606936,0.62955665,0.700409056,0.606936416,353,399,48918,117421
0.800988391,0.660087719,0.625129803,0.642133333,0.71872376,0.614745587,310,361,39782,108553
0.777662046,0.64805058,0.597667638,0.621840243,0.695646091,0.5898931,334,414,58307,134952
0.776682269,0.614285714,0.608695652,0.611477908,0.692411234,0.594539939,378,387,47148,146835
0.77905458,0.648979592,0.627218935,0.637913741,0.711577915,0.613412229,344,378,40928,111923
0.788344993,0.650151668,0.636003956,0.643,0.716142788,0.629080119,346,368,54477,137107
0.772353429,0.629514964,0.606361829,0.617721519,0.695102707,0.595427435,359,396,51726,135197
0.784203563,0.655069583,0.63243762,0.643554688,0.713057685,0.616122841,347,383,40592,141018
0.769077653,0.649945474,0.581463415,0.613800206,0.689632422,0.576585366,321,429,45251,120777
0.784147431,0.642574257,0.628267183,0.635340186,0.709246112,0.619554695,361,384,44679,127990
0.777155417,0.66521265,0.595703125,0.628541989,0.70140599,0.583984375,307,414,41095,134237
0.788687987,0.661052632,0.607938045,0.633383762,0.70491296,0.601161665,322,405,50351,124611
0.772580822,0.632734531,0.618536585,0.625555007,0.698315421,0.604878049,368,391,45487,137058
0.783922461,0.61530715,0.626666667,0.620934959,0.702143696,0.609230769,382,364,42230,110771
0.780648247,0.632149901,0.627201566,0.629666012,0.704423637,0.616438356,373,381,53016,143011
0.783301468,0.64,0.628066732,0.633977216,0.708691527,0.621197252,360,379,43445,127744
0.769854283,0.631302521,0.608299595,0.619587629,0.699011682,0.599190283,351,387,41656,114728
0.762549969,0.609574468,0.589506173,0.599372385,0.685931813,0.579218107,367,399,51624,121694
0.778995776,0.655443322,0.597748209,0.625267666,0.70310954,0.589559877,307,393,46023,128374
0.789181348,0.652866242,0.619335347,0.635658915,0.710710468,0.607250755,327,378,39531,121927
0.784997417,0.627236581,0.636730575,0.631947922,0.709515171,0.624621594,375,360,43801,114721
0.788858269,0.647777778,0.59127789,0.618239661,0.697205465,0.580121704,317,403,39463,121555
0.791309779,0.644723093,0.629591837,0.63706763,0.714472112,0.616326531,340,363,38810,137145
0.777303062,0.639412998,0.611222445,0.625,0.702256991,0.603206413,344,388,37607,129636
0.77632948,0.664915966,0.615758755,0.639393939,0.708393926,0.607976654,319,395,36288,111478
0.790149767,0.672043011,0.61515748,0.642343268,0.713171803,0.606299213,305,391,43183,134901
0.778644276,0.66075388,0.586037365,0.621156853,0.694362775,0.582104228,306,421,36472,110401
0.765497545,0.64787234,0.597058824,0.621428571,0.696300811,0.585294118,331,411,52108,128098
0.779403597,0.653361345,0.617063492,0.634693878,0.70862374,0.612103175,330,386,43301,122601
0.769933687,0.625254582,0.613386613,0.619263742,0.698307822,0.607392607,368,387,48102,116176
0.784506235,0.663366337,0.586575875,0.622612287,0.69678579,0.582684825,306,425,38720,106319
0.778708434,0.656182213,0.589668616,0.621149897,0.695830794,0.578947368,317,421,52823,138283
0.784448147,0.65,0.615992103,0.63253928,0.707273071,0.6011846,336,389,52528,138385
0.77050679,0.64787234,0.608391608,0.627511592,0.701466752,0.598401598,331,392,36404,129137
0.786832164,0.642116183,0.623363545,0.63260092,0.710590038,0.616314199,345,374,52658,142485
0.778255319,0.643763214,0.596474045,0.619217082,0.697113555,0.589618022,337,412,41465,133098
0.789338616,0.655982906,0.603143418,0.628454452,0.704119703,0.590373281,322,404,33737,113684
0.793158651,0.653846154,0.621541502,0.637284701,0.70955862,0.611660079,333,383,43678,118638
0.783103912,0.658254469,0.612524462,0.63456665,0.70673933,0.605675147,325,396,41021,118117
0.778022941,0.615309127,0.630784708,0.62295082,0.704140119,0.614688129,392,367,46210,145178
0.791334141,0.645061728,0.614705882,0.629518072,0.704762771,0.603921569,345,393,42765,127221
0.788551581,0.648445874,0.626943005,0.637513172,0.716119301,0.615544041,328,360,52124,135559
0.777998041,0.657054583,0.615236258,0.635458167,0.70623267,0.606557377,333,399,43853,120602
0.774660399,0.635080645,0.623145401,0.629056415,0.703905866,0.610286845,362,381,42142,129062
0.775547702,0.62807377,0.612387612,0.620131512,0.698463774,0.606393606,363,388,51066,123784
0.779051201,0.617790811,0.633901705,0.625742574,0.704471876,0.61885657,391,365,52303,145445
0.791454877,0.641304348,0.639408867,0.640355205,0.71491464,0.625615764,363,366,40363,119980
0.781090035,0.661375661,0.603281853,0.630994447,0.702915761,0.591698842,320,411,41334,124270
0.788028452,0.637931034,0.60040568,0.618599791,0.697629812,0.592292089,336,394,44224,127744
0.775079083,0.638275499,0.625128733,0.631633715,0.710533518,0.618949537,344,364,41003,111070
0.78618262,0.648305085,0.611388611,0.629305913,0.705908821,0.6003996,332,389,43585,114385
0.767701619,0.618461538,0.597029703,0.607556675,0.687615786,0.591089109,372,407,51579,123053
0.782358134,0.644559585,0.615841584,0.629873418,0.704195009,0.605940594,343,388,44023,127724
0.772512675,0.631958763,0.617943548,0.624872579,0.701650764,0.608870968,357,379,44668,115945
0.76878705,0.646929825,0.586481113,0.615224192,0.692052968,0.580516899,322,416,31479,105302
0.775090962,0.6504329,0.59446093,0.62118863,0.698587678,0.585558853,323,410,50055,133190
0.77594896,0.643149284,0.610679612,0.626494024,0.699208588,0.595145631,349,401,54667,140823
0.800362007,0.667398463,0.604373757,0.634324465,0.706576389,0.60139165,303,398,41729,107248
0.77622641,0.65932914,0.613658537,0.635674583,0.705242909,0.60097561,325,396,46027,133101
0.789969179,0.659482759,0.610169492,0.633868462,0.709092572,0.600199402,316,391,39350,121269
0.777012731,0.654952077,0.600585938,0.626591951,0.700727896,0.591796875,324,409,39871,130820
0.775775262,0.656639004,0.611594203,0.633316658,0.704818075,0.606763285,331,402,48697,118802
0.793308338,0.658613445,0.627,0.642418033,0.716217916,0.616,325,373,43444,137284
0.773969406,0.616717635,0.619877049,0.618293306,0.700739486,0.606557377,376,371,46635,125362
0.779282296,0.654811715,0.603664417,0.628198695,0.698842816,0.592092575,330,411,33482,117554
0.770032759,0.618801653,0.612474438,0.615621788,0.696319745,0.601226994,369,379,46985,125005
0.767460344,0.64293305,0.60139165,0.621468927,0.697130115,0.595427435,336,401,49207,120541
0.791680746,0.657407407,0.615014437,0.635504724,0.708114454,0.60827719,333,400,40371,125020
0.778028472,0.621513944,0.611764706,0.616600791,0.692153172,0.602941176,380,396,50568,135990
0.793273071,0.645702306,0.617853561,0.63147104,0.708764948,0.602808425,338,381,49480,135288
0.763359751,0.635565313,0.574404762,0.603439291,0.683702315,0.569444444,332,429,48128,120025
0.782592655,0.646755922,0.624875622,0.63562753,0.71025643,0.615920398,343,377,40810,124519
0.7761167,0.649377593,0.611328125,0.629778672,0.701397498,0.602539063,338,398,41617,125031
0.789213203,0.668351871,0.62952381,0.648357038,0.715683913,0.622857143,328,389,42058,131259
0.785938342,0.657949791,0.610087294,0.633115249,0.705203897,0.605237633,327,402,40296,125797
0.769189806,0.634937238,0.601585728,0.617811705,0.693585883,0.595639247,349,402,47443,116487
0.800003206,0.672906404,0.657362849,0.665043817,0.729388126,0.645813282,332,356,43368,130114
0.770410123,0.602040816,0.609504132,0.605749487,0.690224402,0.587809917,390,378,44720,131251
0.773983864,0.652459016,0.583007813,0.615781331,0.691005817,0.5703125,318,427,33146,114373
0.769791536,0.637526652,0.589162562,0.612391193,0.690059117,0.574384236,340,417,34807,126750
0.774980758,0.646744931,0.603585657,0.624420402,0.702803784,0.593625498,331,398,42943,103213
0.778186444,0.640414508,0.596525097,0.617691154,0.690561558,0.583011583,347,418,43648,118966
0.78951115,0.65179543,0.590729783,0.619762028,0.695434132,0.585798817,320,415,42885,112877
0.792249596,0.658486708,0.625242718,0.641434263,0.711560553,0.613592233,334,386,35970,129693
0.785151803,0.664621677,0.607476636,0.634765625,0.70349463,0.600934579,328,420,37845,124625
0.781027302,0.652445369,0.614705882,0.633013629,0.707066092,0.605882353,334,393,45909,130457
0.791907476,0.64882227,0.607214429,0.627329193,0.704324146,0.594188377,328,392,40878,116101
0.764953684,0.638275499,0.59104187,0.613751264,0.687728717,0.576436222,344,420,46322,132707
