"auc","precision","recall","f1measure","gmean","recall20","fp","fn","waste_effort","all_effort"
0.886291695216713,0.612244897959184,0.274390243902439,0.378947368421053,0.519341826846932,0.914634146341463,57,238,13226,21782
0.890814287657722,0.6,0.2,0.3,0.443916123084363,0.880555555555556,48,288,10254,23097
0.893313069908815,0.557046979865772,0.252279635258359,0.347280334728033,0.49728710903575,0.90273556231003,66,246,13796,27857
0.895231735856736,0.62406015037594,0.230555555555556,0.336713995943205,0.476483680591509,0.905555555555556,50,277,14711,29449
0.886919176526004,0.650793650793651,0.212987012987013,0.320939334637965,0.458400197365269,0.909090909090909,44,303,6354,19233
0.901518785039049,0.714285714285714,0.264623955431755,0.386178861788618,0.511465492993558,0.916434540389972,38,264,7271,30498
0.890497879495094,0.582822085889571,0.264623955431755,0.363984674329502,0.509136742937027,0.905292479108635,68,264,20504,32378
0.887624240425833,0.587412587412587,0.248520710059172,0.349272349272349,0.493995147242368,0.902366863905325,59,254,7906,23988
0.889105942700175,0.634328358208955,0.251479289940828,0.360169491525424,0.497754814974829,0.905325443786982,49,253,18881,24609
0.895032709792718,0.649350649350649,0.271739130434783,0.383141762452107,0.517045951787964,0.904891304347826,54,268,13783,29897
0.901613188053711,0.659863945578231,0.263586956521739,0.376699029126214,0.509494578160173,0.915760869565217,50,271,17676,32558
0.892716671786439,0.633587786259542,0.236467236467236,0.344398340248963,0.482741276478285,0.925925925925926,48,268,6713,16557
0.883486233678285,0.60431654676259,0.245614035087719,0.349272349272349,0.491467414655939,0.91812865497076,55,258,19782,32553
0.895457619196786,0.696,0.237704918032787,0.354378818737271,0.484732110810173,0.918032786885246,38,279,5719,13109
0.884315177711404,0.575,0.247978436657682,0.346516007532957,0.492863685744784,0.91644204851752,68,279,6822,26051
0.887675673609403,0.586666666666667,0.245125348189415,0.345776031434185,0.490501179188141,0.891364902506964,62,271,9494,19238
0.895152082059361,0.574850299401198,0.275862068965517,0.372815533980583,0.519591206148044,0.910919540229885,71,252,13613,26713
0.887162856636541,0.602649006622517,0.266081871345029,0.369168356997972,0.511120356803323,0.921052631578947,60,251,21189,35923
0.8884969821438,0.590604026845638,0.239130434782609,0.340425531914894,0.484457844432706,0.926630434782609,61,280,18377,25520
0.882280313901925,0.539772727272727,0.27536231884058,0.36468330134357,0.518391784038657,0.901449275362319,81,250,14073,24836
0.891112285292539,0.669291338582677,0.236111111111111,0.349075975359343,0.482821859975508,0.908333333333333,42,275,7316,23344
0.888387826654896,0.583333333333333,0.206489675516224,0.305010893246187,0.450943040423137,0.887905604719764,50,269,6542,17188
0.891156981375091,0.57258064516129,0.199438202247191,0.295833333333333,0.443000674384792,0.901685393258427,53,285,14759,30594
0.889702070633911,0.611940298507463,0.25,0.354978354978355,0.496065314147149,0.899390243902439,52,246,9291,23458
0.881275554746568,0.608108108108108,0.252100840336134,0.356435643564356,0.49769666351523,0.910364145658263,58,267,8965,27269
0.888670967203114,0.579617834394904,0.274924471299094,0.372950819672131,0.519107159652433,0.91238670694864,66,240,14976,22574
0.885918622255003,0.619631901840491,0.256997455470738,0.363309352517986,0.50222616932702,0.895674300254453,62,292,19933,36887
0.88911684650778,0.63013698630137,0.259887005649718,0.368,0.505626991217005,0.918079096045198,54,262,13233,28279
0.884320219183781,0.564705882352941,0.281524926686217,0.37573385518591,0.524553118279376,0.888563049853372,74,245,11415,25594
0.888842567593798,0.571428571428571,0.233918128654971,0.33195020746888,0.479252583527859,0.915204678362573,60,262,12202,22181
0.889834189583963,0.63448275862069,0.245333333333333,0.353846153846154,0.491328655882256,0.901333333333333,53,283,9387,25274
0.887638650187493,0.576388888888889,0.236467236467236,0.335353535353535,0.481800423850583,0.9002849002849,61,268,7537,18112
0.89209811208459,0.613636363636364,0.232091690544413,0.336798336798337,0.478013801342821,0.905444126074499,51,268,10158,28187
0.88922365069826,0.602739726027397,0.261904761904762,0.365145228215768,0.507287212468505,0.87797619047619,58,248,20011,40875
0.891218607482614,0.616438356164384,0.258620689655172,0.364372469635628,0.504268905769354,0.919540229885057,56,258,10580,22708
0.894696191541922,0.619834710743802,0.21865889212828,0.323275862068966,0.464340223371571,0.909620991253644,46,268,14745,24783
0.889830060219881,0.602484472049689,0.279538904899135,0.381889763779528,0.523513260038206,0.9164265129683,64,250,14636,29141
0.879512610268244,0.591715976331361,0.273972602739726,0.374531835205992,0.518002137035732,0.920547945205479,69,265,11039,23359
0.875964450564172,0.540540540540541,0.224719101123595,0.317460317460317,0.469155300287792,0.924157303370786,68,276,15374,27555
0.889586941334124,0.58695652173913,0.228813559322034,0.329268292682927,0.474143020459665,0.906779661016949,57,273,16650,25931
0.881504250968575,0.605839416058394,0.22554347826087,0.328712871287129,0.470930053926182,0.89945652173913,54,285,6998,20563
0.89548502276679,0.595092024539877,0.270194986072423,0.371647509578544,0.514661543531392,0.916434540389972,66,262,11082,17699
0.88324440628687,0.583892617449664,0.249283667621777,0.349397590361446,0.494518452553315,0.91404011461318,62,262,16481,29828
0.896182017755157,0.576642335766423,0.248427672955975,0.347252747252747,0.494064170627465,0.911949685534591,58,239,9244,19627
