"auc","precision","recall","f1measure","gmean","recall20","fp","fn","waste_effort","all_effort"
0.820377440859369,0.228430566967954,0.763736263736264,0.351676154332701,0.728157619039536,0.75,939,86,169986,216350
0.834717222649279,0.283168316831683,0.725888324873096,0.407407407407407,0.742017796637986,0.718274111675127,724,108,112011,163252
0.818813779297124,0.246699669966997,0.776623376623377,0.374452097683156,0.738279558735298,0.771428571428571,913,86,146427,185136
0.807055107574885,0.243697478991597,0.765171503957784,0.369662205226259,0.733360624244207,0.744063324538259,900,89,168230,228511
0.827726066299499,0.282450674974039,0.701030927835051,0.402664692820133,0.736453166295637,0.701030927835051,691,116,100732,134147
0.826988080412738,0.279755849440488,0.714285714285714,0.402046783625731,0.74117678382501,0.714285714285714,708,110,111513,140769
0.836984515468535,0.32026875699888,0.690821256038647,0.437643458301454,0.742947345745366,0.688405797101449,607,128,95199,153945
0.826703333175288,0.252465483234714,0.717086834733894,0.37345003646973,0.732587631172186,0.708683473389356,758,101,106163,141830
0.822269378402562,0.305288461538462,0.644670050761421,0.414355628058728,0.722423688067461,0.642131979695431,578,140,96488,149492
0.82906844964423,0.258416742493176,0.743455497382199,0.383524645509791,0.739670153527307,0.732984293193717,815,98,131769,187559
0.819061250360721,0.258637709772952,0.68586387434555,0.375627240143369,0.718938896066149,0.680628272251309,751,120,136858,176713
0.823667424358222,0.291796469366563,0.699004975124378,0.411721611721612,0.735877198739213,0.696517412935323,682,121,116377,154650
0.807108565348649,0.248500428449015,0.761154855643045,0.374677002583979,0.736355795664048,0.748031496062992,877,91,152887,199210
0.82266379368965,0.26715462031107,0.754521963824289,0.394594594594595,0.74546318103389,0.741602067183463,801,95,112605,170487
0.815178312306878,0.257531584062196,0.697368421052632,0.376153300212917,0.724260417433623,0.689473684210526,764,115,121354,165943
0.812682019775608,0.256108597285068,0.731266149870801,0.379356568364611,0.732406901536982,0.72609819121447,822,104,138236,176643
0.825509735236963,0.264516129032258,0.741602067183463,0.389945652173913,0.74062093923252,0.731266149870801,798,100,113162,163561
0.821541209188705,0.262,0.710027100271003,0.382761139517896,0.733752439424054,0.704607046070461,738,107,118302,159191
0.824313312897248,0.288671023965142,0.697368421052632,0.408320493066256,0.73994767222286,0.692105263157895,653,115,112651,159942
0.819700543761144,0.259360730593607,0.745406824146982,0.384823848238482,0.741077728413175,0.724409448818898,811,97,144014,210655
0.816848017795871,0.268177525967894,0.733850129198966,0.392807745504841,0.740345049366952,0.728682170542636,775,103,122548,164810
0.836030448020879,0.293986636971047,0.694736842105263,0.413145539906103,0.741032513863508,0.689473684210526,634,116,112383,162185
0.819507153795093,0.265966754155731,0.756218905472637,0.393527508090615,0.73938172252111,0.748756218905473,839,98,146746,192101
0.818380888366495,0.259981429897864,0.74468085106383,0.385409497591191,0.740506030428464,0.734042553191489,797,96,122668,175347
0.826261662760102,0.277661795407098,0.71505376344086,0.4,0.74419285325408,0.712365591397849,692,106,121785,167355
0.82773831129548,0.266976744186046,0.755263157894737,0.394501718213058,0.748206162892259,0.744736842105263,788,93,141722,200604
0.835118164672085,0.25513698630137,0.778067885117493,0.384268214055448,0.748698141410551,0.759791122715405,870,85,147086,217907
0.835775244765609,0.255021834061135,0.770448548812665,0.383202099737533,0.745533367068964,0.762532981530343,853,87,129754,169551
0.833851435457386,0.295476419634264,0.75615763546798,0.424913494809689,0.755094198974304,0.746305418719212,732,99,106892,159076
0.811915775334949,0.240167364016736,0.761273209549072,0.365139949109415,0.731544520483955,0.745358090185676,908,90,152073,200323
0.820261099837752,0.266666666666667,0.682926829268293,0.383561643835616,0.726991260827488,0.680216802168022,693,117,113204,154750
0.821589110640221,0.261496844003607,0.757180156657963,0.388739946380697,0.744529540297564,0.74934725848564,819,93,144033,193623
0.813674924463038,0.260456273764259,0.708010335917313,0.380820013898541,0.725159901740316,0.69250645994832,778,113,138730,189606
0.821756228725654,0.25781910397295,0.776081424936387,0.387055837563452,0.7425263934865,0.763358778625954,878,88,159906,214089
0.823865342148628,0.267539756782039,0.729591836734694,0.39151266255989,0.736777531702767,0.724489795918367,783,106,118057,167579
0.828281384814495,0.258858267716535,0.718579234972678,0.380607814761216,0.735247610990972,0.718579234972678,753,103,102459,138949
0.813606313215516,0.258405379442843,0.717333333333333,0.379943502824859,0.729847931955032,0.709333333333333,772,106,104801,151402
0.816185428849903,0.242710120068611,0.736979166666667,0.365161290322581,0.72495418305035,0.723958333333333,883,101,152677,203023
0.822273182347052,0.256792287467134,0.755154639175258,0.383257030739045,0.73828119491444,0.739690721649485,848,95,145101,199205
0.825591611996251,0.264705882352941,0.742268041237113,0.390243902439024,0.737428403665063,0.72680412371134,800,100,124319,185105
0.82424676372646,0.292890995260664,0.741007194244604,0.419836956521739,0.744227136089586,0.733812949640288,746,108,117739,158628
0.818805024880816,0.288152610441767,0.696601941747573,0.407670454545455,0.731896883049442,0.696601941747573,709,125,102978,140805
0.832796499176702,0.275728155339806,0.731958762886598,0.400564174894217,0.741541857013527,0.721649484536082,746,104,109047,168455
0.836052827247995,0.286329386437029,0.705570291777188,0.407350689127106,0.742861148739238,0.705570291777188,663,111,111972,151598
0.820330470986209,0.264797507788162,0.674603174603175,0.380313199105145,0.719726868713229,0.664021164021164,708,123,115118,168301
0.800749804775999,0.273273273273273,0.675742574257426,0.389166072701354,0.718687758520624,0.665841584158416,726,131,96508,142489
0.822519878738012,0.275334608030593,0.73469387755102,0.400556328233658,0.742062138599725,0.716836734693878,758,104,125863,181426
0.820521346758083,0.279767666989351,0.724310776942356,0.403631284916201,0.737863048989092,0.711779448621554,744,110,119002,177574
0.822890534074745,0.293233082706767,0.670761670761671,0.408071748878924,0.72496694565173,0.668304668304668,658,134,103111,148674
0.805775004126277,0.241171403962102,0.750670241286863,0.365058670143416,0.728416236645014,0.734584450402145,881,93,147694,203609
0.821331741887102,0.273273273273273,0.705426356589147,0.393939393939394,0.733001534739194,0.697674418604651,726,114,137152,180156
0.825509494859115,0.272963604852686,0.768292682926829,0.402813299232737,0.746429430594425,0.763414634146341,839,95,123303,174683
0.819450057333609,0.278152069297401,0.72069825436409,0.401388888888889,0.73665470069012,0.708229426433915,750,112,123128,172396
0.827344094513274,0.278084714548803,0.758793969849246,0.407008086253369,0.748530103430184,0.751256281407035,784,96,123069,178662
0.819441246969923,0.283505154639175,0.701530612244898,0.403817914831131,0.734686506865058,0.696428571428571,695,117,126979,190638
0.822971595655806,0.286591606960082,0.701754385964912,0.406976744186047,0.733971014613246,0.694235588972431,697,119,118725,171066
0.826199578935944,0.28032619775739,0.699745547073791,0.400291120815138,0.731523730206682,0.694656488549618,706,118,106078,148243
0.819148674461107,0.262975778546713,0.743276283618582,0.388498402555911,0.733304454047437,0.733496332518337,852,105,129264,174489
0.82903039369008,0.275510204081633,0.701298701298701,0.395604395604396,0.733734341691598,0.698701298701299,710,115,118496,157819
0.837678405766074,0.236842105263158,0.775,0.362808842652796,0.742469148677112,0.758333333333333,899,81,143497,197927
0.809998891475446,0.238779174147217,0.738888888888889,0.360922659430122,0.728365178619702,0.725,848,94,130129,178524
0.832340536505967,0.253731343283582,0.787465940054496,0.383798140770252,0.752701569840616,0.776566757493188,850,78,128385,177423
0.818318845000254,0.266666666666667,0.729113924050633,0.390508474576271,0.732021045907609,0.726582278481013,792,107,131208,168347
0.822647414858978,0.292227979274611,0.691176470588235,0.410779315367808,0.731659203339661,0.691176470588235,683,126,91329,129909
0.840708243263944,0.277153558052434,0.768831168831169,0.407432897453544,0.757862903941989,0.755844155844156,772,89,152150,205213
0.816893432386826,0.266419981498612,0.72544080604534,0.389715832205683,0.73385420138697,0.71536523929471,793,109,144205,191805
0.812469379899216,0.282921810699588,0.657894736842105,0.39568345323741,0.710950334369096,0.657894736842105,697,143,125182,163824
0.792660987658476,0.220325833979829,0.765498652291105,0.342168674698795,0.716016992128344,0.746630727762803,1005,87,164576,221058
0.827304589054465,0.297772567409144,0.664921465968586,0.411336032388664,0.730422249726337,0.853403141361257,599,128,83128,129028
0.837074470168841,0.266603415559772,0.73753280839895,0.391637630662021,0.743337976978542,0.73490813648294,773,100,110554,156236
0.798450828744196,0.223214285714286,0.78125,0.347222222222222,0.719052968849765,0.7734375,1044,84,174227,210439
0.815987423402513,0.275,0.68922305764411,0.39313795568263,0.724653247859697,0.68671679197995,725,124,103518,149164
0.813233252527139,0.267535070140281,0.693506493506494,0.386117136659436,0.726485608452341,0.688311688311688,731,118,141525,185951
0.834996854343865,0.314669652855543,0.693827160493827,0.432973805855162,0.743852692978788,0.691358024691358,612,124,73117,131886
0.837461677639845,0.285994123408423,0.741116751269036,0.412720848056537,0.750205614206849,0.736040609137056,729,102,123073,176289
0.823287350758309,0.281092012133468,0.695,0.400287976961843,0.731810734158249,0.6925,711,122,118129,158503
0.823874778967522,0.277717976318622,0.682539682539683,0.394797245600612,0.730414144045983,0.67989417989418,671,120,115674,173029
0.833905403270672,0.316666666666667,0.685567010309278,0.433224755700326,0.744635869821324,0.829896907216495,574,122,67446,109646
0.808949023130474,0.245318352059925,0.717808219178082,0.365666434054431,0.726717669903094,0.712328767123288,806,103,135011,171204
0.825542125413054,0.283253588516746,0.716707021791768,0.406035665294925,0.733082925590567,0.704600484261501,749,117,122103,168368
0.809447793577204,0.234641638225256,0.747282608695652,0.357142857142857,0.727575199628449,0.733695652173913,897,93,137501,188329
0.816642396792576,0.268317853457172,0.687830687830688,0.386043058648849,0.727060423219347,0.687830687830688,709,118,107003,152369
0.814500588490645,0.23122866894198,0.742465753424657,0.35263500325309,0.723824741620457,0.723287671232877,901,94,153981,209882
