buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,0.693147181,0.693147181,0.693147181,0,1.098612289,1.098612289,3.931825633,0,1.386294361,5.317307095,0.693147181,8.818926087,6.066012692,5.393627546
clean,1.098612289,1.098612289,1.098612289,0.693147181,1.609437912,1.609437912,7.24957036,0,4.521788577,4.642287939,1.098612289,8.818778169,6.063711469,6.075346031
clean,1.609437912,1.945910149,1.945910149,1.267043574,2.48490665,2.48490665,8.000796522,0,5.030437921,0.456211764,1.386294361,8.818630229,6.061810843,6.869534066
clean,1.386294361,2.833213344,4.025351691,1.642369286,4.882801923,4.941642423,5.182396233,0,4.804021045,4.260861866,1.791759469,8.818482267,6.060690451,7.100302156
clean,0.693147181,0.693147181,0.693147181,0,1.609437912,1.609437912,4.418840608,1,0.693147181,0.7238066,0.693147181,8.818334284,6.060409023,4.779123493
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,1.386294361,5.82008293,1,2.079441542,0.759739797,0.693147181,8.818186278,6.058102,7.961021466
clean,0.693147181,0.693147181,1.098612289,0.693147181,0,1.098612289,4.966335035,0,1.945910149,0.001122055,0.693147181,8.81803825,6.055780528,7.960672608
clean,0.693147181,0.693147181,1.098612289,0.693147181,1.609437912,2.708050201,5.000584958,0,1.945910149,4.550742477,0.693147181,8.817890201,6.053460317,7.960323629
clean,0.693147181,0.693147181,0.693147181,0,1.791759469,0,4.86753445,0,2.63905733,1.023008659,0.693147181,8.81774213,6.054128567,7.959974528
clean,0.693147181,1.098612289,1.609437912,1.098612289,0,1.609437912,4.412798293,0,2.079441542,0.006730769,1.098612289,8.817594036,6.052027544,7.959625305
clean,0.693147181,0.693147181,0.693147181,0,2.708050201,3.135494216,4.369447852,1,1.386294361,0.000856114,0.693147181,8.817445921,6.049931837,7.95927596
buggy,0.693147181,1.098612289,1.609437912,1.089142978,2.944438979,3.33220451,4.463030419,0,1.945910149,4.923323451,0.693147181,8.817297784,6.04757103,7.958926493
buggy,1.098612289,1.945910149,1.945910149,1.042277557,4.744932128,3.610917913,6.676873532,1,3.218875825,3.589750234,1.791759469,9.616538545,5.319127151,8.292673694
clean,0.693147181,1.098612289,1.386294361,0.949711001,0,1.386294361,4.326337729,0,2.302585093,0.00133784,1.098612289,8.817149625,6.049259071,7.958576904
clean,0.693147181,0.693147181,0.693147181,0,1.098612289,1.098612289,3.761200116,1,1.609437912,0.001295457,0.693147181,8.817001444,6.046897532,7.958227192
buggy,0.693147181,1.098612289,1.386294361,0.931961209,2.48490665,2.48490665,4.326337729,0,2.197224577,4.690424397,1.098612289,8.816853241,6.044535017,7.957877358
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,8.729397123,0,4.990432587,0.545072717,0.693147181,8.816705016,6.042523487,8.02125618
clean,0.693147181,0.693147181,0.693147181,0,0,1.098612289,5.298317367,0,1.791759469,0.000254598,0.693147181,8.816556769,6.040167226,7.957527402
clean,0.693147181,0.693147181,0.693147181,0,1.791759469,1.098612289,5.283203729,0,1.609437912,4.549862509,0.693147181,8.8164085,6.037792044,7.957177323
clean,0.693147181,0.693147181,1.098612289,0.693147181,0,1.098612289,5.241747015,0,1.945910149,0.00028931,0.693147181,8.816260209,6.035436707,7.956827122
clean,0.693147181,0.693147181,1.098612289,0.693147181,2.564949357,2.197224577,5.231108617,0,1.791759469,4.922998806,0.693147181,8.816111896,6.033051485,7.956476798
buggy,0.693147181,1.386294361,1.609437912,1.015163212,3.36729583,2.564949357,6.334610891,1,3.258096538,3.496119316,1.609437912,9.616471925,5.315748775,8.921591064
buggy,0.693147181,0.693147181,1.386294361,0.73455973,4.248495242,3.044522438,6.308098442,1,2.995732274,0.009766963,0.693147181,9.6164053,5.31118446,8.921457579
clean,1.386294361,1.609437912,2.079441542,0.967380798,3.663561646,3.63758616,6.406879986,0,2.890371758,0.661739779,1.609437912,9.616338671,5.309103736,7.909367071
buggy,0.693147181,1.098612289,1.386294361,0.548640693,5.003946306,3.970291914,6.522092798,1,3.258096538,2.348616458,1.098612289,9.616272038,5.304145105,8.921190556
clean,0.693147181,0.693147181,0.693147181,0,6.349138991,1.609437912,5.710427017,0,2.397895273,1.419179386,0.693147181,0,0,0
clean,0.693147181,1.098612289,2.48490665,1.482926905,0,2.995732274,4.443720204,0,2.079441542,0.000856114,0.693147181,8.815963561,6.031688152,7.956126351
clean,0.693147181,1.098612289,2.48490665,1.46579035,4.290459441,4.86753445,4.502835391,1,2.079441542,0.00174616,0.693147181,8.815815204,6.029289173,7.955775782
buggy,0.693147181,1.386294361,2.63905733,1.509536382,4.007333185,4.276666119,4.540016091,0,2.48490665,4.443168583,1.386294361,8.815666825,6.027698926,7.955425089
clean,0.693147181,0.693147181,1.098612289,0.69285267,2.890371758,2.944438979,4.658710953,0,2.079441542,4.918169168,0.693147181,8.815518424,6.025383471,7.955074273
clean,0.693147181,0.693147181,0.693147181,0,0,0.693147181,4.317488114,0,2.079441542,0.000902371,0.693147181,8.815370001,6.023023532,7.954723334
clean,0.693147181,0.693147181,0.693147181,0,1.791759469,1.791759469,4.317488114,1,2.079441542,0.000671071,0.693147181,8.815221556,6.020598653,7.954372273
