buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,0.693147,1.386294,1.386294,0.213993,0.033571,0.009863,6.407429,1,2.197225,3.233757,0.031439,6.480045,5.937655,6.040255
clean,0.693147,0.693147,0.693147,0,0.035507,0.004008,5.521461,1,1.609438,4.368914,0.077258,6.481577,5.938976,6.042633
clean,1.098612,2.833213,2.890372,0.331719,0.033443,0.004479,6.071689,0,2.564949,4.350399,0.0198,6.60123,5.664418,6.49224
clean,1.098612,2.772589,2.833213,0.319866,0.034896,0.004195,6.068861,0,2.564949,4.380702,0.018383,6.602588,5.667793,6.495266
buggy,1.94591,5.192957,4.007333,0.341259,0.749901,0.356303,3.56411,0,2.772589,4.388629,0.155181,5.765191,4.585728,5.659482
clean,1.94591,4.143135,0,0,0,0,0,0,0,0,0,5.768321,4.595821,5.680173
clean,0.693147,1.386294,0,0,0,0,0,0,0,0,0,6.483107,5.939144,5.236442
clean,0.693147,1.386294,0,0,0,0,0,0,0,0,0,6.484635,5.941773,5.241747
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.771441,4.602707,1.609438
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.774552,4.612658,5.459586
clean,0.693147,0.693147,0.693147,0,0.004024,0.035647,5.517453,1,1.94591,1.368698,0.070068,5.777652,4.622529,5.463832
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.780744,4.632172,5.46806
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.783825,4.641811,1.94591
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.786897,4.651023,5.472271
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.78996,4.660529,5.476464
clean,1.098612,1.386294,0,0,0,0,0,0,0,0,0,5.793014,4.66989,5.525453
clean,2.079442,4.836282,0,0,0,0,0,0,0,0,0,5.796058,4.678699,5.7301
clean,1.94591,4.143135,0,0,0,0,0,0,0,0,0,5.799093,4.68769,5.749393
clean,1.098612,1.94591,0,0,0,0,0,0,0,0,0,5.802118,4.696828,2.484907
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.805135,4.705911,2.197225
buggy,0.693147,0.693147,0.693147,0,0.003466,0.003466,5.666427,0,1.098612,1.633067,0.010363,5.808142,4.714903,2.302585
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,6.082219,5.035998,3.178054
clean,0.693147,1.098612,0,0,0,0,0,0,0,0,0,3.044522,3.015589,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.17615,4.780266,3.044522
clean,0.693147,0.693147,0.693147,0,0.016963,0.000777,7.160069,1,1.609438,4.32983,0.020778,5.181784,4.788225,3.583519
buggy,1.609438,2.197225,1.386294,0.559866,0.579212,0.612022,4.136765,0,2.079442,4.212176,0.164303,5.811141,4.722749,5.703782
clean,0.693147,1.098612,0,0,0,0,0,0,0,0,0,4.553877,4.302806,3.713572
clean,0.693147,1.098612,0,0,0,0,0,0,0,0,0,4.564348,4.316245,3.73767
clean,0.693147,1.098612,0,0,0,0,0,0,0,0,0,4.574711,4.329502,3.7612
buggy,0.693147,1.098612,1.098612,0.550717,0.00417,0.002782,5.886104,1,2.079442,4.75334,0.058164,6.084499,5.041462,5.793014
clean,0.693147,0.693147,0.693147,0,0.00625,0.00313,5.768321,0,1.94591,3.15224,0.054892,5.814131,4.730921,5.497168
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.817111,4.73964,5.501258
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.820083,4.748344,5.505332
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,5.823046,4.756972,5.509388
