buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0.693147,0.692125,0
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,2.302585,2.295395,2.197225
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.397895,2.391359,0.693147
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.639057,2.622383,2.397895
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,1.791759,1.77155,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.850148,3.722121,3.73767
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.639057,2.451393,1.386294
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.70805,2.533252,0.693147
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.295837,3.215643,3.258097
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.367296,3.289345,3.367296
clean,1.386294,1.386294,0,0,0,0,0,0,0,0,0,3.465736,3.381172,4.127134
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.496508,3.409304,3.526361
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.828641,3.74179,3.78419
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.850148,3.761054,3.828641
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.871201,3.782959,3.713572
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.89182,3.804908,0.693147
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.382027,4.191822,4.304065
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.248495,4.117327,4.060443
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.418841,4.205137,4.406719
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.406719,4.227894,4.356709
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.770685,4.618323,4.59512
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.905275,4.723939,1.098612
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.727388,4.443162,5.356586
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.990433,4.811835,4.85203
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.762174,4.478964,4.70953
clean,0,0,0,0,0,0,0,0,0,0,0,2.772589,2.330613,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.836282,4.542618,4.779123
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.85203,4.563541,4.795791
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0.693147,0.437138,0
clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
