buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,1.386294,2.397895,0,0,0,0,0,0,0,0,0,0.693147,0.689019,0
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,1.098612,1.095731,1.098612
clean,0.693147,1.791759,2.772589,0.51433,7.986845,0,0,0,0,0,0,1.609438,1.601527,1.386294
clean,1.386294,2.197225,2.302585,0.410722,0.008007,0.008007,5.961005,0,0.693147,0.012731,0.000861,1.94591,1.940192,2.197225
buggy,0.693147,1.098612,1.386294,0.05866,0.05759,0.03672,6.159799,0,0.693147,0.060766,0.002115,2.079442,2.074301,1.94591
clean,0.693147,0.693147,0.693147,0,0.016598,0.012474,6.171701,0,0.693147,0.055141,0.008333,2.197225,2.19252,2.079442
buggy,1.386294,1.609438,1.386294,0.19474,0.013699,0.037894,5.49169,0,0.693147,1.338393,0.006873,2.302585,2.291572,2.639057
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.397895,2.387858,1.098612
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.484907,2.475614,1.098612
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.564949,2.556366,1.609438
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.639057,2.631083,2.302585
clean,0.693147,2.302585,3.951244,0.578385,0,0.010775,5.280515,1,0.693147,1.364184,0.000602,2.70805,2.700589,2.397895
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,2.772589,2.765514,2.639057
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.833213,2.826236,1.791759
clean,0.693147,2.079442,1.791759,0.321499,0.019402,0.075448,4.414817,0,0.693147,1.32008,0.009748,2.890372,2.881707,2.564949
buggy,0.693147,1.098612,2.890372,0.411476,0.030172,0.006784,5.625925,0,0.693147,1.334114,0.000851,2.944439,2.936157,2.639057
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.995732,2.987791,1.94591
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.044522,3.036946,1.386294
buggy,0.693147,0.693147,3.044522,0.450414,0.034436,0.00715,4.782898,0,0.693147,1.003228,0.001687,3.091042,3.083803,2.70805
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.135494,3.128382,2.772589
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.178054,3.171231,2.833213
buggy,1.386294,1.791759,1.609438,0.225443,2.041876,0.019472,2.618439,0,0.693147,0.402109,0.038572,3.218876,3.210053,3.367296
clean,1.098612,1.386294,0.693147,0,0.05001,0.05001,3.688879,1,0.693147,0.693892,0.097638,3.258097,3.249471,3.295837
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.295837,3.287528,2.302585
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.332205,3.324183,1.386294
clean,1.386294,1.386294,0,0,0,0,0,0,0,0,0,3.367296,3.35949,3.526361
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.401197,3.393646,1.791759
buggy,0.693147,1.94591,2.833213,0.40082,0.05311,0.009613,4.70953,0,0.693147,1.600962,0.003969,3.433987,3.4245,3.044522
clean,1.098612,1.386294,0,0,0,0,0,0,0,0,0,3.465736,3.456465,3.496508
clean,0.693147,1.098612,1.386294,0.24151,0.078009,0.014982,5.179911,0,0.693147,0.840666,0.014982,3.496508,3.487479,3.135494
clean,0.693147,0.693147,0.693147,0,0.00545,0.00545,5.214936,0,0.693147,1.40919,0.016261,3.526361,3.517204,3.178054
buggy,0.693147,0.693147,0.693147,0,0.06684,0.004598,6.075346,1,0.693147,1.13126,0.009174,3.555348,3.546348,3.218876
clean,0.693147,0.693147,0.693147,0,0.00317,0.00317,5.755742,0,0.693147,0.193992,0.021979,3.583519,3.574705,3.258097
clean,0.693147,0.693147,0.693147,0,0.028171,0.006329,5.755742,0,0.693147,0.009274,0.02508,3.610918,3.602319,3.295837
buggy,0.693147,0.693147,0.693147,0,0.105745,0.019048,5.56452,0,0.693147,1.590875,0.011472,3.637586,3.627257,3.332205
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.663562,3.653307,2.564949
buggy,0.693147,1.098612,2.397895,0.332096,0.059677,0.018763,6.010151,0,0.693147,1.958234,0.001475,0,0,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.688879,3.671018,2.639057
buggy,0.693147,0.693147,1.791759,0.23857,0.072918,0,5.667118,0,0.693147,1.938379,0.002772,3.713572,3.693573,3.367296
buggy,0.693147,0.693147,1.098612,0.139299,0.014262,0.006608,6.116995,1,0.693147,2.000782,0.00551,0.693147,0.691129,0.693147
clean,0.693147,1.098612,1.791759,0.360733,0.023078,0.013527,4.642466,0,0.693147,1.949055,0.009681,3.73767,3.715619,3.401197
buggy,0.693147,1.386294,1.609438,0.364883,0.047327,0.094723,5.738184,0,1.098612,1.868165,0.004835,3.7612,3.739561,3.433987
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,3.78419,3.762933,2.484907
clean,1.098612,1.386294,1.098612,0.340492,0.016959,0.003415,5.681308,0,1.098612,1.534072,0.01021,3.806662,3.785718,3.663562
clean,0.693147,0.693147,0.693147,0,0.001216,0.001216,6.712956,0,0.693147,0.762822,0.004854,3.828641,3.808081,3.496508
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.850148,3.829719,3.526361
buggy,0.693147,1.098612,1.791759,0.298968,0.071594,0.023167,5.549076,0,1.098612,0.792418,0.006231,3.871201,3.849068,3.555348
buggy,0.693147,0.693147,0.693147,0,0.066014,0.010444,5.945421,0,0.693147,2.216833,0.010444,3.89182,3.854263,3.583519
clean,0.693147,0.693147,0.693147,0,0.011976,0.008,5.521461,1,0.693147,3.013685,0.008,3.912023,3.874545,3.610918
buggy,1.098612,1.098612,0.693147,0,0.77445,0.113524,4.527209,0,0.693147,2.712361,0.042787,3.931826,3.893124,3.828641
clean,0.693147,0.693147,1.098612,0.245397,0.011091,0.009251,5.598422,1,1.098612,2.777551,0.011091,3.951244,3.910932,3.663562
buggy,0.693147,0.693147,0.693147,0,0.001457,0.001457,6.532334,0,0.693147,2.953154,0.005814,3.970292,3.930692,3.688879
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,3.988984,3.940375,1.386294
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.007333,3.959611,1.609438
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.025352,3.978445,1.386294
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.043051,3.996587,1.94591
clean,0.693147,0.693147,0.693147,0,0.006192,0,5.777652,0,0.693147,2.992372,0.027567,4.060443,4.014751,3.713572
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.077537,4.032638,3.73767
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.094345,4.050168,3.7612
clean,0.693147,0.693147,0.693147,0,0.114991,0.003578,5.63479,0,0.693147,1.785716,0.017762,4.110874,4.067424,3.78419
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.127134,4.084328,2.079442
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.143135,4.09899,2.197225
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.158883,4.115387,2.944439
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.174387,4.128999,3.044522
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.189655,4.144738,1.609438
buggy,0.693147,1.098612,1.94591,0.132313,0.053178,0.027667,6.510754,1,1.098612,2.897783,0.003222,4.204693,4.160232,3.806662
clean,0.693147,0.693147,0.693147,0,0.02163,0.004364,6.532334,0,0.693147,1.958049,0.007262,4.219508,4.175588,3.828641
buggy,0.693147,0.693147,0.693147,0,0.018453,0.001432,6.549651,0,0.693147,0.543091,0.008559,1.098612,1.067321,1.098612
clean,0.693147,0.693147,1.098612,0.535056,0.011183,0.004316,6.361302,0,1.098612,0.437179,0.010327,4.234107,4.188554,3.850148
clean,0.693147,0.693147,0.693147,0,0.030772,0.00577,6.76273,0,1.098612,1.065979,0.00692,1.386294,1.360684,1.386294
buggy,0.693147,0.693147,1.791759,0.1306,0.022298,0.024301,6.374002,1,1.098612,2.66652,0.002729,1.609438,1.588625,1.609438
clean,0.693147,0.693147,0.693147,0,0.335149,0.045257,5.783825,0,0.693147,3.197526,0.015314,1.791759,1.774108,1.791759
buggy,0.693147,0.693147,0.693147,0,0.055959,0.028371,4.941642,0,0.693147,3.463718,0.014286,4.248495,4.196164,3.871201
clean,0.693147,0.693147,0.693147,0,0.05557,0.05557,3.583519,0,0.693147,3.329859,0.082238,4.26268,4.211103,3.89182
buggy,0.693147,0.693147,0.693147,0,0.005698,0,6.775366,0,0.693147,1.576113,0.007968,4.276666,4.225811,3.912023
buggy,0.693147,0.693147,0.693147,0,0.028765,0.049346,6.244167,0,1.098612,1.601817,0.013527,4.290459,4.239995,3.931826
clean,0.693147,0.693147,0.693147,0,0.002255,0.002255,6.787845,0,0.693147,3.370707,0.00338,4.304065,4.254298,3.951244
buggy,0.693147,0.693147,0.693147,0,0.020409,0,5.676754,0,0.693147,3.496974,0.006849,0,0,0
clean,0.693147,0.693147,0.693147,0,0.010399,0,5.66296,0,1.098612,3.04951,0.013841,4.317488,4.265923,3.970292
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.330733,4.277208,3.135494
buggy,0.693147,0.693147,1.609438,0.132633,0.013506,0.036283,6.741405,1,1.098612,2.292755,0.002657,4.343805,4.290772,3.988984
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.356709,4.301733,1.791759
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.369448,4.315185,4.007333
buggy,0.693147,1.386294,2.079442,0.24515,0.035863,0.019595,6.409235,0,1.098612,2.458246,0.004231,4.382027,4.328432,4.025352
clean,1.098612,1.386294,0.693147,0,0.037041,0.037041,4.894101,0,0.693147,3.663162,0.022389,4.394449,4.331835,4.26268
clean,0.693147,0.693147,0.693147,0,0.003968,0.003968,6.222576,1,1.098612,2.071451,0.015779,4.406719,4.344878,4.060443
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,4.418841,4.357623,4.077537
clean,0.693147,0.693147,0.693147,0,0.002699,0.002699,5.916202,1,0.693147,3.666452,0.005391,4.430817,4.370215,4.094345
buggy,0.693147,0.693147,1.098612,0.240877,0.028171,0.003423,6.08336,0,1.098612,2.176833,0.011364,4.442651,4.380687,4.110874
clean,0.693147,0.693147,1.098612,0.535056,0.023149,0.018562,6.059123,0,0.693147,3.58494,0.003507,4.454347,4.392927,4.127134
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,4.465908,4.402541,4.234107
clean,0.693147,1.098612,1.609438,0.201054,0.353814,0.036076,4.816241,0,0.693147,3.43724,0.004073,4.477337,4.414539,4.158883
buggy,0.693147,0.693147,0.693147,0,0.005659,0.003399,6.782192,1,1.098612,1.937506,0.011287,4.488636,4.426554,4.174387
buggy,0.693147,0.693147,1.386294,0.448283,0.043894,0.029216,6.033086,1,1.098612,2.045188,0.015899,4.49981,4.438427,4.189655
clean,0.693147,0.693147,0.693147,0,0.006659,0.002225,6.109248,1,1.098612,0.002035,0.019846,4.51086,4.450166,4.204693
