buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,0.693147,1.609438,1.791759,0.498815,5.953243,0,0,0,0.693147,0.142979,0.693147,0.693147,0.692096,0.693147
clean,0.693147,0.693147,0.693147,0,0.005401,0.001803,6.318968,0,0.693147,1.015709,0.001803,0,0,0
clean,1.098612,1.791759,1.94591,0.332484,0.103077,0.056561,6.154251,0,0.693147,1.064987,0.000355,1.098612,1.095852,1.386294
buggy,1.386294,2.197225,2.70805,0.282423,0.064734,0.023703,6.110729,1,0.693147,1.064949,0.000159,0.693147,0.692956,0.693147
clean,1.386294,1.386294,0.693147,0,0.114138,0.095081,6.496273,0,1.098612,0.070273,0.003018,1.098612,1.098352,1.609438
buggy,1.098612,1.098612,1.098612,0.307569,0.076914,0.020723,5.574687,1,1.098612,1.594769,0.0038,1.386294,1.380163,1.791759
buggy,1.098612,1.098612,0.693147,0,0.128891,0.076373,5.937536,1,0.693147,1.934146,0.002642,1.609438,1.602276,2.079442
clean,1.098612,2.484907,0,0,0,0,0,0,0,0,0,0,0,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,0.693147,0.693144,0.693147
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,1.098612,1.098606,1.098612
buggy,1.098612,2.197225,2.079442,0.231271,0.160873,0.010889,6.097231,0,0.693147,2.019572,0.000966,1.386294,1.37404,1.609438
clean,1.098612,1.791759,0,0,0,0,0,0,0,0,0,1.386294,1.384292,1.609438
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,1.609438,1.607831,1.609438
clean,1.386294,1.386294,0,0,0,0,0,0,0,0,0,1.791759,1.786279,2.079442
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,1.94591,1.936797,1.94591
clean,1.386294,1.386294,0.693147,0,0.267595,0,4.088774,0,0.693147,2.462056,0.016902,2.079442,2.071387,2.397895
clean,1.098612,1.94591,1.386294,0.474886,0.022473,0,5.779715,0,1.098612,2.461996,0.002064,0.693147,0.67711,1.098612
clean,1.098612,1.098612,0,0,0,0,0,0,0,0,0,2.197225,2.186995,2.564949
clean,0,0,0,0,0,0,0,0,0,0,0,2.302585,2.293378,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.397895,2.389525,2.302585
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.484907,2.475597,2.397895
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.564949,2.556359,2.484907
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.639057,2.630932,2.564949
clean,0,0,0,0,0,0,0,0,0,0,0,2.70805,2.700461,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.772589,2.765086,2.639057
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.833213,2.826153,2.70805
clean,0.693147,2.197225,2.484907,0.570098,0.004332,0.003422,5.988505,0,1.098612,2.738482,0.000457,1.791759,1.766353,1.791759
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,1.94591,1.92391,1.609438
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.079442,2.058178,1.791759
buggy,1.386294,2.197225,3.526361,0.366439,0.029494,0.046995,6.073703,1,1.098612,2.776786,0.00028,2.197225,2.177397,2.70805
buggy,1.098612,1.609438,1.386294,0.402083,0.013231,0.002955,6.112575,0,0.693147,2.819431,0.002217,1.609438,1.57466,1.94591
buggy,1.386294,2.079442,2.397895,0.221232,0.305354,0.136275,5.856893,0,0.693147,2.510639,0.001147,1.791759,1.762353,2.397895
clean,1.098612,1.386294,1.791759,0.187239,0.12884,0.033799,5.321179,0,1.098612,2.715932,0.002942,1.098612,1.07107,1.609438
clean,0,0,0,0,0,0,0,0,0,0,0,1.386294,1.365226,0
clean,0,0,0,0,0,0,0,0,0,0,0,1.609438,1.592615,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,1.791759,1.776008,1.386294
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,1.94591,1.932407,1.609438
clean,0,0,0,0,0,0,0,0,0,0,0,2.079442,2.067635,0
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.197225,2.186139,1.791759
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.302585,2.292611,1.94591
clean,0,0,0,0,0,0,0,0,0,0,0,2.397895,2.388828,0
buggy,1.386294,2.833213,3.583519,0.328365,0.097127,0.009514,5.703382,0,0.693147,2.876047,0.000573,2.079442,2.036932,2.833213
clean,1.386294,2.772589,2.995732,0.29614,0.073061,0.022569,5.713918,0,0.693147,2.636748,0.001393,2.197225,2.147908,2.995732
clean,0,0,0,0,0,0,0,0,0,0,0,2.484907,2.450419,0
buggy,0.693147,0.693147,0.693147,0,5.655992,0,0,0,0,0,0,2.302585,2.256666,2.302585
clean,1.098612,1.386294,1.791759,0.187239,0.145536,0.039772,5.184336,0,0.693147,2.484882,0.007858,2.890372,2.831029,3.044522
clean,0.693147,0.693147,0,0,0,0,0,0,0,0,0,2.564949,2.530159,1.386294
clean,1.098612,1.098612,0.693147,0,0.121616,0,6.108136,0,0.693147,3.579762,0.002227,2.639057,2.606652,2.484907
buggy,1.098612,1.609438,1.386294,0.333812,0.237691,0.07742,6.185179,1,0.693147,3.218804,0.000688,2.397895,2.350943,2.890372
clean,1.386294,2.197225,2.197225,0.253929,0.030558,0.003442,5.790877,0,1.098612,2.457296,0.003442,2.484907,2.430794,3.258097
clean,1.098612,1.94591,1.609438,0.389452,0.240988,0.06875,6.021023,0,0.693147,2.589604,0.003643,2.944439,2.871976,3.135494
buggy,1.386294,2.302585,2.833213,0.302375,0.671905,0.134665,4.970348,1,1.098612,3.095293,0.003053,2.302585,2.225982,2.890372
clean,0.693147,1.386294,1.609438,0.349211,0.006805,0.006805,6.167516,0,1.098612,3.197162,0.005238,2.564949,2.507711,2.564949
clean,1.098612,1.94591,1.94591,0.355928,0.031729,0.022278,6.064018,0,1.098612,2.641212,0.005037,2.639057,2.57886,3.044522
clean,1.098612,1.098612,1.386294,0.09827,0.450798,0.021106,6.954639,1,1.098612,2.983725,0.001908,2.397895,2.31568,2.564949
buggy,1.386294,2.484907,3.555348,0.396179,0.098396,0.008413,5.51417,1,1.098612,3.821654,0.000238,2.70805,2.649184,3.465736
clean,0,0,0,0,0,0,0,0,0,0,0,2.772589,2.715211,0
