buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,0.693147181,1.098612289,1.791759469,0.944097517,6.687108608,4.941642423,5.983432375,1,2.564949357,6.659661222,1.609437912,6.661854741,1.704540366,3.688879454
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,6.042632834,1,2.63905733,6.53341022,0.693147181,0,0,0
clean,1.791759469,1.945910149,1.945910149,1.131106692,2.833213344,3.295836866,6.254789888,0,3.80666249,6.852407392,1.791759469,2.397895273,0.957617143,0.587786665
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,1.386294361,7.450660796,0,3.737669618,3.04913864,0.693147181,2.197224577,0.285140632,1.098612289
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,5.811140993,0,2.564949357,6.542271762,0.693147181,2.197224577,0.530312177,0
clean,0.693147181,1.098612289,1.098612289,0.690157822,2.397895273,0.693147181,7.456454555,1,2.772588722,5.908387608,1.098612289,6.616065185,2.198281503,2.833213344
clean,0.693147181,0.693147181,0.693147181,0,1.609437912,1.609437912,7.372746366,1,2.48490665,3.430289366,0.693147181,6.6147256,2.084787618,6.086774727
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,5.720311777,0,2.079441542,0.003662267,0.693147181,0.693147181,0.693147181,0
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0,5.717027701,0,1.945910149,5.154357915,0.693147181,0,0,0
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,0.693147181,4.682131227,0,1.098612289,7.620459959,0.693147181,0,0,0
clean,1.098612289,1.098612289,1.609437912,0.991450327,4.812184355,3.135494216,6.356107661,0,2.079441542,6.748967578,1.609437912,2.397895273,0.440654315,1.791759469
clean,1.098612289,1.098612289,1.098612289,0.054412081,5.056245805,0,6.905753276,1,2.944438979,4.875222459,0.693147181,6.613384218,2.121249974,5.887491957
clean,0.693147181,0.693147181,0.693147181,0,1.098612289,1.098612289,7.450660796,0,3.737669618,3.167824704,0.693147181,2.079441542,0.355061324,1.098612289
clean,0.693147181,1.098612289,1.098612289,0.667548315,2.079441542,2.564949357,5.497168225,0,0.693147181,6.932364787,1.098612289,5.840641657,1.564069051,4.762173935
clean,0.693147181,1.098612289,1.386294361,0.721103428,4.317488114,1.791759469,5.890722977,0,1.386294361,6.142460894,1.098612289,2.079441542,0.080051945,0.693147181
clean,0.693147181,0.693147181,0.693147181,0,0,0.693147181,5.049856007,0,1.791759469,6.137834215,0.693147181,6.612041035,2.229461908,4.682131227
buggy,1.386294361,1.609437912,1.609437912,0.659855804,5.370638028,1.386294361,6.583063381,1,2.944438979,6.026545692,1.609437912,6.610696045,2.118971283,5.617982485
clean,0.693147181,0.693147181,0.693147181,0,1.791759469,1.791759469,7.450660796,0,3.737669618,3.264996202,0.693147181,6.66057515,1.734168772,4.418840608
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,5.533389489,0,0.693147181,7.60384608,0.693147181,6.609349243,2.122327699,2.63905733
clean,1.386294361,1.609437912,1.609437912,0.836028047,3.610917913,0,4.356708827,0,2.772588722,4.372905884,1.386294361,5.837730447,1.835561111,4.025351691
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,1.386294361,7.450660796,0,3.737669618,1.586908237,0.693147181,5.834810737,1.661796454,3.80666249
buggy,1.098612289,1.098612289,1.098612289,0.518170921,3.555348061,1.791759469,5.969985515,1,2.708050201,5.219191171,1.098612289,6.608000625,2.391560193,5.88192866
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,6.848005275,0,2.890371758,5.659119402,0.693147181,6.606650186,2.295617219,5.631211782
clean,0.693147181,0.693147181,0.693147181,0,2.63905733,1.098612289,5.743003188,1,0.693147181,5.659093259,0.693147181,6.605297921,2.18972183,6.077642243
clean,1.098612289,1.098612289,1.609437912,1.014824183,4.356708827,2.772588722,6.29156914,1,2.772588722,7.043838672,1.609437912,6.603943825,2.093162585,5.600272098
clean,1.098612289,1.098612289,1.098612289,0.322769196,3.295836866,0.693147181,6.914730893,0,3.737669618,6.646733214,1.098612289,5.257495372,0.651771898,3.238678452
clean,0.693147181,1.098612289,1.098612289,0.430077122,4.060443011,0,6.809039306,0,2.397895273,4.366518108,1.098612289,2.197224577,0.934239791,1.945910149
clean,1.098612289,1.386294361,1.791759469,1.085371111,5.036952602,2.397895273,6.933617939,0,2.833213344,6.739624491,1.609437912,2.079441542,0.476547299,1.252762968
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,0,5.356586275,0,1.945910149,6.850722568,0.693147181,0,0,0
clean,0.693147181,1.098612289,1.609437912,0.325835763,3.465735903,4.919980926,5.675897271,1,2.833213344,6.644296735,1.609437912,6.602587892,2.065695231,3.526360525
clean,0.693147181,0.693147181,0.693147181,0,2.890371758,2.197224577,5.241747015,0,1.791759469,6.578993833,0.693147181,3.135494216,0.172582637,1.098612289
clean,0.693147181,1.386294361,1.386294361,0.797575443,4.189654742,3.610917913,5.311562593,0,2.48490665,7.055594988,1.386294361,5.831882477,1.759202773,4.744932128
clean,0.693147181,0.693147181,0.693147181,0,2.48490665,0.693147181,5.164785974,0,2.48490665,5.418111137,0.693147181,1.945910149,0.993251773,0
clean,0.693147181,0.693147181,0.693147181,0,1.791759469,0,5.087596335,0,2.197224577,6.552513963,0.693147181,1.791759469,0.614366302,0.693147181
clean,0.693147181,1.098612289,1.386294361,0.618074928,5.068904202,2.564949357,6.573680167,0,2.397895273,4.120609322,1.098612289,1.945910149,0.528403026,1.609437912
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,6.023447593,1,1.609437912,6.907152018,0.693147181,2.63905733,0.773627202,1.791759469
clean,1.098612289,1.098612289,1.098612289,0.693147181,1.098612289,1.098612289,4.363098625,0,2.302585093,6.985796868,1.098612289,1.609437912,0.859132318,0.405465108
clean,0.693147181,0.693147181,0.693147181,0,1.791759469,1.791759469,4.382026635,0,2.63905733,5.86988571,0.693147181,0,0,0
clean,0.693147181,1.609437912,2.197224577,1.094328336,5.129898715,0,6.483871585,1,3.135494216,5.934535967,2.079441542,5.828945618,2.364609284,4.736198448
clean,0.693147181,0.693147181,0.693147181,0,1.098612289,1.386294361,5.509388337,0,1.098612289,0.268674442,0.693147181,5.826000107,2.316711633,4.812184355
clean,0.693147181,0.693147181,1.609437912,1.090120649,4.919980926,3.891820298,5.487904134,1,2.48490665,7.431597605,1.386294361,1.386294361,0.331357136,0
clean,0.693147181,0.693147181,0.693147181,0,1.609437912,0,5.493061443,0,0.693147181,1.833451456,0.693147181,5.823045895,2.267781689,4.804021045
clean,1.098612289,1.098612289,1.386294361,0.898404987,4.477336814,2.995732274,7.636752112,0,2.944438979,1.694281045,1.098612289,5.82008293,2.1585492,4.48863637
clean,1.098612289,1.098612289,1.098612289,0.306823912,3.80666249,0,6.170656211,0,2.772588722,6.677776266,1.098612289,0.693147181,0.037740328,0
clean,0.693147181,0.693147181,0.693147181,0,2.833213344,2.944438979,8.295548516,0,2.833213344,0.024478046,0.693147181,5.81711116,2.040622753,4.025351691
clean,1.098612289,1.098612289,1.098612289,0.686695299,3.33220451,1.386294361,7.684783944,1,2.833213344,1.044130029,1.098612289,5.814130532,1.901692262,4.471638793
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,1.386294361,7.450660796,0,3.737669618,1.075460541,0.693147181,2.079441542,0.3620737,0.693147181
clean,1.609437912,2.079441542,2.302585093,0.952521916,6.084499413,3.583518938,6.628482196,0,3.044522438,6.725561186,2.197224577,1.791759469,0.366479662,0.810930216
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,5.860786223,1,0.693147181,0.072406791,0.693147181,5.811140993,1.744673533,4.779123493
buggy,1.098612289,1.098612289,1.386294361,0.47066981,5.978885765,1.098612289,7.543979312,0,2.944438979,2.609782669,1.098612289,5.80814249,1.552735872,4.454347296
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,1.386294361,7.450660796,0,3.737669618,3.610007839,0.693147181,6.65929392,1.840078779,4.406719247
clean,1.609437912,1.791759469,1.945910149,1.183106137,3.135494216,1.386294361,6.450996876,0,2.708050201,5.306610956,1.609437912,2.564949357,1.009341345,1.098612289
buggy,0.693147181,0.693147181,0.693147181,0,2.079441542,0,5.429345629,0,0.693147181,3.565002367,0.693147181,2.48490665,0.17823592,1.386294361
clean,1.386294361,1.609437912,1.791759469,1.019190436,1.945910149,2.708050201,6.463341421,0,2.63905733,6.766837337,1.386294361,2.48490665,0.575220569,0.980829253
clean,0.693147181,1.098612289,1.098612289,0.326435538,3.988984047,0,6.28320089,0,2.48490665,4.429535872,0.693147181,0,0,0
clean,0.693147181,0.693147181,0.693147181,0,1.386294361,1.386294361,7.450660796,0,3.713572067,3.081154184,0.693147181,6.658011046,1.898149384,4.394449155
buggy,1.098612289,1.386294361,1.386294361,0.743551223,5.857933154,0.693147181,7.190676034,0,2.833213344,2.323307172,0.693147181,2.397895273,0.6062725,0.916290732
clean,0.693147181,0.693147181,0.693147181,0,1.098612289,0,5.717027701,0,1.945910149,1.991086143,0.693147181,0.693147181,0.693147181,0
clean,0.693147181,1.098612289,1.098612289,0.691008621,4.430816799,3.091042453,6.185179288,1,2.564949357,6.359514685,1.098612289,6.601230119,2.555969514,2.995732274
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,5.743003188,0,2.197224577,7.102454658,0.693147181,2.302585093,1.049973628,0.693147181
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,7.450660796,0,3.713572067,1.16E-05,0.693147181,1.098612289,0.693147181,0
clean,0.693147181,0.693147181,0.693147181,0,2.708050201,2.708050201,6.075346031,1,2.197224577,5.824834407,0.693147181,0,0,0
clean,1.386294361,1.386294361,1.386294361,0.900358355,2.48490665,1.098612289,5.494432245,0,2.197224577,6.972364446,1.386294361,0,0,0
clean,1.098612289,1.098612289,1.098612289,0.576248037,1.945910149,2.079441542,5.033700567,0,2.772588722,3.655866815,0.693147181,1.945910149,0.522125758,0.693147181
clean,0.693147181,0.693147181,1.609437912,1.045465737,3.912023005,1.791759469,4.543294782,0,1.609437912,5.841535414,1.098612289,1.609437912,0.630089045,0.693147181
buggy,1.386294361,1.386294361,1.386294361,0.682911211,5.541263545,4.077537444,6.520621128,1,2.995732274,6.0756082,1.098612289,6.599870499,2.700906092,5.495801171
clean,1.098612289,1.098612289,1.386294361,0.889445721,3.912023005,2.890371758,5.886104031,1,2.564949357,6.359892612,1.386294361,6.598509029,2.678682173,5.872117789
clean,1.098612289,1.098612289,1.098612289,0.693147181,1.098612289,0,4.343805422,0,2.708050201,3.095325147,0.693147181,5.805134969,1.704376892,3.218875825
clean,1.098612289,1.098612289,1.098612289,0.256050728,5.049856007,0.693147181,4.548599834,1,2.397895273,5.917461844,0.693147181,6.597145702,2.686084592,5.869296913
clean,0.693147181,0.693147181,0.693147181,0,1.791759469,1.791759469,7.450660796,0,3.713572067,3.410095561,0.693147181,6.656726524,1.882207555,4.382026635
clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean,0.693147181,0.693147181,0.693147181,0,0.693147181,0.693147181,5.66296048,0,2.944438979,5.977760278,0.693147181,2.302585093,0.559662472,0
buggy,1.098612289,1.386294361,1.945910149,1.012033902,4.795790546,2.397895273,4.932072972,1,2.079441542,6.847766554,1.609437912,6.595780514,2.750122875,5.866468057
clean,0.693147181,1.609437912,1.609437912,0.966604965,5.187385806,2.708050201,6.350885717,0,2.397895273,3.25360172,1.098612289,6.59441346,2.775340685,4.753590191
clean,1.098612289,1.386294361,1.609437912,0.762889205,4.418840608,4.465908119,7.214872264,0,2.890371758,6.749184092,1.609437912,1.386294361,0.818835396,0.693147181
clean,0.693147181,1.098612289,1.098612289,0.441332875,4.736198448,2.48490665,6.672032945,0,2.302585093,2.726154234,1.098612289,1.098612289,0.237328186,0.693147181
clean,0.693147181,0.693147181,0.693147181,0,1.609437912,1.098612289,5.017279837,1,1.098612289,3.976487088,0.693147181,6.593044534,2.74010713,6.063785209
clean,1.098612289,1.098612289,1.098612289,0.177952679,4.882801923,1.098612289,4.127134385,1,2.079441542,6.285867215,0.693147181,6.591673732,2.76274832,5.862209711
clean,1.098612289,1.609437912,2.079441542,0.858414902,5.433722004,2.708050201,6.956681488,1,2.890371758,6.171788167,1.945910149,6.590301048,2.722959399,5.267858159
clean,1.098612289,1.098612289,1.098612289,0.693147181,3.496507561,0,4.574710979,0,1.098612289,3.321801921,1.098612289,2.48490665,1.120979122,0.916290732
clean,0.693147181,0.693147181,0.693147181,0,2.833213344,0,6.423246964,0,1.098612289,2.056789633,0.693147181,2.397895273,0.726512582,1.098612289
clean,1.098612289,1.098612289,1.098612289,0.693147181,1.098612289,0,4.33073334,0,2.63905733,3.933212198,0.693147181,2.302585093,0.065653405,0
clean,0.693147181,1.386294361,1.945910149,1.168230054,3.583518938,2.708050201,6.039857807,1,1.945910149,7.410178887,1.791759469,6.588926478,3.061660397,4.736198448
clean,0.693147181,0.693147181,0.693147181,0,1.945910149,1.791759469,7.180831199,0,2.302585093,1.378634894,0.693147181,6.587550015,3.031479328,4.727387819
