auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.823642549,0.608108108,0.736196319,0.666049954,0.739700225,0.712678937,0.467830105,464,258,77929,177860,0.647058824,0.702033599
0.811369065,0.590756303,0.715157681,0.647031753,0.724744679,0.691759919,0.467830105,487,280,75926,163781,0.6,0.75
0.814644476,0.608985025,0.720472441,0.660054103,0.730687224,0.693897638,0.467830105,470,284,84151,170607,0.657894737,0.530612245
0.832610688,0.637049455,0.752475248,0.689968225,0.75405763,0.717821782,0.467830105,433,250,71469,176747,0.534090909,0.698224852
0.820491555,0.622164049,0.717303823,0.66635514,0.736156835,0.695171026,0.467830105,433,281,68046,152897,0.875,0.639215686
0.82835244,0.613199666,0.754367934,0.676497696,0.745523248,0.72045221,0.467830105,463,239,58377,137369,0.75,0.857142857
0.819371624,0.60425184,0.740480962,0.665466006,0.733249882,0.71743487,0.467830105,484,259,85172,177481,0.911111111,0.601731602
0.818755835,0.58637084,0.744466801,0.656028369,0.727522294,0.711267606,0.467830105,522,254,75439,161775,0.637681159,0.652390852
0.829684608,0.635497835,0.735470942,0.681839294,0.749541428,0.711422846,0.467830105,421,264,55065,148134,0.5,0.583074534
0.830169132,0.627218935,0.740518962,0.679176201,0.748527435,0.714570858,0.467830105,441,260,66061,148859,0.5,0.558528428
0.818564394,0.625420875,0.708293613,0.664282521,0.72753674,0.680648236,0.467830105,445,306,70447,162095,0.32010582,0.175542589
0.830057098,0.624676445,0.732793522,0.674429436,0.744387995,0.705465587,0.467830105,435,264,58725,156540,0.718487395,0.453517144
0.835308795,0.628546862,0.744399185,0.681585082,0.751227624,0.724032587,0.467830105,432,251,58497,152969,0.528985507,0.202131661
0.821519957,0.620869565,0.719033233,0.666355576,0.737225992,0.688821752,0.467830105,436,279,53790,147688,0.594155844,0.627576197
0.816079128,0.615582192,0.729208925,0.667595172,0.737434625,0.700811359,0.467830105,449,267,68393,168704,0.661931818,0.564491817
0.839128664,0.65820643,0.754607177,0.703117939,0.763701847,0.728419011,0.467830105,404,253,60514,155438,0.476923077,0.647035573
0.825945867,0.617495712,0.725075529,0.666975452,0.737844328,0.69284995,0.467830105,446,273,55785,135032,0.578125,0.709285714
0.822929642,0.636282395,0.712712713,0.672332389,0.739114612,0.690690691,0.467830105,407,287,79453,168587,0.67781155,0.73571102
0.825193086,0.616528926,0.737883284,0.671769473,0.740476399,0.702274975,0.467830105,464,265,64414,168388,0.765,0.759982151
0.830438296,0.643333333,0.738049713,0.687444346,0.745783416,0.706500956,0.467830105,428,274,55889,142158,0.415254237,0.21541405
0.82245242,0.615584416,0.713855422,0.661087866,0.733859809,0.6937751,0.467830105,444,285,54592,149947,0.706653226,0.135717265
0.819945908,0.613678373,0.696747114,0.652579853,0.72984113,0.676810073,0.467830105,418,289,68450,148629,0.530939649,0.503849802
0.83175625,0.62915601,0.738,0.679245283,0.745383519,0.711,0.467830105,435,262,68111,152425,0.719562244,0.720246631
0.829833731,0.639679715,0.726262626,0.680227058,0.749011,0.705050505,0.467830105,405,271,64301,150262,0.741048593,0.774693748
0.826136238,0.638865721,0.739382239,0.685458613,0.745947685,0.715250965,0.467830105,433,270,63282,155561,0.784507042,0.809188034
0.827598167,0.61417972,0.743512974,0.67268623,0.740584802,0.70758483,0.467830105,468,257,63627,162735,0.743055556,0.479876161
0.813311628,0.620106762,0.688055281,0.652316331,0.725751731,0.666337611,0.467830105,427,316,60922,144476,0.838709677,0.786493506
0.819592727,0.616211745,0.746492986,0.675124604,0.7417869,0.714428858,0.467830105,464,253,67894,159776,0.795061728,0.770833333
0.833897182,0.644804089,0.752485089,0.694495413,0.75842251,0.720675944,0.467830105,417,249,72604,173148,0.807363014,0.701997211
0.822359219,0.629116118,0.729648241,0.675663099,0.742151134,0.704522613,0.467830105,428,269,74265,169636,0.543123543,0.580177653
0.834001578,0.636604775,0.730223124,0.680207841,0.75065894,0.712981744,0.467830105,411,266,62053,150046,0.706790123,0.663339383
0.819370444,0.617523168,0.728628231,0.668490652,0.738140907,0.710735586,0.467830105,454,273,71705,154662,0.78,0.604635464
0.819448892,0.620988725,0.71743487,0.665736867,0.738421465,0.694388778,0.467830105,437,282,61108,145970,0.688057653,0.555513458
0.826382857,0.627303183,0.737931034,0.678134903,0.742316176,0.710344828,0.467830105,445,266,60658,139286,0.761363636,0.634832041
0.823263059,0.631896552,0.727904667,0.676511306,0.743569806,0.701092354,0.467830105,427,274,58393,158929,0.841691421,0.77227388
0.831303799,0.640957447,0.720119522,0.678236398,0.743565687,0.695219124,0.467830105,405,281,53789,137347,0.819221509,0.754510216
0.820165956,0.625102543,0.736943907,0.676431425,0.740309473,0.701160542,0.467830105,457,272,74091,175110,0.639806438,0.585666524
0.823918013,0.642164782,0.74929312,0.691605046,0.747345177,0.725730443,0.467830105,443,266,70051,147085,0.619261926,0.610987081
0.825497302,0.60391198,0.743229689,0.666366906,0.734897726,0.716148445,0.467830105,486,256,70691,164137,0.68254717,0.683662466
0.829241926,0.620517098,0.740298507,0.675136116,0.741617006,0.715422886,0.467830105,455,261,74642,170047,0.719815432,0.664775306
0.835481449,0.633333333,0.746561886,0.685302074,0.746844108,0.718074656,0.467830105,440,258,72709,171178,0.731818182,0.744237063
0.819125254,0.625811688,0.742774566,0.679295154,0.738752689,0.722543353,0.467830105,461,267,65498,149004,0.846153846,0.678974783
0.83828547,0.618644068,0.758047767,0.681287914,0.752956365,0.719626168,0.467830105,450,233,62968,151886,0.833613445,0.513550917
0.819282406,0.629471891,0.718172983,0.670903314,0.734958703,0.698736638,0.467830105,435,290,77782,162807,0.853174603,0.710859729
0.811999977,0.601497504,0.731041456,0.659972615,0.730970163,0.700707786,0.467830105,479,266,71105,182511,0.814964158,0.673872309
0.817898441,0.621440536,0.731755424,0.672101449,0.739228904,0.701183432,0.467830105,452,272,76799,162270,0.685572897,0.655353535
0.824953491,0.617427386,0.735905045,0.671480144,0.738959056,0.712166172,0.467830105,461,267,75286,171340,0.80549569,0.796666667
0.80465031,0.606265876,0.711729622,0.654778235,0.724177018,0.684890656,0.467830105,465,290,81883,182657,0.848372093,0.821858289
0.826267391,0.636734694,0.748560461,0.688134098,0.748574016,0.717850288,0.467830105,445,262,54728,162361,0.78,0.694965187
0.814662369,0.634380454,0.709268293,0.669737448,0.735324017,0.686829268,0.467830105,419,298,63135,149692,0.735930736,0.662916194
0.824041848,0.625203252,0.744433688,0.679628811,0.744938926,0.721200387,0.467830105,461,264,71005,170005,0.8375,0.712406015
0.816754112,0.626382979,0.71875,0.66939518,0.73469446,0.682617188,0.467830105,439,288,60904,178329,0.91954023,0.749458874
0.824594946,0.629149798,0.752178122,0.685185185,0.746172859,0.723136496,0.467830105,458,256,74286,172457,0.892857143,0.734806955
0.823906086,0.629783694,0.738536585,0.679838348,0.741315967,0.710243902,0.467830105,445,268,59880,161677,0.751409774,0.701066664
0.822107689,0.613423959,0.740512821,0.671003717,0.743227426,0.706666667,0.467830105,455,253,68501,152301,0.750926718,0.659288201
0.823736695,0.626853377,0.744618395,0.680679785,0.74548898,0.723091977,0.467830105,453,261,80183,174795,0.757703081,0.683574057
0.824372537,0.621399177,0.740922473,0.675917637,0.742468527,0.722276742,0.467830105,460,264,70609,168026,0.710997442,0.653508945
0.816714248,0.614718615,0.718623482,0.662622492,0.734418428,0.697368421,0.467830105,445,278,72518,154158,0.692471591,0.618626398
0.812869816,0.601386482,0.71399177,0.652869238,0.730297053,0.680041152,0.467830105,460,278,81971,167893,0.724077548,0.631961774
0.829757666,0.639374425,0.71136131,0.673449612,0.744486851,0.690890481,0.467830105,392,282,66787,169277,0.71202592,0.639898132
