auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.815640911,0.6256852,0.71852518,0.668899121,0.734349302,0.507194245,0.442172147,478,313,86987,376388,0.833333333,0.81958042
0.810901659,0.591549296,0.725527831,0.651724138,0.729046367,0.57293666,0.442172147,522,286,279593,568293,0.494047619,0.583074534
0.809320544,0.610081542,0.745471014,0.671015084,0.736196234,0.519927536,0.442172147,526,281,111556,395411,0.557692308,0.663636364
0.817090661,0.589569161,0.752895753,0.66129716,0.736390609,0.606177606,0.442172147,543,256,335127,592936,0.652173913,0.489985061
0.815449225,0.59495549,0.740535549,0.659810777,0.729389672,0.533702678,0.442172147,546,281,94263,452600,0.761363636,0.845380117
0.812893344,0.594339623,0.709859155,0.646983312,0.724282292,0.600938967,0.442172147,516,309,352007,648675,0.625,0.766425909
0.803647423,0.589498807,0.704372624,0.641836293,0.721606606,0.466730038,0.442172147,516,311,114442,350722,0.653225806,0.694266278
0.809956109,0.601260835,0.728748806,0.658894646,0.732113629,0.515759312,0.442172147,506,284,117793,374723,0.863636364,0.773546274
0.812283469,0.616169545,0.714285714,0.661609777,0.73008692,0.546860783,0.442172147,489,314,126066,448554,0.3,0.793650794
0.807108322,0.596062992,0.704841713,0.645904437,0.723411185,0.588454376,0.442172147,513,317,332049,595745,0.5,0.500891266
0.812134606,0.604832424,0.714548803,0.655128746,0.725502138,0.50092081,0.442172147,507,310,124045,422346,0.673913043,0.525165988
0.808646252,0.581027668,0.708092486,0.638297872,0.719370347,0.500963391,0.442172147,530,303,106407,379679,0.658333333,0.43969418
0.817886439,0.608979592,0.715244487,0.657848325,0.735272517,0.476510067,0.442172147,479,297,96951,319016,0.484848485,0.520204604
0.804902466,0.601694915,0.710646042,0.651647893,0.721714103,0.596906278,0.442172147,517,318,338801,634917,0.43902439,0.47124183
0.821376536,0.624198718,0.719963031,0.668669528,0.739760473,0.57948244,0.442172147,469,303,282630,553733,0.59375,0.710195021
0.803915692,0.617601246,0.713771377,0.662212944,0.730722376,0.593159316,0.442172147,491,318,322127,621279,0.725490196,0.74
0.808110033,0.606153846,0.726267281,0.660796646,0.732096938,0.496774194,0.442172147,512,297,101576,372504,0.651785714,0.122077922
0.820828981,0.606518283,0.732949087,0.663766855,0.740608393,0.551392891,0.442172147,495,278,133661,426538,0.418650794,0.432829535
0.805715229,0.604559748,0.716682199,0.655863539,0.728734102,0.512581547,0.442172147,503,304,90716,409365,0.760869565,0.667768595
0.821737004,0.645801527,0.737576286,0.688644689,0.745731394,0.526591107,0.442172147,464,301,118291,402301,0.432692308,0.469375035
0.812625519,0.604021655,0.714547118,0.654652137,0.725768608,0.505946935,0.442172147,512,312,136058,384107,0.704761905,0.608011301
0.820203212,0.610492846,0.736337488,0.667535854,0.742052893,0.534036433,0.442172147,490,275,102652,430144,0.772808587,0.537229646
0.819881556,0.609977324,0.745152355,0.670822943,0.740115623,0.530932595,0.442172147,516,276,122883,414925,0.614361702,0.563527164
0.815509685,0.603787879,0.744164332,0.666666667,0.735333481,0.548085901,0.442172147,523,274,144141,482168,0.548941799,0.680427807
0.817067147,0.607227023,0.730623819,0.663234663,0.738175777,0.513232514,0.442172147,500,285,115586,376265,0.719684385,0.640100251
0.810092258,0.595829992,0.715799615,0.650328228,0.729459889,0.50867052,0.442172147,504,295,125086,383968,0.664930556,0.62987013
0.807056879,0.594867807,0.716292135,0.649957519,0.727288567,0.493445693,0.442172147,521,303,132019,351818,0.770673487,0.676030152
0.815943638,0.589917231,0.727948004,0.651704073,0.725786208,0.504178273,0.442172147,545,293,134509,410624,0.583964646,0.395850823
0.807316434,0.608,0.708955224,0.654608096,0.725473404,0.52891791,0.442172147,490,312,150594,404973,0.612740142,0.638666796
0.814089281,0.5976,0.71278626,0.650130548,0.728490322,0.516221374,0.442172147,503,301,116228,372927,0.697,0.755591926
0.813482406,0.600961538,0.72815534,0.658472344,0.738811164,0.599029126,0.442172147,498,280,316537,577223,0.731858407,0.708624215
0.797014479,0.608938547,0.695533273,0.649361702,0.720570028,0.582497721,0.442172147,490,334,311692,579286,0.760190217,0.745736133
0.816702877,0.604103343,0.73816156,0.664437944,0.733884163,0.524605385,0.442172147,521,282,90328,405749,0.699107143,0.680999747
0.810730978,0.600305111,0.726685134,0.657477026,0.72828925,0.592797784,0.442172147,524,296,298625,583991,0.715238095,0.636565385
0.82967125,0.638497653,0.741818182,0.686291001,0.752011892,0.596363636,0.442172147,462,284,292129,559406,0.770833333,0.717005348
0.823231788,0.618705036,0.734345351,0.671583514,0.743855284,0.492409867,0.442172147,477,280,104696,332180,0.750276855,0.697914706
0.814826992,0.610980392,0.731455399,0.665811966,0.735328382,0.605633803,0.442172147,496,286,271193,580659,0.752439024,0.700474086
0.810591796,0.613808801,0.726864331,0.665569724,0.731143065,0.524707996,0.442172147,509,304,135184,444478,0.771221532,0.665446078
0.819514806,0.625097428,0.741219963,0.678224101,0.746874422,0.527726433,0.442172147,481,280,92061,379657,0.80556962,0.642427885
0.806610262,0.612448133,0.708253359,0.656875834,0.733382083,0.596928983,0.442172147,467,304,342133,601717,0.787775891,0.667565139
0.819809265,0.589314195,0.718871595,0.647677476,0.727801388,0.607976654,0.442172147,515,289,347572,620714,0.752094136,0.710639566
0.825885367,0.613354037,0.739008419,0.670343657,0.743478544,0.501403181,0.442172147,498,279,89196,338210,0.789482227,0.744431697
0.819459655,0.616416732,0.733333333,0.669811321,0.740333876,0.516431925,0.442172147,486,284,91788,327203,0.838672769,0.754709392
0.820167246,0.625876851,0.74145891,0.678782756,0.745457712,0.603878116,0.442172147,480,280,333887,596245,0.669783645,0.595976413
0.805337457,0.590342679,0.71780303,0.647863248,0.724955493,0.520833333,0.442172147,526,298,154785,393302,0.64475052,0.645311422
0.812585086,0.604420732,0.728860294,0.660833333,0.732427521,0.581801471,0.442172147,519,295,338246,589421,0.677803738,0.71068994
0.810791922,0.598062954,0.713872832,0.65085639,0.7312833,0.521194605,0.442172147,498,297,123734,400823,0.682977737,0.641502487
0.826340326,0.627279937,0.74905303,0.682779456,0.753193441,0.516098485,0.442172147,470,265,98586,341502,0.688,0.6745897
0.810047204,0.618897638,0.715195632,0.663571127,0.732579934,0.496815287,0.442172147,484,313,98974,348901,0.719298246,0.590158316
0.804260319,0.587177482,0.71320038,0.644082333,0.719288712,0.520417854,0.442172147,528,302,123545,396634,0.751065644,0.601722602
0.819144894,0.604294479,0.741298213,0.665821715,0.738742861,0.609595484,0.442172147,516,275,330679,608193,0.758,0.623475197
0.808837893,0.616523772,0.712612613,0.66109486,0.7298153,0.540540541,0.442172147,492,319,141423,434370,0.588068182,0.592194591
0.811294651,0.608830364,0.730483271,0.664131812,0.734939088,0.55669145,0.442172147,505,290,122309,453506,0.687095546,0.655763989
0.811110819,0.609313339,0.710865562,0.656183595,0.724556099,0.607734807,0.442172147,495,314,341588,644394,0.787176724,0.698469109
0.807586329,0.595054096,0.724365005,0.653372932,0.727471471,0.532455315,0.442172147,524,293,127545,418398,0.75,0.769202192
0.814342926,0.596409055,0.729703916,0.656357388,0.732147661,0.492836676,0.442172147,517,283,101982,345986,0.763403263,0.704492954
0.81212869,0.60254372,0.727447217,0.659130435,0.734291822,0.522072937,0.442172147,500,284,115818,383385,0.781865042,0.698481199
0.815082472,0.594807238,0.726923077,0.654262224,0.736179287,0.611538462,0.442172147,515,284,331513,622662,0.700798838,0.653597092
0.817018654,0.623918175,0.720909091,0.668916069,0.736137852,0.535454545,0.442172147,478,307,166448,459041,0.717668488,0.631471814
0.815749094,0.627816628,0.713780919,0.668044647,0.731666378,0.590106007,0.442172147,479,324,323032,595291,0.825819672,0.67594061
0.813081903,0.59789644,0.72097561,0.653693056,0.732565432,0.607804878,0.442172147,497,286,320537,574992,0.768588957,0.682927878
0.822538636,0.629715166,0.730357143,0.676312526,0.738223282,0.588392857,0.442172147,481,302,288885,582370,0.80300807,0.707874228
0.823063655,0.6272578,0.725546059,0.672831352,0.743758473,0.528015195,0.442172147,454,289,124039,391119,0.734693878,0.659156461
0.821694886,0.601387818,0.739336493,0.663265306,0.739375907,0.615165877,0.442172147,517,275,331834,587198,0.717391304,0.694997862
0.80745923,0.615139442,0.710211592,0.659265585,0.73052302,0.497700092,0.442172147,483,315,121741,375356,0.675189394,0.654977376
0.809263188,0.587163233,0.71871969,0.646314871,0.730180265,0.499515034,0.442172147,521,290,94126,373204,0.726454034,0.63183574
0.818865652,0.611363636,0.750697674,0.673903967,0.743505546,0.52,0.442172147,513,268,101459,384600,0.721936345,0.640178696
0.812273678,0.610558531,0.726775956,0.663617464,0.730755924,0.533697632,0.442172147,509,300,161866,438879,0.814253648,0.763172481
0.811920795,0.610662359,0.701949861,0.653131749,0.72589002,0.495821727,0.442172147,482,321,133614,377522,0.7624699,0.707239482
0.822195577,0.611068409,0.724703737,0.663052544,0.73341515,0.528714676,0.442172147,506,302,135069,412627,0.740814002,0.692843901
0.824255151,0.609662577,0.740913327,0.668910391,0.742821308,0.557315937,0.442172147,509,278,137187,489369,0.717457999,0.701342606
