auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.79002131,0.6,0.674846626,0.635226179,0.714509029,0.656441718,0.412892207,440,318,54807,148511,0.639705882,0.659863946
0.775025488,0.60801564,0.632756867,0.620139581,0.703140094,0.619532045,0.412892207,401,361,50049,140711,0.733333333,0.846153846
0.774719095,0.611162791,0.646653543,0.628407461,0.70549789,0.63484252,0.412892207,418,359,51483,127201,0.605263158,0.659405111
0.793177145,0.641272903,0.658415842,0.649731314,0.721244135,0.636633663,0.412892207,372,345,56943,147179,0.545454545,0.184981685
0.773323737,0.623,0.626760563,0.624874624,0.702381295,0.615694165,0.412892207,377,371,47915,123274,0.75,0.857142857
0.797463288,0.615456238,0.67934224,0.645823156,0.720997767,0.659815005,0.412892207,413,312,53959,127006,0.933333333,0.805128205
0.781052768,0.618009479,0.653306613,0.635168047,0.710145661,0.640280561,0.412892207,403,346,55393,133291,0.934782609,0.899821109
0.785526002,0.583966245,0.696177062,0.63515374,0.711431917,0.675050302,0.412892207,493,302,57997,135854,0.761904762,0.652562112
0.792103557,0.61496844,0.683366733,0.647365923,0.720910066,0.661322645,0.412892207,427,316,56141,145566,0.555555556,0.61025641
0.784946663,0.628516004,0.646706587,0.637481554,0.714152005,0.633732535,0.412892207,383,354,44884,119723,0.740740741,0.597644016
0.780939528,0.62690583,0.666348904,0.646025878,0.713398691,0.645376549,0.412892207,416,350,60361,147437,0.794117647,0.699638663
0.786705034,0.633624879,0.659919028,0.64650471,0.721431248,0.643724696,0.412892207,377,336,48952,138335,0.286231884,0.405538543
0.798213304,0.628462273,0.6700611,0.648595367,0.723960179,0.6598778,0.412892207,389,324,46706,132262,0.538961039,0.56021978
0.782298599,0.608286252,0.650553877,0.628710462,0.70641708,0.63041289,0.412892207,416,347,47577,143452,0.647727273,0.698130415
0.779196405,0.617391304,0.648073022,0.632360218,0.709050072,0.631845842,0.412892207,396,347,39644,132953,0.620512821,0.628314394
0.797556796,0.649903288,0.651794374,0.650847458,0.72053031,0.635305529,0.412892207,362,359,38380,124669,0.223214286,0.503409091
0.783360619,0.622885572,0.63041289,0.626626627,0.704935747,0.614300101,0.412892207,379,367,39516,110296,0.43768997,0.634858388
0.777028893,0.622266402,0.626626627,0.624438903,0.700009053,0.614614615,0.412892207,380,373,55622,132729,0.72,0.74559549
0.794960857,0.620596206,0.679525223,0.648725212,0.722146869,0.65479723,0.412892207,420,324,49232,150298,0.776271186,0.638081006
0.791621122,0.642525534,0.661567878,0.651907678,0.717588783,0.645315488,0.412892207,385,354,46478,124259,0.357862903,0.364383785
0.778703586,0.619649805,0.639558233,0.62944664,0.707987776,0.625502008,0.412892207,391,359,37849,121489,0.466004584,0.357258763
0.779698801,0.625779626,0.631689402,0.628720627,0.709628152,0.62224554,0.412892207,360,351,46684,123912,0.632010944,0.755755602
0.781798864,0.630057803,0.654,0.641805692,0.715058802,0.64,0.412892207,384,346,57960,140280,0.666879795,0.806545416
0.794085234,0.640350877,0.663636364,0.651785714,0.725301529,0.649494949,0.412892207,369,333,62334,143506,0.692957746,0.778743507
0.786280199,0.63434903,0.663127413,0.648419066,0.716289852,0.643822394,0.412892207,396,349,64589,154148,0.604166667,0.644333409
0.7908253,0.622714148,0.645708583,0.63400294,0.709807317,0.626746507,0.412892207,392,355,48452,145067,0.806451613,0.766178266
0.766874671,0.613453815,0.603158934,0.608262817,0.68966491,0.591312932,0.412892207,385,402,39595,109440,0.632098765,0.73727422
0.777559652,0.621963071,0.641282565,0.631475086,0.707068644,0.623246493,0.412892207,389,358,44884,135113,0.73630137,0.779279083
0.790085476,0.650793651,0.652087475,0.651439921,0.722777146,0.631212724,0.412892207,352,350,46020,147032,0.618881119,0.669865518
0.772149982,0.607407407,0.659296482,0.632289157,0.706535499,0.640201005,0.412892207,424,339,67285,155037,0.775789474,0.667297251
0.77940275,0.609615385,0.643002028,0.625863771,0.705669433,0.632860041,0.412892207,406,352,48301,126294,0.590253946,0.618763636
0.781978683,0.617590822,0.642147117,0.62962963,0.706716179,0.633200795,0.412892207,400,360,49972,123288,0.733919383,0.668740741
0.780861558,0.618661258,0.611222445,0.614919355,0.696431807,0.602204409,0.412892207,376,388,39828,110162,0.827538005,0.753539377
0.781994051,0.618491921,0.678817734,0.647252231,0.717369357,0.657142857,0.412892207,425,326,53219,136091,0.800361156,0.718693285
0.781878763,0.603305785,0.652432969,0.626908397,0.70266141,0.632571996,0.412892207,432,350,61567,157620,0.713654534,0.692370624
0.784343132,0.634936212,0.644422311,0.639644093,0.712014928,0.631474104,0.412892207,372,357,43012,116033,0.667866787,0.698310761
0.77627301,0.635043562,0.6344294,0.634736333,0.707308112,0.615087041,0.412892207,377,378,45345,138870,0.656603774,0.702907823
0.78266112,0.630297565,0.658812441,0.644239631,0.709630204,0.642789821,0.412892207,410,362,50431,123876,0.696744425,0.676028442
0.779821467,0.586115993,0.669007021,0.624824356,0.701273218,0.650952859,0.412892207,471,330,63797,153207,0.722727273,0.680296328
0.789689406,0.643984221,0.649751244,0.646854879,0.719187985,0.635820896,0.412892207,361,352,54436,147021,0.885654886,0.847941176
0.790524016,0.638888889,0.677799607,0.657769304,0.725175155,0.65913556,0.412892207,390,328,54325,144275,0.788235294,0.43247607
0.78536998,0.615178571,0.663776493,0.638554217,0.706518994,0.645472062,0.412892207,431,349,61358,141153,0.766534392,0.744300823
0.802173413,0.64040404,0.658359294,0.649257552,0.725986407,0.64278297,0.412892207,356,329,44368,118159,0.53046595,0.634234411
0.775778215,0.633141762,0.642371234,0.637723107,0.708649586,0.627793975,0.412892207,383,368,62790,153871,0.49676437,0.588628218
0.778595449,0.598499062,0.645096057,0.620924574,0.699987909,0.625884732,0.412892207,428,351,54144,155861,0.794181034,0.769073221
0.776979431,0.619534884,0.656804734,0.637625658,0.711554622,0.635108481,0.412892207,409,348,50243,126622,0.791627907,0.783270755
0.791037258,0.628099174,0.676557864,0.651428571,0.723342892,0.660731949,0.412892207,405,327,73107,164989,0.86,0.80938605
0.770918912,0.600746269,0.640159046,0.619826756,0.696491719,0.621272366,0.412892207,428,362,59153,150704,0.845887446,0.801113694
0.783052474,0.628623188,0.666026871,0.646784716,0.715366662,0.645873321,0.412892207,410,348,45364,148156,0.916666667,0.878104352
0.769909384,0.632,0.616585366,0.624197531,0.698485756,0.605853659,0.412892207,368,393,53887,138039,0.951149425,0.891836735
0.785186579,0.624886467,0.666021297,0.6447985,0.717031803,0.65053243,0.412892207,413,345,47908,141886,0.964285714,0.902740937
0.772582246,0.62560154,0.634765625,0.630150267,0.703353917,0.614257813,0.412892207,389,374,49288,153125,0.617011278,0.744875993
0.792025935,0.648288973,0.660212972,0.654196643,0.722256449,0.649564376,0.412892207,370,351,64466,141960,0.728828058,0.766551912
0.775071179,0.606382979,0.667317073,0.635392476,0.70493847,0.643902439,0.412892207,444,341,56226,155060,0.62234894,0.646677606
0.788757463,0.59962406,0.654358974,0.625796959,0.706198132,0.633846154,0.412892207,426,337,47421,120281,0.644117647,0.682500407
0.781242672,0.598122867,0.68590998,0.639015497,0.710649918,0.664383562,0.412892207,471,321,73502,170694,0.657907197,0.543802842
0.789653238,0.617777778,0.682041217,0.648320896,0.720303507,0.668302257,0.412892207,430,324,62106,151959,0.667542214,0.615890346
0.775470444,0.609389671,0.656882591,0.632245494,0.709724013,0.640688259,0.412892207,416,339,62493,141202,0.729940919,0.676482797
0.762549969,0.593287266,0.618312757,0.605541562,0.691512165,0.602880658,0.412892207,412,371,53469,130882,0.838383838,0.70108341
0.784017761,0.640206186,0.635619243,0.637904468,0.714593567,0.622313204,0.412892207,349,356,48829,141393,0.738390093,0.685088472
0.788235642,0.641791045,0.649546828,0.645645646,0.719485335,0.633434038,0.412892207,360,348,38938,131794,0.664988311,0.636723752
