auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.779265106,0.637823372,0.642985612,0.640394089,0.711854686,0.450539568,0.397549366,406,397,90792,372332,0.756094117,0.800346473
0.772628988,0.592459605,0.633397313,0.612244898,0.69719475,0.507677543,0.397549366,454,382,286975,565740,0.769575573,0.807048096
0.7708056,0.600163532,0.664855072,0.630855178,0.704371992,0.466485507,0.397549366,489,370,110234,381133,0.7916557,0.801967351
0.783346164,0.597911227,0.663127413,0.628832952,0.710836648,0.537644788,0.397549366,462,349,325554,575415,0.792135722,0.801270055
0.775474217,0.603079555,0.650969529,0.626110124,0.703699813,0.472760849,0.397549366,464,378,97725,443888,0.82152865,0.81928729
0.77919454,0.610108303,0.634741784,0.622181316,0.704302859,0.544600939,0.397549366,432,389,345806,629956,0.877949011,0.83673854
0.764479266,0.581031308,0.599809886,0.590271282,0.679636033,0.3878327,0.397549366,455,421,109502,338235,0.884696621,0.849815104
0.772740776,0.599824869,0.654250239,0.625856556,0.705659426,0.458452722,0.397549366,457,362,145006,385639,0.844539321,0.810411357
0.764872817,0.607394366,0.627843494,0.617449664,0.694644132,0.482256597,0.397549366,446,409,153528,471769,0.881869837,0.844883274
0.755618377,0.588288288,0.608007449,0.597985348,0.684485059,0.50744879,0.397549366,457,421,331767,577872,0.852138269,0.827206794
0.770967927,0.608733624,0.641804788,0.624831914,0.701740201,0.465930018,0.397549366,448,389,131178,419583,0.818569221,0.850276019
0.775476044,0.601462523,0.633911368,0.617260788,0.702526142,0.449903661,0.397549366,436,380,104974,369379,0.845034247,0.828774186
0.766943939,0.587357331,0.641418984,0.6131989,0.698402547,0.420901246,0.397549366,470,374,108167,318392,0.869252874,0.83300238
0.763324472,0.6,0.638762511,0.618774791,0.69595324,0.545040946,0.397549366,468,397,347742,635323,0.881056257,0.845870414
0.780825505,0.614853195,0.658040665,0.635714286,0.712684979,0.529574861,0.397549366,446,370,295666,563951,0.858301631,0.839659648
0.763629621,0.607894737,0.623762376,0.615726344,0.693327833,0.518451845,0.397549366,447,418,327580,610500,0.867174425,0.834695417
0.771188487,0.616561656,0.631336406,0.623861566,0.702635056,0.434101382,0.397549366,426,400,104287,362805,0.847254447,0.851797447
0.783718092,0.607373272,0.633045149,0.619943556,0.704233178,0.479346782,0.397549366,426,382,149802,438987,0.839299265,0.820018048
0.776689897,0.603019538,0.632805219,0.617553433,0.697960765,0.454799627,0.397549366,447,394,96547,406115,0.82138799,0.777158314
0.775455081,0.628695652,0.630340017,0.629516761,0.698303536,0.448997384,0.397549366,427,424,135318,395848,0.78509726,0.723748633
0.77173764,0.61634103,0.63494968,0.625506985,0.702950556,0.446477585,0.397549366,432,399,139843,383863,0.817210844,0.749496249
0.789628575,0.60122164,0.660594439,0.629511192,0.710788612,0.481303931,0.397549366,457,354,101584,410695,0.814789771,0.792065134
0.778979222,0.607356715,0.655586334,0.630550622,0.707893327,0.467220683,0.397549366,459,373,119995,408773,0.797243535,0.778498916
0.786944992,0.623762376,0.647058824,0.635197067,0.711107065,0.487394958,0.397549366,418,378,144128,469225,0.807700156,0.805531533
0.759496244,0.587370242,0.641776938,0.613369467,0.697241145,0.446124764,0.397549366,477,379,124793,382650,0.8170421,0.793668545
0.770700646,0.596539162,0.631021195,0.61329588,0.699062231,0.449903661,0.397549366,443,383,140077,387561,0.804155895,0.755504604
0.772829614,0.598559856,0.622659176,0.61037173,0.6951608,0.426029963,0.397549366,446,403,128649,340724,0.781363449,0.740084748
0.788688811,0.600163532,0.681522748,0.63826087,0.715908137,0.484679666,0.397549366,489,343,122449,396720,0.83201476,0.784190269
0.759540233,0.6,0.607276119,0.603616134,0.684622035,0.45988806,0.397549366,434,421,169583,418211,0.817310199,0.7883883
0.771116427,0.593097184,0.623091603,0.607724523,0.693773486,0.446564885,0.397549366,448,395,119853,374125,0.772789116,0.759277593
0.77816437,0.594050744,0.659223301,0.624942476,0.7109414,0.546601942,0.397549366,464,351,334166,579787,0.802249053,0.780513198
0.761880329,0.598425197,0.623518687,0.610714286,0.689536963,0.525979945,0.397549366,459,413,327643,593848,0.783278919,0.791088847
0.77320287,0.606557377,0.65273909,0.628801431,0.705887173,0.462395543,0.397549366,456,374,112807,408609,0.780335942,0.785220436
0.765304947,0.592139738,0.626038781,0.608617594,0.689447382,0.516158818,0.397549366,467,405,301631,578665,0.756428058,0.723920933
0.785375514,0.637992832,0.647272727,0.642599278,0.716070668,0.528181818,0.397549366,404,388,287613,546818,0.759545685,0.69268548
0.774858911,0.613259669,0.631878558,0.622429907,0.703368056,0.420303605,0.397549366,420,388,123666,341018,0.748698074,0.674539956
0.774321569,0.606060606,0.657276995,0.630630631,0.707136452,0.549295775,0.397549366,455,365,284928,582430,0.767225653,0.716414771
0.759855647,0.604433078,0.637017071,0.620297463,0.695263499,0.459119497,0.397549366,464,404,139564,437063,0.812873311,0.780643561
0.777426443,0.603868797,0.663585952,0.632320564,0.709090774,0.46857671,0.397549366,471,364,109489,384821,0.803276413,0.771851852
0.777120348,0.608265948,0.649712092,0.628306265,0.709767251,0.546065259,0.397549366,436,365,335086,586590,0.749551227,0.737832038
0.769915041,0.590950226,0.635214008,0.612283169,0.698928694,0.538910506,0.397549366,452,375,353770,607906,0.763947558,0.746560656
0.784113762,0.600344531,0.652011225,0.625112108,0.706333756,0.432179607,0.397549366,464,372,94990,333194,0.762544878,0.81113403
0.787575766,0.624094203,0.646948357,0.635315814,0.712322878,0.451643192,0.397549366,415,376,119293,353273,0.755875165,0.741571704
0.78448098,0.616402116,0.645429363,0.630581867,0.706324282,0.523545706,0.397549366,435,384,360699,614245,0.787889518,0.728140503
0.758373739,0.592,0.630681818,0.610729023,0.695188635,0.464015152,0.397549366,459,390,182045,410767,0.801947124,0.702886992
0.771441715,0.599494098,0.653492647,0.625329815,0.703991504,0.525735294,0.397549366,475,377,335912,578335,0.740314136,0.670219805
0.768024636,0.585087719,0.642581888,0.612488522,0.699616237,0.467244701,0.397549366,473,371,129783,398639,0.806055722,0.719211448
