auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.81873944,0.614574188,0.715746421,0.661313179,0.736111436,0.693251534,0.458258451,439,278,65142,165235,0.639705882,0.657142857
0.825868555,0.609819121,0.720244151,0.660447761,0.736439448,0.697863683,0.458258451,453,275,79680,169090,0.866666667,0.928571429
0.815187577,0.61682243,0.714566929,0.662106703,0.732808211,0.693897638,0.458258451,451,290,74852,158600,1,0.917989418
0.825167903,0.646057348,0.713861386,0.67826905,0.744804097,0.688118812,0.458258451,395,289,66216,158692,0.744318182,0.816139932
0.823005793,0.636199095,0.707243461,0.669842782,0.739395688,0.687122736,0.458258451,402,291,65122,152608,0.875,0.867342799
0.829499091,0.631393298,0.735868448,0.679639298,0.748999556,0.705035971,0.458258451,418,257,57410,137434,0.866666667,0.928571429
0.825356429,0.635964912,0.726452906,0.678203929,0.7455449,0.705410822,0.458258451,415,273,62297,152505,0.625,0.769230769
0.815232759,0.603618421,0.738430584,0.664253394,0.73576641,0.709255533,0.458258451,482,260,61608,147675,0.755555556,0.409700722
0.824505433,0.625320787,0.73246493,0.674665436,0.743325255,0.710420842,0.458258451,438,267,61072,153797,0.615942029,0.167179487
0.828704622,0.63872083,0.73752495,0.684576193,0.753252616,0.715568862,0.458258451,418,263,68030,152294,0.833333333,0.762055336
0.821819434,0.63412489,0.687321258,0.659652333,0.724538308,0.664442326,0.458258451,416,328,60157,152063,0.644444444,0.73727422
0.826027805,0.630983464,0.733805668,0.678521292,0.747932767,0.703441296,0.458258451,424,263,54136,155088,0.788359788,0.663651781
0.835648048,0.647325476,0.727087576,0.684892086,0.754138022,0.713849287,0.458258451,389,268,41156,123187,0.775210084,0.656729901
0.821287647,0.633484163,0.704934542,0.667302193,0.738295987,0.682779456,0.458258451,405,293,51111,145132,0.601449275,0.242986034
0.820212017,0.623239437,0.718052738,0.667295005,0.737582966,0.694726166,0.458258451,428,278,66172,159830,0.712662338,0.706939799
0.833773319,0.651871192,0.726479146,0.687155963,0.750422307,0.703200776,0.458258451,400,282,54949,148790,0.778409091,0.692461909
0.826404665,0.625868056,0.726082578,0.672261072,0.742465402,0.694864048,0.458258451,431,272,53597,135866,0.805128205,0.799052299
0.819719605,0.636954503,0.686686687,0.66088632,0.729825387,0.672672673,0.458258451,391,313,64635,146626,0.563616071,0.697579241
0.827277577,0.625856164,0.723046489,0.670949977,0.740331046,0.696340257,0.458258451,437,280,59626,158290,0.55775076,0.658796296
0.828736222,0.666970803,0.698852772,0.682539683,0.742967801,0.680688337,0.458258451,365,315,56352,138010,0.8225,0.814070132
0.821210728,0.617672791,0.708835341,0.660121552,0.733148914,0.687751004,0.458258451,437,290,56375,148977,0.676271186,0.482076061
0.825104119,0.641192917,0.721930745,0.67917078,0.751892911,0.701993704,0.458258451,385,265,61116,142214,0.608870968,0.460424185
0.831145455,0.633975482,0.724,0.676003735,0.743000673,0.701,0.458258451,418,276,68438,153638,0.492742552,0.576335658
0.831166156,0.640653358,0.713131313,0.674952199,0.744633888,0.692929293,0.458258451,396,284,64917,155847,0.586525308,0.675116864
0.829499173,0.658194566,0.724903475,0.689940285,0.750568823,0.702702703,0.458258451,390,285,50724,147384,0.753196931,0.745143942
0.822113341,0.624465355,0.728542914,0.672501152,0.741124698,0.698602794,0.458258451,439,272,56062,152630,0.797183099,0.797200714
0.805759612,0.626570916,0.689042448,0.65632346,0.729132032,0.664363277,0.458258451,416,315,56383,143888,0.8125,0.725047752
0.823578602,0.633156966,0.719438878,0.673545966,0.741533151,0.699398798,0.458258451,416,280,51713,137047,0.862903226,0.719413919
0.82792005,0.643233743,0.727634195,0.682835821,0.748819426,0.7027833,0.458258451,406,274,66792,162535,0.690123457,0.676535088
0.819343856,0.637931034,0.706532663,0.67048164,0.738291384,0.685427136,0.458258451,399,292,71100,161714,0.465325342,0.422294377
