auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.813275841,0.630381803,0.697841727,0.662398634,0.72946729,0.510791367,0.446204335,455,336,72797,357151,0.619047619,0.618666667
0.811339961,0.600492207,0.702495202,0.647501106,0.726106938,0.586372361,0.446204335,487,310,262643,483499,0.714285714,0.547241017
0.804663938,0.622521808,0.711050725,0.66384778,0.731716992,0.519927536,0.446204335,476,319,87802,360803,0.701923077,0.791341991
0.822557681,0.612641815,0.72972973,0.666079295,0.741635338,0.602316602,0.446204335,478,280,321467,575502,0.527950311,0.724795121
0.810544554,0.613207547,0.720221607,0.662420382,0.733125683,0.537396122,0.446204335,492,303,76264,425120,0.765151515,0.834823529
0.809582024,0.623845508,0.697652582,0.658687943,0.734547713,0.61314554,0.446204335,448,322,335489,625019,0.625,0.697471665
0.810934969,0.609022556,0.692965779,0.648288128,0.727386488,0.483840304,0.446204335,468,323,91149,315380,0.814516129,0.668939394
0.81192,0.610705596,0.719197708,0.660526316,0.733989348,0.532951289,0.446204335,480,294,110730,350299,0.840909091,0.828687573
0.811694643,0.624286879,0.69699727,0.658641445,0.728184896,0.545040946,0.446204335,461,333,119187,438119,0.925,0.926065163
0.802855743,0.593824228,0.698324022,0.641848524,0.720058715,0.594972067,0.446204335,513,324,319898,567602,0.7,0.708144796
0.808525747,0.615141956,0.718232044,0.662701784,0.732226438,0.531307551,0.446204335,488,306,99005,392035,0.59057971,0.656521941
0.801754262,0.592622294,0.71194605,0.646827133,0.726818198,0.522157996,0.446204335,508,299,86249,348735,0.633333333,0.550802139
0.819738991,0.622866894,0.699904123,0.659142212,0.736362339,0.486097795,0.446204335,442,313,89582,307077,0.303030303,0.762605042
0.800930034,0.605305466,0.685168335,0.642765685,0.715121588,0.594176524,0.446204335,491,346,326519,579072,0.582317073,0.214229249
0.814783412,0.626029654,0.702402957,0.662020906,0.73436189,0.581330869,0.446204335,454,322,271283,534548,0.625,0.770935961
