auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.84286217,0.397990256,0.793082524,0.53000811,0.764995248,0.754247573,0.407662306,1977,341,250916,438158,0.803245373,0.798206004
0.837099763,0.394512772,0.767955801,0.52125,0.75570936,0.734192756,0.407662306,1920,378,243573,409383,0.729026256,0.736121232
0.839860193,0.414281317,0.777585211,0.540562249,0.759674253,0.745233969,0.407662306,1903,385,241873,411778,0.818448993,0.792936373
0.838898924,0.3925,0.769607843,0.51986755,0.754890163,0.745710784,0.407662306,1944,376,233345,388894,0.84696859,0.789899621
0.844242005,0.399207075,0.789029536,0.53017416,0.762343788,0.747438216,0.407662306,1970,350,257172,437490,0.846106594,0.791499387
0.841338591,0.395239587,0.779012346,0.524413048,0.761044442,0.741358025,0.407662306,1931,358,243514,412780,0.878620781,0.801206645
0.841716159,0.382772217,0.783850932,0.51436723,0.756371443,0.744099379,0.407662306,2035,348,248582,423986,0.895974607,0.824368959
0.84106427,0.397748593,0.775609756,0.525837123,0.758951482,0.748780488,0.407662306,1926,368,256328,410370,0.858429177,0.761051136
0.840261462,0.402773591,0.798565451,0.535470942,0.76670358,0.75971309,0.407662306,1981,337,232858,420324,0.869359438,0.795741534
0.836911123,0.399876581,0.78119349,0.528979592,0.75972992,0.741410488,0.407662306,1945,363,238888,420179,0.870828375,0.814176836
0.841505012,0.396625767,0.774251497,0.524543611,0.756608039,0.741916168,0.407662306,1967,377,261767,420174,0.85796441,0.815949676
0.840172901,0.387804878,0.790062112,0.520245399,0.760429969,0.751552795,0.407662306,2008,338,236969,398815,0.894559966,0.778510572
0.843703883,0.392759355,0.789602446,0.524583503,0.760539997,0.749235474,0.407662306,1996,344,257855,430393,0.898500103,0.832441141
0.842542088,0.403757314,0.783154122,0.532818533,0.760944418,0.745519713,0.407662306,1936,363,258916,436150,0.872327411,0.797297412
0.841380803,0.395852677,0.782262997,0.52568845,0.761533941,0.750458716,0.407662306,1952,356,241605,400038,0.870691315,0.8289162
0.836355989,0.390605686,0.773561812,0.519096509,0.756828939,0.742962056,0.407662306,1972,370,255536,414852,0.876636396,0.831347443
0.837364965,0.400799754,0.778840406,0.529244517,0.758070732,0.74656306,0.407662306,1948,370,240713,404063,0.878473963,0.840467495
0.837586393,0.399005594,0.772563177,0.526229508,0.756062337,0.740673887,0.407662306,1934,378,234966,396481,0.864263421,0.81488593
0.839702651,0.390772991,0.784181484,0.521615008,0.759019044,0.74248927,0.407662306,1994,352,237656,409612,0.823329391,0.766323204
0.843383043,0.405721317,0.785119048,0.534982762,0.762750253,0.748214286,0.407662306,1932,361,240645,407083,0.771948413,0.727009032
0.843681947,0.396541262,0.789251208,0.527867528,0.762231554,0.7602657,0.407662306,1989,349,272087,442542,0.83567485,0.734273304
0.841970524,0.392029657,0.780923077,0.522007404,0.759239805,0.748923077,0.407662306,1968,356,244671,413496,0.833387594,0.767611198
0.843275726,0.395661473,0.778713169,0.52471637,0.756574707,0.748045701,0.407662306,1978,368,252090,429300,0.820905628,0.763438131
0.829938016,0.380451593,0.755528256,0.50606871,0.742940405,0.723587224,0.407662306,2003,398,258966,428908,0.821876727,0.743214214
0.838751223,0.388227927,0.763076923,0.514629591,0.751495804,0.728615385,0.407662306,1954,385,236395,403491,0.820192159,0.711341109
0.839833336,0.398749256,0.792307692,0.530507132,0.762410346,0.75739645,0.407662306,2019,351,267770,437565,0.817545054,0.705969971
0.842765531,0.402153846,0.77797619,0.530223124,0.75849894,0.745833333,0.407662306,1943,373,237157,394056,0.805754898,0.736899442
0.833750726,0.394753477,0.756053269,0.518687708,0.748950141,0.722760291,0.407662306,1915,403,239217,403037,0.844682231,0.77173873
0.836922715,0.387379227,0.778519417,0.51733871,0.753687124,0.741504854,0.407662306,2029,365,237065,405053,0.867085954,0.801501812
0.837210711,0.395224631,0.762886598,0.520695364,0.751749837,0.725288053,0.407662306,1925,391,229457,406275,0.82879409,0.774053797
0.839226837,0.404287902,0.774647887,0.531294023,0.756216379,0.744131455,0.407662306,1945,384,238148,398523,0.84025673,0.796942679
0.833912429,0.386888273,0.775925926,0.516327788,0.754585588,0.733950617,0.407662306,1992,363,233994,404666,0.807343004,0.740152834
0.834890273,0.393293638,0.756479807,0.517525773,0.748032732,0.72212176,0.407662306,1936,404,244416,417457,0.803663395,0.745935636
