auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.828500242,0.390868303,0.768552154,0.518194542,0.745545837,0.537104307,0.407406835,2308,446,702213,1499150,0.806277338,0.791483003
0.828626697,0.398720682,0.767573114,0.524820207,0.746315998,0.5141098,0.407406835,2256,453,555675,1265105,0.746019321,0.757514265
0.827877873,0.399514432,0.757157464,0.523044323,0.743179905,0.510736196,0.407406835,2226,475,701515,1388924,0.832225731,0.81055023
0.827257021,0.398597627,0.757560226,0.522353773,0.742877444,0.509482317,0.407406835,2230,473,649341,1412826,0.833032741,0.768341294
0.825070772,0.389784212,0.7538299,0.513863882,0.741950544,0.519809826,0.407406835,2234,466,702204,1373542,0.84584662,0.79533993
0.831788566,0.398371849,0.785603314,0.52866353,0.753603744,0.566545831,0.407406835,2291,414,842967,1562311,0.87798072,0.822543097
0.832950412,0.39705108,0.779731127,0.526168876,0.751070498,0.54188211,0.407406835,2290,426,691829,1433795,0.876024066,0.818064505
0.833037443,0.394293478,0.772219266,0.522036337,0.751372954,0.547631719,0.407406835,2229,428,772792,1491902,0.83938989,0.759560445
0.828010925,0.403718459,0.767676768,0.529155788,0.747715889,0.512121212,0.407406835,2245,460,596664,1325567,0.818913241,0.761778869
0.831436406,0.401659085,0.765816327,0.526944006,0.746181854,0.522959184,0.407406835,2236,459,661442,1435625,0.861139283,0.805161785
0.827934947,0.390496416,0.769754055,0.51814019,0.747631653,0.538461538,0.407406835,2296,440,779034,1457287,0.853735091,0.809678937
0.827189118,0.396372366,0.771547248,0.523700441,0.748013371,0.546209761,0.407406835,2263,440,787723,1494471,0.889079148,0.812671068
0.826317398,0.402124834,0.770091556,0.528354563,0.747007101,0.501525941,0.407406835,2251,452,611237,1321579,0.879980843,0.785799244
0.82599775,0.398956617,0.753240021,0.521629869,0.743207684,0.522032141,0.407406835,2189,476,749504,1486242,0.853823192,0.794944926
0.826876721,0.402607987,0.763917526,0.527308308,0.74900736,0.509793814,0.407406835,2199,458,624922,1326088,0.850540032,0.827616517
0.822695253,0.395576708,0.728350515,0.512699565,0.735186068,0.498453608,0.407406835,2159,527,702107,1373308,0.880767786,0.828886152
0.820307999,0.396609227,0.743229167,0.517216383,0.739484899,0.5015625,0.407406835,2171,493,647113,1301461,0.861218527,0.807121088
0.828961114,0.393079211,0.769719428,0.520400859,0.748183764,0.512440445,0.407406835,2245,435,587953,1313461,0.830908657,0.804202037
0.823084106,0.382650346,0.761249338,0.509296972,0.740654364,0.532556908,0.407406835,2320,451,768008,1482579,0.833153542,0.752524717
0.831715026,0.400544218,0.763881681,0.525526598,0.748644918,0.515827711,0.407406835,2203,455,615752,1367537,0.789353384,0.719290068
0.835422815,0.402305012,0.772516727,0.529080014,0.751771833,0.544004117,0.407406835,2230,442,703648,1424767,0.838257512,0.738146742
0.825754617,0.396668549,0.742600423,0.517114464,0.742223044,0.499471459,0.407406835,2137,487,623603,1318486,0.828292763,0.762467461
0.826241995,0.392963464,0.757038582,0.51737039,0.74264042,0.516162669,0.407406835,2243,466,635857,1356500,0.795396419,0.769512217
0.828701375,0.400325468,0.764766839,0.525547445,0.747284265,0.541968912,0.407406835,2211,454,755275,1452572,0.768269732,0.727655142
0.825848355,0.388067871,0.757478632,0.513210279,0.744478491,0.552350427,0.407406835,2236,454,847617,1520658,0.802061515,0.701218778
0.823453046,0.387899424,0.763008758,0.514325404,0.741855156,0.517259145,0.407406835,2337,460,647100,1359238,0.816791176,0.723677416
0.826435698,0.40199889,0.750648004,0.523594287,0.74505769,0.524105754,0.407406835,2154,481,719083,1387833,0.806734736,0.738547068
0.834338306,0.40544915,0.776744186,0.532789791,0.753146426,0.521447028,0.407406835,2204,432,554242,1324586,0.84431971,0.775789848
0.827821256,0.399346227,0.762747138,0.524226712,0.748325845,0.527055151,0.407406835,2205,456,681118,1415510,0.855148257,0.770552013
0.823282861,0.393700787,0.755208333,0.517579868,0.742074559,0.503645833,0.407406835,2233,470,642701,1361017,0.816839523,0.76509445
0.833081428,0.404449209,0.76911315,0.530124715,0.749526137,0.514271152,0.407406835,2222,453,646084,1335243,0.796448864,0.766174752
0.821529638,0.390851821,0.7538299,0.514790765,0.742382376,0.519809826,0.407406835,2224,466,723512,1409731,0.800027871,0.754278082
0.825914991,0.396398818,0.763457557,0.521846807,0.744731369,0.524327122,0.407406835,2246,457,726710,1428493,0.776220993,0.739744488
0.83267628,0.4007431,0.770408163,0.527234637,0.747859537,0.523469388,0.407406835,2258,450,629607,1405908,0.725128394,0.667881667
0.823091015,0.385288488,0.749866951,0.509031792,0.740179467,0.533794572,0.407406835,2248,470,679458,1378785,0.786023295,0.637251779
0.824062779,0.385584137,0.752615063,0.509922041,0.739939802,0.528242678,0.407406835,2293,473,667912,1397461,0.780111395,0.656481867
0.825958933,0.398170568,0.76446281,0.523615779,0.747012932,0.530475207,0.407406835,2237,456,662991,1395215,0.791402009,0.691225189
0.824929065,0.390447098,0.753079807,0.514264813,0.74388745,0.512051419,0.407406835,2195,461,602052,1287427,0.818960496,0.710829263
