auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.81796394,0.407536636,0.708737864,0.517501108,0.741076466,0.686893204,0.381964158,1698,480,213806,378725,0.754557045,0.80156967
0.81069562,0.4036009,0.660527931,0.50104773,0.721324512,0.647022713,0.381964158,1590,553,203536,341716,0.775437301,0.797965605
0.812989399,0.426102941,0.66955517,0.520781847,0.726602811,0.656268053,0.381964158,1561,572,210910,353161,0.824199057,0.80593948
0.812149901,0.396280401,0.678921569,0.500451671,0.725199935,0.669117647,0.381964158,1688,524,202095,333748,0.813799057,0.810095987
0.824659225,0.412720848,0.704038577,0.520383159,0.739976107,0.681133213,0.381964158,1662,491,220961,382422,0.82630533,0.81428679
0.818072201,0.407163743,0.687654321,0.511478421,0.734500345,0.67037037,0.381964158,1622,506,212893,359956,0.886327398,0.83626932
0.814657989,0.392907303,0.695031056,0.502018843,0.73178217,0.670186335,0.381964158,1729,491,219491,372110,0.88879671,0.85324641
0.817041844,0.407434402,0.681707317,0.510036496,0.73047738,0.672560976,0.381964158,1626,522,210736,341136,0.857861683,0.797819464
0.811543297,0.402670415,0.684997011,0.507191857,0.727925684,0.666467424,0.381964158,1700,527,208010,367397,0.875503425,0.820134628
0.813699921,0.405336257,0.668474985,0.504664391,0.722805662,0.648583484,0.381964158,1627,550,197791,351896,0.85015781,0.846011079
0.816731159,0.405386251,0.68502994,0.509349955,0.729876963,0.668263473,0.381964158,1678,526,239726,376377,0.804782444,0.853504413
0.817024853,0.39800995,0.695652174,0.506329114,0.733701409,0.680124224,0.381964158,1694,490,193485,333413,0.881607505,0.843990861
0.821786952,0.407861522,0.691743119,0.513157895,0.734538397,0.675229358,0.381964158,1642,504,219236,369621,0.90397918,0.841569096
0.816065009,0.410600707,0.694145759,0.51598579,0.733669781,0.67562724,0.381964158,1668,512,223547,386718,0.877026163,0.829837204
0.814666824,0.399132321,0.675229358,0.501704158,0.725624131,0.658715596,0.381964158,1662,531,204259,343748,0.866827941,0.804707741
0.806947965,0.39729037,0.664014688,0.497136312,0.721224813,0.652386781,0.381964158,1646,549,230067,362848,0.880292487,0.834673128
0.812967084,0.408571429,0.683801554,0.511513526,0.728983008,0.668858338,0.381964158,1656,529,221374,365143,0.843163464,0.860783707
0.815731952,0.409288824,0.678700361,0.510638298,0.728085955,0.663056558,0.381964158,1628,534,206667,352093,0.865293383,0.837256394
0.810778647,0.396380412,0.684855917,0.502135311,0.727901522,0.66400981,0.381964158,1701,514,206050,346817,0.843823921,0.803834111
0.820492787,0.414079422,0.682738095,0.515505618,0.73089081,0.669047619,0.381964158,1623,533,205226,342558,0.799587154,0.753260381
0.820665712,0.408946812,0.701086957,0.516573971,0.73825549,0.687198068,0.381964158,1678,495,240370,392797,0.802782707,0.760654648
0.819306914,0.402648533,0.692307692,0.509164969,0.733876092,0.675692308,0.381964158,1669,500,204044,353309,0.816082743,0.798007307
0.819259658,0.409553916,0.701142514,0.517073171,0.737073572,0.685508118,0.381964158,1681,497,213920,365082,0.829813796,0.783053442
0.813095122,0.39363191,0.691031941,0.50156041,0.7279697,0.675061425,0.381964158,1733,503,227463,384124,0.832697623,0.799091421
0.810822395,0.39992852,0.688615385,0.505991409,0.731318294,0.670769231,0.381964158,1679,506,211671,360859,0.818562928,0.785863388
0.818032115,0.408839779,0.700591716,0.516354121,0.736449461,0.683431953,0.381964158,1712,506,230318,384852,0.809226582,0.752462396
0.815310922,0.407092199,0.683333333,0.510222222,0.728119632,0.666666667,0.381964158,1672,532,199452,336425,0.813127351,0.765273229
0.8088516,0.397756062,0.665254237,0.497848245,0.718376744,0.650121065,0.381964158,1664,553,220378,357619,0.839665827,0.805257738
0.80582593,0.393875396,0.679004854,0.498552016,0.723332015,0.655946602,0.381964158,1722,529,213139,363147,0.847441115,0.812342327
0.808169206,0.403881362,0.668890237,0.503652968,0.722668394,0.650090964,0.381964158,1628,546,186821,341700,0.819296181,0.811355854
0.81751808,0.413444163,0.671361502,0.51174234,0.724368778,0.659624413,0.381964158,1623,560,205911,342737,0.842681405,0.807096635
0.815802807,0.392635926,0.704320988,0.504197967,0.73363235,0.67962963,0.381964158,1765,479,213103,368332,0.8032825,0.793014428
0.815254771,0.40872136,0.666666667,0.506758305,0.723353066,0.649186257,0.381964158,1600,553,196236,347939,0.795565705,0.802064004
0.811877984,0.400208623,0.686754177,0.505711775,0.726677469,0.664677804,0.381964158,1725,525,211247,363493,0.771397569,0.717256644
0.815470405,0.401693667,0.670559312,0.502417684,0.725168609,0.658266749,0.381964158,1625,536,219082,358716,0.78251607,0.777621204
0.812543264,0.391106443,0.68823167,0.498772047,0.728712774,0.669131238,0.381964158,1739,506,225195,358882,0.771286261,0.671822419
0.810318532,0.404224848,0.678893566,0.506732496,0.727534774,0.659651233,0.381964158,1664,534,193674,350821,0.793389636,0.749329136
0.817167142,0.393407381,0.688833124,0.500798176,0.73037259,0.672521957,0.381964158,1693,496,216324,357595,0.840897213,0.804315053
0.813183329,0.40049054,0.688554217,0.506424457,0.730241629,0.669879518,0.381964158,1711,517,219935,378399,0.84272925,0.807078106
0.801719489,0.392178771,0.642073171,0.486936416,0.708824748,0.628658537,0.381964158,1632,587,207276,339140,0.789362874,0.768603543
0.814351514,0.419175028,0.668246445,0.515186116,0.72574119,0.653436019,0.381964158,1563,560,198730,342012,0.810667155,0.786559154
0.807491977,0.404991087,0.667450059,0.504104726,0.720043943,0.653349001,0.381964158,1669,566,221114,353902,0.876152833,0.864385822
0.825354222,0.41663613,0.692448234,0.520247083,0.738369604,0.680876979,0.381964158,1592,505,198510,341706,0.792762116,0.746428571
0.814404987,0.405326523,0.675379939,0.506611947,0.726804128,0.662613982,0.381964158,1630,534,218705,362313,0.820994908,0.756762353
0.818992596,0.408827786,0.68401937,0.511775362,0.731582258,0.668886199,0.381964158,1634,522,205144,368152,0.832415761,0.728963571
0.812380785,0.404325513,0.658507463,0.50102203,0.71806774,0.642985075,0.381964158,1625,572,212220,362730,0.768380062,0.667619919
0.82098658,0.408460718,0.692168675,0.513749162,0.734143856,0.676506024,0.381964158,1664,511,220255,362438,0.816475295,0.743719336
0.819529143,0.412704045,0.699759326,0.519196429,0.738167657,0.680505415,0.381964158,1655,499,211795,368101,0.801614669,0.748513732
