auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.798552117,0.396509492,0.672029061,0.498748315,0.716371942,0.473793461,0.375030489,1971,632,725734,1501757,0.756094117,0.800346473
0.799261847,0.410264584,0.660338635,0.506095163,0.715385557,0.448435095,0.375030489,1850,662,600731,1288470,0.769575573,0.807048096
0.796795576,0.404602109,0.647239264,0.497935103,0.707594568,0.443762781,0.375030489,1863,690,708175,1370969,0.7916557,0.801967351
0.794076823,0.401845371,0.647360328,0.495877503,0.706523925,0.442849821,0.375030489,1880,688,658022,1399310,0.792135722,0.801270055
0.794584785,0.395267029,0.652931854,0.492430279,0.709824073,0.455890122,0.375030489,1891,657,723712,1374333,0.82152865,0.81928729
0.803342305,0.402153846,0.676851372,0.504535804,0.71957603,0.493008804,0.375030489,1943,624,860631,1560936,0.877949011,0.83673854
0.803761417,0.40269508,0.66442606,0.501463415,0.715190984,0.465873837,0.375030489,1906,649,734555,1458375,0.884696621,0.849815104
0.809846285,0.410214704,0.67110165,0.509186352,0.724096592,0.489622139,0.375030489,1813,618,813079,1517104,0.844539321,0.810411357
0.800370597,0.402494676,0.668181818,0.502373268,0.713684163,0.451010101,0.375030489,1964,657,634044,1339885,0.881869837,0.844883274
0.809362232,0.413602941,0.68877551,0.516845329,0.72653164,0.482653061,0.375030489,1914,610,698395,1457354,0.852138269,0.827206794
0.800883314,0.397905759,0.676085819,0.500969368,0.720024031,0.482469911,0.375030489,1955,619,806456,1467053,0.818569221,0.850276019
0.80279551,0.407865525,0.667705088,0.506398897,0.718558396,0.478193146,0.375030489,1867,640,809988,1499267,0.845034247,0.828774186
0.796977041,0.405565979,0.659715158,0.50232378,0.711538753,0.432858596,0.375030489,1901,669,614562,1302861,0.869252874,0.83300238
0.79173772,0.397975324,0.652151374,0.494302554,0.707779661,0.458268533,0.375030489,1903,671,779080,1491131,0.881056257,0.845870414
0.801900287,0.410657307,0.663402062,0.507292077,0.717914103,0.449484536,0.375030489,1847,653,631242,1314248,0.858301631,0.839659648
0.797802797,0.406401552,0.647938144,0.499503278,0.711214986,0.458762887,0.375030489,1836,683,727998,1382302,0.867174425,0.834695417
0.794251911,0.402462735,0.646875,0.496204555,0.708300995,0.44375,0.375030489,1844,678,671819,1306795,0.847254447,0.851797447
0.802759314,0.406889828,0.662784542,0.504228756,0.718213149,0.451032292,0.375030489,1825,637,583934,1292667,0.839299265,0.820018048
0.796450568,0.396021138,0.674430916,0.49902076,0.718766393,0.483853891,0.375030489,1943,615,806482,1503843,0.82138799,0.777158314
0.801748437,0.406660263,0.659055527,0.502970297,0.715149773,0.45407369,0.375030489,1853,657,626091,1355178,0.78509726,0.723748633
0.805468119,0.407153966,0.673700463,0.50756107,0.720514979,0.474523932,0.375030489,1906,634,745099,1447281,0.817210844,0.749496249
0.796805971,0.401076716,0.630021142,0.490131579,0.703241844,0.429175476,0.375030489,1780,700,620016,1292433,0.814789771,0.792065134
0.79849779,0.396475771,0.656934307,0.494505495,0.710231554,0.453076121,0.375030489,1918,658,644236,1346614,0.797243535,0.778498916
