auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.849933158,0.423037717,0.755461165,0.542365498,0.765114224,0.726334951,0.431905308,1698,403,229454,410451,0.781223197,0.813556524
0.851031496,0.428178694,0.764886433,0.549019608,0.771334595,0.737875998,0.431905308,1664,383,223875,391190,0.793142386,0.795599862
0.852675703,0.440694955,0.761987291,0.558425064,0.767573897,0.73830156,0.431905308,1674,412,208154,372447,0.788054968,0.816852489
0.851876031,0.421381465,0.743872549,0.538001329,0.760469416,0.726715686,0.431905308,1667,418,210663,355554,0.818314629,0.790600632
0.856758124,0.426240426,0.771549126,0.549120549,0.770569341,0.73960217,0.431905308,1723,379,230154,410950,0.832610659,0.783381111
0.850882385,0.417631042,0.757407407,0.538394032,0.765023015,0.72962963,0.431905308,1711,393,228744,390730,0.880198645,0.797465086
0.851496809,0.414493735,0.760248447,0.536489152,0.765345423,0.731055901,0.431905308,1729,386,219502,389762,0.891501948,0.807462687
0.854025865,0.43281471,0.746341463,0.54789615,0.765756265,0.72804878,0.431905308,1604,416,236788,388035,0.853624395,0.780349162
0.851537648,0.423834537,0.771667663,0.54714982,0.768938102,0.744769874,0.431905308,1755,382,213822,392602,0.841946674,0.79410242
0.849125931,0.42901662,0.746835443,0.544974709,0.762551502,0.717299578,0.431905308,1649,420,214431,393553,0.870362705,0.81454146
0.85072472,0.434843695,0.741317365,0.548151428,0.763721485,0.722155689,0.431905308,1609,432,224854,374205,0.838690864,0.800643932
0.854123428,0.419210978,0.759006211,0.540110497,0.766449255,0.736024845,0.431905308,1693,388,194103,347414,0.902348946,0.845655631
0.856162942,0.422772618,0.751681957,0.54117129,0.76332946,0.724770642,0.431905308,1678,406,232840,395743,0.907609068,0.827432467
0.852510625,0.431081081,0.762246117,0.550712128,0.767748326,0.731780167,0.431905308,1684,398,236814,419982,0.875232852,0.796215378
0.849929879,0.417055296,0.765749235,0.540004313,0.766933593,0.735779817,0.431905308,1750,383,223905,386122,0.857825438,0.803323517
0.851521111,0.422741542,0.741738066,0.53854699,0.761690439,0.724602203,0.431905308,1655,422,227476,374940,0.891201793,0.850079893
0.853117741,0.430371127,0.75552899,0.548373102,0.765134467,0.734010759,0.431905308,1673,409,206547,367798,0.859175717,0.851386279
0.848991175,0.428275147,0.745487365,0.544017563,0.761359019,0.722623345,0.431905308,1654,423,211177,370327,0.870380774,0.828445989
0.853020711,0.42961928,0.754138565,0.547396529,0.768287191,0.728387492,0.431905308,1633,401,190125,345927,0.855346319,0.764818506
0.852021176,0.433878664,0.757738095,0.551798873,0.767479354,0.733928571,0.431905308,1661,407,214180,371521,0.808720909,0.672291016
0.857860512,0.425049967,0.770531401,0.547874624,0.770779059,0.748792271,0.431905308,1726,380,227418,394941,0.796325052,0.707339489
0.857291481,0.412703583,0.779692308,0.53972311,0.769839784,0.750769231,0.431905308,1803,358,229877,399316,0.818111242,0.788842045
0.853701704,0.43084207,0.766085388,0.551515152,0.770320034,0.74383644,0.431905308,1683,389,216425,385355,0.830236987,0.78670951
0.849230352,0.426563598,0.745700246,0.542691104,0.762886144,0.722972973,0.431905308,1632,414,221230,390606,0.81379906,0.757137827
0.84896073,0.418942274,0.745846154,0.536520584,0.760971362,0.721846154,0.431905308,1681,413,214187,379331,0.802740714,0.696780415
0.853977612,0.435270806,0.779881657,0.558711318,0.777139173,0.755029586,0.431905308,1710,372,214763,383380,0.810613971,0.708838243
0.852618521,0.434445568,0.767261905,0.554766516,0.771139588,0.741071429,0.431905308,1678,391,208321,369127,0.808091238,0.732828634
0.845513484,0.428216063,0.729418886,0.539632781,0.755808875,0.707021792,0.431905308,1609,447,226713,382351,0.838311589,0.751494577
0.849790997,0.423191278,0.777305825,0.54802139,0.772314435,0.748179612,0.431905308,1746,367,208104,379332,0.848292021,0.791831236
0.851956527,0.419465387,0.742268041,0.536019269,0.75693049,0.711946634,0.431905308,1694,425,199784,377244,0.806104639,0.782610663
0.852022515,0.436994609,0.761150235,0.555222603,0.768093916,0.738262911,0.431905308,1671,407,207509,364940,0.805580317,0.769557384
0.846284667,0.415495372,0.748148148,0.534273749,0.760069421,0.717901235,0.431905308,1705,408,215161,379224,0.813743723,0.758733001
0.854948171,0.436056532,0.762507535,0.554824561,0.77121348,0.737793852,0.431905308,1636,394,216889,383867,0.794367246,0.751298453
0.84752017,0.42506812,0.744630072,0.541196878,0.759113235,0.720763723,0.431905308,1688,428,196428,359621,0.805110677,0.737484737
0.851561834,0.427272727,0.751075599,0.544684645,0.766626316,0.729563614,0.431905308,1638,405,202982,365422,0.825004591,0.720349209
