auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.837105527,0.424332344,0.742086144,0.539928261,0.754616383,0.554748313,0.423320266,1940,497,473916,1218277,0.797174184,0.775784929
0.841996541,0.432512608,0.748075936,0.548120301,0.757656541,0.53668548,0.423320266,1913,491,424287,1083497,0.810683606,0.79220164
0.838218114,0.429492817,0.748977505,0.545928824,0.756199197,0.544478528,0.423320266,1946,491,476782,1146119,0.746523665,0.776378884
0.836537947,0.422039859,0.738083034,0.537012866,0.748908554,0.534085085,0.423320266,1972,511,507718,1257273,0.809096044,0.812696574
0.838716095,0.426904177,0.734284205,0.539910662,0.754217591,0.548864237,0.423320266,1866,503,519064,1162187,0.833429961,0.807729864
0.842993972,0.430123312,0.758674262,0.548997564,0.761949799,0.585189021,0.423320266,1941,466,532037,1236828,0.856576611,0.794615536
0.84336888,0.422785548,0.750258532,0.540812523,0.7554998,0.554808687,0.423320266,1981,483,573043,1304838,0.874519969,0.81267595
0.843677293,0.416814683,0.749334753,0.53566673,0.755807236,0.57104843,0.423320266,1970,471,415402,1096104,0.815109344,0.739834313
0.841738402,0.436079126,0.745959596,0.550400596,0.757304089,0.536868687,0.423320266,1910,503,447232,1160146,0.831136895,0.797073124
0.8445703,0.430678466,0.744897959,0.545794393,0.7545881,0.553571429,0.423320266,1930,500,382039,1077441,0.860832911,0.813646655
0.844973363,0.421938479,0.760858189,0.542841142,0.761630992,0.569335426,0.423320266,1992,457,542992,1211763,0.829856584,0.810944868
0.84182254,0.429673591,0.751817238,0.546827795,0.759175584,0.567497404,0.423320266,1922,478,530475,1223694,0.841908567,0.768953146
0.838029751,0.430847865,0.72889115,0.541572184,0.748390763,0.507629705,0.423320266,1893,533,471598,1168123,0.87496408,0.817726495
0.83660866,0.42601432,0.740279938,0.540806665,0.752830844,0.55313634,0.423320266,1924,501,458865,1176882,0.863823192,0.802157927
0.839596426,0.430044183,0.75257732,0.54732896,0.759395831,0.545360825,0.423320266,1935,480,459759,1142730,0.873748306,0.773803822
0.835502416,0.423749247,0.724742268,0.534804108,0.747800527,0.542783505,0.423320266,1912,534,554331,1208612,0.883619659,0.809085782
0.829143592,0.414678345,0.715104167,0.524947429,0.739205338,0.513541667,0.423320266,1938,547,510901,1150846,0.858167913,0.815895954
0.837066503,0.419053361,0.735839068,0.533999232,0.750711766,0.523557438,0.423320266,1927,499,444586,1153238,0.82382976,0.790255208
0.837888627,0.4111986,0.746426681,0.530274539,0.751627304,0.561672843,0.423320266,2019,479,448668,1138880,0.812880259,0.76128933
0.841605303,0.434421182,0.732226258,0.54531401,0.754743107,0.532952776,0.423320266,1837,516,460624,1195983,0.795170087,0.662856482
0.845516329,0.433628319,0.756562017,0.551284455,0.762704795,0.562017499,0.423320266,1920,473,476533,1186659,0.812762296,0.683037587
0.835622178,0.421020471,0.72832981,0.533591481,0.749400112,0.523255814,0.423320266,1895,514,427894,1081572,0.815537661,0.749767006
0.83963882,0.433570765,0.729927007,0.544006217,0.753882907,0.533368092,0.423320266,1829,518,418211,1107521,0.772149601,0.785019204
0.839648402,0.426379463,0.748704663,0.543335213,0.755710645,0.568911917,0.423320266,1944,485,519692,1199709,0.775791896,0.758098551
0.841610428,0.42633036,0.740384615,0.541089206,0.758089568,0.581196581,0.423320266,1865,486,506628,1163539,0.825325518,0.749465879
0.835737316,0.42040325,0.719732097,0.530775076,0.744588877,0.52189593,0.423320266,1926,544,467983,1166648,0.801521491,0.698475174
0.839131282,0.430193311,0.726801452,0.540478026,0.75072029,0.542768274,0.423320266,1857,527,469941,1124935,0.786793523,0.693463563
0.843988904,0.429669031,0.751421189,0.546719308,0.757584716,0.538501292,0.423320266,1930,481,414279,1158488,0.845101473,0.777799241
