auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.748457642,0.232744783,0.69047619,0.348139256,0.688771178,0.480952381,0.256617768,956,130,411223,625188
0.780188307,0.252843395,0.71182266,0.373143964,0.714608724,0.432601881,0.294193064,854,117,291769,507109
0.764133735,0.230034722,0.684754522,0.344379467,0.69952176,0.469681398,0.266593974,887,122,338340,523748
0.757960083,0.261353899,0.679287305,0.377475248,0.696103285,0.462686567,0.2791304,862,144,368937,607433
0.764314448,0.227004219,0.677581864,0.340075853,0.69007103,0.453061224,0.255190513,916,128,376581,585116
0.765059226,0.233937397,0.702970297,0.35105068,0.70080131,0.484942887,0.269772046,930,120,378944,612333
0.760862895,0.240131579,0.693586698,0.356750153,0.695315784,0.466937945,0.26731482,924,129,390670,599881
0.727944298,0.23268206,0.628297362,0.339598185,0.668569441,0.453187251,0.236648093,864,155,360580,579829
0.75790667,0.249785408,0.676744186,0.364890282,0.694207383,0.45526839,0.271370816,874,139,335522,559790
0.742859508,0.239872915,0.684807256,0.355294118,0.686436891,0.500486855,0.257696911,957,139,396937,635651
0.748414591,0.236172081,0.657701711,0.34754522,0.686170697,0.477344573,0.256515962,870,140,337592,588518
0.762319807,0.256066946,0.708333333,0.376152428,0.708045635,0.449438202,0.289037432,889,126,393895,603275
0.754223139,0.265198238,0.667405765,0.379571248,0.695050859,0.460685484,0.280419505,834,150,321271,536623
0.758727044,0.247826087,0.669014085,0.361675127,0.691666368,0.469493278,0.26789021,865,141,329023,513645
0.769601717,0.235099338,0.724489796,0.355,0.714045212,0.443193449,0.283895512,924,108,347108,557724
0.773030631,0.256701868,0.728110599,0.37957958,0.715454556,0.43743428,0.297317844,915,118,314083,543133
0.737810361,0.232219366,0.665847666,0.344345616,0.687357598,0.468524252,0.255378184,896,136,342212,549429
0.768552044,0.233809924,0.709183673,0.351676154,0.706165735,0.469512195,0.275173365,911,114,347184,543063
0.738488835,0.242844753,0.673076923,0.356915233,0.692988285,0.459302326,0.266676934,873,136,293596,490940
0.744052136,0.25323475,0.646226415,0.363877822,0.690551847,0.468688845,0.271140426,808,150,300672,485969
0.761962503,0.235056543,0.696172249,0.351449275,0.693696329,0.43987976,0.262993144,947,127,414444,641240
0.773222215,0.239731769,0.697560976,0.356830942,0.699207305,0.463681592,0.271194619,907,124,389043,602312
0.758993165,0.253311258,0.690744921,0.370684434,0.696308416,0.460268318,0.275087626,902,137,316885,574607
0.763511154,0.260473588,0.669789227,0.375081967,0.699401108,0.452868852,0.283035636,812,141,335318,539497
0.772328773,0.248495271,0.704878049,0.367450731,0.710304317,0.473409802,0.287418578,874,121,309004,523779
0.763065507,0.247795414,0.69382716,0.36517219,0.707312291,0.468405216,0.284108658,853,124,445997,650436
0.754527759,0.245524297,0.662068966,0.358208955,0.688058191,0.455823293,0.263029315,885,147,337012,567011
0.742950489,0.230635335,0.641646489,0.339308579,0.675754909,0.455497382,0.242993671,884,148,310214,514560
0.756711428,0.249103943,0.658767773,0.361508453,0.689066973,0.504761905,0.266180723,838,144,431826,618602
0.771244581,0.232297064,0.706036745,0.349577648,0.709021136,0.465863454,0.277206773,889,112,331110,534873
0.753679258,0.25520362,0.642369021,0.365284974,0.684193395,0.48927477,0.264771153,823,157,361132,548426
0.787369203,0.262040816,0.741339492,0.38721351,0.722326323,0.432150313,0.307546537,904,112,370987,590078
0.77383834,0.23255814,0.740740741,0.353982301,0.707209881,0.480412371,0.276655973,990,105,435214,643835
0.771403154,0.248959201,0.708530806,0.368453481,0.706393326,0.494969819,0.283568839,902,123,346712,562167
0.764788119,0.24214876,0.714634146,0.361728395,0.708475214,0.459152017,0.282112388,917,117,366642,574100
0.772889485,0.256170213,0.708235294,0.37625,0.70974867,0.444208289,0.290892675,874,124,332452,581687
0.771501423,0.239072257,0.680203046,0.35379538,0.698808702,0.46399177,0.27081742,853,126,324617,541816
0.778466213,0.248515691,0.71990172,0.369482976,0.717272953,0.459223301,0.294549975,886,114,302146,513127
0.790151602,0.265993266,0.741784038,0.39157373,0.728047982,0.437562438,0.31542675,872,110,348802,564221
0.772162395,0.230966638,0.697674419,0.347043702,0.700579183,0.471134021,0.267947996,899,117,384213,629099
0.760967472,0.248747913,0.697892272,0.366769231,0.698444245,0.448834853,0.275049876,900,129,299276,549215
0.766083493,0.267281106,0.651685393,0.379084967,0.695126519,0.453608247,0.282940539,795,155,327732,518858
0.776952827,0.244897959,0.709359606,0.364096081,0.707998616,0.487562189,0.28306942,888,118,370572,596211
0.77043191,0.240105541,0.7,0.357563851,0.709403334,0.442328042,0.282000818,864,117,335309,514144
0.771347036,0.25,0.713942308,0.37032419,0.710947172,0.469879518,0.288871053,891,119,325767,556615
0.767788481,0.242741935,0.70657277,0.361344538,0.701523027,0.45661157,0.275220162,939,125,366055,601112
0.763163923,0.23553719,0.695121951,0.351851852,0.695672416,0.471264368,0.265304616,925,125,379887,605700
0.751348872,0.248709122,0.665898618,0.362155388,0.687533061,0.463168517,0.263761381,873,145,339985,574400
0.760114555,0.250209908,0.697892272,0.368355995,0.70343698,0.453914767,0.281143438,893,129,322602,541122
0.76395388,0.25606469,0.67695962,0.371577575,0.700173723,0.468269231,0.281250029,828,136,326964,538196
0.759245913,0.245539507,0.686460808,0.361702128,0.697660664,0.470588235,0.272715664,888,132,332813,542064
0.771363122,0.252710592,0.701388889,0.371551196,0.705041242,0.484848485,0.284121986,896,129,366996,604953
0.762152756,0.251159196,0.714285714,0.371640938,0.696762627,0.463492063,0.274803929,969,130,370147,632281
0.761870512,0.242060086,0.684466019,0.357641091,0.696277123,0.482197355,0.269477016,883,130,276777,456161
0.767872096,0.238636364,0.731343284,0.359853121,0.711219903,0.473684211,0.283353397,938,108,379202,600716
0.771844471,0.239316239,0.707070707,0.357598978,0.707394064,0.465284974,0.279425616,890,116,331324,538268
0.765538689,0.24465355,0.70617284,0.363405337,0.707038915,0.458123108,0.281944942,883,119,326197,528560
0.761626925,0.239892183,0.657635468,0.35154707,0.692408345,0.48195122,0.265520046,846,139,360284,566454
0.755176593,0.250899281,0.654929577,0.362808843,0.690393506,0.48234107,0.268930198,833,147,385354,601792
0.783762094,0.254237288,0.722477064,0.376119403,0.711050709,0.475698035,0.291376086,924,121,360214,608508
0.770404614,0.232599119,0.6875,0.347597103,0.699675249,0.446014127,0.268054926,871,120,319334,505140
0.767042141,0.260182876,0.722863741,0.382640587,0.71313185,0.481188119,0.296675172,890,120,318233,535151
0.75788593,0.254295533,0.683602771,0.370695053,0.696766463,0.467889908,0.276241157,868,137,326430,538544
0.76097567,0.241721854,0.693586698,0.358502149,0.697305572,0.474358974,0.270247532,916,129,373012,597667
0.738276166,0.222222222,0.676844784,0.334591195,0.687544174,0.474827246,0.250031035,931,127,367762,576002
0.745956154,0.244067797,0.654545455,0.355555556,0.681941212,0.488229273,0.255716011,892,152,314558,540990
0.759600333,0.251481795,0.695550351,0.369402985,0.702347229,0.449083503,0.280663668,884,130,319190,558406
0.748834998,0.232157506,0.678657074,0.34596577,0.685698311,0.469928644,0.253114833,936,134,410888,632850
0.764640556,0.252650177,0.697560976,0.370946822,0.709712751,0.495943205,0.289157128,846,124,287657,509814
0.770676385,0.250825083,0.715294118,0.371411118,0.710370953,0.477903392,0.288731868,908,121,300100,533952
0.758863465,0.231155779,0.673170732,0.344139651,0.68853629,0.477812178,0.255820502,918,134,363527,543438
0.766602692,0.233388704,0.687041565,0.348419095,0.69336159,0.448692153,0.261814484,923,128,409392,631694
0.759740218,0.236206897,0.671568627,0.349489796,0.691562072,0.464903357,0.261784704,886,134,358854,558852
0.747171899,0.246192893,0.668965517,0.359925788,0.687393092,0.467545639,0.262229763,891,144,354180,549169
0.749931939,0.223468507,0.659033079,0.333762887,0.682748379,0.490797546,0.246184965,900,134,381117,552510
0.753584788,0.236842105,0.671328671,0.350151976,0.686254286,0.478701826,0.256250128,928,141,351950,580724
0.748614534,0.229587712,0.671394799,0.342168675,0.68017506,0.456140351,0.245966444,953,139,453962,642588
0.737234662,0.241587575,0.655737705,0.353089533,0.68102753,0.460764588,0.253386999,879,147,296553,509853
0.75845139,0.265017668,0.67264574,0.380228137,0.697873018,0.470935961,0.283306646,832,146,296097,528825
0.768406119,0.242894057,0.696296296,0.360153257,0.703396765,0.468627451,0.277282517,879,123,385523,590928
0.767136392,0.252136752,0.697399527,0.37037037,0.705769072,0.472164948,0.284656055,875,128,306119,526857
0.762156315,0.248884924,0.682151589,0.364705882,0.703734679,0.445147679,0.28126411,842,130,351454,594853
0.76444014,0.24026512,0.700483092,0.357803825,0.700061268,0.48,0.272363563,917,124,346893,552125
0.757899664,0.259915612,0.6799117,0.376068376,0.695067461,0.495876289,0.277221536,877,145,348878,568478
0.771476197,0.250212044,0.704057279,0.369211514,0.707292979,0.472505092,0.285179356,884,124,355046,591762
0.762208868,0.267515924,0.674311927,0.383061889,0.701843339,0.492146597,0.289065319,805,142,305984,515188
0.754345453,0.260833333,0.698660714,0.379854369,0.703568786,0.493865031,0.286724481,887,135,400656,639809
0.761205304,0.24742268,0.685714286,0.363636364,0.699899848,0.458799593,0.276147784,876,132,375569,581725
0.770379198,0.256076389,0.694117647,0.374128091,0.704667131,0.46680286,0.285577331,857,130,320220,535035
0.769346193,0.241786015,0.706896552,0.360326428,0.706533393,0.478348439,0.279881252,900,119,367205,614283
0.745736639,0.233686067,0.654320988,0.344379467,0.685571443,0.474626866,0.25482677,869,140,359661,547315
0.769724057,0.248900616,0.693627451,0.366343042,0.706102271,0.473251029,0.28340234,854,125,378490,581515
0.766333561,0.243014395,0.6882494,0.359198999,0.698399802,0.446808511,0.272170532,894,130,365460,565112
0.748725377,0.23989899,0.681818182,0.354919054,0.694205652,0.488205128,0.266190605,903,133,406762,609911
0.764402974,0.246453901,0.673123487,0.360804672,0.696977328,0.473895582,0.272971307,850,135,287908,518517
0.749080237,0.231770833,0.644927536,0.340996169,0.677504202,0.461461461,0.245315985,885,147,343607,537363
0.751993671,0.242942686,0.657407407,0.354778264,0.683073147,0.46122449,0.256307281,885,148,343751,569581
0.765859392,0.25,0.672289157,0.364467668,0.699069585,0.435016112,0.277191858,837,136,343474,555553
0.748328957,0.24912892,0.676122931,0.3640993,0.695811687,0.47415507,0.272868937,862,137,336121,543039
0.772167724,0.257408975,0.715294118,0.378580324,0.713067265,0.455823293,0.29503803,877,121,413543,609056
0.765046428,0.246707638,0.678743961,0.361880232,0.698699059,0.454637097,0.274732685,858,133,350618,573853
0.758679617,0.254432624,0.680094787,0.370322581,0.702224141,0.462143559,0.282563429,841,135,299733,521248
0.768366947,0.265164645,0.686098655,0.3825,0.702502355,0.486542443,0.288026532,848,140,363870,565707
0.770892861,0.245266005,0.671604938,0.359313078,0.696533839,0.454730417,0.271953046,837,133,398805,611594
0.764097175,0.238869863,0.701005025,0.356321839,0.70536976,0.45625,0.277132086,889,119,334232,536661
0.76907277,0.255834829,0.669014085,0.37012987,0.696857533,0.487096774,0.277827402,829,141,318650,550425
0.76470277,0.255144033,0.707762557,0.37507562,0.702981502,0.46277666,0.283195357,905,128,411033,654469
0.764563263,0.224472574,0.705570292,0.340588988,0.703739631,0.438877756,0.26755812,919,111,336654,538225
0.773233385,0.260517799,0.726862302,0.383561644,0.713721532,0.467975207,0.297557923,914,121,424441,628770
0.739580367,0.23630137,0.665060241,0.348704991,0.684609562,0.468381565,0.254399386,892,139,333062,582978
0.772702922,0.259654889,0.724770642,0.382335148,0.712817611,0.465863454,0.296117363,901,120,386780,621169
0.749316978,0.250225836,0.654846336,0.362091503,0.689626211,0.474268416,0.267701286,830,146,336495,574639
0.753134845,0.236040609,0.685503686,0.351164254,0.693838658,0.478352693,0.263722151,903,128,364174,588283
0.758570785,0.233443709,0.691176471,0.349009901,0.693531677,0.480808081,0.261983024,926,126,407902,617741
0.764033968,0.241064007,0.695443645,0.358024691,0.697995919,0.479321315,0.270625151,913,127,377067,619089
0.769390674,0.244951712,0.687192118,0.361165049,0.701898215,0.444773176,0.276987647,860,127,321868,522716
0.745974713,0.240204429,0.668246445,0.353383459,0.685721962,0.451446281,0.257436855,892,140,357826,551493
0.763861606,0.245957447,0.694711538,0.363293526,0.7031921,0.469556244,0.278709391,886,127,320415,547658
0.758690493,0.246600181,0.650717703,0.357659435,0.686604054,0.491935484,0.262719875,831,146,321206,534883
0.757409011,0.226943942,0.660526316,0.33781965,0.691585216,0.461616162,0.25764415,855,129,339389,507116
0.758512576,0.242323651,0.690307329,0.358722359,0.695462286,0.476530612,0.268621511,913,131,337360,562355
0.760984033,0.236245955,0.698564593,0.353083434,0.694771179,0.471134021,0.264745858,944,126,386258,603235
0.772866544,0.259382819,0.721577726,0.381595092,0.714167786,0.482035928,0.297296425,888,120,386590,622298
0.739430509,0.21019678,0.638586957,0.31628533,0.675267228,0.473794549,0.232515896,883,133,394245,549049
0.753446379,0.238508239,0.670731707,0.351887396,0.693547391,0.458204334,0.265202318,878,135,428910,664946
0.752470991,0.246563574,0.668997669,0.360326428,0.692320546,0.482142857,0.268005051,877,142,407388,604995
0.752869608,0.253333333,0.66588785,0.367031552,0.693085029,0.468623482,0.27243232,840,143,361235,564213
0.766361249,0.254782609,0.684579439,0.371356147,0.702034509,0.47755102,0.282322224,857,135,330844,521837
0.763316147,0.245393635,0.697619048,0.36307311,0.700320444,0.455974843,0.275323105,901,127,378633,599580
0.763528149,0.254385965,0.685579196,0.371081254,0.701319024,0.454170958,0.281286273,850,133,323105,546905
0.773544725,0.244268775,0.725352113,0.365464222,0.704516843,0.478305785,0.279581637,956,117,347473,563219
0.755808232,0.265463918,0.674672489,0.381011097,0.69694249,0.445663011,0.282320418,855,149,365672,613827
0.761779303,0.242087254,0.693627451,0.358909321,0.70180479,0.492521368,0.275215788,886,125,356973,553735
