auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.8633083,0.226430298,0.856707317,0.35818993,0.781607089,0.772578988,0.370497488,960,47,167701,222795,0.804962193,0.758423484
0.852043159,0.234135667,0.891666667,0.370883882,0.777874518,0.775141415,0.370497488,1050,39,200393,278762,0.80973008,0.714092575
0.863936261,0.221976401,0.914893617,0.35727003,0.791143324,0.784038589,0.370497488,1055,28,188696,249206,0.86206652,0.733159545
0.861321395,0.237337192,0.911111111,0.376578645,0.786114401,0.778685801,0.370497488,1054,32,203489,282167,0.749525826,0.641874036
0.857018568,0.246652572,0.909090909,0.388026608,0.782876224,0.787807524,0.370497488,1069,35,185349,269984,0.643988715,0.556804739
0.858845143,0.223463687,0.891364903,0.357342267,0.770059154,0.774817652,0.370497488,1112,39,251890,318861,0.799011902,0.605117793
0.854695224,0.2271777,0.908077994,0.363433668,0.778240339,0.775234847,0.370497488,1109,33,219501,302867,0.838608345,0.719688805
0.854674484,0.218567251,0.884615385,0.35052755,0.771408078,0.784920065,0.370497488,1069,39,208376,253155,0.884770621,0.780550285
0.866011963,0.225111441,0.896449704,0.359857482,0.78372766,0.765987772,0.370497488,1043,35,240244,297165,0.925126904,0.866538626
0.860162375,0.230186079,0.907608696,0.367234744,0.776813108,0.782421297,0.370497488,1117,34,177709,225551,0.883061594,0.88369921
0.863254895,0.241506647,0.888586957,0.379790941,0.781959129,0.788713126,0.370497488,1027,41,217464,278028,0.751846836,0.719769389
0.866088261,0.242072699,0.891737892,0.380778589,0.792337402,0.775176988,0.370497488,980,38,200459,275197,0.760711931,0.613182181
0.856338927,0.227886057,0.888888889,0.362768496,0.782806802,0.778697973,0.370497488,1030,38,187916,249585,0.826828724,0.68758438
0.867954143,0.242268041,0.898907104,0.381670534,0.786356458,0.787524391,0.370497488,1029,37,210603,285664,0.882214082,0.774648288
0.854354354,0.230175439,0.884097035,0.365256125,0.769967177,0.765874197,0.370497488,1097,43,208454,288278,0.824289406,0.786118603
0.86313663,0.234758234,0.933147632,0.375139978,0.793190299,0.777064821,0.370497488,1092,24,194862,254649,0.904204204,0.843615368
0.869158297,0.224928367,0.902298851,0.360091743,0.780291677,0.774337092,0.370497488,1082,34,226001,292463,0.925771325,0.835634836
0.852419812,0.219772404,0.903508772,0.353546911,0.776634118,0.78928094,0.370497488,1097,33,226486,297753,0.839003945,0.777735778
0.864416042,0.236500342,0.940217391,0.377935554,0.788159033,0.774598318,0.370497488,1117,22,203119,274368,0.875898286,0.79084787
0.854551018,0.220556745,0.895652174,0.35395189,0.777704883,0.777641841,0.370497488,1092,36,209008,271785,0.857819074,0.821942113
0.854237118,0.238601824,0.872222222,0.374701671,0.779963716,0.776466507,0.370497488,1002,46,189245,241049,0.861070111,0.836351144
0.863085754,0.230188679,0.899705015,0.366586538,0.787781343,0.769109975,0.370497488,1020,34,210248,259708,0.848859316,0.795189168
0.856671242,0.229640499,0.879213483,0.364165212,0.775067464,0.792112494,0.370497488,1050,43,220809,299257,0.789782245,0.711962067
0.860309419,0.221407625,0.920731707,0.356973995,0.791165037,0.775247836,0.370497488,1062,26,175538,245092,0.834853728,0.704537871
0.850609438,0.226546213,0.913165266,0.363028953,0.779360796,0.762582185,0.370497488,1113,31,239081,318230,0.82464455,0.790765485
0.848256304,0.209655172,0.918429003,0.341381246,0.775994261,0.7658548,0.370497488,1146,27,233450,287272,0.841181165,0.75717109
0.859531024,0.255411255,0.900763359,0.397976391,0.789109261,0.780212836,0.370497488,1032,39,167682,222906,0.907848325,0.789177489
0.855762831,0.224299065,0.881355932,0.357593123,0.771251548,0.774052343,0.370497488,1079,42,210301,287622,0.917857143,0.737875259
0.860257788,0.225362872,0.865102639,0.357575758,0.772608223,0.771217664,0.370497488,1014,46,193881,255313,0.644067797,0.641338652
0.842834934,0.218356773,0.862573099,0.348493798,0.766626225,0.783647313,0.370497488,1056,47,191389,271196,0.822393822,0.739480874
0.857664148,0.232179226,0.912,0.37012987,0.774779236,0.788113695,0.370497488,1131,33,194856,262913,0.862318841,0.763747407
0.861267177,0.220315717,0.914529915,0.355088496,0.776057225,0.794736842,0.370497488,1136,30,192354,247192,0.739844961,0.830598658
0.867123716,0.240992794,0.862464183,0.376720901,0.783693225,0.754521964,0.370497488,948,48,208087,264492,0.745986239,0.701984576
0.863296453,0.223754789,0.869047619,0.355880561,0.77750936,0.80878553,0.370497488,1013,44,186382,242854,0.850398529,0.801623492
0.864089574,0.232415902,0.873563218,0.367149758,0.781746959,0.791327913,0.370497488,1004,44,192370,249951,0.88275567,0.741987137
0.865311598,0.217630854,0.921282799,0.352089136,0.777325061,0.8,0.370497488,1136,27,225257,301760,0.882388912,0.756209668
0.853892077,0.23292868,0.884726225,0.368768769,0.781733924,0.800524934,0.370497488,1011,40,189347,250742,0.829400829,0.817770923
0.85814062,0.234550562,0.915068493,0.373392957,0.785590179,0.819121447,0.370497488,1090,31,205543,251091,0.795648912,0.744843991
0.839804549,0.231523379,0.862359551,0.365041617,0.772734278,0.805263158,0.370497488,1019,49,215895,272871,0.816996872,0.782923579
0.856961946,0.229415904,0.920903955,0.367323944,0.781976347,0.793532338,0.370497488,1095,28,224952,292201,0.841473033,0.782509977
0.853141479,0.25,0.855978261,0.386977887,0.778267283,0.755319149,0.370497488,945,53,220357,277166,0.832898573,0.775553327
0.859466474,0.237991266,0.91086351,0.377380265,0.791479238,0.747311828,0.370497488,1047,32,200772,257758,0.790792541,0.800349975
0.862506321,0.238167939,0.893982808,0.376130199,0.787806321,0.810526316,0.370497488,998,37,192281,248179,0.880816506,0.848974543
0.85699806,0.216820988,0.883647799,0.348203222,0.783726226,0.809399478,0.370497488,1015,37,175397,214063,0.678509317,0.551136175
0.860610616,0.217967599,0.896969697,0.3507109,0.781386627,0.823218997,0.370497488,1062,34,188250,248346,0.785158347,0.616337127
0.84906391,0.230938416,0.872576177,0.365217391,0.774435166,0.795566502,0.370497488,1049,46,198285,254928,0.827279466,0.635330722
0.855164436,0.222381636,0.888252149,0.355708548,0.77157035,0.771883289,0.370497488,1084,39,214469,258869,0.733299595,0.657248548
0.849745031,0.21942446,0.889212828,0.351990767,0.771638521,0.791327913,0.370497488,1085,38,226060,295039,0.803701256,0.739220934
0.858864349,0.228373702,0.914127424,0.365448505,0.779062727,0.822454308,0.370497488,1115,31,215646,273543,0.847619048,0.772607086
0.866315621,0.218337218,0.86996904,0.349068323,0.777611668,0.754521964,0.370497488,1006,42,181701,245382,0.820825516,0.750504984
0.861852853,0.24132948,0.897849462,0.380410023,0.78263398,0.806615776,0.370497488,1050,38,201656,282604,0.732240437,0.708901464
0.871954665,0.233215548,0.919220056,0.372040586,0.788747941,0.780612245,0.370497488,1085,29,249413,298000,0.684554974,0.522563659
0.85035138,0.240700219,0.866141732,0.376712329,0.769306684,0.797814208,0.370497488,1041,51,172467,238457,0.696099545,0.506612948
0.852411037,0.240810203,0.884297521,0.378537736,0.781371421,0.781333333,0.370497488,1012,42,214466,282174,0.798395722,0.666918572
0.881751999,0.223314607,0.943620178,0.361158433,0.792305069,0.752604167,0.370497488,1106,19,246342,296659,0.796145125,0.779429748
0.873703417,0.238619677,0.931232092,0.379894798,0.798567468,0.786082474,0.370497488,1037,24,176712,231976,0.438186813,0.680333693
0.854796228,0.23501199,0.837606838,0.367041199,0.769770941,0.778350515,0.370497488,957,57,184919,234681,0.697115385,0.666283026
0.844746824,0.223819302,0.879032258,0.356792144,0.76242739,0.78177458,0.370497488,1134,45,199070,266920,0.686842105,0.7359375
0.864580798,0.223791822,0.890532544,0.357694593,0.781935019,0.791262136,0.370497488,1044,37,194040,255304,0.733333333,0.824097152
0.860210837,0.211604096,0.917159763,0.343871326,0.77611504,0.801546392,0.370497488,1155,28,204828,257641,0.734177215,0.774358753
0.858589157,0.227142857,0.900849858,0.362806617,0.774902597,0.803713528,0.370497488,1082,35,211531,275839,0.691156463,0.792220697
0.848774928,0.2426526,0.863270777,0.378823529,0.772271328,0.777777778,0.370497488,1005,51,226219,284603,0.657894737,0.616739817
0.859749486,0.235469449,0.892655367,0.372641509,0.782232456,0.735148515,0.370497488,1026,38,185435,250416,0.708860759,0.600931341
0.85793167,0.232724384,0.846820809,0.365109034,0.775870662,0.798469388,0.370497488,966,53,188040,258429,0.645348837,0.613041699
0.852909796,0.223965763,0.904899135,0.359062321,0.780256246,0.744360902,0.370497488,1088,33,201801,260754,0.792079208,0.680268955
0.853425387,0.239385066,0.881401617,0.376511226,0.779661633,0.751842752,0.370497488,1039,44,207606,267921,0.557422969,0.833542127
0.849859759,0.23757764,0.869318182,0.373170732,0.781728632,0.774798928,0.370497488,982,46,187828,239704,0.573562,0.822614734
0.867143965,0.236861051,0.913888889,0.37621498,0.787275045,0.782945736,0.370497488,1060,31,209623,282886,0.109090909,0.781490015
0.860310727,0.218862491,0.896755162,0.351851852,0.776575738,0.819512195,0.370497488,1085,35,184233,236643,0.409090909,0.580645161
0.860678726,0.228650138,0.917127072,0.366041896,0.780819765,0.780548628,0.370497488,1120,30,223297,311171,0.592592593,0.744186047
0.855928678,0.212780899,0.891176471,0.343537415,0.770904796,0.804020101,0.370497488,1121,37,207067,266155,0.4,0.571428571
0.85617066,0.25074184,0.901333333,0.392338944,0.79070835,0.783163265,0.370497488,1010,37,180387,256139,0.888888889,0.941176471
0.860616801,0.223655914,0.917647059,0.359654179,0.787236847,0.79197995,0.370497488,1083,28,193728,257520,,
0.857541709,0.234306569,0.901685393,0.371958285,0.784256803,0.770992366,0.370497488,1049,35,194069,269337,,
0.860922408,0.24516129,0.895287958,0.384918402,0.778924946,0.782396088,0.370497488,1053,40,221108,278046,,
0.864508376,0.234273319,0.885245902,0.370497427,0.778504455,0.766233766,0.370497488,1059,42,207432,272339,,
0.862571686,0.220588235,0.942857143,0.357529794,0.782951295,0.827777778,0.370497488,1166,20,202220,267364,,
0.851201766,0.207627119,0.87761194,0.33580811,0.759871332,0.780555556,0.370497488,1122,41,232240,293494,,
0.856699918,0.24024024,0.871934605,0.376692172,0.777104578,0.833787466,0.370497488,1012,47,170129,253854,,
0.861176676,0.236970118,0.926630435,0.37742114,0.784225831,0.807594937,0.370497488,1098,27,202720,270960,,
0.863324399,0.217391304,0.888554217,0.349319124,0.779930444,0.769607843,0.370497488,1062,37,188648,254840,,
0.857440859,0.228212703,0.867977528,0.361403509,0.771215766,0.851948052,0.370497488,1045,47,204031,260611,,
0.86286594,0.243180047,0.866666667,0.379793061,0.782183497,0.801007557,0.370497488,971,48,214208,281214,,
0.855935134,0.232591529,0.880434783,0.367972743,0.771956613,0.789473684,0.370497488,1069,44,195361,247102,,
0.846424098,0.219957836,0.881690141,0.35208099,0.765925314,0.778975741,0.370497488,1110,42,194613,252683,,
0.858369473,0.24359969,0.899713467,0.383394383,0.793912345,0.785340314,0.370497488,975,35,179397,244536,,
0.852812085,0.235664336,0.898666667,0.373407202,0.775832853,0.795275591,0.370497488,1093,38,202446,278121,,
0.861508506,0.248142645,0.885941645,0.387695879,0.783427083,0.809895833,0.370497488,1012,43,211296,293017,,
0.860838908,0.246200608,0.892561983,0.385944014,0.78816877,0.769423559,0.370497488,992,39,189828,246597,,
0.858788564,0.225205071,0.890855457,0.35952381,0.782610933,0.768831169,0.370497488,1039,37,198787,252192,,
0.86672316,0.23880597,0.910569106,0.378378378,0.784818995,0.807407407,0.370497488,1071,33,229702,271386,,
0.854878345,0.228748068,0.845714286,0.360097324,0.767473997,0.802030457,0.370497488,998,54,181563,228179,,
0.857829936,0.227941176,0.878186969,0.36193812,0.774993114,0.7675,0.370497488,1050,43,225638,287535,,
0.863126752,0.216362407,0.946745562,0.352228949,0.786519013,0.759259259,0.370497488,1159,18,217136,277047,,
0.86548015,0.238851096,0.885154062,0.376190476,0.784614363,0.793814433,0.370497488,1007,41,187124,244308,,
0.850886998,0.213406293,0.914956012,0.34608985,0.774852982,0.769863014,0.370497488,1150,29,211441,270879,,
0.854099449,0.228448276,0.898305085,0.364261168,0.779556798,0.777239709,0.370497488,1074,36,170281,237132,,
0.863733587,0.222142857,0.91202346,0.357265939,0.783604235,0.769021739,0.370497488,1089,30,171890,231780,,
0.854292863,0.244577412,0.865079365,0.381341108,0.77407016,0.78042328,0.370497488,1010,51,186812,259275,,
0.864087351,0.233927188,0.870317003,0.368742369,0.781451129,0.761643836,0.370497488,989,45,169204,207169,,
0.851671283,0.213137666,0.897058824,0.344438171,0.770774251,0.794736842,0.370497488,1126,35,216410,285426,,
0.85788185,0.233962264,0.873239437,0.369047619,0.778581861,0.805970149,0.370497488,1015,45,187840,239137,,
0.861541836,0.242042931,0.883783784,0.380011621,0.780519174,0.762836186,0.370497488,1024,43,189712,266062,,
0.867448779,0.22875817,0.921052632,0.366492147,0.788562155,0.742105263,0.370497488,1062,27,212582,272497,,
0.853127087,0.214443626,0.873873874,0.344378698,0.77014124,0.74168798,0.370497488,1066,42,242942,303744,,
0.864669415,0.233009709,0.913043478,0.371270718,0.776833828,0.743455497,0.370497488,1106,32,217211,273488,,
0.856754682,0.226207906,0.895652174,0.361192285,0.779398559,0.77486911,0.370497488,1057,36,202180,262414,,
0.845034966,0.224363917,0.850877193,0.35509457,0.770047706,0.783641161,0.370497488,1006,51,187834,252549,,
0.844114557,0.222617354,0.886685552,0.355884025,0.772235607,0.793103448,0.370497488,1093,40,207569,265736,,
0.86592345,0.22668482,0.935393258,0.364931507,0.781113737,0.762626263,0.370497488,1136,23,196975,276998,,
0.855147468,0.224852071,0.871060172,0.357436802,0.770831285,0.796068796,0.370497488,1048,45,213978,262815,,
0.870450131,0.232804233,0.905882353,0.370414913,0.792047542,0.775561097,0.370497488,1015,32,185011,256247,,
0.857526796,0.227136432,0.885964912,0.361575179,0.779952991,0.753846154,0.370497488,1031,39,232618,309707,,
0.857131522,0.243639167,0.890140845,0.382566586,0.789158751,0.733668342,0.370497488,981,39,215215,280390,,
0.856425628,0.236784938,0.893442623,0.374356039,0.779072443,0.815850816,0.370497488,1054,39,219548,268650,,
0.864568324,0.231447465,0.913043478,0.369284877,0.789093434,0.784776903,0.370497488,1046,30,178216,241624,,
0.870578584,0.22876304,0.90560472,0.365258775,0.787852038,0.812030075,0.370497488,1035,32,213297,287436,,
0.850613763,0.232988166,0.867768595,0.367346939,0.772053686,0.776978417,0.370497488,1037,48,172775,225857,,
0.851857592,0.228467153,0.886685552,0.363319791,0.775263062,0.7799511,0.370497488,1057,40,184472,243108,,
0.860418324,0.224764468,0.94084507,0.362846279,0.78325971,0.786082474,0.370497488,1152,21,253676,323606,,
0.868412802,0.248763251,0.919060052,0.391546162,0.788223902,0.804020101,0.370497488,1063,31,208696,265724,,
0.853212756,0.232404692,0.88547486,0.368176539,0.77757504,0.784946237,0.370497488,1047,41,189790,257833,,
0.856422194,0.227913883,0.895043732,0.363313609,0.782320875,0.772727273,0.370497488,1040,36,203844,263292,,
0.842824535,0.223602484,0.842105263,0.353374233,0.766360168,0.789617486,0.370497488,1000,54,175913,230821,,
0.87320105,0.215249663,0.94100295,0.350356947,0.784714388,0.757255937,0.370497488,1163,20,257836,328856,,
0.843023421,0.213919414,0.874251497,0.343731607,0.772473588,0.803526448,0.370497488,1073,42,186844,227274,,
0.848974504,0.221993127,0.922857143,0.357894737,0.777965566,0.785145889,0.370497488,1132,27,221456,279853,,
0.865738505,0.23964497,0.895027624,0.378063011,0.78536815,0.756097561,0.370497488,1028,38,213278,279956,,
0.854546146,0.224099927,0.88150289,0.35735208,0.774608967,0.776349614,0.370497488,1056,41,179891,248792,,
0.860887655,0.220422535,0.917888563,0.355479841,0.780171021,0.820224719,0.370497488,1107,28,219951,273349,,
0.862818728,0.223287671,0.942196532,0.361018826,0.785647433,0.823684211,0.370497488,1134,20,222386,296644,,
