auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.856924665,0.216216216,0.871934605,0.346507851,0.779025743,0.620430108,0.343201875,1160,47,223089,281413,0.818534961,0.75147209
0.855652568,0.202013423,0.890532544,0.329321663,0.781527564,0.562374245,0.343201875,1189,37,215840,275663,0.782291959,0.724873141
0.850639415,0.199363057,0.891737892,0.325871942,0.772603102,0.5250501,0.343201875,1257,38,258049,338518,0.851439736,0.744837461
0.850777472,0.21459854,0.830508475,0.341067285,0.770697109,0.57231405,0.343201875,1076,60,219127,285986,0.844972038,0.654756834
0.852003323,0.224039829,0.853658537,0.354929577,0.779568685,0.518756699,0.343201875,1091,54,202024,284382,0.796768345,0.578208852
0.847650064,0.203830369,0.879056047,0.330927263,0.782059554,0.532128514,0.343201875,1164,41,224362,277099,0.842924055,0.650647414
0.861461955,0.211773151,0.87020649,0.340646651,0.788605813,0.585267407,0.343201875,1098,44,241857,303442,0.82409358,0.688050403
0.858298486,0.213286713,0.861581921,0.341928251,0.775841644,0.54593453,0.343201875,1125,49,249950,317239,0.853598882,0.736924686
0.847594099,0.207282913,0.860465116,0.334085779,0.776958192,0.577777778,0.343201875,1132,48,233703,301519,0.915676287,0.830929869
0.855329149,0.225984796,0.856020942,0.357572444,0.777122295,0.567338282,0.343201875,1120,55,259595,327919,0.821237161,0.862643444
0.851833694,0.196991404,0.83081571,0.318471338,0.766704095,0.58086785,0.343201875,1121,56,250927,299350,0.756259248,0.732250125
0.855347114,0.21010101,0.87150838,0.338578405,0.775513617,0.58677686,0.343201875,1173,46,227091,303200,0.774252513,0.633658662
0.863891559,0.221919673,0.895604396,0.355701037,0.789571134,0.558307534,0.343201875,1143,38,243829,312271,0.837571871,0.687354425
0.859601178,0.219463087,0.881401617,0.351423966,0.781165191,0.588709677,0.343201875,1163,44,236157,297254,0.8070288,0.728964288
0.848071111,0.210526316,0.864,0.338557994,0.767823509,0.582828283,0.343201875,1215,51,226522,294156,0.775804405,0.746620107
0.851940671,0.214137214,0.855955679,0.342572062,0.777699357,0.547959184,0.343201875,1134,52,237263,296844,0.860497559,0.774373189
0.854897131,0.213070116,0.881690141,0.343201754,0.784139662,0.53814433,0.343201875,1156,42,237452,304887,0.929768689,0.8768927
0.854053226,0.218106996,0.871232877,0.34887548,0.778929234,0.579840319,0.343201875,1140,47,223536,274762,0.803448276,0.80407745
0.855301154,0.221214236,0.866120219,0.35241801,0.781243156,0.548218029,0.343201875,1116,49,241730,326356,0.781917536,0.799547361
0.857766572,0.201916496,0.860058309,0.327050998,0.774806815,0.51496388,0.343201875,1166,48,235241,296462,0.726818059,0.835996284
0.853643106,0.201397713,0.88547486,0.32815735,0.771175443,0.586309524,0.343201875,1257,41,279387,341513,0.906066536,0.812408941
0.865569535,0.211221122,0.922190202,0.343716434,0.793452864,0.549595142,0.343201875,1195,27,280478,345110,0.866560219,0.781436562
0.850523648,0.208712614,0.874659401,0.337007874,0.770631688,0.559183673,0.343201875,1217,46,234376,304942,0.790453074,0.715844965
0.856280602,0.218319559,0.870879121,0.349118943,0.780008267,0.567085954,0.343201875,1135,47,217601,275859,0.827745384,0.731875118
0.851457581,0.210289389,0.869680851,0.338684619,0.767033552,0.577754892,0.343201875,1228,49,247960,306300,0.749242424,0.717018309
0.86067077,0.202423378,0.87654321,0.328894036,0.787556579,0.560950413,0.343201875,1119,40,238304,292158,0.827318296,0.74602837
0.855303873,0.211464968,0.880636605,0.341037494,0.773713407,0.481555334,0.343201875,1238,45,255188,330962,0.80469697,0.828240277
0.858926704,0.236236934,0.86259542,0.370897155,0.782995828,0.598290598,0.343201875,1096,54,241924,312126,0.885990338,0.791664557
0.857009116,0.212121212,0.872628726,0.341282459,0.770437663,0.596385542,0.343201875,1196,47,232168,298896,0.563492063,0.614275656
0.845352679,0.219330855,0.838068182,0.347672363,0.778935308,0.561277034,0.343201875,1050,57,214048,259179,0.813163482,0.749860173
0.854764893,0.227951153,0.870466321,0.361290323,0.778793917,0.576620825,0.343201875,1138,50,207594,285107,0.797895573,0.686340176
0.854858355,0.216835017,0.879781421,0.347920043,0.781359073,0.560199005,0.343201875,1163,44,235608,298492,0.62024987,0.848627852
0.850455419,0.198949442,0.883381924,0.324758842,0.773722091,0.469098278,0.343201875,1220,40,251429,322663,0.523453919,0.71831789
0.86221637,0.230053191,0.873737374,0.364210526,0.777727062,0.53776435,0.343201875,1158,50,225644,302873,0.875295708,0.750338475
0.862259127,0.208571429,0.856304985,0.335439403,0.78040511,0.613124388,0.343201875,1108,49,213032,259527,0.888631579,0.786171762
0.845348919,0.219512195,0.791208791,0.343675418,0.759070578,0.548879837,0.343201875,1024,76,230471,288644,0.815968379,0.757860886
0.84694124,0.216679077,0.829059829,0.343565525,0.772841769,0.578217822,0.343201875,1052,60,223579,286187,0.857737863,0.725985208
0.856435316,0.210457516,0.887052342,0.34020074,0.779463763,0.544252289,0.343201875,1208,41,240140,293610,0.792220839,0.757962559
0.86431721,0.207774799,0.885714286,0.336590662,0.781622437,0.531754575,0.343201875,1182,40,280296,347999,0.816980024,0.82848917
0.856224761,0.195597484,0.896253602,0.321115126,0.76969786,0.579317269,0.343201875,1279,36,272329,319767,0.810909091,0.752703328
0.85153069,0.205738279,0.857142857,0.331828442,0.772310185,0.52284264,0.343201875,1135,49,250743,320378,0.792854672,0.725383492
0.85734956,0.216423104,0.859116022,0.345747638,0.779523275,0.588235294,0.343201875,1126,51,200875,253109,0.863148984,0.805967283
0.855852106,0.209585122,0.854227405,0.336588168,0.776391184,0.492693111,0.343201875,1105,50,225668,274720,0.797547211,0.827298908
0.858132725,0.20331651,0.857142857,0.328671329,0.780761506,0.567681007,0.343201875,1105,47,237797,299277,0.783591255,0.548740608
0.866124343,0.219632768,0.88101983,0.35161108,0.790161841,0.583333333,0.343201875,1105,42,249022,305202,0.788180525,0.608548746
0.847885031,0.213884993,0.837912088,0.340782123,0.770013023,0.573573574,0.343201875,1121,59,245902,321136,0.76509512,0.601623284
0.852883378,0.227434257,0.862533693,0.359955006,0.782632689,0.568807339,0.343201875,1087,51,207554,263234,0.628205128,0.695238095
0.847070665,0.221971407,0.835694051,0.350772889,0.778499457,0.546296296,0.343201875,1034,58,218567,276694,0.819029251,0.783480761
0.848020783,0.209435311,0.839541547,0.335240275,0.771652585,0.595959596,0.343201875,1106,56,222642,286889,0.856640625,0.821042856
0.842846081,0.200571021,0.828908555,0.322988506,0.763872233,0.545816733,0.343201875,1120,58,246669,298064,0.82689951,0.723276723
0.858215184,0.210663199,0.89010989,0.340694006,0.779488172,0.583507307,0.343201875,1214,40,233863,307103,0.73923445,0.674891662
0.861115532,0.219877468,0.86827957,0.350896252,0.780956181,0.550526316,0.343201875,1146,49,232026,306720,0.64,0.465390534
0.848289706,0.221602787,0.85483871,0.351964582,0.776336612,0.573,0.343201875,1117,54,250928,307822,0.694285714,0.664320096
0.852961297,0.208815029,0.837681159,0.334297282,0.771707223,0.555084746,0.343201875,1095,56,235971,292762,0.798775619,0.702280912
0.860694607,0.204350692,0.873239437,0.331196581,0.770879918,0.557026477,0.343201875,1207,45,241651,293112,0.797877145,0.757858465
