auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.83153301,0.229055258,0.783536585,0.354482759,0.762219497,0.771341463,0.352663707,865,71,160644,210030,0.837665406,0.797474427
0.846561575,0.246153846,0.844444444,0.381191223,0.777047188,0.822222222,0.352663707,931,56,186647,258779,0.811733852,0.761936239
0.845742861,0.215169002,0.79331307,0.338521401,0.753123558,0.778115502,0.352663707,952,68,157051,207259,0.838717112,0.807843918
0.845523843,0.240101095,0.791666667,0.368455074,0.757424921,0.775,0.352663707,902,75,181394,242090,0.833972917,0.652858095
0.834789837,0.239414935,0.807792208,0.36935867,0.751361161,0.781818182,0.352663707,988,74,166395,240986,0.768988715,0.672104755
0.841277614,0.236691237,0.805013928,0.365822785,0.761028346,0.791086351,0.352663707,932,70,241274,292902,0.849090501,0.772856136
0.844849724,0.236681223,0.754874652,0.36037234,0.746155742,0.732590529,0.352663707,874,88,188513,248576,0.822042437,0.743111329
0.847629513,0.220769231,0.849112426,0.35042735,0.765341219,0.834319527,0.352663707,1013,51,209496,251512,0.794781422,0.760230867
0.846853975,0.230008244,0.825443787,0.359767892,0.769892794,0.810650888,0.352663707,934,59,203941,256133,0.889831853,0.856162608
0.832313394,0.236408567,0.779891304,0.362831858,0.750321159,0.777173913,0.352663707,927,81,156458,193991,0.805389493,0.827833324
0.850654881,0.26359447,0.777173913,0.393668273,0.767205074,0.769021739,0.352663707,799,82,160031,207818,0.760896331,0.793523392
0.849402105,0.253831418,0.754985755,0.379928315,0.759839102,0.740740741,0.352663707,779,86,154395,214874,0.769611074,0.732485757
0.837542061,0.222891566,0.757309942,0.344414894,0.742349173,0.742690058,0.352663707,903,83,174008,226097,0.867975022,0.800712423
0.858245035,0.260070053,0.81147541,0.393899204,0.776852274,0.795081967,0.352663707,845,69,175654,239144,0.873911274,0.751935117
0.851414487,0.241162608,0.827493261,0.373479319,0.766450042,0.811320755,0.352663707,966,64,187087,260225,0.810400517,0.767803362
0.847269081,0.244227353,0.766016713,0.37037037,0.756003774,0.760445682,0.352663707,851,84,174375,220009,0.876576577,0.825508733
0.854048554,0.222809668,0.847701149,0.352870813,0.765191254,0.827586207,0.352663707,1029,53,211620,269749,0.912341198,0.891938428
0.849145844,0.22983871,0.833333333,0.360303413,0.769526944,0.807017544,0.352663707,955,57,189086,257901,0.867357002,0.853537663
0.852226577,0.257417103,0.801630435,0.389696169,0.770976384,0.788043478,0.352663707,851,73,180902,237857,0.790699281,0.813940212
0.833477701,0.22318612,0.820289855,0.350898946,0.761598643,0.802898551,0.352663707,985,62,184097,241304,0.876227209,0.832908649
0.836379495,0.249322493,0.766666667,0.376278119,0.757829503,0.758333333,0.352663707,831,84,150719,195356,0.872509225,0.847337123
0.852979279,0.251473477,0.755162242,0.377302874,0.761677106,0.749262537,0.352663707,762,83,171171,204575,0.838521863,0.802859736
0.839258901,0.2426405,0.764044944,0.36831415,0.753900832,0.747191011,0.352663707,849,84,198898,262811,0.877303183,0.802236025
0.844743818,0.241682975,0.75304878,0.365925926,0.759672827,0.737804878,0.352663707,775,81,115924,173274,0.80308273,0.744843255
0.83566423,0.25526075,0.781512605,0.384827586,0.768200078,0.770308123,0.352663707,814,78,174985,232257,0.825009114,0.793272852
0.84290121,0.22556391,0.81570997,0.353403141,0.767135899,0.809667674,0.352663707,927,61,171783,213480,0.838254855,0.850971429
0.844276027,0.255737705,0.79389313,0.386856789,0.760435383,0.781170483,0.352663707,908,81,146916,197075,0.905202822,0.882241494
