auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.848688871,0.198473282,0.920980926,0.326570048,0.769117673,0.562450119,0.317461809,1365,29,252273,315139,0.806623593,0.783475861
0.823807774,0.17865566,0.896449704,0.297935103,0.752680405,0.705436618,0.317461809,1393,35,259260,315689,0.798543009,0.760896918
0.84799723,0.187066975,0.923076923,0.311089774,0.76238609,0.391792165,0.317461809,1408,27,264185,345611,0.783385492,0.747657199
0.803941493,0.186268657,0.881355932,0.30754066,0.750590834,0.556205217,0.317461809,1363,42,251018,321680,0.768643064,0.722899354
0.82967977,0.196322657,0.89701897,0.322141119,0.758988065,0.390568755,0.317461809,1355,38,244247,328003,0.797408276,0.661650519
0.84406028,0.179710145,0.914454277,0.300387597,0.759114208,0.555251265,0.317461809,1415,29,264045,319461,0.842756775,0.679775612
0.853061622,0.188423645,0.902654867,0.311767702,0.770377505,0.516264262,0.317461809,1318,33,252796,315975,0.828251469,0.677653095
0.85037178,0.201234568,0.920903955,0.33029382,0.775682644,0.637602592,0.317461809,1294,28,289263,356875,0.793238994,0.735049426
0.825446508,0.183733177,0.912790698,0.305893814,0.759659146,0.658612197,0.317461809,1395,30,306743,377174,0.854923599,0.832850313
0.842737822,0.20733945,0.887434555,0.336142786,0.764860392,0.552803899,0.317461809,1296,43,272596,338655,0.772114058,0.813778893
0.83384474,0.174377224,0.888217523,0.291522062,0.752097506,0.522488359,0.317461809,1392,37,307665,358939,0.796093519,0.783270518
0.851316207,0.194134897,0.924581006,0.320891905,0.767428895,0.533970329,0.317461809,1374,27,281351,356888,0.809896853,0.714350067
0.844524925,0.197115385,0.901098901,0.3234714,0.762237717,0.637870415,0.317461809,1336,36,272864,341513,0.831766917,0.802337182
0.843735293,0.205221615,0.911051213,0.334985134,0.771723754,0.614385627,0.317461809,1309,33,234986,299534,0.859958654,0.765534
0.824782919,0.193063584,0.890666667,0.317339667,0.752065449,0.405870886,0.317461809,1396,41,251642,317408,0.800253719,0.749032111
0.839354531,0.19080861,0.908587258,0.315384615,0.762620402,0.596094399,0.317461809,1391,33,257238,318040,0.78911881,0.838711784
0.833524076,0.184624345,0.892957746,0.305984556,0.752127479,0.614889955,0.317461809,1400,38,273530,337581,0.903117667,0.897684958
0.831032231,0.197583082,0.895890411,0.323762376,0.760952173,0.591923851,0.317461809,1328,38,250140,301237,0.800098522,0.783310051
0.844858052,0.201559688,0.918032787,0.330545991,0.771163306,0.68673177,0.317461809,1331,30,290920,377277,0.814157973,0.798088302
0.829029625,0.180539273,0.897959184,0.300634456,0.756851373,0.677615646,0.317461809,1398,35,284317,349759,0.844552582,0.834335575
0.826533978,0.180264609,0.913407821,0.301104972,0.747389695,0.539021865,0.317461809,1487,31,303342,365282,0.873939987,0.83010985
0.831447304,0.186198691,0.902017291,0.308678501,0.757865021,0.585992269,0.317461809,1368,34,270014,331504,0.824817518,0.766159102
0.841580913,0.192064405,0.910081744,0.317188984,0.756830331,0.510924018,0.317461809,1405,33,253390,325521,0.690938511,0.742688816
0.823621413,0.190951821,0.892857143,0.314617619,0.752590801,0.635021102,0.317461809,1377,39,269075,328858,0.795432459,0.724884677
0.824573179,0.188626126,0.890957447,0.31133829,0.743465525,0.556901386,0.317461809,1441,41,278565,337561,0.820909091,0.825022065
0.839875543,0.182741117,0.888888889,0.303157895,0.767937469,0.650753984,0.317461809,1288,36,248455,306026,0.804385965,0.723180656
0.834913913,0.1875,0.915119363,0.311231394,0.749158523,0.690785811,0.317461809,1495,32,281285,356877,0.75625,0.769656024
0.847659322,0.207317073,0.908396947,0.337588652,0.762327941,0.575771319,0.317461809,1365,36,277567,350949,0.793719807,0.777915099
0.830648667,0.192771084,0.910569106,0.318181818,0.753664439,0.578260097,0.317461809,1407,33,259104,326868,0.904761905,0.823927143
0.848352661,0.192649674,0.923295455,0.318783718,0.769879799,0.567266557,0.317461809,1362,27,276505,323613,0.882802548,0.823548972
0.858780333,0.208476518,0.943005181,0.341463415,0.771851112,0.409688512,0.317461809,1382,22,242321,325047,0.845542982,0.828031984
0.839316221,0.194935218,0.904371585,0.320736434,0.760944023,0.556188114,0.317461809,1367,35,258469,322699,0.725663717,0.816095263
0.838844449,0.182026331,0.927113703,0.30430622,0.759663397,0.665713356,0.317461809,1429,25,291531,361325,0.624246339,0.769449887
0.835240526,0.210029499,0.898989899,0.340506934,0.760985891,0.556056591,0.317461809,1339,40,274578,352390,0.852314971,0.818177981
0.845841578,0.187347932,0.903225806,0.310327456,0.767289252,0.544318538,0.317461809,1336,33,238109,286215,0.845263158,0.780704215
0.833294691,0.197608559,0.862637363,0.32155658,0.755474525,0.577530618,0.317461809,1275,50,262641,324729,0.823023715,0.745317595
0.819436968,0.186739659,0.874643875,0.307769424,0.750920427,0.641232854,0.317461809,1337,44,284441,348802,0.755043603,0.743267049
0.826837877,0.193373494,0.884297521,0.31735047,0.75859229,0.620394844,0.317461809,1339,42,254809,305140,0.739449287,0.781481481
0.850671916,0.185952792,0.922857143,0.309535218,0.761812612,0.562251333,0.317461809,1414,27,319355,388250,0.862269879,0.767854444
0.842139393,0.176406335,0.930835735,0.296602388,0.747527586,0.409367664,0.317461809,1508,24,326580,377552,0.81997114,0.780126428
