auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.901959839,0.290889133,0.807926829,0.427764326,0.832731176,0.798780488,0.423298025,646,63,118436,178128,0.891493384,0.817655231
0.896661534,0.297244094,0.838888889,0.438953488,0.819942092,0.825,0.423298025,714,58,112870,185514,0.83437942,0.756494484
0.900412663,0.280159521,0.854103343,0.421921922,0.814789149,0.841945289,0.423298025,722,48,136197,198649,0.892534217,0.79674758
0.899219164,0.297324083,0.833333333,0.438276114,0.817931228,0.819444444,0.423298025,709,60,155441,223390,0.867716466,0.743014289
0.893716773,0.305689489,0.823376623,0.445850914,0.80224659,0.805194805,0.423298025,720,68,125069,199328,0.834147135,0.668780216
0.896493407,0.281362007,0.874651811,0.425762712,0.804698488,0.860724234,0.423298025,802,45,187279,247197,0.767347855,0.693233363
0.901104048,0.28022493,0.832869081,0.419354839,0.798660175,0.810584958,0.423298025,768,60,152880,224261,0.801298009,0.735039765
0.908142146,0.267686424,0.828402367,0.404624277,0.825397215,0.813609467,0.423298025,766,58,183408,231631,0.863197089,0.79579858
0.894706589,0.299014239,0.807692308,0.436450839,0.804405775,0.807692308,0.423298025,640,65,131590,182950,0.913150381,0.849146027
0.885257987,0.288407163,0.831521739,0.428271519,0.80296284,0.823369565,0.423298025,755,62,125299,175382,0.864266304,0.833662432
0.889415578,0.293424926,0.8125,0.431146359,0.791473236,0.801630435,0.423298025,720,69,141539,199889,0.862718542,0.746007602
0.89321122,0.283730159,0.814814815,0.420897719,0.806811625,0.797720798,0.423298025,722,65,147990,218479,0.799406724,0.631647653
0.900621547,0.290254237,0.801169591,0.426127527,0.818208291,0.795321637,0.423298025,670,68,135302,192950,0.863124442,0.805213874
0.901508507,0.31714876,0.838797814,0.460269865,0.826068966,0.819672131,0.423298025,661,59,141542,225347,0.891697192,0.848317935
0.894150065,0.287223823,0.805929919,0.423512748,0.816008885,0.795148248,0.423298025,742,72,159734,229227,0.861353359,0.842833557
0.896133351,0.289869609,0.805013928,0.426253687,0.806571399,0.799442897,0.423298025,708,70,130231,184060,0.90975976,0.89502377
0.902624069,0.292563601,0.859195402,0.43649635,0.827388623,0.841954023,0.423298025,723,49,150204,213137,0.922050817,0.882417898
0.892315999,0.279685967,0.833333333,0.418809699,0.806934179,0.815789474,0.423298025,734,57,156228,224908,0.883567554,0.846744269
