auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.891172386,0.300572519,0.858310627,0.445229682,0.807430088,0.643423138,0.409249442,733,52,126514,189148,0.872007293,0.820237595
0.891915366,0.277286136,0.834319527,0.416236162,0.809660703,0.599656357,0.409249442,735,56,141767,193964,0.869193051,0.75446202
0.894615329,0.266129032,0.846153846,0.404907975,0.818213797,0.649328859,0.409249442,819,54,151073,225830,0.888107893,0.766364801
0.890866233,0.297631308,0.816384181,0.436226415,0.80807257,0.640718563,0.409249442,682,65,132126,199934,0.861416603,0.783337902
0.887734576,0.299792531,0.783197832,0.433608402,0.801679799,0.607717042,0.409249442,675,80,144223,216582,0.794101962,0.628649907
0.893681274,0.260623229,0.814159292,0.394849785,0.814550578,0.543973941,0.409249442,783,63,145962,197294,0.775789004,0.727494416
0.888658017,0.283387622,0.769911504,0.414285714,0.800489825,0.621035058,0.409249442,660,78,139328,191645,0.82148797,0.74218872
0.886054816,0.290697674,0.847457627,0.432900433,0.796310752,0.576470588,0.409249442,732,54,149071,212256,0.862246681,0.778541756
0.893913523,0.288461538,0.784883721,0.421875,0.807256842,0.602803738,0.409249442,666,74,135021,202665,0.895670628,0.800068195
0.885767653,0.289896128,0.803664921,0.426092991,0.801974581,0.595394737,0.409249442,752,75,148799,210779,0.900237621,0.829355407
0.894481789,0.265135699,0.767371601,0.394103957,0.796775025,0.589703588,0.409249442,704,77,122977,173692,0.810358094,0.73968851
0.890074611,0.270642202,0.824022346,0.407458564,0.798207664,0.625,0.409249442,795,63,170403,234526,0.767006137,0.62910379
0.892373236,0.298210736,0.824175824,0.437956204,0.799557842,0.618670886,0.409249442,706,64,163626,228185,0.857640425,0.800998086
0.903497301,0.309072782,0.835579515,0.451237263,0.818920748,0.606796117,0.409249442,693,61,117095,179752,0.880595951,0.817033462
0.888571186,0.298449612,0.821333333,0.437810945,0.791422984,0.615384615,0.409249442,724,67,145708,201445,0.855380002,0.850508304
0.886011594,0.282926829,0.8033241,0.418470418,0.796857047,0.625407166,0.409249442,735,71,152086,207325,0.828528249,0.808975623
0.89994049,0.288167939,0.850704225,0.430506058,0.820049488,0.643322476,0.409249442,746,53,157114,218406,0.912839423,0.902557103
0.89187799,0.285714286,0.810958904,0.422555318,0.804971924,0.641109299,0.409249442,740,69,137401,178033,0.891330049,0.868680271
0.894801792,0.296150049,0.819672131,0.435097897,0.818975086,0.631840796,0.409249442,713,66,143476,206153,0.830799801,0.761697031
0.885102587,0.275449102,0.804664723,0.410408922,0.801925955,0.612850082,0.409249442,726,67,135542,197004,0.859556637,0.813894162
0.887214422,0.280453258,0.829608939,0.419195483,0.813780268,0.598694943,0.409249442,762,61,165060,224762,0.855593607,0.769902921
0.88903064,0.275731822,0.841498559,0.415362731,0.811628168,0.616013072,0.409249442,767,55,169419,227513,0.895985401,0.820966711
0.892404715,0.274561404,0.852861035,0.415394824,0.803538048,0.640944882,0.409249442,827,54,167613,238122,0.76881068,0.762583302
0.892116646,0.295275591,0.824175824,0.434782609,0.804546785,0.631133672,0.409249442,716,64,129812,189169,0.776482021,0.691595925
0.882450273,0.276669558,0.848404255,0.417266187,0.79759337,0.639810427,0.409249442,834,57,165139,224970,0.872424242,0.834823529
0.891024431,0.259624877,0.811728395,0.3934181,0.808642342,0.634894992,0.409249442,750,61,140687,199438,0.853634085,0.81465431
0.891374175,0.293666027,0.811671088,0.431289641,0.812769463,0.599009901,0.409249442,736,71,150068,219469,0.920643939,0.846998341
0.890749715,0.311737089,0.844783715,0.455418381,0.808741287,0.629032258,0.409249442,733,61,168728,236744,0.823671498,0.723281121
0.882076203,0.301130524,0.79403794,0.436661699,0.792178174,0.626279863,0.409249442,680,76,137771,201770,0.805555556,0.733566195
0.887640861,0.285009862,0.821022727,0.423133236,0.802479684,0.606973059,0.409249442,725,63,140803,182956,0.805732484,0.726879394
0.888916289,0.301239276,0.81865285,0.440418118,0.820205204,0.647342995,0.409249442,733,70,123857,197981,0.845443716,0.778644088
0.894407922,0.270870337,0.833333333,0.408847185,0.817229352,0.543103448,0.409249442,821,61,179587,241848,0.804008329,0.841033668
0.893083966,0.244680851,0.871720117,0.382108626,0.803891707,0.63968254,0.409249442,923,44,184195,253786,0.79080534,0.858853182
0.880774418,0.300380228,0.797979798,0.436464088,0.820327626,0.638263666,0.409249442,736,80,151077,218035,0.861862116,0.786820395
0.885060051,0.284274194,0.826979472,0.423105776,0.779504372,0.614238411,0.409249442,710,59,142866,182869,0.924842105,0.791798821
0.892663942,0.292537313,0.807692308,0.429510592,0.792778958,0.630841121,0.409249442,711,70,146676,202271,0.824209486,0.807276347
0.895595512,0.275598086,0.820512821,0.41260745,0.812476335,0.630541872,0.409249442,757,63,160440,217651,0.84960302,0.796036841
0.885793195,0.279344859,0.845730028,0.41997264,0.794184254,0.622291022,0.409249442,792,56,159604,207058,0.862736959,0.825294701
0.873907945,0.275598086,0.822857143,0.412903226,0.791547714,0.632520325,0.409249442,757,62,160220,221816,0.846161379,0.820502793
0.89473739,0.261966928,0.867435159,0.402406417,0.814659019,0.626391097,0.409249442,848,46,167167,217872,0.888196248,0.756775239
0.885875451,0.286437247,0.825072886,0.425244177,0.801437152,0.618181818,0.409249442,705,60,147577,207765,0.865049167,0.828296243
0.891504884,0.296153846,0.850828729,0.439372325,0.801322256,0.606666667,0.409249442,732,54,138283,186985,0.889249436,0.859914781
0.890725076,0.268463074,0.78425656,0.4,0.803565465,0.627980922,0.409249442,733,74,130978,174120,0.922726286,0.830034722
0.886187893,0.266266266,0.808510638,0.40060241,0.790787597,0.569805195,0.409249442,733,63,167539,223988,0.713829526,0.66274432
0.897320924,0.275568182,0.824362606,0.413058907,0.820234522,0.621848739,0.409249442,765,62,180018,237523,0.730893573,0.642251636
0.884587439,0.286982249,0.799450549,0.422351234,0.797902556,0.615853659,0.409249442,723,73,152951,219844,0.838591516,0.757331144
0.899194796,0.303482587,0.822102426,0.443313953,0.807735947,0.651017214,0.409249442,700,66,113495,167404,0.756738988,0.663855985
0.884483209,0.296601442,0.815864023,0.435045317,0.799276314,0.631490787,0.409249442,683,65,123571,168264,0.933301189,0.872157165
0.895530799,0.27576055,0.805157593,0.410818713,0.806434561,0.582524272,0.409249442,738,68,145330,204704,0.891796875,0.692871573
0.89247891,0.281481481,0.784660767,0.414330218,0.812420694,0.578512397,0.409249442,679,73,144210,192789,0.864276961,0.805652026
0.889826034,0.264298094,0.837912088,0.401844532,0.798288915,0.603993344,0.409249442,849,59,160202,230176,0.732894737,0.735595243
0.8987527,0.274685817,0.822580645,0.411843876,0.812387202,0.623397436,0.409249442,808,66,164306,231381,0.64204878,0.716094848
0.879863169,0.28379674,0.795698925,0.418374558,0.800233487,0.633825944,0.409249442,747,76,156410,209929,0.761547619,0.705673118
0.889471764,0.280737705,0.794202899,0.414837245,0.801709886,0.639570552,0.409249442,702,71,159564,213832,0.856534469,0.658520691
0.900721902,0.275568182,0.81971831,0.412473423,0.820694956,0.618441971,0.409249442,765,64,161656,205455,0.72030262,0.656284754
0.902594909,0.273641851,0.797653959,0.407490637,0.816543335,0.613376835,0.409249442,722,69,136975,189366,0.709401709,0.787566701
0.889638374,0.26641294,0.813953488,0.401433692,0.805853705,0.613924051,0.409249442,771,64,139573,202375,0.801587302,0.827763247
0.881776634,0.276555024,0.793956044,0.410220014,0.793093267,0.565359477,0.409249442,756,75,120057,183798,0.588461538,0.896403848
0.887867957,0.263157895,0.782608696,0.393873085,0.794020122,0.608087092,0.409249442,756,75,158931,209760,0.654255319,0.87877907
0.897577745,0.273458445,0.85,0.413793103,0.806176426,0.636661211,0.409249442,813,54,164150,240400,0.777108434,0.827501338
0.886465558,0.285862786,0.818452381,0.423728814,0.800703323,0.618210863,0.409249442,687,61,141502,206274,0.811403509,0.709486697
0.886601194,0.276615105,0.832876712,0.415300546,0.802958805,0.630114566,0.409249442,795,61,144719,207901,0.555555556,0.294567864
0.891237742,0.276672694,0.80104712,0.411290323,0.798904466,0.646496815,0.409249442,800,76,164060,232916,0.936813187,0.951464385
0.88899087,0.27092321,0.855585831,0.411533421,0.79424663,0.629752066,0.409249442,845,53,137415,209039,0.861328125,0.645597962
0.886226517,0.262839879,0.795731707,0.395155185,0.796956356,0.62195122,0.409249442,732,67,160829,214326,0.841517857,0.702430275
0.886420907,0.278810409,0.831024931,0.417536534,0.798841291,0.610921502,0.409249442,776,61,155631,227360,0.830729167,0.851082808
0.887550786,0.274611399,0.759312321,0.403348554,0.806176318,0.625201939,0.409249442,700,84,160519,216309,0.838636364,0.923433584
0.903580163,0.27598896,0.821917808,0.41322314,0.828492314,0.583860759,0.409249442,787,65,181637,247871,0.909090909,0.886904762
0.88662879,0.271665044,0.848024316,0.411504425,0.80557417,0.629690049,0.409249442,748,50,154672,205634,0.363636364,0.533333333
0.886574553,0.272140221,0.830985915,0.410006949,0.803063278,0.61682243,0.409249442,789,60,135437,199231,0.65625,0.79245283
0.883348046,0.290909091,0.820512821,0.429530201,0.799880356,0.61969697,0.409249442,702,63,140031,198974,0.62962963,0.772727273
0.889993327,0.301130524,0.78342246,0.435040831,0.802335082,0.631160572,0.409249442,680,81,136812,182856,,
0.895668465,0.286573146,0.817142857,0.424332344,0.805659117,0.623745819,0.409249442,712,64,122170,181574,,
0.890614147,0.301787592,0.808450704,0.439509954,0.80265562,0.610084034,0.409249442,664,68,123914,185776,,
0.900703449,0.278030994,0.81769437,0.414965986,0.819967672,0.616915423,0.409249442,792,68,134612,189425,,
0.880874968,0.27126231,0.853521127,0.411684783,0.790325201,0.634894992,0.409249442,814,52,173108,218573,,
0.891965625,0.271914132,0.856338028,0.412763069,0.806011765,0.648148148,0.409249442,814,51,168634,232945,,
0.886561704,0.281773399,0.783561644,0.414492754,0.793436398,0.642276423,0.409249442,729,79,135399,195640,,
0.885004023,0.282818533,0.834757835,0.422494593,0.79196458,0.662731872,0.409249442,743,58,141603,209394,,
0.882840069,0.265420561,0.827988338,0.401981599,0.79559615,0.666666667,0.409249442,786,59,150616,207402,,
0.880496742,0.320792079,0.826530612,0.462196862,0.787339276,0.611018364,0.409249442,686,68,142648,212206,,
0.889884256,0.283088235,0.841530055,0.423658872,0.806074642,0.640432099,0.409249442,780,58,148393,224701,,
0.896720843,0.256221198,0.801152738,0.388268156,0.807839391,0.614664587,0.409249442,807,69,153054,211830,,
