auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.840777425,0.243265993,0.793956044,0.37242268,0.749356074,0.782967033,0.348732178,899,75,137098,179831,0.885294118,0.773146479
0.855906476,0.278061224,0.829949239,0.41656051,0.771308574,0.80964467,0.348732178,849,67,128349,199033,0.783333333,0.878504673
0.845155106,0.259915612,0.8,0.392356688,0.755558544,0.78961039,0.348732178,877,77,135443,181445,0.901639344,0.852206273
0.843338493,0.257021277,0.796833773,0.388674389,0.753110336,0.773087071,0.348732178,873,77,136804,199880,0.816981132,0.809044221
0.846932711,0.27818854,0.775773196,0.40952381,0.759815496,0.765463918,0.348732178,781,87,122033,172646,0.880952381,0.884700665
0.839432909,0.260833333,0.812987013,0.394952681,0.760123823,0.8,0.348732178,887,72,138752,186142,0.45,0.620689655
0.845856128,0.284364261,0.799516908,0.419518378,0.760912549,0.775362319,0.348732178,833,83,133542,210172,0.722222222,0.760330579
0.845882595,0.252604167,0.81512605,0.385685885,0.763016543,0.803921569,0.348732178,861,66,125985,167117,0.925925926,0.813087396
0.837825203,0.290354331,0.748730964,0.418439716,0.755553509,0.736040609,0.348732178,721,99,113801,175297,0.991071429,0.565927778
0.851983964,0.268771331,0.82460733,0.405405405,0.771757163,0.806282723,0.348732178,857,67,131831,195646,0.658119658,0.562946743
0.830641241,0.26481149,0.772251309,0.394385027,0.751496357,0.761780105,0.348732178,819,87,146168,196872,0.766994267,0.23244964
0.834333453,0.280733945,0.76119403,0.410187668,0.751027973,0.753731343,0.348732178,784,96,144778,193743,0.78,0.790120183
0.848849371,0.281105991,0.800524934,0.416098226,0.771837664,0.790026247,0.348732178,780,76,113033,158817,0.769599303,0.688112668
0.844493319,0.272090989,0.803617571,0.406535948,0.763989614,0.788113695,0.348732178,832,76,113180,171608,0.832407407,0.757620559
0.838597914,0.260759494,0.813157895,0.394888179,0.762960134,0.794736842,0.348732178,876,71,146689,207447,0.836385836,0.608676767
0.827929592,0.251286449,0.757105943,0.377334192,0.736789291,0.754521964,0.348732178,873,94,128792,163334,0.86440678,0.851795497
0.850472746,0.266001663,0.826873385,0.402515723,0.767240713,0.80878553,0.348732178,883,67,128741,192742,0.895645646,0.813172633
0.842981758,0.264653641,0.807588076,0.398662207,0.767178732,0.791327913,0.348732178,828,71,132720,183649,0.747933884,0.829516228
0.851717151,0.272567923,0.818421053,0.408941486,0.771295689,0.8,0.348732178,830,69,149077,212688,0.915873016,0.88063587
0.851571438,0.268376068,0.824146982,0.404900064,0.771474356,0.800524934,0.348732178,856,67,137678,210171,0.81229297,0.785692951
0.848317375,0.279090114,0.824289406,0.416993464,0.776188684,0.819121447,0.348732178,824,68,129625,173623,0.695865303,0.677969814
0.852894302,0.263113367,0.818421053,0.398207426,0.763393673,0.805263158,0.348732178,871,69,141813,200722,0.82388664,0.761313436
0.848477231,0.271129707,0.805970149,0.405760802,0.757716275,0.793532338,0.348732178,871,78,128418,182764,0.853333333,0.753725782
