auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.775131826,0.36284153,0.672745694,0.4714235,0.702924376,0.475177305,0.351504145,1166,323,406918,870384,0.739935588,0.745561923
0.77176745,0.390243902,0.645962733,0.486549708,0.707939251,0.459627329,0.351504145,975,342,398497,808108,0.692073171,0.647580286
0.763645703,0.383171521,0.618599791,0.473221423,0.695836927,0.432601881,0.351504145,953,365,354252,784543,0.786046512,0.779531102
0.77289147,0.373038931,0.659815005,0.476614699,0.704619376,0.469681398,0.351504145,1079,331,401860,874218,0.801337793,0.765296892
0.77432929,0.371479928,0.66098081,0.475642501,0.71052925,0.462686567,0.351504145,1049,318,419888,834317,0.790935673,0.745852187
0.763495428,0.367274868,0.636734694,0.433333333,0.693176858,0.453061224,0.351504145,1075,356,403873,787544,0.822809278,0.737414728
0.787520609,0.383313886,0.682242991,0.453074434,0.720582217,0.484942887,0.351504145,1057,306,382357,813949,0.842964554,0.761740528
0.773449756,0.388122376,0.658189217,0.468937876,0.709173597,0.466937945,0.351504145,1020,336,340560,784424,0.908221408,0.84900651
0.777518393,0.386495925,0.661354582,0.432915921,0.708227784,0.453187251,0.351504145,1054,340,380584,840364,0.885856079,0.789490716
0.783816215,0.388954172,0.65805169,0.428318584,0.708102095,0.45526839,0.351504145,1040,344,368693,825115,0.796598639,0.683873419
0.79349782,0.405586592,0.70691334,0.460952381,0.73034626,0.500486855,0.351504145,1064,301,401582,866549,0.805980292,0.731992733
0.775822803,0.343568025,0.683877766,0.454237288,0.701100557,0.477344573,0.351504145,1240,300,410870,846173,0.788826007,0.742227605
0.763219773,0.36977676,0.659856997,0.441501104,0.702329111,0.449438202,0.351504145,1101,333,413338,827845,0.750442478,0.629318394
0.768123131,0.381665668,0.642137097,0.413127413,0.699778873,0.460685484,0.351504145,1032,355,362641,784498,0.767763845,0.678915791
0.772638376,0.370833333,0.6442606,0.451612903,0.700385415,0.469493278,0.351504145,1057,344,402754,783512,0.7403946,0.618326536
0.757998489,0.350590884,0.637666325,0.408817635,0.687188922,0.443193449,0.351504145,1154,354,390320,804104,0.730536131,0.6433068
0.767599324,0.356074207,0.625657203,0.465290807,0.688674553,0.43743428,0.351504145,1076,356,397927,804654,0.769747147,0.665482458
0.771108269,0.383233533,0.660474716,0.471042471,0.70986371,0.468524252,0.351504145,1030,329,400509,839360,0.800766284,0.690629371
0.77887088,0.379688402,0.668699187,0.401529637,0.710389132,0.469512195,0.351504145,1075,326,374363,821612,0.748146432,0.642956726
0.784962374,0.399536769,0.668604651,0.442655936,0.714660524,0.459302326,0.351504145,1037,342,390855,866851,0.69984127,0.604222222
0.778057327,0.39713467,0.678082192,0.400715564,0.717683597,0.468688845,0.351504145,1052,329,356292,849341,0.724137931,0.650340077
0.760798222,0.384376937,0.621242485,0.444084279,0.692123924,0.43987976,0.351504145,993,378,312314,737791,0.769704125,0.602966102
0.777243636,0.379388448,0.666666667,0.42582897,0.706945249,0.463681592,0.351504145,1096,335,369516,836141,0.737359684,0.708189472
0.779546254,0.38814994,0.6625387,0.435100548,0.713518525,0.460268318,0.351504145,1012,327,378308,827865,0.750692947,0.658309085
0.765048712,0.366550117,0.644467213,0.431818182,0.695526412,0.452868852,0.351504145,1087,347,420857,875150,0.74933687,0.683186877
0.784683674,0.391092129,0.668404588,0.443262411,0.719434946,0.473409802,0.351504145,998,318,414896,907484,0.768361582,0.698879711
0.781666116,0.38336242,0.660982949,0.469820555,0.710221741,0.468405216,0.351504145,1060,338,433374,909046,0.823743842,0.775176433
0.775956105,0.39420111,0.641566265,0.451730419,0.706121642,0.455823293,0.351504145,982,357,428883,858687,0.844523471,0.818546689
0.771867047,0.375890736,0.662827225,0.439393939,0.710029051,0.455497382,0.351504145,1051,322,382650,812001,0.83804843,0.781700156
0.788880255,0.405537459,0.711428571,0.455197133,0.728249053,0.504761905,0.351504145,1095,303,394391,883969,0.840603762,0.796923196
0.774286222,0.376852908,0.663654618,0.413662239,0.705129753,0.465863454,0.351504145,1093,335,372813,840430,0.815054087,0.723517019
0.784919863,0.38646789,0.68845761,0.429872495,0.721538382,0.48927477,0.351504145,1070,305,426509,890351,0.764484127,0.578529303
0.77182713,0.370918053,0.628392484,0.415686275,0.694867975,0.432150313,0.351504145,1021,356,391680,813849,0.814788459,0.557276581
0.766328026,0.366611204,0.681443299,0.454713494,0.710251445,0.480412371,0.351504145,1142,309,431087,859746,0.833923399,0.744992779
0.781031678,0.399144254,0.65694165,0.404371585,0.713984275,0.494969819,0.351504145,983,341,439237,872123,0.782638684,0.613426948
0.783220922,0.38365897,0.670113754,0.484210526,0.715417891,0.459152017,0.351504145,1041,319,415052,856764,0.680851064,0.499914456
0.770251066,0.369772999,0.65781084,0.435810811,0.70670917,0.444208289,0.351504145,1055,322,374499,771684,0.67581187,0.60330192
0.780632856,0.383826192,0.654320988,0.402390438,0.709252348,0.46399177,0.351504145,1021,336,412492,883221,0.767387218,0.699843845
0.776280006,0.39504717,0.650485437,0.438356164,0.705000225,0.459223301,0.351504145,1026,360,426660,890524,0.752083333,0.682476943
0.775135517,0.381118881,0.653346653,0.452205882,0.701656791,0.437562438,0.351504145,1062,347,400097,878027,0.666666667,0.8
0.774694323,0.373842593,0.665979381,0.432122371,0.706578658,0.471134021,0.351504145,1082,324,385463,815468,0.818181818,0.9
0.775104844,0.37888563,0.654508612,0.434482759,0.705574144,0.448834853,0.351504145,1059,341,375754,808076,0.142857143,0.25
0.770090814,0.37334934,0.641237113,0.456721915,0.698501388,0.453608247,0.351504145,1044,348,398332,803504,0.823218391,0.814067783
0.776736628,0.376021798,0.686567164,0.412451362,0.711870376,0.487562189,0.351504145,1145,315,429205,892631,0.826008476,0.801461034
0.763455827,0.366318377,0.630687831,0.504504505,0.694793552,0.442328042,0.351504145,1031,349,379521,752520,0.850098619,0.765311678
0.791118204,0.397555297,0.685742972,0.446529081,0.724407891,0.469879518,0.351504145,1035,313,379804,811488,0.845323741,0.803829561
0.769586238,0.35443038,0.665289256,0.421441774,0.697588595,0.45661157,0.351504145,1173,324,355011,786807,0.808694825,0.58844756
0.7789725,0.381345927,0.675026123,0.409961686,0.715898889,0.471264368,0.351504145,1048,311,381209,837522,0.735657546,0.730883681
0.774537004,0.390374332,0.6629667,0.444444444,0.712384403,0.463168517,0.351504145,1026,334,369253,816057,0.765862326,0.691695422
0.773176708,0.386271088,0.658077304,0.450281426,0.704951086,0.453914767,0.351504145,1055,345,403207,849059,0.824454078,0.729400522
0.773121641,0.380952381,0.684615385,0.467924528,0.70933009,0.468269231,0.351504145,1157,328,400494,865750,0.810096928,0.566149533
