auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.818365532,0.210526316,0.824175824,0.37242268,0.722672361,0.802197802,0.334430294,1125,64,212354,260994,0.838235294,0.773146479
0.834684206,0.2625,0.799492386,0.41656051,0.750656242,0.781725888,0.334430294,885,79,156546,225005,0.8,0.888888889
0.81918108,0.246262785,0.812987013,0.392356688,0.747415463,0.802597403,0.334430294,958,72,144283,194282,0.747540984,0.909349909
0.814510741,0.247364152,0.80474934,0.388674389,0.747125749,0.778364116,0.334430294,928,74,151109,217110,0.730188679,0.883793103
0.828155338,0.268248175,0.757731959,0.40952381,0.747450003,0.74742268,0.334430294,802,94,137978,186946,0.922619048,0.923133777
0.820883422,0.250197941,0.820779221,0.394952681,0.753169248,0.807792208,0.334430294,947,69,149628,200965,0.475,0.644067797
0.841724254,0.294813467,0.782608696,0.419518378,0.762740901,0.765700483,0.334430294,775,90,139218,212180,0.907407407,0.773948149
0.82571648,0.231678487,0.823529412,0.385685885,0.746349216,0.806722689,0.334430294,975,63,142997,186518,0.62037037,0.381849737
0.813633665,0.26716141,0.730964467,0.418439716,0.735320981,0.718274112,0.334430294,790,106,129054,185824,0.459821429,0.822123592
0.830278101,0.263473054,0.806282723,0.405405405,0.762448867,0.785340314,0.334430294,861,74,148665,215055,0.348901099,0.342003445
0.814446603,0.244761106,0.764397906,0.394385027,0.73378408,0.753926702,0.334430294,901,90,160747,214604,0.804668305,0.734970872
0.815657014,0.263793103,0.76119403,0.410187668,0.739215968,0.751243781,0.334430294,854,96,160811,214377,0.492307692,0.75869144
0.818490465,0.26691042,0.766404199,0.416098226,0.751539414,0.75328084,0.334430294,802,89,134992,181514,0.573170732,0.259751773
0.81932842,0.235336713,0.839793282,0.406535948,0.740321292,0.813953488,0.334430294,1056,62,161410,223254,0.778703704,0.77529985
0.822534442,0.256433008,0.760526316,0.394888179,0.744180924,0.747368421,0.334430294,838,91,139007,198617,0.843101343,0.79689107
0.815254273,0.241948803,0.757105943,0.377334192,0.729256316,0.749354005,0.334430294,918,94,156312,199125,0.865177196,0.86269684
0.831073932,0.260833333,0.80878553,0.402515723,0.758106787,0.790697674,0.334430294,887,74,119800,184727,0.861111111,0.862126932
0.8339436,0.25,0.818428184,0.398662207,0.758652526,0.799457995,0.334430294,906,67,150936,203674,0.863046045,0.864814815
0.825150673,0.254166667,0.802631579,0.408941486,0.752497674,0.784210526,0.334430294,895,75,165954,229556,0.811111111,0.808741259
0.824251338,0.242240727,0.839895013,0.404900064,0.753005797,0.811023622,0.334430294,1001,61,166123,239801,0.899521531,0.847932589
0.820618501,0.252230333,0.803617571,0.416993464,0.74942643,0.795865633,0.334430294,922,76,149221,198454,0.805520034,0.776038852
0.833921705,0.264069264,0.802631579,0.398207426,0.759670151,0.789473684,0.334430294,850,75,155279,213489,0.733603239,0.800175932
0.825808211,0.263463132,0.791044776,0.405760802,0.747528905,0.778606965,0.334430294,889,84,140334,195051,0.846666667,0.768430879
0.816192876,0.255050505,0.805851064,0.396421198,0.754939534,0.795212766,0.334430294,885,73,133186,188372,0.884615385,0.862016245
0.825903415,0.243421053,0.795698925,0.387671233,0.746438702,0.782258065,0.334430294,920,76,182449,237441,0.573033708,0.728571429
0.824684124,0.237442922,0.821052632,0.404639175,0.742208688,0.802631579,0.334430294,1002,68,211340,272808,0.589041096,0.74137931
0.833323545,0.239309827,0.832898172,0.388753056,0.749339976,0.806788512,0.334430294,1014,64,177920,257113,0.875,0.733333333
0.839466763,0.250393701,0.839050132,0.39157373,0.760383334,0.828496042,0.334430294,952,61,152460,195773,0.777777778,0.875
0.833992962,0.270816492,0.825123153,0.40390482,0.758310901,0.807881773,0.334430294,902,71,151110,209640,0.816993464,0.746402402
0.821622592,0.239624119,0.811671088,0.384466019,0.744216802,0.790450928,0.334430294,971,71,160031,213826,0.842998028,0.809323331
0.818737649,0.252129472,0.802168022,0.385667752,0.756557297,0.791327913,0.334430294,878,73,138650,189488,0.831528662,0.855456871
0.833880381,0.248847926,0.845953003,0.397022333,0.758494862,0.830287206,0.334430294,978,59,180758,237814,0.80316092,0.782703227
0.82271458,0.256849315,0.775193798,0.39656312,0.743427513,0.757105943,0.334430294,868,87,145443,210836,0.78255675,0.802098354
0.815815357,0.222595831,0.842239186,0.402994386,0.721887531,0.821882952,0.334430294,1156,62,218670,274952,0.831904762,0.775407564
0.830007722,0.254019293,0.806122449,0.398457584,0.749380683,0.788265306,0.334430294,928,76,144350,206065,0.787037037,0.813297206
0.830916559,0.236220472,0.819672131,0.376035692,0.747082332,0.808743169,0.334430294,970,66,139239,185748,0.618533453,0.846009822
0.817671668,0.242255759,0.813333333,0.394459103,0.744719472,0.789333333,0.334430294,954,70,140234,205229,0.743243243,0.701878066
0.813637102,0.238699445,0.783854167,0.395945946,0.734423062,0.765625,0.334430294,960,83,158412,217983,0.798831169,0.707969862
0.834329423,0.253673627,0.845360825,0.394169835,0.760078088,0.827319588,0.334430294,965,60,164032,225556,0.727941176,0.653404175
0.826898361,0.253367003,0.775773196,0.412234043,0.738775765,0.755154639,0.334430294,887,87,131599,200872,0.811846983,0.790669521
0.82175776,0.269893355,0.788968825,0.409400124,0.742471046,0.779376499,0.334430294,890,88,147135,189188,0.837941628,0.776608446
0.814614593,0.259560618,0.774271845,0.413576367,0.738031011,0.766990291,0.334430294,910,93,134726,174547,0.82007326,0.747820027
0.836170476,0.253488372,0.842783505,0.397748593,0.756412448,0.819587629,0.334430294,963,61,155234,228054,0.700949607,0.643281269
0.833300936,0.251039069,0.801061008,0.388116308,0.750916338,0.793103448,0.334430294,901,75,170177,214304,0.709372534,0.479250506
0.821518779,0.246732026,0.798941799,0.396856582,0.746609418,0.772486772,0.334430294,922,76,156113,225642,0.778540965,0.754826811
0.799105263,0.256734007,0.754950495,0.404298187,0.733883683,0.74009901,0.334430294,883,99,116864,173525,0.777639109,0.74323677
0.823281981,0.253634895,0.801020408,0.403773585,0.745939636,0.780612245,0.334430294,924,78,149911,212794,0.802074619,0.816009303
0.826694155,0.269391159,0.80952381,0.384761905,0.756853527,0.789473684,0.334430294,876,76,137336,207847,0.784816754,0.803954901
0.826134747,0.280112045,0.737100737,0.429065744,0.741726642,0.724815725,0.334430294,771,107,120146,174547,0.837574479,0.731577033
