auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.740084547,0.274855786,0.820668693,0.411794611,0.649051519,0.606889564,0.280061862,2137,177,372673,802535,0.617149758,0.510228553
0.742048262,0.28474831,0.784679089,0.41786108,0.664247055,0.579710145,0.280061862,1904,208,345128,722286,0.663617886,0.626732133
0.742445208,0.305160142,0.716823406,0.428081123,0.67936649,0.519331243,0.280061862,1562,271,327414,748093,0.705232558,0.703770178
0.743400324,0.297264682,0.75950668,0.427291125,0.674619594,0.565262076,0.280061862,1747,234,325798,748014,0.773244147,0.763150205
0.752794637,0.322803554,0.697228145,0.441295547,0.694137508,0.502132196,0.280061862,1372,284,336731,736809,0.724597953,0.682686446
0.73872916,0.296733569,0.769387755,0.428287418,0.674949056,0.57755102,0.280061862,1787,226,371877,735303,0.699312715,0.665963608
0.757064389,0.304048583,0.779854621,0.437518206,0.690530555,0.575285566,0.280061862,1719,212,319404,743084,0.794629431,0.618193472
0.757786393,0.334604385,0.714140387,0.455696203,0.695399687,0.526958291,0.280061862,1396,281,326469,762509,0.668091168,0.756718193
0.762269967,0.321504014,0.757968127,0.451498072,0.692071952,0.541832669,0.280061862,1606,243,299819,753098,0.775744417,0.703971749
0.7583451,0.319914347,0.742544732,0.447171506,0.687496961,0.539761431,0.280061862,1588,259,318243,757383,0.892687075,0.775562094
0.762924454,0.313755796,0.790652386,0.449239281,0.683177233,0.582278481,0.280061862,1776,215,333417,771178,0.815324499,0.731992733
0.739721486,0.265770424,0.812434141,0.400519481,0.648031618,0.586933614,0.280061862,2130,178,354965,768626,0.760989734,0.716819124
0.735693311,0.309296264,0.727272727,0.43401402,0.679788589,0.520939734,0.280061862,1590,267,315567,698468,0.694579646,0.65000915
0.736564473,0.300375469,0.725806452,0.424904102,0.66768439,0.54233871,0.280061862,1677,272,284183,673334,0.742946708,0.707018907
0.747686989,0.29795082,0.751809721,0.426768418,0.679042449,0.559462254,0.280061862,1713,240,333920,710929,0.730010384,0.673904128
0.727512233,0.30274802,0.665301945,0.416133163,0.664372445,0.474923234,0.280061862,1497,327,340453,741127,0.706526807,0.507921108
0.748681929,0.364285714,0.589905363,0.450421517,0.678261478,0.431125131,0.280061862,979,390,323205,715533,0.765271873,0.716284132
0.750122616,0.306689104,0.752321981,0.435744172,0.683356703,0.547987616,0.280061862,1648,240,350101,788426,0.754363559,0.717772449
0.7602556,0.309290954,0.771341463,0.441535777,0.687734776,0.56300813,0.280061862,1695,225,327938,764386,0.74536608,0.683630149
0.763254036,0.353525793,0.723837209,0.475039746,0.706193553,0.521317829,0.280061862,1366,285,349232,794054,0.693968254,0.70738676
0.734650531,0.272302038,0.797455969,0.405977584,0.632890452,0.580234834,0.280061862,2178,207,319556,769788,0.708716475,0.594962409
0.726405785,0.277896233,0.783567134,0.410283316,0.645391117,0.587174349,0.280061862,2032,216,297346,694192,0.770992093,0.662087639
0.746231269,0.30142253,0.780099502,0.434830837,0.675525754,0.566169154,0.280061862,1817,221,303813,750644,0.792110672,0.711929129
0.755706064,0.309337721,0.776057792,0.442352941,0.691294596,0.561403509,0.280061862,1679,217,337746,768741,0.715706806,0.709500857
0.751353427,0.321328344,0.703893443,0.441233141,0.68526291,0.518442623,0.280061862,1451,289,350563,791112,0.74403183,0.516056349
0.759411004,0.307158351,0.73826903,0.433823529,0.68680735,0.55265902,0.280061862,1597,251,362289,836701,0.745127119,0.684863709
0.7575224,0.318642574,0.725175527,0.442743417,0.68894529,0.536609829,0.280061862,1546,274,336844,782330,0.779310345,0.76459863
0.759585654,0.305379747,0.775100402,0.438138479,0.682829569,0.574297189,0.280061862,1756,224,360045,773814,0.863584637,0.80571116
0.744221637,0.302816901,0.720418848,0.426402231,0.678584767,0.517277487,0.280061862,1584,267,327120,732048,0.777151762,0.714927798
0.762322065,0.313230994,0.816190476,0.452720549,0.678011821,0.60952381,0.280061862,1879,193,351706,797277,0.76458037,0.706873117
0.755293316,0.304795878,0.772088353,0.437055982,0.679219863,0.565261044,0.280061862,1754,227,309774,756156,0.834985978,0.726847281
0.750007156,0.265660872,0.827374872,0.402184707,0.636630737,0.607763023,0.280061862,2239,169,360097,778007,0.761507937,0.658606213
0.740419535,0.303595206,0.713987474,0.426035503,0.678121009,0.525052192,0.280061862,1569,274,305848,698732,0.711023418,0.696698002
0.73482576,0.279335793,0.780412371,0.411413043,0.658619281,0.578350515,0.280061862,1953,213,348034,736339,0.820663019,0.786004195
0.754399001,0.295118343,0.802816901,0.43158464,0.67386955,0.617706237,0.280061862,1906,196,386173,792437,0.753768844,0.71808547
0.75293724,0.306553911,0.749741468,0.43517407,0.686102214,0.543950362,0.280061862,1640,242,344114,759494,0.704609929,0.567574577
0.736168782,0.283886445,0.754516472,0.412550843,0.667931434,0.541976621,0.280061862,1791,231,309147,671038,0.734742441,0.496327206
0.750969865,0.315135375,0.730452675,0.440310078,0.689365147,0.54526749,0.280061862,1543,262,342355,780415,0.833176692,0.745653163
0.749798972,0.343079922,0.683495146,0.456846204,0.686761612,0.510679612,0.280061862,1348,326,351040,771954,0.833333333,0.771291866
0.746862791,0.313573883,0.729270729,0.438570141,0.677362115,0.524475524,0.280061862,1598,271,333106,782574,0.636363636,0.777777778
0.740564697,0.284218399,0.783505155,0.41712404,0.660703776,0.583505155,0.280061862,1914,210,317351,697515,0.428571429,0.6
0.752949739,0.316674038,0.725430598,0.4408867,0.687086172,0.511651469,0.280061862,1545,271,346931,750071,0.777011494,0.742724375
0.748565296,0.307457479,0.726804124,0.432117683,0.680037632,0.532989691,0.280061862,1588,265,343806,736369,0.804504787,0.730534495
0.758271543,0.284508944,0.83880597,0.424899194,0.657317013,0.617910448,0.280061862,2120,162,369313,818437,0.837913653,0.632731816
0.743317021,0.30341281,0.686772487,0.420881971,0.673752008,0.486772487,0.280061862,1490,296,339230,706778,0.874100719,0.670535103
0.760812586,0.320786997,0.753012048,0.449910018,0.694116641,0.549196787,0.280061862,1588,246,320936,720742,0.841086377,0.670812612
0.737677332,0.290194522,0.755165289,0.41927158,0.667866328,0.544421488,0.280061862,1788,237,322633,732274,0.737555163,0.780871798
0.754812557,0.311179577,0.73876698,0.437906473,0.687869082,0.525600836,0.280061862,1565,250,303511,739608,0.73130051,0.7122901
0.748075537,0.298148878,0.763874874,0.428895184,0.672857879,0.550958628,0.280061862,1782,234,349924,766554,0.751156069,0.728673291
0.744289098,0.320540776,0.728444004,0.445184737,0.681954084,0.524281467,0.280061862,1558,274,335223,755805,0.80119103,0.727737865
0.750723962,0.348680807,0.648076923,0.45341406,0.67908147,0.453846154,0.280061862,1259,366,322674,752092,0.806667371,0.634855766
0.762471441,0.324568966,0.750747757,0.453204935,0.69542938,0.546360917,0.280061862,1567,250,325410,740976,0.790490148,0.720130833
0.766888024,0.339972838,0.734115347,0.464727723,0.69929821,0.537634409,0.280061862,1458,272,329953,789051,0.723218458,0.678456883
0.761542391,0.315068493,0.73015873,0.440191388,0.693388476,0.514285714,0.280061862,1500,255,317534,771753,0.743769547,0.701546778
0.746587626,0.303067993,0.743641913,0.430633284,0.674544763,0.550356053,0.280061862,1681,252,378685,800051,0.807502255,0.691535744
0.746583014,0.30451448,0.737874097,0.431112451,0.680319423,0.560371517,0.280061862,1633,254,303028,740768,0.76255025,0.681340339
0.755912762,0.306893688,0.765803109,0.438185591,0.687889515,0.576165803,0.280061862,1669,226,297816,651057,0.666696642,0.657853513
0.756414185,0.312109863,0.756811302,0.441956394,0.688732687,0.560040363,0.280061862,1653,241,360151,727423,0.708380393,0.750944986
0.741894083,0.293222182,0.789268293,0.427589852,0.658028385,0.581463415,0.280061862,1950,216,315751,762877,0.74947644,0.524722348
0.766527475,0.302902979,0.800201816,0.439456913,0.683937906,0.571140262,0.280061862,1825,198,350260,771678,0.739328742,0.774319543
0.74977769,0.294094488,0.772492244,0.426005133,0.671716344,0.56876939,0.280061862,1793,220,291452,675154,0.775382902,0.75777599
0.746451694,0.317906574,0.741675076,0.445049955,0.684908422,0.548940464,0.280061862,1577,256,328948,736341,0.786780866,0.766407164
0.764651623,0.314611155,0.793069307,0.450506187,0.686462465,0.596039604,0.280061862,1745,209,301752,716362,0.859407172,0.627711928
0.756291423,0.320586928,0.734964322,0.446439628,0.692248597,0.525993884,0.280061862,1528,260,311873,701577,0.830357143,0.60052978
0.723172752,0.265595816,0.759615385,0.393578743,0.648588946,0.571581197,0.280061862,1966,225,323981,717016,0.812068362,0.679712844
0.751726649,0.311157025,0.743336624,0.438683367,0.680525178,0.543928924,0.280061862,1667,260,316119,768669,0.795705212,0.703300846
