auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.852104587,0.279187817,0.755494505,0.474437628,0.76212067,0.75,0.379636638,710,89,126153,171218,0.810294118,0.820629779
0.860352756,0.304015296,0.807106599,0.47755102,0.781740412,0.794416244,0.379636638,728,76,122041,193397,0.833333333,0.909090909
0.853275594,0.289911851,0.768831169,0.503816794,0.766023783,0.761038961,0.379636638,725,89,125070,171273,0.849180328,0.887561032
0.858456643,0.300411523,0.770448549,0.492374728,0.772971876,0.754617414,0.379636638,680,87,102733,167331,0.783018868,0.854741379
0.854957605,0.303405573,0.757731959,0.469827586,0.768246031,0.75,0.379636638,675,94,120723,166092,0.928571429,0.914333205
0.855767911,0.298755187,0.748051948,0.479830149,0.763622567,0.742857143,0.379636638,676,97,110125,154963,0.5,0.666666667
0.859852593,0.332978723,0.756038647,0.486257928,0.773998067,0.741545894,0.379636638,627,101,119229,193333,0.833333333,0.773948149
0.858684728,0.283119658,0.742296919,0.504310345,0.759596069,0.733893557,0.379636638,671,92,116458,153760,0.796296296,0.873275178
0.85352863,0.303703704,0.728426396,0.47,0.75531495,0.720812183,0.379636638,658,107,99644,158332,0.870535714,0.599939184
0.859390322,0.304864865,0.738219895,0.435897436,0.764463308,0.732984293,0.379636638,643,100,99383,161675,0.722222222,0.69546488
0.846282774,0.303128371,0.735602094,0.492027335,0.761378307,0.727748691,0.379636638,646,101,117880,169152,0.872440622,0.842430779
0.846294214,0.30620985,0.711442786,0.450116009,0.747757884,0.706467662,0.379636638,648,116,129118,179570,0.837846154,0.768197225
0.849612497,0.304494382,0.711286089,0.48172043,0.752916097,0.706036745,0.379636638,619,110,104688,146650,0.776132404,0.688707999
0.851487488,0.310969116,0.754521964,0.486140725,0.770673633,0.749354005,0.379636638,647,95,95328,154368,0.790277778,0.771756979
0.858301893,0.296566077,0.75,0.490740741,0.765212251,0.739473684,0.379636638,676,95,101099,160447,0.862942613,0.758913018
0.854604886,0.296875,0.736434109,0.486997636,0.758486551,0.733850129,0.379636638,675,102,105469,142782,0.899460709,0.864682846
0.865445916,0.323308271,0.777777778,0.449339207,0.786071424,0.77002584,0.379636638,630,86,99325,159549,0.802927928,0.808596715
0.857098221,0.297354497,0.761517615,0.498007968,0.771941962,0.74796748,0.379636638,664,88,120757,172445,0.857438017,0.85515873
0.856231707,0.307939914,0.755263158,0.453781513,0.771340035,0.742105263,0.379636638,645,93,119256,177494,0.875,0.866782007
0.86162118,0.307609861,0.75328084,0.469635628,0.771582012,0.74015748,0.379636638,646,94,106014,176150,0.843393449,0.770638718
0.847536781,0.282857143,0.76744186,0.505854801,0.760732754,0.759689922,0.379636638,753,90,111575,159466,0.859335038,0.755962039
0.866940844,0.305613306,0.773684211,0.496969697,0.776424031,0.760526316,0.379636638,668,86,115581,171722,0.772064777,0.7430305
0.848410277,0.298507463,0.746268657,0.50513347,0.756648665,0.736318408,0.379636638,705,102,93531,147503,0.904166667,0.81961945
0.846318737,0.311138015,0.683510638,0.48,0.744887772,0.680851064,0.379636638,569,119,93549,143961,0.870192308,0.797463966
0.8579171,0.294748124,0.739247312,0.506550218,0.762070303,0.733870968,0.379636638,658,97,133363,185262,0.505617978,0.671641791
0.864884625,0.298828125,0.805263158,0.501992032,0.784464795,0.794736842,0.379636638,718,74,146625,205460,0.630136986,0.773109244
0.856432944,0.297435897,0.757180157,0.453514739,0.768448392,0.746736292,0.379636638,685,93,125956,194854,0.875,0.933333333
0.858643444,0.292756539,0.767810026,0.467532468,0.769109661,0.762532982,0.379636638,703,88,125209,165565,0.912490922,0.823203138
0.864169928,0.313976378,0.785714286,0.467120181,0.775689699,0.775862069,0.379636638,697,87,113674,168185,0.88816568,0.820708867
0.85848802,0.301502146,0.74535809,0.464,0.765918531,0.737400531,0.379636638,651,96,116784,164824,0.841082803,0.817776948
0.852230136,0.297441365,0.756097561,0.468937876,0.770409254,0.74796748,0.379636638,659,90,113285,163242,0.815373563,0.794519043
0.858022635,0.295774648,0.767624021,0.517598344,0.769318808,0.765013055,0.379636638,700,89,129086,182317,0.836917563,0.803889836
0.851492111,0.300540541,0.718346253,0.468503937,0.751433604,0.710594315,0.379636638,647,109,93880,156342,0.888571429,0.720046224
0.854378991,0.30802139,0.732824427,0.438914027,0.759240842,0.72519084,0.379636638,647,105,125130,174033,0.812071331,0.813297206
0.854558062,0.307368421,0.744897959,0.501010101,0.764635987,0.742346939,0.379636638,658,100,87978,142513,0.688142174,0.672576279
0.858206158,0.282630029,0.786885246,0.492170022,0.77309146,0.784153005,0.379636638,731,78,107273,153839,0.80748497,0.736347201
0.841379571,0.278654048,0.706666667,0.473214286,0.738255832,0.696,0.379636638,686,110,102006,158650,0.745032468,0.677866553
0.850850119,0.304347826,0.765625,0.514403292,0.773609077,0.755208333,0.379636638,672,90,114248,173603,0.76622549,0.709060804
0.857993749,0.307609861,0.739690722,0.481481481,0.763491323,0.729381443,0.379636638,646,101,123019,179424,0.794742164,0.753173723
0.862751702,0.30583501,0.783505155,0.473067916,0.776412992,0.778350515,0.379636638,690,84,83714,144289,0.870295699,0.817476079
