auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.851736432,0.457648546,0.733535968,0.517501108,0.768246883,0.555217832,0.467870807,858,263,309958,760120,0.55958132,0.605565727
0.852279337,0.460227273,0.754658385,0.50104773,0.77867129,0.577639752,0.467870807,855,237,348979,762370,0.69054878,0.661538462
0.841633944,0.462126477,0.694879833,0.520781847,0.756474705,0.524555904,0.467870807,774,292,229664,652160,0.658139535,0.725092874
0.834043728,0.462876254,0.711202467,0.500451671,0.761700198,0.538540596,0.467870807,803,281,299247,758016,0.796655518,0.762977374
0.861389005,0.451132686,0.743070362,0.520383159,0.775359642,0.552238806,0.467870807,848,241,334883,753674,0.79130117,0.714403207
0.847624715,0.461731493,0.751020408,0.511478421,0.777133381,0.571428571,0.467870807,858,244,341851,737218,0.797573024,0.74955665
0.850423044,0.471685543,0.735202492,0.502018843,0.776799703,0.557632399,0.467870807,793,255,299196,723572,0.858539205,0.822796
0.8359724,0.451633987,0.702950153,0.510036496,0.752698089,0.523906409,0.467870807,839,292,278736,717716,0.813288563,0.796275862
0.857476808,0.476310802,0.750996016,0.507191857,0.779936926,0.549800797,0.467870807,829,250,269190,744416,0.863756203,0.701527197
0.849250344,0.465,0.739562624,0.504664391,0.771144082,0.554671968,0.467870807,856,262,305598,764208,0.791071429,0.71945259
0.862819895,0.476829268,0.761441091,0.509349955,0.781494542,0.577409932,0.467870807,858,245,302202,751210,0.805300714,0.702241286
0.858439761,0.449873096,0.747102213,0.506329114,0.774719059,0.559536354,0.467870807,867,240,354098,793568,0.800473809,0.70494967
0.84477279,0.458618544,0.752808989,0.513157895,0.776290514,0.547497446,0.467870807,870,242,337741,754374,0.791039823,0.668218748
0.84372136,0.476666667,0.720766129,0.51598579,0.768509645,0.559475806,0.467870807,785,277,284327,685886,0.775862069,0.687818221
0.852565707,0.472375691,0.707342296,0.501704158,0.765084108,0.557394002,0.467870807,764,283,264037,628814,0.681810315,0.607360046
0.840344447,0.457537854,0.71136131,0.497136312,0.761301746,0.532241556,0.467870807,824,282,306399,713368,0.672377622,0.611958878
0.852127535,0.449582531,0.736067298,0.511513526,0.770854516,0.565720294,0.467870807,857,251,276066,670589,0.790557172,0.703674538
0.8507791,0.458868895,0.736842105,0.510638298,0.770747981,0.559339525,0.467870807,842,255,320093,757081,0.828863346,0.717772449
0.855617075,0.466025641,0.738821138,0.502135311,0.773546578,0.548780488,0.467870807,833,257,279858,722576,0.677479147,0.616078783
0.860410511,0.49734748,0.726744186,0.515505618,0.775446926,0.548449612,0.467870807,758,282,280647,735129,0.75047619,0.750887981
0.843681131,0.471005155,0.715264188,0.516573971,0.762279756,0.528375734,0.467870807,821,291,279587,771073,0.746312261,0.671871024
0.849384223,0.463665595,0.72244489,0.509164969,0.7639055,0.538076152,0.467870807,834,277,260104,688183,0.769954563,0.66017162
0.849240095,0.470777136,0.729353234,0.517073171,0.769466629,0.546268657,0.467870807,824,272,268111,732675,0.793438735,0.740135953
0.848825844,0.464448793,0.734778122,0.50156041,0.772485595,0.544891641,0.467870807,821,257,302173,746822,0.73341546,0.6984972
0.85350864,0.461588121,0.732581967,0.505991409,0.769687154,0.546106557,0.467870807,834,261,332188,789986,0.764091512,0.663754571
0.846488177,0.449322143,0.725755996,0.516354121,0.765369153,0.548488008,0.467870807,853,263,295362,780919,0.811087571,0.718351553
0.84991791,0.458943348,0.723169509,0.510222222,0.765380757,0.554663992,0.467870807,850,276,303961,766646,0.859408867,0.768235047
0.84272716,0.465494792,0.717871486,0.497848245,0.764287874,0.542168675,0.467870807,821,281,371903,799749,0.87254623,0.839499393
0.849017043,0.454718176,0.751832461,0.498552016,0.777417129,0.563350785,0.467870807,861,237,311924,727097,0.861424119,0.816362421
0.860159284,0.479500891,0.768571429,0.503652968,0.782349112,0.576190476,0.467870807,876,243,307770,795335,0.857120278,0.781891566
0.853506269,0.466459627,0.754016064,0.51174234,0.778069977,0.565261044,0.467870807,859,245,309120,787335,0.822516026,0.727365759
0.848353356,0.448148148,0.741573034,0.504197967,0.768453803,0.5546476,0.467870807,894,253,361149,819650,0.767625661,0.682006175
0.828918715,0.449208443,0.71085595,0.506758305,0.759078196,0.539665971,0.467870807,835,277,305627,721923,0.761935567,0.636966288
0.842478705,0.446153846,0.74742268,0.505711775,0.770997056,0.563917526,0.467870807,900,245,381970,802296,0.816704216,0.714991929
0.856240222,0.474055093,0.744466801,0.502417684,0.777930704,0.589537223,0.467870807,821,254,339466,775227,0.841807075,0.692349675
0.848359841,0.469807565,0.732161324,0.498772047,0.774221328,0.558428128,0.467870807,799,259,310287,731293,0.720921986,0.584115792
