auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.796814264,0.147040102,0.777777778,0.24732334,0.716230093,0.734006734,0.232760091,2680,132,649357,792952,0.765911072,0.629644993
0.805810067,0.144067797,0.785079929,0.243459102,0.722554263,0.758436945,0.232760091,2626,121,618860,730928,0.84,0.728274408
0.797225551,0.140568813,0.787545788,0.238557559,0.723944222,0.756410256,0.232760091,2629,116,619751,760618,0.865172956,0.791049999
0.806062549,0.147456536,0.804920914,0.249251701,0.729342555,0.769771529,0.232760091,2648,111,609084,741190,0.798946444,0.729366679
0.797504543,0.148400272,0.75826087,0.248220894,0.718694469,0.735652174,0.232760091,2502,139,545112,655797,0.795868347,0.676729249
0.791390077,0.141041931,0.780316344,0.238902341,0.715571307,0.741652021,0.232760091,2704,125,597087,728148,0.827272727,0.741131617
0.792936721,0.149054142,0.778534923,0.250205311,0.720593621,0.746166951,0.232760091,2609,130,606097,728480,0.828311813,0.732618885
0.796203625,0.148643889,0.744268078,0.247798004,0.717914277,0.717813051,0.232760091,2417,145,534921,671042,0.733551198,0.613200575
0.795018145,0.140752864,0.754385965,0.237241379,0.709283817,0.721052632,0.232760091,2625,140,560624,669634,0.783278328,0.687152551
0.800464134,0.141013825,0.796875,0.239624119,0.715281925,0.758680556,0.232760091,2796,117,688101,831851,0.820546353,0.694085416
0.801670106,0.156527056,0.808846761,0.262295082,0.724468687,0.777251185,0.232760091,2759,121,661722,804586,0.801443001,0.639976933
0.808089247,0.143500644,0.785211268,0.24265506,0.719641534,0.75528169,0.232760091,2662,122,551392,666155,0.703319793,0.568271803
0.803236043,0.149108044,0.766435986,0.249647788,0.719877108,0.742214533,0.232760091,2528,135,563023,687451,0.604622685,0.579693025
0.799541957,0.154135338,0.774914089,0.257126568,0.727494575,0.73024055,0.232760091,2475,131,549788,716490,0.636076505,0.578532273
0.792794102,0.138594803,0.770053476,0.234910277,0.713183422,0.73083779,0.232760091,2685,129,598329,740035,0.732421875,0.644888889
