auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.76073107,0.133757962,0.702341137,0.224719101,0.706752383,0.581939799,0.205379995,2720,178,1049155,1288973,0.746948561,0.605913109
0.761716449,0.138216772,0.679153094,0.229688791,0.699879975,0.56514658,0.205379995,2600,197,1100965,1361042,0.824615385,0.607991014
0.77618834,0.136714814,0.694539249,0.228459164,0.709815305,0.575085324,0.205379995,2570,179,1161868,1426004,0.850235849,0.772142812
0.762277676,0.135693215,0.678688525,0.226167714,0.697669572,0.581967213,0.205379995,2637,196,1015512,1250179,0.784313725,0.694107677
0.768564241,0.141478029,0.695581015,0.235131397,0.709384197,0.603927987,0.205379995,2579,186,976273,1199077,0.810559006,0.698281231
0.764928373,0.138842975,0.673076923,0.230200055,0.696627676,0.556089744,0.205379995,2605,204,995970,1237394,0.833133971,0.767703704
0.763538789,0.139236111,0.645732689,0.229077406,0.688779546,0.544283414,0.205379995,2479,220,944507,1183141,0.826398852,0.724535584
0.757122255,0.133290197,0.676518883,0.222702703,0.694377612,0.574712644,0.205379995,2679,197,1093002,1314186,0.731808279,0.618705036
0.765320601,0.144582245,0.690031153,0.239071775,0.704875141,0.565420561,0.205379995,2621,199,1028736,1304452,0.746974697,0.65046607
0.762020241,0.136968085,0.6592,0.226809799,0.689168569,0.5424,0.205379995,2596,213,1169373,1441857,0.831299041,0.705576307
0.767918883,0.135135135,0.691927512,0.226110363,0.703419984,0.561779242,0.205379995,2688,187,1067309,1319516,0.790102863,0.616017579
0.763021578,0.148224044,0.680250784,0.243409983,0.705149751,0.5830721,0.205379995,2494,204,889760,1121582,0.72231426,0.562931493
0.768303582,0.131502423,0.685185185,0.220656004,0.698094572,0.584175084,0.205379995,2688,187,927374,1163552,0.619608971,0.603446381
0.764551019,0.129285015,0.65890183,0.216157205,0.685555553,0.527454243,0.205379995,2667,205,1131495,1408360,0.670089859,0.598973476
0.75999063,0.133813851,0.687600644,0.224029381,0.695973468,0.565217391,0.205379995,2764,194,1058076,1341294,0.728482003,0.640502572
0.764148001,0.133000312,0.688206785,0.222919937,0.69723721,0.592891761,0.205379995,2777,193,1028221,1269522,0.765,0.733983731
0.759706638,0.141478029,0.663026521,0.233196159,0.691539944,0.56474259,0.205379995,2579,216,1078410,1326964,0.573060797,0.743190661
0.7821979,0.146033853,0.702875399,0.241824677,0.712441714,0.583067093,0.205379995,2573,186,1083217,1339427,0.567180617,0.708427943
0.777101446,0.138311279,0.724422442,0.232275132,0.715698371,0.592409241,0.205379995,2735,167,1090428,1365445,0.786983132,0.705768112
0.760408294,0.132666236,0.673770492,0.221682848,0.69304262,0.547540984,0.205379995,2687,199,1076469,1308586,0.803215354,0.668490998
0.760766616,0.131424854,0.663382594,0.21938637,0.68902325,0.55500821,0.205379995,2670,205,1118859,1383875,0.816022153,0.688212556
0.760411834,0.132259147,0.646962233,0.219620959,0.683782826,0.556650246,0.205379995,2585,215,959539,1172521,0.774823332,0.734446112
0.765980564,0.132002576,0.676567657,0.220905172,0.693770539,0.562706271,0.205379995,2696,196,1088472,1333874,0.747699005,0.705521521
0.760947228,0.136860068,0.662809917,0.226874116,0.694349709,0.560330579,0.205379995,2529,204,977473,1227388,0.763547758,0.729986431
0.757868176,0.136880857,0.676033058,0.227664904,0.699958407,0.58677686,0.205379995,2579,196,1011048,1236759,0.80335702,0.75517067
0.756781898,0.136437116,0.678456592,0.227187079,0.697779762,0.559485531,0.205379995,2671,200,1063113,1282857,0.803224553,0.735820371
0.756285583,0.133312223,0.690163934,0.223460722,0.69883584,0.572131148,0.205379995,2737,189,1065654,1300871,0.79525463,0.61076623
0.77268518,0.135322693,0.651085142,0.224073542,0.689941992,0.547579299,0.205379995,2492,209,1041866,1272598,0.855592593,0.739745143
0.766322434,0.142039717,0.676282051,0.234770515,0.70128128,0.576923077,0.205379995,2549,202,1001999,1274366,0.836093042,0.736533916
0.74309009,0.130012937,0.630094044,0.215549598,0.668930436,0.539184953,0.205379995,2690,236,1034101,1259324,0.777745393,0.736039102
0.762724488,0.134486071,0.67961165,0.224538893,0.694963204,0.55987055,0.205379995,2703,198,1020457,1280230,0.774669775,0.740475099
0.74731271,0.135026738,0.645367412,0.223327805,0.682448691,0.549520767,0.205379995,2588,222,912658,1143375,0.806648723,0.772117808
0.756002542,0.129508197,0.637096774,0.215258856,0.674522744,0.537096774,0.205379995,2655,225,1028127,1259891,0.769620831,0.765609858
0.772221706,0.139375,0.683001531,0.231507916,0.693436104,0.543644717,0.205379995,2754,207,1221608,1528636,0.782720186,0.735601878
0.756507766,0.136248416,0.678233438,0.226912929,0.693008677,0.578864353,0.205379995,2726,204,1144285,1374257,0.731438949,0.7643399
0.770992863,0.142347601,0.706924316,0.236977058,0.71355795,0.600644122,0.205379995,2645,182,1058280,1311478,0.788724812,0.771453537
0.752291159,0.129719264,0.661184211,0.216886971,0.686290772,0.550986842,0.205379995,2697,206,1032760,1275494,0.78,0.691977604
0.772333346,0.140717629,0.709119497,0.234834678,0.705799682,0.581761006,0.205379995,2754,185,1080031,1318578,0.674839744,0.663881083
0.776472341,0.143090493,0.694136292,0.237269772,0.707434331,0.568938193,0.205379995,2623,193,1137033,1420599,0.480983302,0.724510884
0.751201867,0.133099266,0.670418006,0.222103862,0.689373445,0.561093248,0.205379995,2716,205,1030524,1276431,0.718648649,0.748595259
0.770754374,0.141138211,0.692185008,0.234467855,0.703034329,0.590111643,0.205379995,2641,193,1004647,1243892,0.763574211,0.743292652
0.765883587,0.1370779,0.647709321,0.226269316,0.684758873,0.543443918,0.205379995,2581,223,1036501,1319070,0.589699571,0.741599788
0.750859455,0.147502514,0.658682635,0.241029855,0.691452011,0.558383234,0.205379995,2543,228,892134,1155486,0.794313725,0.706280488
0.76013801,0.127680633,0.655932203,0.213753107,0.685761249,0.562711864,0.205379995,2644,203,1049046,1272285,0.733843537,0.647690543
0.769910296,0.128674069,0.690017513,0.216900633,0.703031502,0.595446585,0.205379995,2668,177,1165643,1390691,0.741958289,0.776650221
0.767172219,0.128826531,0.672212978,0.216216216,0.689734976,0.53577371,0.205379995,2732,197,997982,1262604,0.559118886,0.686113101
0.755764497,0.131587153,0.667721519,0.219848919,0.685085799,0.563291139,0.205379995,2785,210,1089871,1358433,0.72407932,0.714628882
0.756769988,0.142810026,0.664110429,0.235070575,0.691748912,0.550613497,0.205379995,2599,219,1247760,1505665,0.796183356,0.743677746
0.756109355,0.139651708,0.653605016,0.23013245,0.68809993,0.526645768,0.205379995,2569,221,1100765,1387907,0.796774194,0.674926153
0.767559653,0.13477975,0.691399663,0.225584594,0.704331707,0.613827993,0.205379995,2632,183,895195,1081299,0.665573119,0.6535793
0.755661807,0.137248643,0.676100629,0.228177235,0.694908906,0.573899371,0.205379995,2703,206,1042932,1280550,0.607253428,0.663657347
0.779228288,0.135443038,0.716917923,0.227841363,0.713222989,0.608040201,0.205379995,2732,169,952924,1206186,0.624074074,0.598521312
0.74749152,0.129809196,0.667202572,0.217334381,0.68419988,0.57073955,0.205379995,2782,207,850475,1090110,0.623742455,0.713412031
0.760083335,0.133816744,0.660162602,0.22252672,0.688977767,0.56097561,0.205379995,2628,209,1036718,1261782,0.686601942,0.756582375
0.76145866,0.134171196,0.649671053,0.22240991,0.687922118,0.574013158,0.205379995,2549,213,917270,1117934,0.66177686,0.804933957
0.773098422,0.143466842,0.701444623,0.238212047,0.71093024,0.552166934,0.205379995,2609,186,1130553,1425189,0.703497024,0.778937667
0.75108542,0.125292349,0.63559322,0.209321797,0.676509555,0.549152542,0.205379995,2618,215,881257,1081072,0.650475543,0.665463526
0.763351384,0.13568167,0.685337727,0.226517833,0.699872892,0.556836903,0.205379995,2650,191,1142760,1396463,0.539149374,0.81664471
0.775285816,0.137191157,0.697520661,0.22928552,0.705974881,0.59338843,0.205379995,2654,183,1045204,1267284,0.596013888,0.861526873
0.758641296,0.124085163,0.655536028,0.208671329,0.686933131,0.530755712,0.205379995,2633,196,1048039,1309233,0.659528529,0.868604143
0.760246731,0.136145733,0.667711599,0.226174675,0.688641407,0.553291536,0.205379995,2703,212,1061578,1328640,0.537593341,0.590927513
0.766408853,0.143891999,0.686028257,0.237887861,0.703689843,0.566718995,0.205379995,2600,200,1027466,1299454,0.70240333,0.78823147
0.772117259,0.137083193,0.666121113,0.227374302,0.695326974,0.563011457,0.205379995,2562,204,1105526,1360439,0.683845548,0.77005151
0.764499218,0.131900826,0.669463087,0.22038111,0.693670552,0.541946309,0.205379995,2626,197,1043520,1299514,0.632054363,0.686786181
0.774846999,0.134388579,0.708674304,0.22593269,0.704991537,0.607201309,0.205379995,2789,178,1073911,1317596,0.667676408,0.777506147
0.770521793,0.131403859,0.666104553,0.219505418,0.693615935,0.539629005,0.205379995,2611,198,1145191,1393379,0.666087043,0.840419593
0.766558614,0.142810135,0.691082803,0.236705754,0.705693685,0.579617834,0.205379995,2605,194,1151475,1372137,0.637003956,0.469393817
0.764478805,0.143187831,0.670278638,0.235967302,0.696612022,0.554179567,0.205379995,2591,213,975727,1275239,0.695595855,0.650510378
0.787392991,0.140775091,0.727739726,0.235914516,0.724475114,0.607876712,0.205379995,2594,159,1059118,1334530,0.749178005,0.764050819
0.78086783,0.144120537,0.694006309,0.238676431,0.707788177,0.569400631,0.205379995,2613,194,1068842,1330041,0.762397291,0.706357933
0.75554072,0.128674069,0.644844517,0.214538524,0.679299448,0.559738134,0.205379995,2668,217,973289,1200341,0.601065441,0.656373787
0.750582476,0.132390746,0.653968254,0.2202031,0.681671779,0.549206349,0.205379995,2700,218,1098771,1347534,0.623792847,0.806197969
0.772751572,0.137039431,0.689430894,0.228633055,0.702731866,0.564227642,0.205379995,2670,191,1070038,1312346,0.723497268,0.748566118
0.761555665,0.132640202,0.6736,0.221637273,0.688792774,0.552,0.205379995,2753,204,1082500,1305990,0.690569923,0.808322499
0.757371342,0.131668947,0.636363636,0.218192122,0.680797049,0.547107438,0.205379995,2539,220,980908,1208631,0.66382557,0.744039133
0.762636129,0.140579239,0.687898089,0.233450419,0.703092967,0.544585987,0.205379995,2641,196,1100553,1387352,0.736006267,0.720922434
0.762127681,0.134448575,0.704545455,0.225806452,0.702634317,0.584415584,0.205379995,2794,182,1106687,1352044,0.71028118,0.663355045
0.76357208,0.140045917,0.689822294,0.232824427,0.703861155,0.59450727,0.205379995,2622,192,1078845,1304714,0.6394427,0.706257924
0.755340447,0.135646688,0.636513158,0.223634788,0.684017228,0.541118421,0.205379995,2466,221,972729,1223391,0.720729589,0.770454578
0.749451659,0.133198107,0.64274062,0.22066648,0.682942088,0.510603589,0.205379995,2564,219,1115623,1366630,0.684324659,0.755362619
0.768313666,0.129061925,0.70519263,0.218191241,0.700525637,0.584589615,0.205379995,2841,176,1092110,1337162,0.503906826,0.71809146
0.753028463,0.131623355,0.636215334,0.218120805,0.679098286,0.536704731,0.205379995,2573,223,910138,1126473,0.389543704,0.683909221
0.777429601,0.144078947,0.696343402,0.238757155,0.708459047,0.600953895,0.205379995,2602,191,981625,1232382,0.528242678,0.634839658
0.766445508,0.129104958,0.683134583,0.217167614,0.696990631,0.548551959,0.205379995,2705,186,1001082,1242112,0.659824047,0.606332565
0.78236263,0.148050231,0.715654952,0.245345016,0.719201632,0.597444089,0.205379995,2578,178,1164504,1425635,0.604206049,0.802259614
0.759541711,0.134776988,0.669341894,0.224374496,0.690743724,0.568218299,0.205379995,2677,206,1164076,1375744,0.713527385,0.553755832
0.76911529,0.138651472,0.695238095,0.231195566,0.702215936,0.561904762,0.205379995,2721,192,970658,1244464,0.653695184,0.429822199
0.766333558,0.127743203,0.656565657,0.213874417,0.685613589,0.543771044,0.205379995,2663,204,1123456,1365509,0.583743316,0.557094644
0.744523805,0.12996993,0.640856672,0.216111111,0.680666475,0.548599671,0.205379995,2604,218,1016145,1207577,,
0.752953635,0.135971912,0.659442724,0.22545647,0.68288538,0.540247678,0.205379995,2707,220,1086623,1349855,,
0.755211756,0.135560553,0.668779715,0.22542735,0.689725862,0.556259905,0.205379995,2691,209,1066061,1328729,,
0.770044195,0.135866066,0.694078947,0.22724825,0.704751215,0.603618421,0.205379995,2684,186,1084767,1312512,,
0.765532528,0.141801075,0.690671031,0.235294118,0.709263111,0.563011457,0.205379995,2554,189,1001497,1274594,,
0.771413956,0.139947438,0.687096774,0.232532751,0.703793285,0.588709677,0.205379995,2618,194,1091369,1327239,,
0.763931699,0.134665793,0.670473083,0.224283765,0.69260661,0.544861338,0.205379995,2641,202,1100001,1363052,,
0.774847915,0.138601036,0.703947368,0.231601732,0.709854879,0.580592105,0.205379995,2660,180,1060629,1331625,,
