auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.761996447,0.116795141,0.841750842,0.205128205,0.661399674,0.752525253,0.187385113,3781,94,853209,1005102,0.788578901,0.6806621
0.768503772,0.116843703,0.820603908,0.204560549,0.674576609,0.770870337,0.187385113,3492,101,817451,925844,0.811468531,0.740966576
0.751738633,0.112785732,0.822344322,0.198365363,0.672878501,0.750915751,0.187385113,3532,97,844705,989360,0.797169811,0.742725803
0.765081756,0.121143717,0.848857645,0.212028095,0.684043407,0.792618629,0.187385113,3504,86,783103,917423,0.779338601,0.578146775
0.763234499,0.112712061,0.843478261,0.198851989,0.658127401,0.76,0.187385113,3818,90,902036,1049997,0.801120448,0.665555898
0.752657376,0.120936639,0.771528998,0.209097404,0.677128538,0.72056239,0.187385113,3191,130,692054,823100,0.766212121,0.75069283
0.750764588,0.118819374,0.802385009,0.206987475,0.666798343,0.744463373,0.187385113,3493,116,783598,918112,0.769010043,0.555365687
0.763400066,0.111721612,0.860670194,0.197771023,0.660159146,0.779541446,0.187385113,3880,79,864839,1024243,0.77037037,0.568748363
0.753209881,0.112175742,0.842105263,0.197978965,0.660394396,0.770175439,0.187385113,3799,90,758259,878607,0.723008015,0.547033929
0.782447786,0.124939113,0.890625,0.219137121,0.693501508,0.824652778,0.187385113,3593,63,811367,967933,0.646178437,0.606969122
0.76619997,0.132856413,0.821484992,0.228722234,0.683133995,0.759873618,0.187385113,3394,113,793860,943848,0.544011544,0.480420862
0.77204532,0.129762246,0.797535211,0.223207687,0.698326782,0.758802817,0.187385113,3038,115,631338,745362,0.580543493,0.62032802
0.774291491,0.135898978,0.78200692,0.231557377,0.702914591,0.747404844,0.187385113,2874,126,626055,751687,0.742844023,0.596210936
0.760550163,0.117356538,0.857388316,0.206454282,0.66724997,0.764604811,0.187385113,3753,83,804043,979271,0.784523601,0.693248272
0.748883411,0.122034867,0.76114082,0.210344828,0.682275479,0.713012478,0.187385113,3072,134,652219,788481,0.784667969,0.737311768
0.748567127,0.117376882,0.773109244,0.203810368,0.659017923,0.712605042,0.187385113,3459,135,807391,946378,0.736080402,0.71055297
0.751142334,0.126807564,0.778156997,0.218077475,0.681333025,0.728668942,0.187385113,3140,130,766919,908564,0.65011655,0.753595918
0.741329979,0.118922784,0.816693944,0.207613896,0.653762933,0.746317512,0.187385113,3697,112,791850,932686,0.667038276,0.732359354
0.746288567,0.117245149,0.785714286,0.204042806,0.681069322,0.727106227,0.187385113,3230,117,731506,859454,0.769819406,0.734178261
0.764889965,0.122608461,0.796847636,0.212517515,0.68239173,0.737302977,0.187385113,3256,116,770166,909975,0.799203137,0.761833324
0.765407195,0.127721721,0.800332779,0.220288528,0.682744593,0.74875208,0.187385113,3285,120,774595,917242,0.754758173,0.727466635
0.752439227,0.121108255,0.753108348,0.208661417,0.677299093,0.708703375,0.187385113,3077,139,687934,803086,0.795435589,0.76399045
0.768395132,0.144771242,0.759862779,0.243206149,0.711491256,0.732418525,0.187385113,2617,140,598771,717092,0.778062478,0.745241088
0.767577495,0.121195942,0.81216458,0.210917538,0.685376307,0.772808587,0.187385113,3292,105,815391,931880,0.743151254,0.70332449
0.756343453,0.109017835,0.805194805,0.192035398,0.665260015,0.760667904,0.187385113,3547,105,873271,974385,0.771183825,0.741830662
0.758901739,0.109530583,0.853974122,0.194158437,0.672667242,0.77818854,0.187385113,3756,79,842812,964044,0.767112769,0.728290855
0.766624544,0.116707022,0.854609929,0.205368556,0.676209133,0.773049645,0.187385113,3648,82,798434,959467,0.826554233,0.721102583
0.777464639,0.117263844,0.852459016,0.206167401,0.684230012,0.812386157,0.187385113,3523,81,833229,930429,0.783002833,0.778379426
0.74329095,0.124503687,0.736577181,0.213003396,0.66779998,0.701342282,0.187385113,3087,157,644044,764408,0.815813243,0.659498837
0.760714139,0.12502905,0.873376623,0.218743647,0.670219435,0.811688312,0.187385113,3765,78,843295,970182,0.786892299,0.645117802
0.757792558,0.125657348,0.769491525,0.216036165,0.677291652,0.722033898,0.187385113,3159,136,730940,867003,0.720242915,0.662928273
0.766913614,0.12347159,0.851239669,0.215661642,0.671040265,0.776859504,0.187385113,3656,90,809725,964640,0.743382961,0.687151103
0.746802019,0.113793103,0.800693241,0.199266767,0.657022821,0.736568458,0.187385113,3598,115,838815,959420,0.765176831,0.741564821
0.766249925,0.128548896,0.820469799,0.222272727,0.687180189,0.766778523,0.187385113,3315,107,805476,956278,0.775548759,0.742479532
0.756689263,0.124858437,0.766956522,0.214755296,0.680802678,0.714782609,0.187385113,3091,134,687980,848392,0.720779221,0.751346619
0.759073159,0.117718447,0.833333333,0.206295194,0.671247216,0.781786942,0.187385113,3635,97,884527,1003374,0.725411184,0.727716787
0.743709061,0.116464891,0.825042882,0.204116274,0.66593815,0.77186964,0.187385113,3649,102,820605,928811,0.717429577,0.711362298
0.761094395,0.118226601,0.842105263,0.207343413,0.67439312,0.764912281,0.187385113,3580,90,771754,902678,0.607580645,0.694340406
0.768233302,0.123044285,0.812609457,0.213726393,0.688869974,0.765323993,0.187385113,3307,107,765691,895474,0.551594747,0.675507143
0.756465674,0.119346049,0.7920434,0.207435472,0.683177044,0.754068716,0.187385113,3232,115,772348,884606,0.66102524,0.683038193
0.763011744,0.128891316,0.794612795,0.221804511,0.684230763,0.745791246,0.187385113,3190,122,749489,872001,0.82943097,0.867455094
0.761475201,0.119921202,0.841105354,0.209913793,0.677558831,0.784110535,0.187385113,3574,92,849842,1000649,0.705289673,0.598881294
0.761374191,0.117961843,0.865187713,0.207616708,0.666441671,0.776450512,0.187385113,3791,79,784093,917692,0.593258163,0.850835524
0.764291233,0.120525367,0.825396825,0.210337079,0.682206527,0.777777778,0.187385113,3415,99,840838,962089,0.679638554,0.659902291
0.749710002,0.123222749,0.797274276,0.21345496,0.677862648,0.741056218,0.187385113,3330,119,766185,904266,0.776958978,0.740693516
0.752209577,0.110580368,0.829749104,0.195152792,0.661188753,0.750896057,0.187385113,3724,95,854557,982751,0.568363273,0.729464286
0.745686745,0.113887554,0.831578947,0.200338123,0.665044592,0.768421053,0.187385113,3688,96,896571,1039815,0.70031746,0.687472527
0.750191232,0.130434783,0.792822186,0.22401475,0.681238641,0.740619902,0.187385113,3240,127,806231,958483,0.821613969,0.797596561
0.763282237,0.12070733,0.826315789,0.210644007,0.682797901,0.785964912,0.187385113,3431,99,830512,932272,0.899047619,0.896257
0.754878462,0.116960729,0.756906077,0.202612768,0.676176697,0.703499079,0.187385113,3103,132,668525,803609,0.840185185,0.889275624
0.747725256,0.116510215,0.758992806,0.202010531,0.674237824,0.699640288,0.187385113,3200,134,720939,866413,0.79746203,0.815728474
0.751842047,0.124437384,0.800681431,0.215398717,0.681659309,0.739352641,0.187385113,3307,117,820703,973987,0.594444444,0.789597945
0.763951482,0.115702479,0.770398482,0.201189296,0.683901333,0.728652751,0.187385113,3103,121,720306,844133,0.811400422,0.853495533
0.763491124,0.131753828,0.766386555,0.224852071,0.687840028,0.724369748,0.187385113,3005,139,704603,820461,0.719879518,0.633422818
0.759969483,0.129852378,0.782537068,0.222743259,0.68231867,0.73970346,0.187385113,3183,132,707992,843567,0.739035088,0.860144881
0.772690027,0.134323923,0.775300172,0.228976697,0.698335802,0.737564322,0.187385113,2913,131,701031,823337,0.566544567,0.749511173
0.770217789,0.111938446,0.84141791,0.197590361,0.678084644,0.776119403,0.187385113,3578,85,820864,934702,0.668595679,0.820842226
0.758995347,0.115545123,0.80399274,0.202052452,0.676179311,0.754990926,0.187385113,3391,108,819543,925663,0.670983326,0.860634564
0.773336223,0.109267599,0.856877323,0.193819634,0.667350881,0.775092937,0.187385113,3758,77,867520,1008789,0.682150538,0.901104232
0.763057941,0.12100519,0.799638989,0.210201661,0.687721993,0.754512635,0.187385113,3218,111,720061,822181,0.768896854,0.819827665
0.756974584,0.12145749,0.779896014,0.210182158,0.675930998,0.712305026,0.187385113,3255,127,761088,922525,0.655332575,0.808606454
0.762351636,0.116710183,0.808318264,0.203969884,0.678992564,0.741410488,0.187385113,3383,106,768480,923126,0.711333333,0.827023537
0.759287421,0.116700715,0.814616756,0.204154568,0.673667652,0.762923351,0.187385113,3459,104,806903,927566,0.72327044,0.843281255
0.758989689,0.126946108,0.766726944,0.217826869,0.693228649,0.723327306,0.187385113,2916,129,643584,765395,0.705910042,0.889109669
0.762124287,0.127408686,0.782685512,0.2191442,0.692224527,0.733215548,0.187385113,3034,123,677682,814996,0.63005148,0.662533712
0.76386035,0.115934879,0.849909584,0.204037334,0.680663398,0.790235081,0.187385113,3584,83,810411,930635,0.526178202,0.777255914
0.757151455,0.125069329,0.778929188,0.215531661,0.68266284,0.728842832,0.187385113,3155,128,727464,866702,0.706920202,0.733068092
0.770102152,0.123130342,0.803135889,0.21352478,0.686914233,0.75261324,0.187385113,3283,113,785042,925167,0.817272638,0.847651008
0.755257438,0.117289947,0.832758621,0.205619413,0.666725153,0.779310345,0.187385113,3635,97,856508,981366,0.774842861,0.814605447
0.740802314,0.119263918,0.827140549,0.208469055,0.654396775,0.749596123,0.187385113,3781,107,861889,995451,0.683562354,0.814706577
0.758348777,0.123356643,0.776408451,0.212889211,0.68396959,0.73943662,0.187385113,3134,127,732093,861614,0.676146384,0.765019924
0.746547935,0.127425427,0.750853242,0.217875712,0.679785087,0.711604096,0.187385113,3013,146,690665,808663,0.721853257,0.793315631
0.75343437,0.114130435,0.832758621,0.20074813,0.662804907,0.762068966,0.187385113,3749,97,882069,1006354,0.795877557,0.796031494
0.760872211,0.115486194,0.852836879,0.203425671,0.673436496,0.773049645,0.187385113,3684,83,849449,986193,0.746282246,0.741006685
0.755484533,0.118370484,0.802083333,0.206296048,0.670586993,0.748263889,0.187385113,3441,114,778136,896687,0.797983325,0.779658157
0.75280054,0.119666503,0.82852292,0.209127919,0.671860363,0.755517827,0.187385113,3590,101,781352,936362,0.732462173,0.573715805
0.74523221,0.121554576,0.766956522,0.209850107,0.675349349,0.711304348,0.187385113,3187,134,697240,836938,0.606096059,0.802207282
0.757425448,0.114205476,0.84283247,0.201154163,0.659223316,0.766839378,0.187385113,3785,91,823547,961485,0.718068888,0.852058897
0.750437919,0.116904962,0.760948905,0.202673147,0.675240448,0.717153285,0.187385113,3150,131,690902,812325,0.748712577,0.778882517
0.762775445,0.119047619,0.806451613,0.20746888,0.682230011,0.752688172,0.187385113,3330,108,772478,904380,0.74428625,0.789533104
0.751260141,0.119035134,0.796491228,0.207116788,0.674961251,0.733333333,0.187385113,3360,116,746066,885216,0.44873817,0.656010455
0.748159803,0.123567921,0.775684932,0.213176471,0.677022361,0.72260274,0.187385113,3213,131,757832,901704,0.497169144,0.595114844
0.751069278,0.121309716,0.779310345,0.209939619,0.673512807,0.734482759,0.187385113,3274,128,738839,865969,0.445614035,0.61938306
0.746121938,0.112831339,0.851327434,0.19925435,0.66432572,0.768141593,0.187385113,3782,84,791082,913879,0.596533852,0.850281975
0.762782171,0.125622255,0.771582734,0.216066482,0.690786767,0.73381295,0.187385113,2986,127,709838,831578,0.718109645,0.65591044
0.763848458,0.131489842,0.787162162,0.225338491,0.690948279,0.736486486,0.187385113,3078,126,744204,890607,0.653826851,0.829326643
0.734144945,0.110869039,0.803508772,0.194852159,0.65586915,0.742105263,0.187385113,3673,112,801929,920574,0.759731186,0.789359186
0.775000501,0.117521368,0.868421053,0.207026349,0.677376098,0.8,0.187385113,3717,75,876684,1008899,0.899046105,0.725098252
0.754489708,0.12892709,0.756521739,0.220308939,0.689257934,0.72173913,0.187385113,2939,140,665600,785170,,
0.761338906,0.119537921,0.817869416,0.208588957,0.670969792,0.759450172,0.187385113,3506,106,827521,947967,,
0.770754538,0.129280822,0.804618117,0.222768626,0.702311845,0.756660746,0.187385113,3051,110,667705,787396,,
0.764106249,0.126119403,0.828431373,0.218911917,0.677643186,0.767973856,0.187385113,3513,105,794541,924822,,
0.747967836,0.11319822,0.802101576,0.198397228,0.661039619,0.735551664,0.187385113,3588,113,802547,932277,,
0.75779157,0.12850601,0.787719298,0.220964567,0.695273331,0.750877193,0.187385113,3045,121,734732,861236,,
0.753735777,0.117577757,0.848639456,0.206539735,0.663862209,0.784013605,0.187385113,3745,89,747270,861254,,
0.761268363,0.114444713,0.832746479,0.20123378,0.668683527,0.781690141,0.187385113,3660,95,823616,939644,,
0.762958495,0.117545589,0.829565217,0.205914095,0.671414757,0.766956522,0.187385113,3581,98,840699,983913,,
0.759694399,0.116531165,0.862876254,0.205332272,0.658217441,0.784280936,0.187385113,3912,82,868039,1020622,,
0.754323519,0.126791621,0.774410774,0.217906206,0.678915171,0.718855219,0.187385113,3168,134,670236,811109,,
0.762152953,0.114402697,0.839222615,0.201356507,0.670153796,0.761484099,0.187385113,3677,91,800175,926575,,
0.759171567,0.124931356,0.794066318,0.215895611,0.688659691,0.755671902,0.187385113,3187,118,727037,845444,,
0.752126658,0.123696338,0.837438424,0.215553677,0.671248247,0.779967159,0.187385113,3613,99,828933,952480,,
0.75652599,0.118837819,0.838655462,0.208176888,0.665781413,0.761344538,0.187385113,3700,96,789232,930980,,
0.765087681,0.117633411,0.869639794,0.207234825,0.670854504,0.785591767,0.187385113,3803,76,876762,1014301,,
0.736177935,0.118360744,0.772887324,0.205284078,0.6723972,0.709507042,0.187385113,3270,129,724098,870745,,
0.753385426,0.125034809,0.782229965,0.215606242,0.683588469,0.74912892,0.187385113,3142,125,729260,837259,,
0.763239771,0.132037145,0.777777778,0.225750434,0.692921679,0.721367521,0.187385113,2991,130,658304,822940,,
