auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.733608205,0.089070943,0.85451505,0.161325967,0.61672443,0.637123746,0.123081774,5226,87,1278101,1520214,0.742371404,0.667458288
0.720446122,0.08249497,0.868078176,0.150671378,0.562450119,0.604234528,0.123081774,5928,81,1326571,1573558,0.808951049,0.70452381
0.749131808,0.128694581,0.71331058,0.218049035,0.705436618,0.554607509,0.123081774,2830,168,1187161,1452413,0.831761006,0.739369154
0.734296826,0.06825245,0.936065574,0.127228164,0.391792165,0.639344262,0.123081774,7795,39,1441052,1677781,0.773192859,0.551362108
0.729376682,0.080977259,0.862520458,0.148054502,0.556205217,0.638297872,0.123081774,5981,84,1257973,1475097,0.781918565,0.59052206
0.738511896,0.069084835,0.927884615,0.128595225,0.390568755,0.602564103,0.123081774,7802,45,1371636,1631904,0.783343301,0.713553114
0.710917768,0.08071328,0.830917874,0.147134303,0.555251265,0.595813205,0.123081774,5877,105,1289107,1507243,0.737207078,0.535589773
0.731919597,0.077289942,0.904761905,0.14241406,0.516264262,0.642036125,0.123081774,6578,58,1390612,1620295,0.733551198,0.49473163
0.726383118,0.100328629,0.808411215,0.178503869,0.637602592,0.587227414,0.123081774,4654,123,1158647,1427251,0.714207135,0.539397054
0.732084324,0.10608734,0.7696,0.186470246,0.658612197,0.5872,0.123081774,4053,144,1259604,1533696,0.636152281,0.501546853
0.73822294,0.08019008,0.889621087,0.147118921,0.552803899,0.599670511,0.123081774,6194,67,1423280,1696987,0.544620517,0.503684367
0.7406345,0.080684597,0.879310345,0.147806613,0.522488359,0.603448276,0.123081774,6392,77,1255820,1488846,0.577609277,0.614016373
0.742358957,0.077069041,0.888888889,0.141840161,0.533970329,0.612794613,0.123081774,6323,66,1269809,1527897,0.734761357,0.582600733
0.735677762,0.095165004,0.825291181,0.170651987,0.637870415,0.610648918,0.123081774,4716,105,1261978,1524434,0.755937099,0.568249631
0.735180175,0.091692087,0.822866345,0.164998386,0.614385627,0.610305958,0.123081774,5062,110,1240653,1506854,0.749315336,0.730006215
0.738771632,0.068465228,0.922455574,0.127469584,0.405870886,0.630048465,0.123081774,7769,48,1446368,1694739,0.717019231,0.71232375
0.717447712,0.091890069,0.850234009,0.165855143,0.596094399,0.641185647,0.123081774,5386,96,1258313,1496977,0.67442348,0.782101167
