auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.864652838,0.216816249,0.772727273,0.338620435,0.781009294,0.760942761,0.310398186,1658,135,415237,554807,0.769507411,0.720165159
0.857454314,0.201524535,0.751332149,0.317806161,0.768567008,0.746003552,0.310398186,1676,140,399642,503443,0.785314685,0.725401292
0.859417145,0.202279202,0.78021978,0.321266968,0.783220293,0.765567766,0.310398186,1680,120,444576,585292,0.819575472,0.753410208
0.855797038,0.198907601,0.76801406,0.315979754,0.771295103,0.755711775,0.310398186,1760,132,406779,535236,0.828065555,0.738024446
0.84916855,0.20890411,0.742608696,0.326078656,0.767855313,0.733913043,0.310398186,1617,148,354281,470437,0.870098039,0.766829388
0.850443389,0.198974837,0.750439367,0.314548803,0.765781233,0.739894552,0.310398186,1719,142,380522,497196,0.852727273,0.760423733
0.858806391,0.211556384,0.773424191,0.332235638,0.77870327,0.766609881,0.310398186,1692,133,409014,533577,0.795074127,0.702472966
0.850947691,0.197163121,0.735449735,0.310961969,0.759322156,0.721340388,0.310398186,1698,150,407276,545198,0.795642702,0.715846929
0.860554479,0.207729469,0.754385965,0.325757576,0.772904767,0.747368421,0.310398186,1640,140,355318,465092,0.850542197,0.753271134
0.866945898,0.2175,0.755208333,0.337732919,0.777107424,0.743055556,0.310398186,1565,141,375255,512109,0.771723336,0.693590134
0.859533678,0.226296959,0.799368088,0.352736145,0.789544785,0.788309637,0.310398186,1730,127,403616,546595,0.77994228,0.699907664
0.86131426,0.204851752,0.802816901,0.326413744,0.7880875,0.794014085,0.310398186,1770,112,353780,469779,0.744291918,0.644151641
0.858644579,0.215346535,0.752595156,0.334872979,0.774455621,0.74567474,0.310398186,1585,143,368959,490225,0.719807133,0.638220592
0.855705097,0.213170732,0.750859107,0.332066869,0.771831923,0.731958763,0.310398186,1613,145,379223,539968,0.628004913,0.637347317
0.850772456,0.202164289,0.732620321,0.31688512,0.763133331,0.723707665,0.310398186,1622,150,372331,509163,0.745279948,0.617563614
0.847320836,0.21732817,0.754621849,0.337467118,0.774613575,0.746218487,0.310398186,1617,146,402772,538178,0.760854271,0.719902127
0.849399825,0.206117647,0.747440273,0.323127997,0.765133489,0.737201365,0.310398186,1687,148,421117,554587,0.802447552,0.77657397
0.855546395,0.227366255,0.723404255,0.345988258,0.763748847,0.720130933,0.310398186,1502,169,314067,434228,0.773442339,0.752415973
0.85652535,0.219354839,0.747252747,0.33915212,0.780799789,0.743589744,0.310398186,1452,138,329032,449378,0.822773186,0.842693946
0.856662681,0.217236104,0.746059545,0.336492891,0.774516664,0.737302977,0.310398186,1535,145,333099,460560,0.850904376,0.830929951
0.85261958,0.212191717,0.758735441,0.331636364,0.771656329,0.74875208,0.310398186,1693,145,414740,549253,0.823611733,0.739759055
0.848365816,0.205809946,0.742451155,0.32228219,0.768323075,0.738898757,0.310398186,1613,145,338041,433885,0.77092215,0.695379733
0.851591215,0.208633094,0.746140652,0.326086957,0.767534038,0.739279588,0.310398186,1650,148,408512,524074,0.741172341,0.679832179
0.85507399,0.201351351,0.799642218,0.321698453,0.786170227,0.796064401,0.310398186,1773,112,463207,569216,0.770573911,0.685007676
0.860959671,0.203604481,0.775510204,0.322530864,0.783913233,0.773654917,0.310398186,1635,121,401367,497269,0.801493286,0.727858204
0.853813319,0.190498155,0.763401109,0.304909561,0.771815652,0.756007394,0.310398186,1755,128,399358,503489,0.834124068,0.76382867
0.858210829,0.205753291,0.74822695,0.322753346,0.769986224,0.735815603,0.310398186,1629,142,370324,506635,0.829344411,0.774990599
