auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.865592713,0.202696629,0.754180602,0.319518243,0.782381684,0.702341137,0.31447288,1774,147,593368,803453,0.733217088,0.668312232
0.841417373,0.204797048,0.723127036,0.319194824,0.767765877,0.684039088,0.31447288,1724,170,584470,798444,0.8,0.725171887
0.858037889,0.198170732,0.776450512,0.315752949,0.789767046,0.704778157,0.31447288,1841,131,804947,1069963,0.795597484,0.734832906
0.850839012,0.210955183,0.763934426,0.330613693,0.788116022,0.724590164,0.31447288,1743,144,580545,780812,0.829236172,0.721445635
0.862939013,0.218147626,0.759410802,0.338933528,0.7899327,0.723404255,0.31447288,1663,147,616419,826484,0.790890269,0.661563128
0.857402861,0.211813567,0.735576923,0.328914368,0.775254286,0.697115385,0.31447288,1708,165,499590,723189,0.818480861,0.711889996
0.843890281,0.210747664,0.726247987,0.326693227,0.771344973,0.700483092,0.31447288,1689,170,553073,752831,0.820540411,0.702630042
0.847275145,0.197449428,0.73727422,0.311481096,0.77005321,0.694581281,0.31447288,1825,160,640064,852385,0.764488017,0.673203178
0.863080003,0.21916552,0.744548287,0.33864683,0.760912549,0.679127726,0.31447288,1703,164,617556,869388,0.857535754,0.77077729
0.860067356,0.208239022,0.736,0.324629499,0.763016543,0.6912,0.31447288,1749,165,626766,849669,0.81342633,0.739405877
0.8496166,0.204997686,0.729818781,0.320086705,0.755553509,0.691927512,0.31447288,1718,164,537210,770029,0.767306088,0.694367347
0.863776956,0.238659794,0.725705329,0.359193173,0.771757163,0.692789969,0.31447288,1477,175,424890,631634,0.721485918,0.671087223
0.866780745,0.212149103,0.776094276,0.333212866,0.751496357,0.732323232,0.31447288,1712,133,513907,732135,0.693358252,0.619087103
0.865945759,0.211732356,0.768718802,0.33201581,0.751027973,0.718801997,0.31447288,1720,139,547403,789177,0.679717587,0.619730102
0.856802613,0.205919662,0.784219002,0.326188881,0.771837664,0.726247987,0.31447288,1878,134,683339,937961,0.785504695,0.589911416
0.86350752,0.205804749,0.756058158,0.323539578,0.763989614,0.705977383,0.31447288,1806,151,530545,775379,0.791586538,0.718816068
0.854567891,0.209903593,0.747269891,0.327745467,0.762960134,0.695787832,0.31447288,1803,162,713159,964398,0.777568134,0.783689483
0.864878829,0.213143872,0.766773163,0.333564976,0.736789291,0.71884984,0.31447288,1772,146,607601,819146,0.803909692,0.797602904
0.866109619,0.206466513,0.737623762,0.32262721,0.767240713,0.691419142,0.31447288,1718,159,654167,886228,0.823854307,0.853526884
0.867139714,0.214578588,0.772131148,0.335828877,0.767178732,0.703278689,0.31447288,1724,139,686697,910131,0.878302592,0.823935677
0.859074916,0.204968944,0.75862069,0.322738386,0.771295689,0.706075534,0.31447288,1792,147,626708,866377,0.868732997,0.8254899
0.864601245,0.218038122,0.770114943,0.339855072,0.771474356,0.738916256,0.31447288,1682,140,508451,689551,0.810496267,0.68862773
0.875136896,0.219557196,0.785478548,0.343186734,0.776188684,0.726072607,0.31447288,1692,130,696997,938432,0.751274876,0.712415081
0.859361417,0.204200179,0.755371901,0.321491382,0.763393673,0.702479339,0.31447288,1781,148,605139,855518,0.820735867,0.657213277
0.873273562,0.209291628,0.752066116,0.327455919,0.757716275,0.723966942,0.31447288,1719,150,522092,726936,0.84285408,0.71556636
0.861823093,0.211071107,0.754019293,0.329817159,0.752358501,0.709003215,0.31447288,1753,153,564005,756260,0.861370111,0.808890847
0.864715133,0.220918866,0.740983607,0.340361446,0.749137461,0.691803279,0.31447288,1594,158,588087,808514,0.898302469,0.819171812
0.874441686,0.220588235,0.751252087,0.341038272,0.770377817,0.706176962,0.31447288,1590,149,564342,792162,0.878092593,0.824961742
0.873928851,0.219815668,0.764423077,0.341445956,0.762120412,0.727564103,0.31447288,1693,147,489327,721163,0.826581904,0.763571318
0.847283222,0.21488764,0.719435737,0.330930065,0.763892821,0.688087774,0.31447288,1677,179,635162,844332,0.800058292,0.752710408
0.851179886,0.205279927,0.729773463,0.320426288,0.753770077,0.67961165,0.31447288,1746,167,594458,828795,0.813593814,0.768080594
0.85371764,0.221330816,0.749201278,0.341712204,0.750559124,0.701277955,0.31447288,1650,157,494591,746156,0.763002837,0.761434553
0.869978606,0.232857143,0.788709677,0.359558824,0.757939769,0.740322581,0.31447288,1611,131,562700,796108,0.752375514,0.743042447
0.869854834,0.231252806,0.788667688,0.357638889,0.76620507,0.733537519,0.31447288,1712,138,630766,875037,0.791849015,0.772783495
0.867289508,0.224566338,0.755520505,0.346223347,0.750633764,0.714511041,0.31447288,1654,155,692406,908223,0.804908664,0.802416845
0.853433801,0.226639133,0.706924316,0.343236904,0.76252491,0.671497585,0.31447288,1498,182,677078,895791,0.829603138,0.810995618
0.848604482,0.202553941,0.756578947,0.319555401,0.755009423,0.720394737,0.31447288,1811,148,571391,791653,0.804503106,0.851198809
0.858880888,0.218495014,0.757861635,0.339197748,0.751843196,0.705974843,0.31447288,1724,154,554976,774886,0.606089744,0.870866294
0.86226016,0.218322698,0.75911252,0.339115044,0.757280546,0.713153724,0.31447288,1715,152,590227,825122,0.626623377,0.855920073
0.865044313,0.218954248,0.754019293,0.339363242,0.750973463,0.696141479,0.31447288,1673,153,683390,938597,0.652882883,0.846252993
0.872513716,0.223534757,0.784688995,0.347949081,0.755242857,0.728867624,0.31447288,1709,135,636330,865843,0.722990699,0.803366754
0.865324995,0.231747527,0.777251185,0.357039187,0.764027989,0.734597156,0.31447288,1631,141,517561,775172,0.863519313,0.739914728
