auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.819016882,0.314363144,0.763157895,0.445297505,0.731758469,0.730263158,0.288644507,253,36,67898,94511,0.769230769,0.614393463
0.808662157,0.296127563,0.807453416,0.433333333,0.717602053,0.757763975,0.288644507,309,31,91799,118929,0.746867168,0.76105664
0.817140593,0.318906606,0.782122905,0.453074434,0.715817187,0.74301676,0.288644507,299,39,108413,152555,0.767216981,0.701174809
0.82859801,0.342105263,0.74522293,0.468937876,0.746206322,0.732484076,0.288644507,225,40,76895,107416,0.737514029,0.612248714
0.815527477,0.300248139,0.775641026,0.432915921,0.723232383,0.743589744,0.288644507,282,35,72596,106027,0.70979021,0.65893562
0.80514942,0.296568627,0.770700637,0.428318584,0.717213908,0.738853503,0.288644507,287,36,87781,109386,0.630473373,0.374351222
0.83951338,0.32010582,0.823129252,0.460952381,0.76229116,0.795918367,0.288644507,257,26,82337,106005,0.648995536,0.409922497
0.817773127,0.314553991,0.817073171,0.454237288,0.731247992,0.798780488,0.288644507,292,30,76918,95240,0.701769912,0.663628062
0.808516202,0.331125828,0.662251656,0.441501104,0.711955186,0.649006623,0.288644507,202,51,65067,92165,0.636755486,0.667222704
0.820781719,0.286096257,0.743055556,0.413127413,0.720858394,0.701388889,0.288644507,267,37,73668,100803,0.742346939,0.688888889
0.828424175,0.319892473,0.767741935,0.451612903,0.737888237,0.75483871,0.288644507,253,36,101305,128545,0.720454545,0.729875876
0.813132082,0.28021978,0.755555556,0.408817635,0.727721715,0.740740741,0.288644507,262,33,67409,83260,0.738203957,0.687881399
0.835113326,0.331550802,0.779874214,0.465290807,0.741591847,0.761006289,0.288644507,250,35,75888,104264,0.750447227,0.697530997
0.819541119,0.342696629,0.75308642,0.471042471,0.740710664,0.716049383,0.288644507,234,40,62214,95175,0.661172161,0.617361509
0.815610935,0.274151436,0.75,0.401529637,0.71183527,0.721428571,0.288644507,278,35,85579,117106,0.663034705,0.454614438
0.815480226,0.326409496,0.6875,0.442655936,0.71495328,0.6875,0.288644507,227,50,75126,92837,0.607762557,0.567990269
0.794782937,0.273838631,0.746666667,0.400715564,0.703933831,0.713333333,0.288644507,297,38,92322,124337,0.858741259,0.851744746
0.817392737,0.304444444,0.820359281,0.444084279,0.725186498,0.77245509,0.288644507,313,30,91628,141942,0.8595259,0.799319728
0.828795583,0.286384977,0.829931973,0.42582897,0.73502769,0.795918367,0.288644507,304,25,82978,108067,0.826839827,0.72262931
0.815354672,0.305912596,0.753164557,0.435100548,0.724522514,0.715189873,0.288644507,270,39,60031,89127,0.882616487,0.757940361
0.814057748,0.297650131,0.786206897,0.431818182,0.737530138,0.765517241,0.288644507,269,31,71115,91283,0.788999526,0.491608455
0.820897211,0.303398058,0.822368421,0.443262411,0.742767518,0.782894737,0.288644507,287,27,90561,116448,0.657671958,0.563703476
0.841609234,0.328767123,0.822857143,0.469820555,0.734560041,0.771428571,0.288644507,294,31,81357,118962,0.663888889,0.730595634
0.825189572,0.313131313,0.810457516,0.451730419,0.747149752,0.77124183,0.288644507,272,29,100345,141018,0.840909091,0.832638325
0.802946711,0.316939891,0.716049383,0.439393939,0.713678966,0.691358025,0.288644507,250,46,68054,99051,0.873333333,0.8371092
0.810576747,0.32987013,0.734104046,0.455197133,0.71558755,0.699421965,0.288644507,258,46,66976,104305,0.885738832,0.839445274
0.80015165,0.287598945,0.736486486,0.413662239,0.709097048,0.689189189,0.288644507,270,39,85107,113797,0.812727273,0.783467143
0.803355237,0.302564103,0.742138365,0.429872495,0.718393695,0.691823899,0.288644507,272,41,58649,89870,0.731922399,0.79
