auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.765090958,0.277641278,0.729032258,0.402135231,0.710184441,0.44516129,0.327500454,294,42,102626,192259,0.840659341,0.614393463
0.770836688,0.320099256,0.697297297,0.43877551,0.702881607,0.47027027,0.327500454,274,56,77836,173973,0.823725982,0.76489745
0.77492879,0.327014218,0.722513089,0.450244698,0.714056799,0.486910995,0.327500454,284,53,87839,224374,0.77004717,0.726113014
0.780550228,0.291079812,0.720930233,0.414715719,0.704610293,0.51744186,0.327500454,302,48,121158,214880,0.756313131,0.618719212
0.773446561,0.269230769,0.652173913,0.381125227,0.677763352,0.465838509,0.327500454,285,56,83246,167050,0.673553719,0.707779265
0.773086512,0.32238806,0.642857143,0.429423459,0.700037396,0.410714286,0.327500454,227,60,76554,170402,0.677514793,0.55804351
0.723344494,0.25879397,0.613095238,0.363957597,0.65168718,0.428571429,0.327500454,295,65,87614,172094,0.766741071,0.640338442
0.788164965,0.303430079,0.696969697,0.422794118,0.709855757,0.436363636,0.327500454,264,50,63799,173958,0.742035398,0.758986268
0.793360185,0.281767956,0.698630137,0.401574803,0.71523514,0.45890411,0.327500454,260,44,94314,182009,0.632053292,0.731802085
0.798849491,0.304964539,0.732954545,0.430717863,0.713735676,0.488636364,0.327500454,294,47,90065,197315,0.609056122,0.537061974
0.773230919,0.281124498,0.756756757,0.409956076,0.685172999,0.535135135,0.327500454,358,45,88671,199696,0.682575758,0.651015004
0.783499454,0.317002882,0.700636943,0.436507937,0.725908723,0.477707006,0.327500454,237,47,84059,161004,0.727549467,0.6543226
0.748113394,0.264236902,0.674418605,0.379705401,0.665893491,0.459302326,0.327500454,323,56,103491,209394,0.718545021,0.60591909
0.720544431,0.284946237,0.619883041,0.390423573,0.669687143,0.444444444,0.327500454,266,65,77146,162190,0.694261294,0.683543261
0.750986346,0.264916468,0.689440994,0.382758621,0.681364602,0.49068323,0.327500454,308,50,102132,193696,0.696183206,0.591408922
0.776302242,0.337047354,0.64021164,0.441605839,0.694015608,0.433862434,0.327500454,238,68,100898,218457,0.607054455,0.62772093
0.793031613,0.30806846,0.73255814,0.43373494,0.720909244,0.470930233,0.327500454,283,46,101513,214729,0.769607843,0.845601708
0.801201672,0.333333333,0.71875,0.455445545,0.715165435,0.5,0.327500454,276,54,94921,255173,0.833333333,0.812087912
0.734028891,0.275280899,0.579881657,0.373333333,0.651555028,0.390532544,0.327500454,258,71,97862,188128,0.84914361,0.762931945
0.778394303,0.281030445,0.714285714,0.403361345,0.701667023,0.476190476,0.327500454,307,48,85097,179185,0.88646837,0.689099669
0.76890374,0.303977273,0.644578313,0.413127413,0.692875571,0.415662651,0.327500454,245,59,90287,178972,0.746515679,0.643835508
0.784093209,0.290243902,0.725609756,0.414634146,0.711738685,0.524390244,0.327500454,291,45,81707,182162,0.728263989,0.583972414
0.764130868,0.311881188,0.681081081,0.427843803,0.694100316,0.448648649,0.327500454,278,59,91306,216568,0.675638686,0.782035481
0.754388094,0.277292576,0.697802198,0.396875,0.674484157,0.478021978,0.327500454,331,55,100683,222225,0.794471154,0.844155844
0.765353377,0.298469388,0.664772727,0.411971831,0.688292148,0.471590909,0.327500454,275,59,102441,189840,0.888970588,0.810193212
0.764682721,0.299719888,0.660493827,0.412331407,0.70043824,0.469135802,0.327500454,250,55,93916,182969,0.803846154,0.81151995
0.750305645,0.295843521,0.672222222,0.410865874,0.680717624,0.433333333,0.327500454,288,59,93219,210445,0.755565863,0.715384615
0.761117466,0.289156627,0.677966102,0.405405405,0.688089474,0.440677966,0.327500454,295,57,92100,192872,0.664556962,0.550733138
0.76833189,0.245119306,0.724358974,0.366288493,0.68289662,0.480769231,0.327500454,348,43,97942,195304,0.883478261,0.535277778
0.766960711,0.316455696,0.714285714,0.438596491,0.714887598,0.462857143,0.327500454,270,50,100139,205394,0.7,0.6279843
0.75540149,0.29040404,0.649717514,0.401396161,0.679765179,0.406779661,0.327500454,281,62,72132,185468,0.73663522,0.723480823
0.758657115,0.299043062,0.702247191,0.419463087,0.69721904,0.483146067,0.327500454,293,53,105420,194281,0.67635468,0.837605293
0.760269832,0.2890625,0.649122807,0.4,0.683915556,0.444444444,0.327500454,273,60,92418,195336,0.715062112,0.735284489
0.760313596,0.286729858,0.675977654,0.40266223,0.680709984,0.452513966,0.327500454,301,58,102674,228447,0.695921986,0.650095877
0.749086778,0.268929504,0.639751553,0.378676471,0.675437837,0.459627329,0.327500454,280,58,94262,173969,0.828877005,0.573067916
0.740514585,0.279452055,0.603550296,0.382022472,0.659169775,0.414201183,0.327500454,263,67,119122,214031,0.817558299,0.646213094
0.771175715,0.322485207,0.626436782,0.42578125,0.688350288,0.41954023,0.327500454,229,65,88138,196208,0.833007813,0.635549704
0.72781394,0.255924171,0.617142857,0.361809045,0.649459187,0.411428571,0.327500454,314,67,108225,200536,0.773993808,0.58590127
