auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.805486594,0.247654784,0.868421053,0.38540146,0.676582884,0.769736842,0.275319307,401,20,93290,123769,0.634615385,0.621593291
0.79546795,0.26118068,0.906832298,0.405555556,0.683935761,0.776397516,0.275319307,413,15,114718,152738,0.77443609,0.75350056
0.785283486,0.270220588,0.82122905,0.406639004,0.667223804,0.759776536,0.275319307,397,32,126348,166307,0.745636792,0.663057186
0.798082015,0.265182186,0.834394904,0.402457757,0.70290418,0.796178344,0.275319307,363,26,113189,145046,0.627525253,0.586920432
0.805083052,0.276086957,0.814102564,0.412337662,0.707854863,0.762820513,0.275319307,333,29,76822,113225,0.6913541,0.775657895
0.786041139,0.254826255,0.840764331,0.391111111,0.681696291,0.78343949,0.275319307,386,25,101918,130199,0.681360947,0.616296405
0.801133268,0.240740741,0.884353741,0.37845706,0.685198309,0.836734694,0.275319307,410,17,113616,138060,0.793526786,0.571610279
0.798737192,0.286885246,0.853658537,0.429447853,0.708584966,0.817073171,0.275319307,348,24,95696,114950,0.692035398,0.523638288
0.789994693,0.247582205,0.847682119,0.383233533,0.681688449,0.774834437,0.275319307,389,23,116801,149643,0.652821317,0.672961499
0.812867555,0.248554913,0.895833333,0.389140271,0.708796881,0.791666667,0.275319307,390,15,97168,134844,0.672193878,0.537061974
0.82676307,0.279207921,0.909677419,0.427272727,0.727376623,0.877419355,0.275319307,364,14,120032,152324,0.818181818,0.675514653
0.814671064,0.252983294,0.785185185,0.38267148,0.710375857,0.755555556,0.275319307,313,29,89309,106665,0.544901065,0.769413919
0.818077311,0.270916335,0.855345912,0.411497731,0.697262783,0.805031447,0.275319307,366,23,94748,128507,0.816935003,0.668200985
0.808155023,0.289527721,0.87037037,0.434514638,0.721810619,0.777777778,0.275319307,346,21,87290,127616,0.727533578,0.7035618
0.80585931,0.241164241,0.828571429,0.373590982,0.689695063,0.742857143,0.275319307,365,24,105747,149928,0.722154964,0.585839161
0.801892655,0.276824034,0.80625,0.412140575,0.706567257,0.7875,0.275319307,337,31,92652,114102,0.571232877,0.578908782
0.80800302,0.285097192,0.88,0.430668842,0.741703833,0.813333333,0.275319307,331,18,111852,150301,0.742657343,0.663550797
0.798693897,0.271719039,0.880239521,0.415254237,0.694634161,0.808383234,0.275319307,394,20,113488,161465,0.738366989,0.666064771
0.811823926,0.23642732,0.918367347,0.376044568,0.67724182,0.850340136,0.275319307,436,12,106042,135915,0.881313131,0.843205148
0.793575701,0.245960503,0.867088608,0.383216783,0.677022873,0.759493671,0.275319307,420,21,95928,133916,0.643369176,0.378305993
0.794363471,0.245508982,0.848275862,0.380804954,0.693528052,0.8,0.275319307,378,22,96557,120734,0.780938834,0.771600185
