auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.745986339,0.172456576,0.896774194,0.289281998,0.519407614,0.522580645,0.238369578,667,16,108759,193601,0.538461538,0.326639621
0.731710753,0.2464,0.832432432,0.380246914,0.644461519,0.540540541,0.238369578,471,31,93561,183768,0.66374269,0.673884963
0.745300165,0.186895811,0.910994764,0.310160428,0.443124693,0.591623037,0.238369578,757,17,95136,220369,0.684316038,0.695138949
0.770300887,0.227828746,0.86627907,0.360774818,0.644420756,0.575581395,0.238369578,505,23,126179,220780,0.63510101,0.672606247
0.748054174,0.235294118,0.819875776,0.36565097,0.67454729,0.565217391,0.238369578,429,29,93302,177565,0.686268277,0.718032624
0.763194964,0.23706177,0.845238095,0.370273794,0.663899768,0.523809524,0.238369578,457,26,86921,182397,0.576035503,0.691416629
0.697569444,0.188679245,0.833333333,0.307692308,0.557462007,0.577380952,0.238369578,602,28,115005,193014,0.781808036,0.489549207
0.757264142,0.190168176,0.890909091,0.313432836,0.552896857,0.539393939,0.238369578,626,18,91052,187974,0.519247788,0.433485028
0.750761819,0.162094763,0.890410959,0.274261603,0.52362603,0.554794521,0.238369578,672,16,112830,193205,0.649294671,0.629688051
0.77608096,0.19239905,0.920454545,0.31827112,0.520741064,0.573863636,0.238369578,680,14,104771,206946,0.665178571,0.553623188
0.750927173,0.218346253,0.913513514,0.352450469,0.572215993,0.621621622,0.238369578,605,16,97512,214577,0.723484848,0.568353961
0.765050769,0.167231638,0.942675159,0.284069098,0.464701573,0.598726115,0.238369578,737,9,110620,185805,0.538812785,0.689934224
0.716318528,0.193931398,0.854651163,0.316129032,0.548539163,0.569767442,0.238369578,611,25,120610,207912,0.731067382,0.634200891
0.709298367,0.181710214,0.894736842,0.30207305,0.503896623,0.584795322,0.238369578,689,18,113248,204734,0.65,0.627588437
0.720398095,0.17603912,0.894409938,0.294177732,0.505113065,0.627329193,0.238369578,674,17,113664,196220,0.643596268,0.520909135
0.761976336,0.261484099,0.783068783,0.39205298,0.665178459,0.523809524,0.238369578,418,41,93714,206601,0.663160066,0.46622291
0.780197937,0.22303207,0.889534884,0.356643357,0.634631038,0.558139535,0.238369578,533,19,109622,218475,0.68907563,0.50407337
0.783508577,0.234100135,0.901041667,0.371643394,0.606743101,0.59375,0.238369578,566,19,110990,269320,0.678843227,0.569442992
0.733912146,0.236842105,0.74556213,0.359486448,0.656683908,0.49704142,0.238369578,406,43,105128,199178,0.800724638,0.637362637
0.755476431,0.239845261,0.738095238,0.362043796,0.666708838,0.482142857,0.238369578,393,44,90489,179830,0.750314202,0.746032603
0.769468499,0.233333333,0.843373494,0.365535248,0.662764685,0.560240964,0.238369578,460,26,93095,182786,0.82325784,0.774340086
0.740803056,0.176190476,0.902439024,0.294820717,0.504608857,0.567073171,0.238369578,692,16,113086,210256,0.771449067,0.795516626
0.743789474,0.243288591,0.783783784,0.371318822,0.641632874,0.518918919,0.238369578,451,40,100045,220308,0.693202555,0.844503415
0.723720549,0.190419162,0.873626374,0.312684366,0.502619063,0.571428571,0.238369578,676,23,93561,203640,0.707331731,0.72541744
0.746871141,0.203367876,0.892045455,0.331223629,0.564612614,0.585227273,0.238369578,615,19,108312,187641,0.852941176,0.810371759
0.742995224,0.170960187,0.901234568,0.287401575,0.49475222,0.567901235,0.238369578,708,16,122988,209881,0.776153846,0.781049741
0.714886731,0.210738255,0.872222222,0.339459459,0.564772518,0.555555556,0.238369578,588,23,110819,216953,0.763450835,0.799237507
0.750586346,0.273942094,0.694915254,0.392971246,0.680644427,0.451977401,0.238369578,326,54,96173,194744,0.761301989,0.667990074
0.73747474,0.180026281,0.878205128,0.298800436,0.5632978,0.576923077,0.238369578,624,19,111699,205453,0.886956522,0.746652789
0.751877164,0.185765983,0.88,0.306772908,0.504061481,0.514285714,0.238369578,675,21,114752,219638,0.833333333,0.764084872
0.718814779,0.176274945,0.898305085,0.294717331,0.460807381,0.570621469,0.238369578,743,18,84378,187479,0.701257862,0.705336922
0.759129213,0.238021638,0.865168539,0.373333333,0.645859761,0.556179775,0.238369578,493,24,114998,203233,0.737931034,0.771557594
0.727863671,0.202312139,0.81871345,0.324449594,0.596778469,0.514619883,0.238369578,552,31,111878,205588,0.758229814,0.791323532
0.730956259,0.204456094,0.87150838,0.331210191,0.564564852,0.592178771,0.238369578,607,23,111143,227985,0.675531915,0.744952722
0.73328518,0.191073919,0.850931677,0.312072893,0.587584092,0.571428571,0.238369578,580,24,94255,168556,0.742245989,0.606942762
0.716877454,0.22972973,0.804733728,0.357424442,0.643378985,0.556213018,0.238369578,456,33,116911,207180,0.668038409,0.773399015
0.755744069,0.214876033,0.896551724,0.346666667,0.594052202,0.614942529,0.238369578,570,18,113179,212392,0.721679688,0.748275862
0.715705645,0.216741405,0.828571429,0.343601896,0.625218856,0.537142857,0.238369578,524,30,105325,196356,0.68369453,0.551486612
0.78262985,0.215022091,0.890243902,0.346381969,0.631295539,0.585365854,0.238369578,533,18,119968,227375,0.66182048,0.598936824
0.735481436,0.215517241,0.791139241,0.338753388,0.643896968,0.525316456,0.238369578,455,33,99745,177130,0.608924612,0.616300615
0.774425287,0.242833052,0.827586207,0.375488918,0.6655234,0.534482759,0.238369578,449,30,90170,190271,0.552713178,0.617342377
0.753106037,0.219879518,0.843930636,0.348864994,0.624859373,0.543352601,0.238369578,518,27,99631,192242,0.688888889,0.709700321
0.739329893,0.209039548,0.875739645,0.337514253,0.59453074,0.579881657,0.238369578,560,21,111874,190933,0.846153846,0.692885375
0.758679399,0.196451204,0.906432749,0.322916667,0.547934252,0.596491228,0.238369578,634,16,111179,203756,0.7,0.714092363
0.761799723,0.224893918,0.873626374,0.357705287,0.611891578,0.554945055,0.238369578,548,23,120597,257599,0.463483146,0.758047871
0.754904306,0.372693727,0.573863636,0.451901566,0.686419878,0.369318182,0.238369578,170,75,71308,170150,0.5,0.937075692
0.759465018,0.243902439,0.809248555,0.374832664,0.667022347,0.526011561,0.238369578,434,33,101614,202331,0.517857143,0.068965517
0.756581662,0.208623088,0.872093023,0.336700337,0.595077394,0.587209302,0.238369578,569,22,104836,200702,0.676470588,0.64021164
0.773772743,0.225899281,0.872222222,0.358857143,0.623660024,0.572222222,0.238369578,538,23,110242,229691,0.459302326,0.384761905
0.778986087,0.231117825,0.905325444,0.368231047,0.638084451,0.621301775,0.238369578,509,16,86071,184582,0.344444444,0.817332641
0.751224905,0.227067669,0.834254144,0.356973995,0.626972934,0.546961326,0.238369578,514,30,103543,199776,,
0.745360849,0.227067669,0.853107345,0.358669834,0.628035263,0.576271186,0.238369578,514,26,114591,234678,,
0.746480886,0.208718626,0.868131868,0.336528222,0.571854366,0.571428571,0.238369578,599,24,96377,195492,,
0.7657026,0.246548323,0.776397516,0.374251497,0.687853214,0.52173913,0.238369578,382,36,99456,181511,,
0.734170757,0.229090909,0.768292683,0.352941176,0.658665953,0.512195122,0.238369578,424,38,135286,229256,,
0.753744886,0.2192,0.820359281,0.345959596,0.63057014,0.508982036,0.238369578,488,30,102796,204946,,
0.789458408,0.198087432,0.900621118,0.32474804,0.592996107,0.52173913,0.238369578,587,16,116202,209388,,
0.742224093,0.177804296,0.886904762,0.296222664,0.510686683,0.523809524,0.238369578,689,19,114368,237722,,
0.7614349,0.205665025,0.917582418,0.336016097,0.545760001,0.576923077,0.238369578,645,15,97510,233341,,
0.719411408,0.177750907,0.885542169,0.296072508,0.490031572,0.578313253,0.238369578,680,19,115246,203644,,
0.714944172,0.171837709,0.883435583,0.287712288,0.49542895,0.54601227,0.238369578,694,19,123829,242868,,
0.759108901,0.223088924,0.856287425,0.353960396,0.636049939,0.532934132,0.238369578,498,24,106171,212486,,
0.732072175,0.21045392,0.879310345,0.339622642,0.597797548,0.545977011,0.238369578,574,21,118669,220506,,
0.710032165,0.216965742,0.796407186,0.341025641,0.624975685,0.538922156,0.238369578,480,34,109525,192406,,
0.733690476,0.188095238,0.902857143,0.311330049,0.526399468,0.571428571,0.238369578,682,17,124576,212847,,
0.700247957,0.188679245,0.872093023,0.310237849,0.534363673,0.558139535,0.238369578,645,22,103749,185560,,
0.766858033,0.269230769,0.804597701,0.403458213,0.691587597,0.557471264,0.238369578,380,34,96047,209708,,
0.723093281,0.224648986,0.827586207,0.353374233,0.619585125,0.545977011,0.238369578,497,30,107984,201240,,
0.727998749,0.179049939,0.896341463,0.298477157,0.526038685,0.567073171,0.238369578,674,17,100916,197950,,
0.695833849,0.165298945,0.859756098,0.277286136,0.488147243,0.567073171,0.238369578,712,23,134409,225291,,
0.779415402,0.224770642,0.869822485,0.357229648,0.648290985,0.526627219,0.238369578,507,22,102448,204368,,
0.768730325,0.256140351,0.789189189,0.386754967,0.661868861,0.508108108,0.238369578,424,39,114257,220947,,
0.740523021,0.22238806,0.86627907,0.35391924,0.641332913,0.610465116,0.238369578,521,23,130709,242455,,
0.734153548,0.199170124,0.857142857,0.323232323,0.58824741,0.55952381,0.238369578,579,24,113098,199444,,
0.782224571,0.194162437,0.932926829,0.321428571,0.567067995,0.585365854,0.238369578,635,11,110463,231827,,
0.793407334,0.255892256,0.863636364,0.394805195,0.685640644,0.556818182,0.238369578,442,24,103138,200891,,
0.742255356,0.176240209,0.859872611,0.292524377,0.547134789,0.52866242,0.238369578,631,22,114031,204525,,
0.70629415,0.209985316,0.798882682,0.33255814,0.595714337,0.525139665,0.238369578,538,36,111993,190853,,
0.695241423,0.167391304,0.870056497,0.280765725,0.427762731,0.576271186,0.238369578,766,23,104962,184596,,
0.7080281,0.175675676,0.912280702,0.294617564,0.444187661,0.573099415,0.238369578,732,15,113098,224043,,
0.743325726,0.251407129,0.765714286,0.378531073,0.663586372,0.48,0.238369578,399,41,120167,215008,,
0.733608805,0.21024735,0.762820513,0.329639889,0.644662382,0.519230769,0.238369578,447,37,127135,213113,,
0.732849843,0.227142857,0.845744681,0.358108108,0.599590608,0.531914894,0.238369578,541,29,103585,222179,,
0.739563271,0.194563662,0.860759494,0.317386231,0.593508255,0.588607595,0.238369578,563,22,104247,203265,,
0.742235827,0.174781523,0.858895706,0.290456432,0.519580703,0.539877301,0.238369578,661,23,89525,184510,,
0.758524146,0.202185792,0.886227545,0.329254727,0.594317461,0.622754491,0.238369578,584,19,103756,201629,,
0.752002757,0.202020202,0.864197531,0.32748538,0.619202375,0.592592593,0.238369578,553,22,105988,182824,,
0.739213355,0.220634921,0.803468208,0.346201743,0.633824979,0.497109827,0.238369578,491,34,108034,209325,,
0.684424629,0.182441701,0.801204819,0.297206704,0.563380199,0.512048193,0.238369578,596,33,99415,178301,,
0.756100563,0.196149218,0.905555556,0.322453017,0.517168895,0.588888889,0.238369578,668,17,108061,224704,,
0.78280406,0.21716515,0.917582418,0.351209253,0.576566755,0.593406593,0.238369578,602,15,118259,238712,,
0.734659152,0.203098107,0.776315789,0.321964529,0.641121767,0.513157895,0.238369578,463,34,96411,188210,,
0.760340335,0.178764897,0.926966292,0.29972752,0.446760816,0.556179775,0.238369578,758,13,114257,224265,,
0.775333903,0.261403509,0.82320442,0.396804261,0.677331889,0.541436464,0.238369578,421,32,96524,201512,,
0.763037632,0.269811321,0.781420765,0.40112202,0.68124643,0.491803279,0.238369578,387,40,89612,201666,,
0.719047363,0.213313162,0.824561404,0.338942308,0.621765324,0.549707602,0.238369578,520,30,102892,194979,,
0.742930245,0.181938911,0.867088608,0.300768386,0.570900099,0.569620253,0.238369578,616,21,110946,202349,,
0.734384982,0.228668942,0.783625731,0.354029062,0.641535764,0.514619883,0.238369578,452,37,91463,170058,,
0.75359266,0.257095159,0.819148936,0.391359593,0.660491056,0.531914894,0.238369578,445,34,100156,221166,,
0.770867131,0.201219512,0.921787709,0.33033033,0.533128492,0.547486034,0.238369578,655,14,110982,221429,,
0.741022272,0.188022284,0.870967742,0.309278351,0.594883248,0.567741935,0.238369578,583,20,117445,217739,,
0.698113087,0.18487395,0.804878049,0.300683371,0.559303361,0.548780488,0.238369578,582,32,106266,200685,,
0.717679173,0.228471002,0.738636364,0.348993289,0.636152947,0.460227273,0.238369578,439,46,79489,171684,,
0.746076074,0.278210117,0.748691099,0.405673759,0.673896969,0.486910995,0.238369578,371,48,109194,244886,,
0.742693943,0.264976959,0.68452381,0.382059801,0.672658539,0.494047619,0.238369578,319,53,132502,233088,,
0.769672275,0.246835443,0.843243243,0.381884945,0.638672775,0.540540541,0.238369578,476,29,93342,203115,,
0.744670682,0.18607443,0.880681818,0.307234886,0.502806149,0.551136364,0.238369578,678,21,93281,192180,,
0.744212082,0.200860832,0.858895706,0.325581395,0.600031346,0.570552147,0.238369578,557,23,108594,194041,,
0.755521086,0.195652174,0.894736842,0.321091291,0.56815167,0.578947368,0.238369578,629,18,106910,207364,,
0.739337649,0.187120292,0.900584795,0.309859155,0.506171068,0.538011696,0.238369578,669,17,93241,197637,,
0.754998608,0.221052632,0.859649123,0.351674641,0.623244774,0.578947368,0.238369578,518,24,93413,192106,,
0.723632086,0.209929078,0.850574713,0.336746303,0.590057099,0.517241379,0.238369578,557,26,86691,192431,,
0.746098477,0.205925926,0.832335329,0.330166271,0.60829487,0.562874251,0.238369578,536,28,98377,186795,,
0.742762923,0.19525066,0.870588235,0.318965517,0.578070222,0.576470588,0.238369578,610,22,100388,206578,,
0.746048652,0.150884495,0.929487179,0.259623993,0.389330078,0.551282051,0.238369578,816,11,106899,208098,,
0.733434094,0.236363636,0.742857143,0.35862069,0.652274034,0.502857143,0.238369578,420,45,97446,202361,,
0.760877323,0.267699115,0.737804878,0.392857143,0.697905738,0.530487805,0.238369578,331,43,126482,207980,,
0.74237334,0.191381496,0.909638554,0.316230366,0.538151602,0.590361446,0.238369578,638,15,111854,208703,,
0.743699312,0.185096154,0.875,0.305555556,0.509505089,0.556818182,0.238369578,678,22,111763,196292,,
0.722929825,0.174102285,0.888888889,0.291173794,0.422745136,0.544444444,0.238369578,759,20,105195,204402,,
0.728703903,0.208083832,0.837349398,0.333333333,0.610365298,0.518072289,0.238369578,529,27,118800,219083,,
0.709104555,0.272727273,0.593220339,0.37366548,0.647667968,0.372881356,0.238369578,280,72,117432,209156,,
0.746834676,0.176092545,0.895424837,0.294307197,0.551647841,0.614379085,0.238369578,641,16,111385,215264,,
0.726761817,0.193732194,0.834355828,0.314450867,0.587351988,0.552147239,0.238369578,566,27,107726,179307,,
0.774620287,0.190830235,0.922155689,0.316221766,0.525407503,0.598802395,0.238369578,653,13,114641,220100,,
0.737240529,0.213533835,0.850299401,0.341346154,0.631884896,0.54491018,0.238369578,523,25,122295,208576,,
