auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.846519675,0.34421365,0.763157895,0.474437628,0.75117832,0.723684211,0.392391762,221,36,57349,92343,0.799450549,0.577923702
0.833597897,0.3556231,0.726708075,0.47755102,0.738983075,0.714285714,0.392391762,212,44,56709,80256,0.719715957,0.721986241
0.826445136,0.382608696,0.737430168,0.503816794,0.745829875,0.709497207,0.392391762,213,47,68447,111556,0.75884434,0.727151827
0.852608602,0.374172185,0.719745223,0.492374728,0.752927919,0.713375796,0.392391762,189,44,62343,84435,0.71815376,0.635606061
0.837582164,0.353896104,0.698717949,0.469827586,0.733592564,0.673076923,0.392391762,199,47,50934,81252,0.670534011,0.669055618
0.836756685,0.359872611,0.719745223,0.479830149,0.743041366,0.700636943,0.392391762,201,44,63083,86446,0.782100592,0.730796982
0.864280266,0.352760736,0.782312925,0.486257928,0.770355701,0.761904762,0.392391762,211,32,48742,69373,0.756975446,0.724351889
0.853019916,0.39,0.713414634,0.504310345,0.747604053,0.713414634,0.392391762,183,47,48957,65423,0.70840708,0.753831274
0.827549207,0.37751004,0.622516556,0.47,0.714457218,0.609271523,0.392391762,155,57,52536,79429,0.680642633,0.659771167
0.838760636,0.314814815,0.708333333,0.435897436,0.728868987,0.680555556,0.392391762,222,42,62727,93165,0.738839286,0.757161067
0.850326288,0.38028169,0.696774194,0.492027335,0.74553174,0.683870968,0.392391762,176,47,71852,99354,0.672348485,0.757231869
0.84176391,0.327702703,0.718518519,0.450116009,0.745180127,0.711111111,0.392391762,199,38,44481,62426,0.78805175,0.783820207
0.851437344,0.366013072,0.704402516,0.48172043,0.737057547,0.679245283,0.392391762,194,47,54782,85071,0.833482409,0.737200218
0.832248432,0.371335505,0.703703704,0.486140725,0.739016856,0.672839506,0.392391762,193,48,48704,84660,0.794383394,0.750025115
0.859647441,0.363013699,0.757142857,0.490740741,0.769945108,0.728571429,0.392391762,186,34,59581,95901,0.707425343,0.681493506
0.834544492,0.391634981,0.64375,0.486997636,0.726199573,0.64375,0.392391762,160,57,51529,66399,0.707305936,0.641118963
