auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort,time_auc,time_f1measure
0.78101711,0.320754717,0.658064516,0.431289641,0.713490558,0.419354839,0.365217796,216,53,83406,170846,0.82967033,0.703759398
0.782472685,0.37202381,0.675675676,0.479846449,0.723884004,0.486486486,0.365217796,211,60,66014,160114,0.708437761,0.726350779
0.782293899,0.393548387,0.638743455,0.487025948,0.717150135,0.471204188,0.365217796,188,69,64115,186481,0.725943396,0.707913257
0.796844282,0.332425068,0.709302326,0.452690167,0.728113072,0.511627907,0.365217796,245,50,122904,218163,0.676767677,0.664736592
0.764348857,0.297297297,0.614906832,0.400809717,0.682382016,0.465838509,0.365217796,234,62,82222,160881,0.692784488,0.704407713
0.781796933,0.349823322,0.589285714,0.43902439,0.689744839,0.380952381,0.365217796,184,69,63879,152254,0.808284024,0.620078492
0.760664683,0.342281879,0.607142857,0.43776824,0.695114756,0.428571429,0.365217796,196,66,83561,171008,0.683872768,0.667532644
0.794871061,0.33968254,0.648484848,0.445833333,0.712002638,0.424242424,0.365217796,208,58,67807,172141,0.714823009,0.741277593
0.808399052,0.327702703,0.664383562,0.438914027,0.726789216,0.438356164,0.365217796,199,49,87460,162360,0.699451411,0.731802085
0.805347628,0.359882006,0.693181818,0.473786408,0.732901086,0.454545455,0.365217796,217,54,79362,189629,0.650829082,0.67687629
0.798495314,0.4,0.648648649,0.494845361,0.724454612,0.481081081,0.365217796,180,65,64272,178775,0.741666667,0.744829042
0.809670069,0.378181818,0.662420382,0.481481481,0.737518172,0.452229299,0.365217796,171,53,77254,155049,0.793378995,0.77032967
0.790691509,0.326409496,0.639534884,0.432220039,0.696839538,0.453488372,0.365217796,227,62,76235,169924,0.785778175,0.727738153
0.735206867,0.342857143,0.561403509,0.425720621,0.67381368,0.380116959,0.365217796,184,75,78247,168910,0.678815629,0.657939756
0.767321157,0.288571429,0.627329193,0.395303327,0.679472114,0.459627329,0.365217796,249,60,100365,188693,0.707803223,0.63822314
0.810878219,0.405144695,0.666666667,0.504,0.733708478,0.492063492,0.365217796,185,63,65673,178615,0.716584158,0.596750688
0.804474476,0.367601246,0.686046512,0.478701826,0.736927037,0.48255814,0.365217796,203,54,89011,191099,0.801120448,0.730651141
0.797966192,0.360335196,0.671875,0.469090909,0.714914263,0.505208333,0.365217796,229,63,79673,206180,0.78348554,0.752595231
0.764198418,0.325878594,0.603550296,0.423236515,0.68651892,0.426035503,0.365217796,211,67,88296,179945,0.780961792,0.663096008
0.794588635,0.329341317,0.654761905,0.438247012,0.711557349,0.44047619,0.365217796,224,58,83326,175485,0.832216171,0.738708688
0.807373243,0.354632588,0.668674699,0.463465553,0.726618468,0.469879518,0.365217796,202,55,81742,169631,0.785627178,0.744179163
0.789861856,0.356902357,0.646341463,0.459869848,0.719916684,0.487804878,0.365217796,191,58,83707,182983,0.76133429,0.762675656
0.781871977,0.374631268,0.686486486,0.484732824,0.730268175,0.464864865,0.365217796,212,58,85934,207325,0.683850365,0.763154259
0.771429149,0.332394366,0.648351648,0.439478585,0.697692665,0.467032967,0.365217796,237,64,69726,181109,0.774038462,0.758223334
0.774514344,0.336419753,0.619318182,0.436,0.692951595,0.454545455,0.365217796,215,67,71346,159186,0.862867647,0.812349328
0.786903673,0.352739726,0.635802469,0.453744493,0.715663476,0.469135802,0.365217796,189,59,76414,164544,0.957692308,0.905759975
0.782530265,0.343373494,0.633333333,0.4453125,0.695984269,0.455555556,0.365217796,218,66,85575,192784,0.845083488,0.856610004
0.78904544,0.361445783,0.677966102,0.47151277,0.728700298,0.497175141,0.365217796,212,57,76133,162275,0.652350814,0.649099416
0.770408498,0.286127168,0.634615385,0.394422311,0.68860385,0.435897436,0.365217796,247,57,88562,174744,0.825217391,0.770905508
0.787469517,0.386206897,0.64,0.48172043,0.721081029,0.445714286,0.365217796,178,63,84416,179968,0.8,0.768846528
0.776510995,0.360927152,0.615819209,0.455114823,0.702615129,0.418079096,0.365217796,193,68,65640,178270,0.766116352,0.790397924
0.766915896,0.313186813,0.640449438,0.420664207,0.687214804,0.438202247,0.365217796,250,64,104391,193571,0.883743842,0.821407381
0.77904673,0.356435644,0.631578947,0.455696203,0.711000518,0.467836257,0.365217796,195,63,87146,187829,0.809161491,0.772565838
0.788836156,0.347181009,0.653631285,0.453488372,0.709486589,0.469273743,0.365217796,220,62,80030,198337,0.811170213,0.772727273
0.785612463,0.320987654,0.645962733,0.428865979,0.707358734,0.472049689,0.365217796,220,57,90149,170357,0.77540107,0.717974453
0.767441128,0.334302326,0.680473373,0.44834308,0.717301842,0.479289941,0.365217796,229,54,109559,210794,0.782578875,0.742047191
0.799547567,0.359133127,0.666666667,0.466800805,0.721011897,0.454022989,0.365217796,207,58,77267,186308,0.803222656,0.662087912
0.738974654,0.321299639,0.508571429,0.39380531,0.642019423,0.371428571,0.365217796,188,86,75376,157340,0.733230134,0.613759214
0.814134968,0.355685131,0.743902439,0.481262327,0.7573224,0.542682927,0.365217796,221,42,104749,215197,0.716498104,0.778671087
0.786749907,0.321637427,0.696202532,0.44,0.72611956,0.481012658,0.365217796,232,48,78951,168718,0.614190687,0.599094845
0.812950668,0.337016575,0.701149425,0.455223881,0.725913776,0.459770115,0.365217796,240,52,97397,200518,0.513178295,0.648202115
0.804820354,0.378640777,0.676300578,0.485477178,0.73593594,0.468208092,0.365217796,192,56,67890,173194,0.6,0.748468048
0.797030077,0.346278317,0.633136095,0.447698745,0.704935666,0.449704142,0.365217796,202,62,90208,179610,0.901098901,0.664696111
0.810197523,0.356125356,0.730994152,0.478927203,0.746141819,0.497076023,0.365217796,226,46,121347,221820,0.78030303,0.761919496
0.772751493,0.334302326,0.631868132,0.437262357,0.693530161,0.423076923,0.365217796,229,67,76953,204828,0.723314607,0.732286099
