"first_column","X1","X2","X3"
"RF","ActiveMQ","1.00","(L)***"
"","Camel","1.00","(L)***"
"","Hadoop C.","0.89","(L)***"
"","Geronimo","0.83","(L)***"
"","HBase","1.00","(L)***"
"","Pig","1.00","(L)***"
"LR","ActiveMQ","1.00","(L)***"
"","Camel","1.00","(L)***"
"","Hadoop C.","1.00","(L)***"
"","Geronimo","1.00","(L)***"
"","HBase","1.00","(L)***"
"","Pig","1.00","(L)***"
"NB","ActiveMQ","1.00","(L)***"
"","Camel","1.00","(L)***"
"","Hadoop C.","1.00","(L)***"
"","Geronimo","1.00","(L)***"
"","HBase","1.00","(L)***"
"","Pig","1.00","(L)***"
