"auc","precision","recall","f1measure","gmean","recall20","MCC","fp","fn","waste_effort","all_effort"
0.779451715418261,0.379727685325265,0.653645833333333,0.480382775119617,0.71212395234967,0.630208333333333,0.355359916543786,410,133,61102,116425
0.760253494945206,0.378378378378378,0.634760705289673,0.474129821260583,0.701988813804212,0.622166246851385,0.343323303534359,414,145,55290,93280
0.750108137138212,0.340943683409437,0.605405405405405,0.436222005842259,0.6816311407128,0.591891891891892,0.304237852605256,433,146,78351,114215
0.774573995151567,0.371913580246914,0.610126582278481,0.462128475551294,0.686641780408598,0.59746835443038,0.322583747573092,407,154,66415,107132
0.780358446467049,0.37442218798151,0.646276595744681,0.474146341463415,0.707862989159134,0.622340425531915,0.34828375564405,406,133,72424,119458
0.756788907046044,0.384615384615385,0.618811881188119,0.47438330170778,0.690977527664937,0.599009900990099,0.331960464552251,400,154,61196,101729
0.767056699829809,0.369426751592357,0.620320855614973,0.463073852295409,0.696296503627065,0.614973262032086,0.334462975033118,396,142,62379,90530
0.775761062872685,0.396604938271605,0.650632911392405,0.4928092042186,0.714471144961258,0.637974683544304,0.36627192695788,391,138,59856,103810
0.768385587032087,0.378151260504202,0.57840616966581,0.457317073170732,0.678164114945353,0.565552699228792,0.320881576967225,370,164,64153,105838
0.77266294571049,0.372488408037094,0.635883905013193,0.469785575048733,0.703371089444435,0.620052770448549,0.342904515644391,406,138,59948,114247
0.768729261242904,0.3861852433281,0.637305699481865,0.480938416422287,0.708485568126641,0.632124352331606,0.355926719475591,391,140,42224,78925
0.770980679115714,0.386904761904762,0.654911838790932,0.48643592142189,0.710050951769186,0.639798488664987,0.354861035124124,412,137,69196,106236
0.760368799092704,0.367624810892587,0.609022556390977,0.458490566037736,0.683230474445782,0.586466165413534,0.315764986229388,418,156,62499,108454
0.76685259909803,0.366818873668189,0.629242819843342,0.463461538461538,0.695801884675232,0.616187989556136,0.330502423909507,416,142,58424,91950
0.769751651215828,0.355587808417997,0.644736842105263,0.458372310570627,0.695444704761749,0.628947368421053,0.322645263129356,444,135,65981,109921
0.766692698164779,0.372964169381107,0.581218274111675,0.454365079365079,0.676955134841336,0.571065989847716,0.31583871447579,385,165,53972,94304
0.775003700304905,0.363636363636364,0.637837837837838,0.463199214916585,0.702547728229748,0.627027027027027,0.337693604683518,413,134,67494,101153
0.779666232690259,0.34841628959276,0.650704225352113,0.453831041257367,0.702298274674966,0.642253521126761,0.328758918521083,432,124,68327,95477
0.781954812466623,0.375,0.653543307086614,0.476555023923445,0.711884107262329,0.637795275590551,0.353106299913524,415,132,68663,111779
0.761576987286503,0.370992366412214,0.623076923076923,0.465071770334928,0.692981564934192,0.607692307692308,0.329108080354355,412,147,46197,92297
0.754322555160544,0.361189801699717,0.643939393939394,0.462794918330309,0.694042827267108,0.628787878787879,0.322856352975903,451,141,63122,94974
0.779276464949478,0.382126348228043,0.650918635170604,0.481553398058252,0.709951785278175,0.627296587926509,0.35358279265473,401,133,66740,120834
0.779690730917918,0.394904458598726,0.63265306122449,0.486274509803922,0.707297470240628,0.622448979591837,0.358629040500981,380,144,63594,97338
0.769576355310769,0.353135313531353,0.629411764705882,0.452431289640592,0.703633930162239,0.614705882352941,0.33696455753036,392,126,62396,102929
0.766182188496911,0.352507374631268,0.617571059431525,0.448826291079812,0.683277847114445,0.599483204134367,0.308248048616408,439,148,71954,111840
0.771824676284706,0.375,0.634464751958224,0.471387002909796,0.702282918070954,0.616187989556136,0.342534901434114,405,140,76805,122937
0.767867782702893,0.377443609022556,0.625935162094763,0.470919324577861,0.695882702846057,0.608478802992519,0.335441601010287,414,150,65492,112809
0.748268049386489,0.369465648854962,0.631853785900783,0.466281310211946,0.696420853801658,0.621409921671018,0.331898526393901,413,141,65530,101996
0.791331053512197,0.37592867756315,0.66578947368421,0.480531813865147,0.714025276566848,0.65,0.354531691019307,420,127,71571,115228
0.770095947584406,0.378466557911909,0.604166666666667,0.465396188565697,0.689459506780778,0.583333333333333,0.331395376719339,381,152,82837,134442
0.763020968420567,0.370839936608558,0.610966057441253,0.461538461538462,0.690728960078441,0.600522193211488,0.328615999335137,397,149,60855,93708
0.78119078196347,0.380503144654088,0.630208333333333,0.474509803921569,0.702959740853112,0.625,0.346767069004314,394,142,68477,102860
0.771964610135873,0.384353741496599,0.609164420485175,0.471324296141814,0.700387634723624,0.601078167115903,0.350274852613107,362,145,48826,88084
0.790699778716793,0.387888707037643,0.638814016172507,0.482688391038697,0.713022517964327,0.630727762803235,0.36333962881067,374,134,49966,87627
0.765978849266142,0.400332225913621,0.608585858585859,0.482965931863727,0.698000660565356,0.601010101010101,0.352497983270924,361,155,47686,88528
0.793747634833417,0.386731391585761,0.653005464480874,0.485772357723577,0.718256504136176,0.633879781420765,0.367566073484829,379,127,75452,126052
0.76672869543421,0.370802919708029,0.628712871287129,0.466483011937557,0.692516821809186,0.621287128712871,0.32701574036154,431,150,57597,91809
0.75553944720403,0.356143079315708,0.609042553191489,0.44946025515211,0.686428308909826,0.587765957446808,0.316665795341589,414,147,69020,114419
0.782010674990202,0.400606980273141,0.661654135338346,0.499054820415879,0.718481324269901,0.641604010025063,0.371748442876025,395,135,61077,109059
