"auc","precision","recall","f1measure","gmean","recall20","MCC","fp","fn","waste_effort","all_effort"
0.656696848632556,0.250440917107584,0.527881040892193,0.339712918660287,0.610515587579049,0.516728624535316,0.180863961207155,425,127,63427,83847
0.697487017409441,0.25,0.589430894308943,0.351089588377724,0.649329077562659,0.565040650406504,0.22451724408193,435,101,66699,90346
0.698236038601487,0.272260273972603,0.616279069767442,0.377672209026128,0.661893607943179,0.589147286821705,0.246498243353251,425,99,72619,98411
0.712723737481355,0.276740237691002,0.626923076923077,0.383981154299176,0.664809811965542,0.596153846153846,0.250954226725838,426,97,52090,77124
0.694332161205867,0.257142857142857,0.571428571428571,0.354679802955665,0.638258994468943,0.547619047619048,0.21494455993994,416,108,78735,103258
0.692107143654675,0.271062271062271,0.58498023715415,0.370463078848561,0.64850429903251,0.561264822134387,0.232298332496448,398,105,80637,101431
0.696348841107538,0.295327102803738,0.576642335766423,0.390605686032138,0.652195519049147,0.562043795620438,0.24863025265177,377,116,55932,78042
0.719581568476447,0.293040293040293,0.60377358490566,0.394574599260173,0.66725683029602,0.573584905660377,0.264294913513493,386,105,66826,93838
0.666134724566518,0.24290780141844,0.559183673469388,0.338689740420272,0.629266998479542,0.551020408163265,0.199241713053572,427,108,68476,86131
0.711975320675784,0.273037542662116,0.622568093385214,0.379596678529063,0.665586554228557,0.607003891050584,0.250999481319126,426,97,57458,77971
0.694982998757602,0.261245674740484,0.613821138211382,0.366504854368932,0.661928853504127,0.59349593495935,0.242404236709208,427,95,67483,89117
0.709864879414298,0.284452296819788,0.624031007751938,0.390776699029126,0.66971806517497,0.60077519379845,0.261021584245174,405,97,64844,87114
0.729384384384384,0.224165341812401,0.635135135135135,0.331374853113984,0.65460255461196,0.608108108108108,0.215610870177054,488,81,65721,85874
0.699687109623589,0.239202657807309,0.620689655172414,0.345323741007194,0.652977356570892,0.594827586206897,0.220949269476993,458,88,94005,115303
0.723655088972172,0.274952919020716,0.621276595744681,0.381201044386423,0.674834628996216,0.617021276595745,0.264381678967822,385,89,51981,74465
0.708136072543711,0.30718954248366,0.650519031141868,0.417314095449501,0.676886908314852,0.615916955017301,0.27702981447196,424,101,69707,103602
0.720931117836274,0.284916201117318,0.614457831325301,0.389312977099237,0.674319742800479,0.602409638554217,0.269025233873618,384,96,61069,81489
0.69179551321287,0.275491949910555,0.581132075471698,0.37378640776699,0.64432358801609,0.550943396226415,0.228537103278325,405,111,66391,92119
0.704988337378832,0.256451612903226,0.618677042801556,0.362599771949829,0.652462055434326,0.579766536964981,0.22739559865608,461,98,60787,90195
0.696570685207049,0.262786596119929,0.591269841269841,0.363858363858364,0.648888122911643,0.579365079365079,0.228567557102883,418,103,65925,87626
0.706737328156155,0.277870216306156,0.642307692307692,0.387921022067364,0.672425887861857,0.623076923076923,0.259984555232191,434,93,71714,94161
0.708772731347211,0.263345195729537,0.619246861924686,0.369538077403246,0.664886939985672,0.610878661087866,0.246493599729407,414,91,49262,69274
0.702417010269392,0.253676470588235,0.565573770491803,0.350253807106599,0.640887655047456,0.540983606557377,0.218809149992064,406,106,66478,88842
0.708705411603962,0.260249554367201,0.577075098814229,0.358722358722359,0.642509509018487,0.565217391304348,0.221127819505714,415,107,64743,85555
0.702258308986372,0.273722627737226,0.583657587548638,0.372670807453416,0.65098726171079,0.556420233463035,0.237194981063808,398,107,81353,106562
0.714513876237323,0.243682310469314,0.613636363636364,0.348837209302326,0.664743384724564,0.604545454545454,0.238610737979745,419,85,81241,101159
0.702435867388247,0.2573402417962,0.600806451612903,0.360338573155986,0.655871858934652,0.584677419354839,0.234546744689505,430,99,70755,91188
0.6842025839246,0.269165247018739,0.593984962406015,0.370457209847597,0.643843595818356,0.578947368421053,0.223336627509253,429,108,73383,94519
0.715536332179931,0.245980707395498,0.6375,0.354988399071926,0.656192224347498,0.608333333333333,0.226635754198384,469,87,65467,88054
0.68408290653009,0.265164644714038,0.579545454545455,0.36385255648038,0.637572018979349,0.545454545454545,0.215238269533718,424,111,52956,79162
0.711443752191385,0.266775777414075,0.63921568627451,0.376443418013857,0.66502886989497,0.603921568627451,0.246144358573519,448,92,72030,98455
0.731182532027704,0.268835616438356,0.630522088353414,0.376950780312125,0.669228999320787,0.614457831325301,0.2531764176953,427,92,60842,81917
0.701387052448731,0.271604938271605,0.596899224806202,0.373333333333333,0.657269593511971,0.593023255813954,0.242840493809746,413,104,60425,79658
0.673124939842941,0.242857142857143,0.569037656903766,0.340425531914894,0.637020769155899,0.539748953974895,0.208341752193284,424,103,54476,77222
0.689006085192698,0.257903494176373,0.607843137254902,0.36214953271028,0.648751857244792,0.588235294117647,0.224143092173784,446,100,70664,95276
0.691595909982367,0.261036468330134,0.564315352697095,0.356955380577428,0.641839638952136,0.54356846473029,0.223301029916469,385,105,45319,70404
0.695529752074593,0.281034482758621,0.612781954887218,0.385342789598109,0.662176467721628,0.590225563909774,0.250832645141248,417,103,57937,83946
0.687183348944142,0.252115059221658,0.58203125,0.351829988193625,0.637798956188379,0.546875,0.210469879224898,442,107,72629,98890
0.702072456889733,0.260647359454855,0.593023255813954,0.362130177514793,0.646482945896911,0.569767441860465,0.224083407249747,434,105,60965,85182
0.692601176584464,0.267676767676768,0.613899613899614,0.372801875732708,0.654166799532873,0.579150579150579,0.234512204411075,435,100,76492,103963
0.7197227997228,0.263414634146341,0.648,0.374566473988439,0.66676367970504,0.616,0.246430580765443,453,88,75328,99272
0.693682382933459,0.256451612903226,0.604562737642586,0.360135900339751,0.645860737320074,0.574144486692015,0.220062657519847,461,104,85585,112257
0.714920922381244,0.268206039076377,0.606425702811245,0.37192118226601,0.657691681197748,0.590361445783133,0.240519390698846,412,98,67140,93535
0.727253916030376,0.295900178253119,0.621722846441948,0.400966183574879,0.672400949442905,0.602996254681648,0.269648097861761,395,101,78077,103903
0.71559344596604,0.269503546099291,0.630705394190871,0.377639751552795,0.673300048780665,0.605809128630705,0.258745608290834,412,89,62039,84645
0.69988468191428,0.257495590828924,0.603305785123967,0.360939431396786,0.655421107264778,0.578512396694215,0.23361154518108,421,96,66920,87647
0.691210561879516,0.278632478632479,0.615094339622641,0.383529411764706,0.660550718670543,0.59622641509434,0.247324557496008,422,102,60352,83037
0.662893696946678,0.273049645390071,0.572490706319703,0.369747899159664,0.638932821408293,0.568773234200744,0.221395642222158,410,115,68933,85752
0.705693669550163,0.245901639344262,0.594713656387665,0.347938144329897,0.655000970711977,0.581497797356828,0.229669095092258,414,92,61882,79181
0.684327005119454,0.252991452991453,0.578125,0.351961950059453,0.636925475572651,0.546875,0.210217212446335,437,108,61252,87766
0.69364924456011,0.259515570934256,0.574712643678161,0.357568533969011,0.639499758025691,0.555555555555556,0.216952003414357,428,111,71921,93994
