"auc","precision","recall","f1measure","gmean","recall20","MCC","fp","fn","waste_effort","all_effort"
0.73651190298756,0.621495327102804,0.209448818897638,0.313309776207303,0.450129109769622,0.859842519685039,0.281655726263404,81,502,22078,47784
0.730858708576746,0.634517766497462,0.187406296851574,0.289351851851852,0.426380649547379,0.850074962518741,0.265070055758649,72,542,21749,52370
0.723904408974656,0.695187165775401,0.196671709531014,0.306603773584906,0.438300422366093,0.856278366111952,0.298584839418738,57,531,9261,36516
0.725528653653654,0.676767676767677,0.201201201201201,0.310185185185185,0.442533429060264,0.845345345345345,0.292820810869374,64,532,11708,43601
0.755318275154004,0.668316831683168,0.2,0.307867730900798,0.44101804942413,0.84,0.288521916435459,67,540,23396,51826
0.751521223674371,0.674418604651163,0.170839469808542,0.27262044653349,0.408568454319782,0.840942562592047,0.26752680720515,56,563,18761,38908
0.730578074277785,0.611353711790393,0.218068535825545,0.321469575200918,0.458501591882803,0.850467289719626,0.282242772888939,89,502,10346,33366
0.74150404943382,0.6524064171123,0.190923317683881,0.295399515738499,0.431012524221886,0.870109546165884,0.278084716179467,65,517,9792,39345
0.731801941629386,0.614035087719298,0.207407407407407,0.310077519379845,0.447111508253325,0.854814814814815,0.270838954907123,88,535,17856,38512
0.742747189821765,0.655502392344498,0.203869047619048,0.311010215664018,0.444899892630684,0.845238095238095,0.287618792172982,72,535,19947,49085
0.73891061530745,0.609865470852018,0.214511041009464,0.317386231038506,0.454950306847259,0.861198738170347,0.280153825251431,87,498,23438,48103
0.72012965960286,0.593886462882096,0.207951070336391,0.308040770101925,0.447252500882727,0.82262996941896,0.264968058918889,93,518,31610,57698
0.740151496305878,0.618811881188119,0.189681335356601,0.290360046457607,0.428597118442904,0.834597875569044,0.262111071380068,77,534,14752,44000
0.741123503404574,0.657004830917874,0.206686930091185,0.314450867052023,0.448065304027381,0.873860182370821,0.291932134715571,71,522,19913,37546
0.722229159886676,0.620967741935484,0.242138364779874,0.34841628959276,0.482709434710127,0.84748427672956,0.304538904733802,94,482,27446,64760
0.71517134951043,0.576036866359447,0.192901234567901,0.289017341040462,0.431028295024244,0.834876543209877,0.248944699710044,92,523,23667,40782
0.736661048874789,0.625531914893617,0.224427480916031,0.330337078651685,0.465201261542204,0.86412213740458,0.291213638483352,88,508,19922,52851
0.730223324937407,0.641350210970464,0.233128834355828,0.341957255343082,0.474360112074746,0.854294478527607,0.304145086879009,85,500,13234,48038
0.726642842451666,0.604255319148936,0.211309523809524,0.313120176405733,0.450805607632331,0.875,0.26942283720394,93,530,15354,40124
0.742807474705204,0.637554585152838,0.207681365576102,0.313304721030043,0.447860417781666,0.860597439544808,0.27802079714138,83,557,22627,46030
0.739955005983247,0.631336405529954,0.2192,0.32541567695962,0.460657340634722,0.8432,0.294768526972943,80,488,14559,46736
0.738557368958852,0.641592920353982,0.221374045801527,0.329171396140749,0.462539645508669,0.867175572519084,0.294606432276244,81,510,15933,39010
0.726519368897393,0.604878048780488,0.183703703703704,0.281818181818182,0.421429522809086,0.848888888888889,0.250049717083379,81,551,13497,49797
0.736777841402414,0.594594594594595,0.197901049475262,0.296962879640045,0.436489175019354,0.87256371814093,0.255825383633272,90,535,18063,42825
0.711574275076103,0.645454545454546,0.217457886676876,0.325315005727377,0.458877414628617,0.85145482388974,0.29515854620563,78,511,20571,43353
0.727402406002538,0.650943396226415,0.217322834645669,0.325855962219599,0.459122471411469,0.856692913385827,0.299426435416852,74,497,12712,43801
0.728848966845544,0.616379310344828,0.218989280245023,0.32316384180791,0.459554286470149,0.860643185298622,0.284606299916334,89,510,13911,38583
0.73071805669993,0.613899613899614,0.240181268882175,0.345276872964169,0.48008017579355,0.845921450151057,0.296187893724367,100,503,32728,64627
0.742077156378278,0.629807692307692,0.208931419457735,0.31377245508982,0.449820066111425,0.851674641148325,0.284498513964859,77,496,22579,49106
0.723667256857081,0.623762376237624,0.191780821917808,0.293364377182771,0.431082013709725,0.867579908675799,0.266253968209656,76,531,12479,36800
0.751711263979169,0.652582159624413,0.205621301775148,0.312710911136108,0.446514284287321,0.832840236686391,0.286180692156609,74,537,12415,41382
0.714470191915067,0.611111111111111,0.22626582278481,0.330254041570439,0.466865426935974,0.859177215189873,0.289205052950656,91,489,12695,40206
0.734316905407964,0.654255319148936,0.189230769230769,0.293556085918854,0.429168556957299,0.853846153846154,0.277162753024443,65,527,8433,41567
0.736355482925802,0.645631067961165,0.209448818897638,0.316290130796671,0.450833787047009,0.862992125984252,0.291453212607505,73,502,16675,42305
0.727838060315797,0.642857142857143,0.237577639751553,0.346938775510204,0.479027723289282,0.885093167701863,0.310308399691308,85,491,18191,41952
0.745164770584262,0.685714285714286,0.182094081942337,0.287769784172662,0.421851866779283,0.840667678300455,0.282365716234775,55,539,11075,39694
0.742337386464491,0.685714285714286,0.231511254019293,0.346153846153846,0.474579688363297,0.882636655948553,0.325229248721592,66,478,11172,42408
0.736190808059738,0.652173913043478,0.200296735905045,0.306469920544835,0.440949854873848,0.859050445103858,0.282952533832143,72,539,11718,39000
0.735615947402244,0.618852459016393,0.228787878787879,0.334070796460177,0.46915920683964,0.842424242424242,0.290243065846717,93,509,17972,53909
0.738720649799782,0.639344262295082,0.178353658536585,0.278903456495828,0.41650130197489,0.842987804878049,0.261391624374317,66,539,11981,37378
0.739543759673561,0.623893805309734,0.235785953177258,0.342233009708738,0.477156605812086,0.861204013377926,0.305433794076778,85,457,23205,55034
0.717683248505589,0.59349593495935,0.22706065318818,0.328458942632171,0.466857983542442,0.860031104199067,0.280750852348714,100,497,20953,51248
0.72359541657373,0.625592417061611,0.205928237129485,0.309859154929577,0.44638953826097,0.858034321372855,0.278943253135218,79,509,21123,47465
0.72796012844595,0.658878504672897,0.215926493108729,0.325259515570934,0.457663401964268,0.856049004594181,0.299011163681011,73,512,15533,41267
0.722309526321872,0.598130841121495,0.197530864197531,0.296983758700696,0.436596933080051,0.827160493827161,0.260729130015419,86,520,26489,61792
0.740727449937976,0.624454148471616,0.228070175438596,0.33411214953271,0.469347236256447,0.870813397129187,0.298227847159553,86,484,12696,47277
0.72896311312011,0.583333333333333,0.202898550724638,0.301075268817204,0.442220502606011,0.855072463768116,0.262162401284444,90,495,15627,43872
0.742810278566855,0.622727272727273,0.207890743550835,0.311717861205916,0.448069742660609,0.857359635811836,0.276479619292816,83,522,15743,38772
0.72949017614126,0.602459016393443,0.225114854517611,0.327759197324415,0.465053020254563,0.842266462480858,0.281602774918968,97,506,15525,41685
0.729451119517565,0.616071428571429,0.220447284345048,0.324705882352941,0.461186849699084,0.864217252396166,0.287026548202176,86,488,12657,46630
0.742261883738414,0.596938775510204,0.18167701863354,0.278571428571429,0.419341644566189,0.861801242236025,0.24940945560234,79,527,21900,42589
0.726337932860631,0.625,0.198170731707317,0.300925925925926,0.438127248180573,0.853658536585366,0.272690519654247,78,526,21383,39690
0.730243368881597,0.592274678111588,0.209090909090909,0.309070548712206,0.448267103663,0.843939393939394,0.264128653196836,95,522,16215,37009
0.726523242422521,0.609090909090909,0.210031347962382,0.312354312354312,0.45010222933977,0.852664576802508,0.274649056503853,86,504,13345,39332
0.719112863057622,0.605042016806723,0.230769230769231,0.334106728538283,0.471158650684799,0.854166666666667,0.290221628781948,94,480,25935,45920
0.730955565007363,0.614035087719298,0.218068535825545,0.32183908045977,0.458476329130572,0.853582554517134,0.282356815251498,88,502,16140,36028
0.730704271248947,0.616113744075829,0.211038961038961,0.314389359129383,0.451735100749791,0.853896103896104,0.281734657955799,81,486,13180,37225
0.736153510956175,0.592039800995025,0.1859375,0.282996432818074,0.424102638294983,0.8640625,0.252315206566641,82,521,15489,40172
0.732294205116584,0.610619469026549,0.210687022900763,0.31328036322361,0.450718522334777,0.853435114503817,0.274749684235763,88,517,12936,40623
0.70958560747753,0.666666666666667,0.218934911242604,0.329621380846325,0.460853916824502,0.846153846153846,0.303198986126267,74,528,9074,41667
0.732430097918267,0.630434782608696,0.187399030694669,0.288916562889166,0.426813783315507,0.849757673667205,0.269476814325692,68,503,10992,41221
0.736629150355227,0.605504587155963,0.210526315789474,0.312426035502959,0.450753148127466,0.853269537480064,0.27582982911265,86,495,15175,52340
0.732300773089564,0.601503759398496,0.260162601626016,0.36322360953462,0.498877694030631,0.852032520325203,0.308356622779342,106,455,19651,47005
0.741744634349983,0.640776699029126,0.2,0.304849884526559,0.440457990608737,0.88030303030303,0.27967983428534,74,528,14361,35768
0.747956972922277,0.664893617021277,0.187406296851574,0.292397660818713,0.427300023449517,0.863568215892054,0.278517961928155,63,542,11898,34532
0.728797512144319,0.666666666666667,0.216216216216216,0.326530612244898,0.458174363659397,0.854354354354354,0.302222391216072,72,522,8655,54421
0.727562351849943,0.652631578947368,0.198083067092652,0.303921568627451,0.439103064891882,0.862619808306709,0.287032457682171,66,502,10072,32911
0.728867690600813,0.592233009708738,0.184568835098336,0.281430219146482,0.4221826344249,0.859304084720121,0.247191169316012,84,539,14393,32746
0.742276330633147,0.618811881188119,0.195924764890282,0.297619047619048,0.435657138433195,0.841692789968652,0.269705364949787,77,513,22080,53052
0.739504156968291,0.669724770642202,0.220543806646526,0.331818181818182,0.462761988504176,0.858006042296072,0.307434252635428,72,516,16144,50623
0.741385154287283,0.624454148471616,0.212481426448737,0.317073170731707,0.452926826888369,0.841010401188707,0.281022430958306,86,530,20651,47477
0.732958432480666,0.636363636363636,0.170731707317073,0.269230769230769,0.407786594680977,0.852134146341463,0.255566758737343,64,544,10769,36226
0.745009553554452,0.639344262295082,0.181395348837209,0.282608695652174,0.420215991494127,0.852713178294574,0.266984866794952,66,528,12635,37500
0.738317878097988,0.645299145299145,0.226386806596702,0.335183129855716,0.467604804423942,0.856071964017991,0.298998895420355,83,516,19751,57909
0.720937741873065,0.659090909090909,0.213235294117647,0.322222222222222,0.45459803141076,0.854411764705882,0.294064233819786,75,535,15821,45586
0.741673053892216,0.602564102564103,0.211077844311377,0.312638580931264,0.450805666005868,0.841317365269461,0.27118427291133,93,527,13212,36789
0.739730928235751,0.615740740740741,0.208791208791209,0.311840562719812,0.449250383652323,0.846153846153846,0.278613852474278,83,504,25388,54301
0.724914476374707,0.607142857142857,0.18740157480315,0.286401925391095,0.425973643087642,0.866141732283465,0.257824840617031,77,516,17683,35497
0.72221962262242,0.608465608465608,0.1796875,0.277442702050663,0.417500093903643,0.8578125,0.253392350697405,74,525,14654,40431
0.720333399097513,0.646288209606987,0.229102167182663,0.338285714285714,0.470660791620176,0.840557275541796,0.304318848384461,81,498,24669,54192
0.723581537838317,0.635359116022099,0.181102362204724,0.281862745098039,0.419878791871274,0.853543307086614,0.266250708021003,66,520,10325,42957
0.735572213184153,0.646153846153846,0.197802197802198,0.302884615384615,0.438516373932671,0.863422291993721,0.283004320569817,69,511,11355,28258
0.723919415751099,0.643835616438356,0.203463203463203,0.309210526315789,0.443752318510503,0.83982683982684,0.278664067949803,78,552,13977,43766
0.717680831023838,0.622317596566524,0.221036585365854,0.326209223847019,0.461704614302698,0.856707317073171,0.287553662501894,88,511,28735,54872
0.742520162265813,0.650224215246637,0.227272727272727,0.336817653890825,0.469118719295806,0.852664576802508,0.306042147232834,78,493,17582,60845
0.732803934426229,0.639269406392694,0.224,0.33175355450237,0.465561532972395,0.8496,0.299738783356695,79,485,21106,46694
0.738487663081245,0.647619047619048,0.204819277108434,0.311212814645309,0.445716335669438,0.828313253012048,0.285543769726379,74,528,27710,50642
0.739397099600029,0.627450980392157,0.192771084337349,0.294930875576037,0.432207618529204,0.840361445783133,0.267911358766153,76,536,21071,46178
0.735040794383657,0.630331753554502,0.20398773006135,0.308227114716107,0.444326991346191,0.858895705521472,0.277831250800616,78,519,12992,45579
0.721500872467561,0.610576923076923,0.199059561128527,0.300236406619385,0.438790358168505,0.855799373040752,0.268798628500659,81,511,13430,39853
0.738193314347708,0.664864864864865,0.183035714285714,0.287047841306884,0.42239657374561,0.858630952380952,0.274781166191086,62,549,11834,33818
0.737938792098515,0.606481481481482,0.207606973058637,0.309327036599764,0.447642317116902,0.835182250396197,0.273084190870291,85,500,24716,61019
0.732549823791348,0.65296803652968,0.21122599704579,0.319196428571429,0.452444048428386,0.855243722304284,0.291177196737833,76,534,20513,44532
0.742113524458818,0.694444444444444,0.222882615156018,0.337457817772778,0.465696816653837,0.867756315007429,0.317465199864644,66,523,12146,40364
0.737484591953579,0.65158371040724,0.212703101920236,0.320712694877506,0.453828549445317,0.841949778434269,0.290686171674405,77,533,15608,51440
0.739867445241087,0.634920634920635,0.180722891566265,0.281359906213365,0.41907366457957,0.867469879518072,0.261563280711303,69,544,21260,47288
0.73504632390461,0.567685589519651,0.195488721804511,0.29082774049217,0.433100985504308,0.855639097744361,0.243358534929631,99,535,19179,40274
