"auc","precision","recall","f1measure","gmean","recall20","MCC","fp","fn","waste_effort","all_effort"
0.74604506232023,0.739130434782609,0.228187919463087,0.348717948717949,0.47254436652206,0.791946308724832,0.341992531318814,12,115,2322,8154
0.738805651598583,0.596153846153846,0.181286549707602,0.278026905829596,0.417539743499094,0.824561403508772,0.234992842277167,21,140,2864,13954
0.738837360927083,0.492307692307692,0.197530864197531,0.281938325991189,0.431770845047189,0.759259259259259,0.206668053777042,33,130,9515,15090
0.732918252046581,0.590163934426229,0.244897959183673,0.346153846153846,0.484273607596856,0.755102040816326,0.293714383878003,25,111,5685,14041
0.741414054795695,0.564516129032258,0.210843373493976,0.307017543859649,0.448011035108272,0.825301204819277,0.244706455997274,27,131,4648,9914
0.740746712974448,0.568627450980392,0.2,0.295918367346939,0.438276546184315,0.786206896551724,0.250189853798415,22,116,5911,12742
0.731884723050801,0.507692307692308,0.214285714285714,0.301369863013699,0.449633874278324,0.805194805194805,0.225713114720029,32,121,8822,15653
0.74354091610911,0.568627450980392,0.216417910447761,0.313513513513513,0.456299194853421,0.761194029850746,0.270601893953614,22,105,11089,17327
0.763247503941146,0.631578947368421,0.208092485549133,0.31304347826087,0.447378068417411,0.797687861271676,0.268998897218546,21,137,5198,16425
0.742668466317891,0.647058823529412,0.280254777070064,0.391111111111111,0.518145965710103,0.802547770700637,0.336686426157474,24,113,3994,11164
0.752156818052311,0.583333333333333,0.173913043478261,0.267942583732057,0.409305403632008,0.795031055900621,0.228708198098718,20,133,6147,10351
0.757854896316435,0.641791044776119,0.254437869822485,0.364406779661017,0.493391478571994,0.834319526627219,0.308285161779484,24,126,3679,9634
0.718818136373789,0.607843137254902,0.18562874251497,0.284403669724771,0.423124651872744,0.754491017964072,0.247335772417372,20,136,3310,9540
0.751529318726304,0.595744680851064,0.183006535947712,0.28,0.42049908708735,0.862745098039216,0.246911758056445,19,125,3164,4933
0.746867004191845,0.529411764705882,0.229299363057325,0.32,0.465571145922648,0.821656050955414,0.247163242319896,32,121,6919,14752
0.769057356854243,0.688524590163934,0.287671232876712,0.405797101449275,0.527106005567899,0.863013698630137,0.365254358466826,19,104,4244,10469
0.755384296302765,0.626865671641791,0.260869565217391,0.368421052631579,0.499407458170562,0.838509316770186,0.311530230030797,25,119,3043,6748
0.761043454815081,0.607142857142857,0.220779220779221,0.323809523809524,0.460842553845327,0.818181818181818,0.280179092663837,22,120,5719,7943
0.728823410792024,0.636363636363636,0.228758169934641,0.336538461538462,0.469526131419576,0.777777777777778,0.295773661376769,20,118,3802,14376
0.725924135708696,0.56140350877193,0.205128205128205,0.300469483568075,0.442630064115911,0.782051282051282,0.244278233271027,25,124,6903,16561
0.713265781504775,0.650793650793651,0.257861635220126,0.369369369369369,0.497349134102633,0.716981132075472,0.317832445141624,22,118,8047,20222
0.751847443336805,0.571428571428571,0.198581560283688,0.294736842105263,0.437368241331056,0.773049645390071,0.25485151856821,21,113,10165,14944
0.754422332780542,0.65,0.240740740740741,0.351351351351351,0.480945666481404,0.734567901234568,0.303572070577008,21,123,6562,13203
0.750206236594621,0.596491228070175,0.206060606060606,0.306306306306306,0.444363775699893,0.812121212121212,0.255636946027022,23,131,8463,13111
0.731250919330097,0.620689655172414,0.206896551724138,0.310344827586207,0.445617886776261,0.804597701149425,0.262224733618792,22,138,7813,10952
0.715513607194716,0.511627906976744,0.148648648648649,0.230366492146597,0.378468703043065,0.824324324324324,0.191554449882778,21,126,1847,3815
0.744164231727172,0.578125,0.226993865030675,0.325991189427313,0.464997448538129,0.736196319018405,0.264446758886365,27,126,5762,15744
0.761807234309249,0.540540540540541,0.261437908496732,0.352422907488987,0.496202789537226,0.777777777777778,0.274247860845495,34,113,7222,13829
0.738024656502917,0.584615384615385,0.246753246753247,0.34703196347032,0.484441734851987,0.831168831168831,0.282591279486007,27,116,2640,8489
0.724113300492611,0.507462686567164,0.23448275862069,0.320754716981132,0.4697499596919,0.772413793103448,0.241958824717827,33,111,7085,9434
0.728347514554411,0.54320987654321,0.285714285714286,0.374468085106383,0.517192115880612,0.746753246753247,0.288385894581705,37,110,15063,24289
0.751889225756822,0.641509433962264,0.207317073170732,0.313364055299539,0.44722371379799,0.792682926829268,0.275624801673239,19,130,6893,11777
0.748323583963476,0.685714285714286,0.294478527607362,0.412017167381974,0.531873135984539,0.773006134969325,0.360475463940326,22,115,5073,15814
0.724590536851683,0.581081081081081,0.273885350318471,0.372294372294372,0.50864903406417,0.777070063694268,0.297050300957085,31,114,5970,13903
0.761600122480671,0.657142857142857,0.282208588957055,0.394849785407725,0.519745605313133,0.828220858895706,0.33838568835028,24,117,5582,15107
0.759876771410967,0.549019607843137,0.186666666666667,0.278606965174129,0.422765591708885,0.74,0.227296254835171,23,122,7700,14687
0.719442175018155,0.619047619047619,0.254901960784314,0.361111111111111,0.494247959784999,0.797385620915033,0.309035703586659,24,114,5363,12074
0.741298923036512,0.605633802816901,0.265432098765432,0.369098712446352,0.502249558172905,0.734567901234568,0.302462770480142,28,119,11106,25681
0.716996147724389,0.542857142857143,0.246753246753247,0.339285714285714,0.482419107652276,0.818181818181818,0.26276794999355,32,116,8339,15281
0.747380937480443,0.563636363636364,0.213793103448276,0.31,0.452195622664039,0.737931034482759,0.256271718133152,24,114,15601,20113
0.744147067355732,0.636363636363636,0.214723926380368,0.321100917431193,0.455195505495647,0.846625766871166,0.283686087845413,20,128,2057,7387
0.723046052953556,0.596774193548387,0.251700680272109,0.354066985645933,0.49028889814187,0.843537414965986,0.296475412098872,25,110,8472,16983
0.769956628045559,0.580645161290323,0.23841059602649,0.338028169014085,0.476350994991786,0.821192052980132,0.274951643172129,26,115,9306,17931
0.756670947488584,0.592105263157895,0.3125,0.409090909090909,0.543977770748487,0.805555555555556,0.337953432120221,31,99,6608,17685
0.713056530629129,0.625,0.294117647058824,0.4,0.528921045723553,0.797385620915033,0.333950927644823,27,108,8330,18268
0.75473639835342,0.73469387755102,0.251748251748252,0.375,0.495928970536996,0.818181818181818,0.361709655514298,13,107,3249,12519
0.735879328851477,0.644067796610169,0.245161290322581,0.355140186915888,0.485947374283897,0.858064516129032,0.312506273591155,21,117,2962,11064
0.750921375921376,0.484848484848485,0.216216216216216,0.299065420560748,0.450959203658383,0.72972972972973,0.219556682002945,34,116,13454,23653
0.766955498502353,0.588235294117647,0.24390243902439,0.344827586206897,0.48158204553439,0.780487804878049,0.279840985725056,28,124,7894,17633
0.76307729200048,0.732142857142857,0.257861635220126,0.381395348837209,0.501156788346286,0.79874213836478,0.359892988497648,15,118,3817,8588
0.745569474773015,0.60655737704918,0.24025974025974,0.344186046511628,0.479639465410928,0.792207792207792,0.291201217188017,24,117,7290,12224
0.734545849394647,0.516129032258065,0.196319018404908,0.284444444444444,0.431155424097321,0.674846625766871,0.213891639846757,30,131,14871,26378
0.73137344695763,0.580645161290323,0.209302325581395,0.307692307692308,0.447195786384785,0.767441860465116,0.2517701569723,26,136,10191,17905
0.761783884489986,0.568965517241379,0.217105263157895,0.314285714285714,0.455520400843405,0.809210526315789,0.259106006031217,25,119,2217,11551
0.750223214285714,0.6,0.217105263157895,0.318840579710145,0.45670135517595,0.815789473684211,0.272917435704934,22,119,6602,13013
0.747443158784762,0.641509433962264,0.213836477987421,0.320754716981132,0.454262226347518,0.773584905660377,0.283345723850694,19,125,5168,13588
0.735460069444444,0.527027027027027,0.232142857142857,0.322314049586777,0.466944273297231,0.803571428571429,0.239425357903748,35,129,15702,20395
0.721080359969249,0.618181818181818,0.217948717948718,0.322274881516588,0.458122847290851,0.794871794871795,0.28070546083335,21,122,7368,13489
0.733768187581938,0.685185185185185,0.229813664596273,0.344186046511628,0.472286395280418,0.832298136645963,0.31786047354921,17,124,4143,11744
0.744085869641974,0.513888888888889,0.251700680272109,0.337899543378995,0.486270798627876,0.714285714285714,0.25696107525819,35,110,15185,24124
