buggy_AG,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,buggy,1,1,2,1,10,2,36,0,1,0.01,2,579,342.15,14
clean,clean,1,3,4,0.790767,39,5,69,0,1,0.01,1.25,580,343.15,15
clean,clean,1,1,1,0,2,2,170,0,1,8.67,6,581,344.15,16
clean,clean,6,28,50,4.91647,1747,467,84.94,0,17,5.1,3.38,57,47.49,59
buggy,buggy,2,2,2,0.676942,29,27,150.5,0,7,6.14,11.5,582,344.72,348
clean,clean,1,1,1,0,1,1,257,0,1,0.61,17,583,345.72,53
clean,clean,1,1,2,0.566509,10,5,133,1,10,18.02,20,1467,676.79,1185
clean,clean,1,1,1,0,22,22,324,0,6,2.67,17,235,155.51,3
clean,clean,4,5,6,1.91631,62,55,191.33,0,13,8.78,13.67,58,48.37,59
clean,clean,4,30,60,4.94202,4215,454,95.68,0,19,4.64,7.93,232,89.23,149
clean,clean,1,1,1,0,1,0,184,0,5,2.83,17,584,345.32,312
clean,clean,0,0,0,0,0,0,0,0,0,0,0,585,346.24,0
clean,clean,0,0,0,0,0,0,0,0,0,0,0,586,347.24,0
clean,clean,1,1,1,0,15,16,56,0,1,0.24,1,587,348.24,38
clean,clean,1,1,1,0,15,16,43,0,1,0.24,1,588,349.24,39
clean,clean,1,4,4,1.68108,83,0,50,0,1,7.47,0.25,589,350.22,12
clean,clean,1,1,1,0,12,0,1249,0,14,0.29,121,590,351.2,103
clean,clean,2,3,8,2.05436,204,118,103.13,0,1,2.62,0.38,591,352.2,71
clean,clean,1,2,6,2.55034,5,6,105,0,1,0.88,1.5,592,353.2,55
clean,clean,2,3,3,1.42947,2,13,134.67,0,3,6.88,4,1468,675.84,1297
buggy,buggy,1,8,14,3.46162,206,17,122.93,0,6,20.4,2.86,233,90.15,1
clean,clean,1,1,1,0,15,3,135,0,4,20.41,5,234,91.15,2
clean,clean,0,0,0,0,0,0,0,0,0,0,0,187,120.2,0
clean,clean,8,49,91,5.37564,4731,598,102.63,0,21,8.33,5.66,59,48.91,96
clean,clean,1,1,1,0,21,24,1098,0,17,0,188,60,49.91,46
buggy,buggy,2,16,22,3.49979,1178,0,27.36,0,3,2.34,1.09,0,0,0
clean,clean,1,1,1,0,1,2,215,0,6,23.78,17,1469,673.24,1187
clean,clean,2,3,3,1.11055,13,17,190.33,0,4,20.97,7.33,1470,674.22,1188
clean,clean,1,2,2,0.258019,60,32,597.5,0,8,23.86,27,1471,675.16,1189
buggy,buggy,1,2,2,0.612196,105,1,29,0,1,9.43,0.5,1472,676.12,0
clean,clean,3,43,49,4.8269,1470,557,98.33,0,15,12.72,4.47,1473,677.03,1390
clean,clean,1,2,2,0.289986,57,2,283,0,8,24.51,26,188,120.78,43
clean,clean,1,2,2,1,2,2,452,1,11,17.3,22.5,189,121.78,44
clean,clean,1,1,1,0,5,0,0,0,0,0,0,1474,677.06,89
clean,clean,1,4,5,2.29584,41,40,444.4,0,16,13.51,51.8,1475,677.11,1191
clean,clean,1,1,1,0,0,8,181,0,4,2,14,1,0.99,1
clean,clean,1,2,2,0.964079,20,34,160.5,0,4,2,7,593,349.61,40
clean,clean,1,1,1,0,0,33,238,0,4,0.01,13,1476,678.08,113
clean,clean,1,1,1,0,3,6,155,0,1,21.01,7,594,350.58,104
clean,clean,1,1,1,0,1,1,152,0,1,0.05,8,1477,679,55
clean,clean,1,1,1,0,4,4,324,0,7,7.45,18,742,277.18,61
clean,clean,1,1,1,0,1,1,324,0,7,0.67,19,743,277.95,62
clean,clean,1,1,1,0,1,1,324,0,7,0.03,20,744,278.94,63
clean,clean,2,20,27,3.9452,445,156,243.07,0,18,10.49,15.3,1478,679.02,1306
clean,clean,1,1,2,0.811278,2,2,371,1,14,8.55,50.5,1479,678.92,1193
