,EXP,REXP,SEXP
0,10,9.97899,1
1,11,10.9451,3
2,1,0.999618,1
3,4,3.99882,4
4,7,6.94358,5
5,9,8.91832,7
6,2,1.9999900000000002,1
7,3,2.9999700000000002,2
8,13,12.7704,4
9,4,3.9893300000000003,4
10,6,5.98928,4
11,8,7.94964,7
12,11,10.8932,6
13,12,11.8921,10
14,10,9.68182,2
15,15,14.8406,12
16,17,16.8405,0
17,17,16.8404,9
18,18,17.8086,10
19,19,18.8085,11
20,20,19.8053,12
21,21,20.8052,0
22,21,20.7965,13
23,22,21.7965,14
24,11,10.6658,5
25,12,11.6622,4
26,13,12.6328,5
27,14,13.6183,14
28,15,14.315,6
29,17,16.3051,10
30,12,11.3901,4
31,14,13.3816,0
32,14,13.3815,0
33,14,13.3541,3
34,15,14.3538,4
35,16,15.3538,0
36,16,15.3437,5
37,17,16.3437,6
38,18,17.3436,0
39,25,23.7443,16
40,28,26.3961,19
41,18,16.8673,0
42,31,29.3423,9
43,23,21.5596,20
44,18,16.814,3
45,19,17.8114,11
46,32,30.1666,17
47,34,31.779,25
48,25,23.1554,22
49,17,15.565,17
50,37,34.5022,12
51,38,35.2313,20
52,20,18.3023,12
53,40,37.1209,31
54,43,40.0235,0
55,27,24.6407,25
56,43,39.9487,34
57,21,19.0734,14
58,46,42.8392,37
59,22,20.1112,9
60,24,21.8024,17
61,27,24.7312,20
62,30,27.1006,0
63,31,28.096,28
64,34,31.0955,1
65,1,0.9811040000000001,1
66,35,31.7821,31
67,38,34.7817,34
68,30,27.3806,23
69,33,30.328000000000003,26
70,36,33.1467,29
71,49,43.9144,0
72,39,35.7766,32
73,49,43.8815,40
74,23,20.1936,10
75,24,21.1935,8
76,3,2.9356,3
77,52,46.6637,43
78,55,49.6636,46
79,42,38.4594,27
80,41,36.7716,37
81,44,39.7691,12
82,44,40.3811,29
83,46,42.3807,31
84,25,21.8653,25
85,45,40.1414,41
86,58,51.5196,35
87,28,24.6266,18
88,30,26.3699,30
89,48,42.9729,15
90,48,42.4163,44
91,51,45.415,39
92,60,52.6112,51
93,53,47.2928,41
94,49,43.5494,19
95,55,48.8145,0
96,56,49.6984,51
97,63,54.8325,54
98,59,52.5746,45
99,51,45.1079,43
100,61,54.455,19
101,54,48.0828,21
102,62,55.0552,28
103,63,56.0551,0
104,63,56.0548,29
105,33,28.4595,25
106,35,30.4501,27
107,66,57.1185,57
108,69,60.1181,60
109,72,63.1179,20
110,64,56.6035,50
111,66,58.6032,31
112,67,59.6023,53
113,73,63.6117,64
114,76,66.6104,67
115,69,60.8703,55
116,71,62.8698,66
117,74,65.8481,35
118,75,66.8479,0
119,6,5.42265,6
120,75,66.516,36
121,56,48.4967,47
122,9,8.363439999999999,9
123,37,31.6148,37
124,76,66.907,37
125,77,67.9024,0
126,59,50.9023,50
127,12,11.232999999999999,12
128,77,67.5652,0
129,77,67.559,24
130,78,68.5576,25
131,40,33.8242,26
132,79,68.7216,26
133,80,69.7216,27
134,62,53.1361,53
135,81,70.5836,2
136,4,3.4278800000000005,0
137,42,35.5602,28
138,15,13.8766,10
139,79,65.6985,27
140,44,37.0202,44
141,17,15.6446,17
142,20,18.5906,14
143,22,20.4428,22
144,47,39.5602,47
145,50,42.2554,37
146,25,23.2467,25
147,65,53.4996,44
148,28,25.9995,20
149,52,43.7734,39
150,54,45.5239,54
151,30,27.4387,30
152,82,66.8572,76
153,33,30.258000000000003,0
154,67,54.1325,46
155,57,47.6414,57
156,34,30.9666,24
157,80,62.6671,51
158,85,68.9424,11
159,86,69.9237,81
160,82,64.6276,55
161,90,73.9212,0
162,85,67.483,75
163,37,33.6854,35
164,40,36.6849,38
165,71,56.7183,61
166,43,39.1698,16
167,45,40.9219,42
168,88,69.1374,78
169,91,72.1374,32
170,90,72.2864,83
171,48,43.4181,45
172,92,72.1804,82
173,51,46.2285,35
174,95,73.2021,62
175,97,75.0787,87
176,53,46.7,50
177,56,49.696000000000005,53
178,59,52.5568,56
179,100,77.0861,90
180,62,54.9261,43
181,4,2.94952,3
182,93,71.1443,72
183,95,73.1429,42
184,96,74.1427,0
185,96,74.1423,43
186,97,74.9876,32
187,98,75.9871,33
188,99,76.9669,44
189,100,77.8458,45
190,101,78.8456,46
191,64,56.4963,45
192,66,58.4962,47
193,102,79.8073,95
194,105,82.8057,98
195,108,85.2829,101
196,111,88.2825,104
197,103,79.0443,93
198,106,82.0435,96
199,6,4.88472,4
200,114,91.0312,107
201,74,55.4187,3
202,117,93.8617,112
203,122,98.8568,93
204,124,100.85700000000001,0
205,124,100.85700000000001,0
206,124,100.85600000000001,54
207,125,101.853,55
208,126,102.852,56
209,127,103.852,0
210,109,84.6417,99
211,112,87.6415,102
212,115,90.6413,105
213,127,103.62100000000001,57
214,128,104.62,58
215,129,105.524,120
216,132,108.405,123
217,75,56.0987,64
218,78,59.0656,53
219,118,93.2227,108
