,auc,f1measure,acc
0,0.839574258,0.783177664,0.303317536
1,0.872230644,0.774085351,0.2625
2,0.890283454,0.799939421,0.088757396
3,0.887895087,0.793809538,0.240740741
4,0.889386394,0.788681976,0.147058824
5,0.902164717,0.807884792,0.312138728
6,0.894847758,0.798042005,0.448863636
7,0.892977336,0.804451695,0.273291925
8,0.887574643,0.811732366,0.245614035
9,0.884572072,0.831985495,0.153333333
10,0.874001775,0.820282038,0.06122449
11,0.886023754,0.832487758,0.391891892
12,0.873074187,0.821805436,0.575418994
13,0.855181705,0.806958829,0.220338983
14,0.850794127,0.799048652,0.287128713
15,0.852198709,0.802256477,0.195121951
16,0.841518543,0.766565698,0.462555066
17,0.848660086,0.768159863,0.209821429
18,0.84647763,0.755887508,0.388535032
19,0.829274402,0.744250829,0.027472527
20,0.830468287,0.723932069,0.035714286
21,0.822104867,0.710112426,0.325459318
22,0.847084816,0.7482223,0.048780488
23,0.846595728,0.749542924,0.238636364
24,0.854769996,0.765291956,0.12037037
25,0.849622108,0.778552406,0.246696035
26,0.830603572,0.771541413,0.042194093
27,0.819202468,0.757705154,0.117647059
28,0.824970318,0.748225859,0.2
29,0.806467479,0.722728219,0.12585034
30,0.797916219,0.700832898,0.182758621
31,0.803907336,0.695706518,0.057823129
32,0.808871421,0.729697424,0.28343949
33,0.802944744,0.712700592,0.188679245
34,0.812249801,0.741248176,0.247191011
35,0.824702049,0.771090538,0.178899083
36,0.79845816,0.743188936,0.283185841
37,0.825478169,0.770872226,0.194736842
38,0.822470746,0.762106763,0.188034188
39,0.832573978,0.764309888,0.133858268
40,0.840740741,0.757507781,0.27972028
41,0.835363121,0.759406985,0.232824427
42,0.830250164,0.754828799,0.340277778
43,0.813152485,0.740036157,0.030188679
44,0.807710775,0.724441748,0.035031847
45,0.802025617,0.739899983,0.119533528
46,0.793378807,0.723539809,0.187032419
47,0.77671475,0.712729339,0.081743869
48,0.799133194,0.72376795,0.198198198
49,0.810367844,0.717845311,0.127516779
50,0.821256676,0.715785148,0.319298246
51,0.851302161,0.72249325,0.177865613
52,0.86473107,0.727544942,0.215909091
53,0.857415558,0.746393416,0.233050847
54,0.881789193,0.773972482,0.287179487
55,0.877953808,0.797520256,0.232258065
56,0.880320446,0.798063349,0.282828283
57,0.852288488,0.801954908,0.226190476
58,0.812961534,0.794842457,0.302325581
59,0.806554264,0.783703251,0.043010753
60,0.817250978,0.799566466,0.164556962
61,0.822936885,0.798707584,0.082089552
62,0.826279196,0.782027077,0.192090395
63,0.80562884,0.734855933,0.073394495
64,0.823680357,0.73268916,0.255813953
65,0.787699712,0.72140988,0.144927536
66,0.791093436,0.70479261,0.164750958
67,0.748793696,0.710362313,0.013157895
68,0.758707374,0.726029923,0.206422018
69,0.72344481,0.716904407,0.246231156
70,0.728925227,0.705828012,0.082949309
71,0.73721805,0.730171801,0.059633028
72,0.767732933,0.718846865,0.211678832
73,0.771752531,0.721260444,0.130742049
74,0.780875501,0.718589235,0.124031008
75,0.806540551,0.722344793,0.073359073
76,0.786174109,0.710634408,0.212927757
77,0.812714482,0.709764818,0.254032258
78,0.825062242,0.713966244,0.25751073
79,0.809943788,0.710815693,0.149253731
80,0.824674043,0.7265532,0.192592593
81,0.820446662,0.712951278,0.264069264
