Classifier Project Old New Old New Old New Old New
RF ActiveMQ 466 416 314 285 178526 61102 451261 152810
 Camel 1923 1678 495 403 481802 214852 1169758 379281
 Hadoop C. 1430 1635 129 139 490928 376892 682065 500795
 HBase 835 674 260 96 308686 113632 746587 168612
 Pig 214 199 60 44 82698 57615 182021 88944
LR ActiveMQ 502 444 295 270 192503 67275 480158 160661
 Camel 2240 1957 452 370 672495 242787 1384923 410328
 Hadoop C. 2637 2594 202 131 1039008 597160 1287222 723437
 HBase 1061 851 331 77 392712 133677 835959 189445
 Pig 287 264 54 37 96053 78209 200675 108942
NB ActiveMQ 449 400 382 351 200869 52446 478497 140110
 Camel 1885 1666 646 523 702868 211695 1396334 358437
 Hadoop C. 5481 3424 90 107 1300210 775619 1558051 907715
 HBase 1718 923 238 77 331306 154170 749170 212154
 Pig 552 369 26 23 107745 101991 208372 137840
