auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.822830551,0.680974478,0.600204499,0.638043478,0.713345506,0.59202454,0.462595315,275,391,43327,125830
0.811484994,0.658739596,0.563580875,0.60745614,0.689483083,0.558494405,0.42401173,287,429,46347,114394
0.815204659,0.697560976,0.562992126,0.623093682,0.697183891,0.558070866,0.450859825,248,444,39557,105510
0.832961581,0.714631197,0.585148515,0.643440392,0.712191527,0.576237624,0.475523363,236,419,38286,120074
0.820483034,0.699875467,0.565392354,0.625486923,0.698894142,0.560362173,0.453802892,241,432,36798,106239
0.828296349,0.706766917,0.579650565,0.636928289,0.708900257,0.576567318,0.4703252,234,409,25564,86719
0.820140564,0.726368159,0.585170341,0.648168701,0.715761006,0.577154309,0.487194572,220,414,29865,107598
0.818419376,0.676040495,0.604627767,0.63834307,0.712887593,0.600603622,0.45760032,288,393,35547,102098
0.830036967,0.727391874,0.556112224,0.63032368,0.700883488,0.551102204,0.472424496,208,443,23981,97756
0.830757359,0.716267339,0.566866267,0.632869081,0.704611414,0.563872255,0.471190931,225,434,31646,97262
0.819148493,0.707082833,0.561487131,0.625929862,0.69547739,0.556720686,0.44792939,244,460,33080,105246
0.830407718,0.70215311,0.594129555,0.643640351,0.714985679,0.587044534,0.474358907,249,401,32173,115639
0.835259189,0.697005988,0.592668024,0.640616401,0.713240669,0.586558045,0.470136686,253,400,34555,112750
0.821991341,0.6975,0.561933535,0.622420524,0.696988152,0.556898288,0.451336568,242,435,22801,98451
0.816563256,0.68453106,0.569979716,0.622025457,0.697414507,0.562880325,0.443650008,259,424,31071,103333
0.839721855,0.73373494,0.590688652,0.654486835,0.719242044,0.584869059,0.492789589,221,422,24163,98895
0.82613715,0.709476309,0.573011078,0.633983287,0.70599122,0.566968781,0.468405486,233,424,25626,90211
0.823298341,0.72761194,0.585585586,0.648918469,0.715548341,0.580580581,0.486214433,219,414,37268,114029
0.825275787,0.697978597,0.580613254,0.633909287,0.706367092,0.574678536,0.461176305,254,424,30583,109337
0.829727745,0.721945137,0.553537285,0.626623377,0.694602701,0.550669216,0.454656744,223,467,23122,88152
0.82328873,0.68818514,0.567269076,0.621904238,0.697816445,0.560240964,0.447687811,256,431,33439,108888
0.81957111,0.6957638,0.568730325,0.625866051,0.701992031,0.563483736,0.459376788,237,411,27953,96388
0.831684659,0.729426434,0.585,0.649278579,0.716150933,0.58,0.488795227,217,415,34383,103899
0.831317104,0.716645489,0.56969697,0.634777715,0.705921257,0.567676768,0.472246372,223,426,37155,98830
0.826370656,0.728059333,0.568532819,0.638482385,0.705024908,0.562741313,0.471462435,220,447,31251,105442
0.827923749,0.704257768,0.610778443,0.654195617,0.723042697,0.599800399,0.48346706,257,390,35308,118068
