auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.815070178,0.72327044,0.517086331,0.603041426,0.676545018,0.385791367,0.440689958,220,537,59463,326909
0.810756132,0.688544153,0.553742802,0.613829787,0.692605513,0.462571977,0.445668155,261,465,256828,528777
0.808835447,0.687358916,0.551630435,0.612060302,0.687266578,0.403985507,0.43155009,277,495,89358,353145
0.816786813,0.673603505,0.593629344,0.631092868,0.708865262,0.498069498,0.454625729,298,421,308682,550197
0.815967336,0.700231481,0.558633426,0.621468927,0.695711521,0.421975993,0.451097256,259,478,70406,411885
0.812870072,0.701979045,0.566197183,0.626819127,0.702054703,0.497652582,0.462749432,256,462,326325,611178
0.803752615,0.676190476,0.539923954,0.600422833,0.682433223,0.376425856,0.428070307,272,484,87963,309544
0.810385484,0.687951807,0.545367717,0.608417688,0.686680921,0.415472779,0.436377976,259,476,95526,333096
0.812414267,0.706097561,0.526842584,0.603439291,0.678935259,0.424021838,0.434726255,241,520,102558,407050
0.806530124,0.677011494,0.548417132,0.605967078,0.686334523,0.47113594,0.431064045,281,485,311569,562956
0.813354859,0.713032581,0.523941068,0.60403397,0.679420705,0.401473297,0.440627638,229,517,99897,378219
0.80842999,0.695078031,0.557803468,0.618920363,0.697027334,0.417148362,0.455541626,254,459,84831,345330
0.816565072,0.696341463,0.547459252,0.612989801,0.691361323,0.393096836,0.449442892,249,472,80928,285226
0.804366667,0.693950178,0.532302093,0.602471679,0.679238648,0.470427662,0.428184866,258,514,312617,592838
0.821620944,0.732009926,0.545286506,0.625,0.696448144,0.461182994,0.471584816,216,492,254850,507392
0.803475576,0.678899083,0.532853285,0.597075139,0.675501119,0.462646265,0.414612674,280,519,302872,573338
0.808028433,0.693975904,0.530875576,0.60156658,0.679608111,0.394470046,0.431083033,254,509,80514,295968
0.82066489,0.703007519,0.538904899,0.610114192,0.688457186,0.431316042,0.450857319,237,480,110277,382109
0.806353017,0.699126092,0.521901212,0.597652081,0.676116752,0.400745573,0.431207937,241,513,66785,363098
0.821718513,0.742610837,0.525719268,0.615620214,0.683711106,0.405405405,0.454408604,209,544,92130,341792
0.813691665,0.701900238,0.540713632,0.610852713,0.686325451,0.409881061,0.441661185,251,502,111312,341161
0.820022116,0.700704225,0.572387344,0.630079156,0.705171631,0.434324065,0.465741432,255,446,78520,391857
