auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.790768235,0.647191011,0.588957055,0.616702355,0.697577785,0.580777096,0.425005041,314,402,37798,116486
0.774547349,0.642045455,0.574771109,0.606548578,0.689964405,0.566632757,0.414468856,315,418,40385,121968
0.776495629,0.65388828,0.587598425,0.618973561,0.696631027,0.579724409,0.424320896,316,419,39904,109070
0.792046801,0.683789954,0.593069307,0.635206787,0.707361571,0.584158416,0.452179355,277,411,43511,123940
0.774838188,0.664656212,0.554325956,0.60449808,0.683601852,0.551307847,0.416148635,278,443,32590,96237
0.797046112,0.66819222,0.60020555,0.632376827,0.707991399,0.593011305,0.446928955,290,389,36798,101607
0.78220958,0.650224215,0.581162325,0.613756614,0.691770357,0.573146293,0.415670666,312,418,40910,111830
0.785008501,0.634791455,0.6277666,0.631259484,0.70920942,0.61971831,0.430070553,359,370,41025,112454
0.791739958,0.674725275,0.615230461,0.64360587,0.716306229,0.604208417,0.459240965,296,384,36666,119175
0.785387283,0.663895487,0.557884232,0.606290672,0.686114645,0.552894212,0.420057521,283,443,37679,101436
0.782401671,0.652551574,0.572926597,0.610152284,0.684702328,0.562440419,0.403119142,320,448,43263,120946
0.786050884,0.661233993,0.574898785,0.615051435,0.693630489,0.566801619,0.426470891,291,420,38713,118871
0.795419454,0.654017857,0.596741344,0.624068158,0.702256092,0.591649695,0.432716552,310,396,33936,108562
0.783866122,0.65771028,0.566968781,0.608977826,0.688444207,0.559919436,0.41821759,293,430,32341,115699
0.779195831,0.658703072,0.587221095,0.620911528,0.698188128,0.578093306,0.429206602,300,407,31376,115821
0.796714444,0.684695052,0.577109602,0.626315789,0.698730058,0.570320078,0.44119229,274,436,28987,100355
0.781902929,0.665088757,0.565961732,0.611534276,0.690277383,0.558912387,0.424921067,283,431,31665,94567
0.77858122,0.656036446,0.576576577,0.613745338,0.690417506,0.571571572,0.416008751,302,423,40375,112509
0.796924309,0.663726571,0.595450049,0.627737226,0.703483865,0.586547972,0.437928238,305,409,37366,120758
0.791773579,0.683856502,0.583173996,0.629514964,0.698925141,0.575525813,0.436756337,282,436,33480,103678
0.778708307,0.647126437,0.565261044,0.603429796,0.685039575,0.5562249,0.40911345,307,433,30778,109151
0.782023262,0.65258216,0.583420776,0.616066482,0.69722966,0.577124869,0.428638766,296,397,35420,107045
0.782502841,0.664343786,0.572,0.614723267,0.691429678,0.565,0.423091847,289,428,45825,120723
0.792098513,0.673446328,0.602020202,0.635733333,0.710124266,0.595959596,0.451874553,289,394,49315,118963
0.78622118,0.675645342,0.581081081,0.624805397,0.696505342,0.575289575,0.431006953,289,434,39648,111026
0.790696074,0.652173913,0.583832335,0.616113744,0.694065652,0.569860279,0.420032985,312,417,41684,130958
0.769625294,0.650121065,0.530108588,0.584013051,0.667816015,0.525172754,0.391683315,289,476,29707,91885
