auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.776980764,0.66481687,0.538669065,0.595131644,0.673620089,0.383093525,0.401776802,302,513,83503,356811
0.772069987,0.637374861,0.549904031,0.590417311,0.676805401,0.450095969,0.397907887,326,469,277880,549429
0.770924054,0.648958333,0.564311594,0.603682171,0.682365705,0.400362319,0.402835095,337,481,102606,365960
0.780565286,0.636458333,0.58976834,0.612224449,0.695503775,0.484555985,0.417782191,349,425,317863,561278
0.773396059,0.63803681,0.576177285,0.605531295,0.686283876,0.422899354,0.403420744,354,459,90185,430099
0.778002902,0.645764576,0.551173709,0.59473151,0.679266053,0.475117371,0.404640089,322,478,340079,618162
0.765588585,0.618838992,0.537072243,0.575063613,0.665304464,0.353612167,0.374810052,348,487,101569,322119
0.772590495,0.636556854,0.572110793,0.602615694,0.685441946,0.41260745,0.40385861,342,448,136064,369459
0.763473706,0.63034188,0.536851683,0.57985258,0.663670077,0.414922657,0.371757029,346,509,146266,457085
0.755910514,0.617551463,0.530726257,0.570856284,0.660815311,0.447858473,0.367659416,353,504,323867,564407
0.771322379,0.652078775,0.548802947,0.596,0.676863022,0.407918969,0.400632136,318,490,122058,403839
0.775762762,0.639455782,0.543352601,0.5875,0.674981009,0.393063584,0.398749153,318,474,96398,355089
0.766777302,0.632696391,0.571428571,0.600503778,0.686044287,0.388302972,0.405414555,346,447,100474,304875
0.76420995,0.645502646,0.555050045,0.596868885,0.677499628,0.477707006,0.3964975,335,489,338306,620088
0.780940855,0.663430421,0.568391867,0.612244898,0.691145251,0.46857671,0.425126272,312,467,284986,544685
0.763017246,0.651035987,0.537353735,0.588757396,0.670169654,0.453645365,0.391715174,320,514,317994,593267
0.769379602,0.647887324,0.551152074,0.59561753,0.677850601,0.39078341,0.400943831,325,487,97161,347130
0.783841648,0.654279279,0.558117195,0.602384655,0.686300895,0.434197887,0.419299656,307,460,139606,422590
0.776853063,0.659887006,0.544268406,0.596527068,0.678166356,0.399813607,0.409277565,301,489,86702,390527
0.772735089,0.664859002,0.534437663,0.592556791,0.668487869,0.393199651,0.390703269,309,534,126256,377468
0.773411067,0.645610278,0.551692589,0.594967933,0.676720151,0.398902104,0.397105611,331,490,131964,367219
0.790752654,0.645026178,0.590604027,0.616616617,0.698254886,0.435282838,0.425356,339,427,93821,397797
0.777131077,0.64921466,0.572483841,0.608439647,0.688500601,0.415512465,0.413151673,335,463,111103,394094
0.786534513,0.662309368,0.567693744,0.611362494,0.689709694,0.429505135,0.421610509,310,463,136577,456240
0.759685568,0.63238512,0.5463138,0.586206897,0.673047764,0.390359168,0.389970987,336,480,115935,366974
0.771565932,0.637892377,0.548169557,0.589637306,0.676769854,0.402697495,0.399344821,323,469,130852,371571
0.773907427,0.626914661,0.536516854,0.578203835,0.666838328,0.377340824,0.380478559,341,495,120640,326796
0.787467441,0.654545455,0.601671309,0.626995646,0.705212494,0.439182916,0.437125489,342,429,112426,379988
0.758482822,0.647465438,0.524253731,0.579381443,0.663257168,0.405783582,0.383763097,306,510,159669,401995
0.770376911,0.633221851,0.541984733,0.584061697,0.67188136,0.389312977,0.390524972,329,480,109609,358567
0.776747841,0.628601921,0.57184466,0.598881546,0.686872191,0.482524272,0.406712622,348,441,327051,565905
0.760627795,0.632478632,0.539653601,0.582390556,0.666044983,0.461257976,0.376211217,344,505,319040,580263
0.773857209,0.64476386,0.583101207,0.612384203,0.691666988,0.420612813,0.413443215,346,449,103042,393363
0.76638823,0.624595469,0.534626039,0.576119403,0.662362475,0.442289935,0.369408655,348,504,293647,565168
0.784706322,0.682365827,0.566363636,0.618976652,0.694172337,0.470909091,0.437368796,290,477,277947,528934
0.776747618,0.643333333,0.549335863,0.592630502,0.676908951,0.378557875,0.399367486,321,475,116190,324943
0.775230916,0.651661308,0.570892019,0.608608609,0.687998634,0.481690141,0.413280257,325,457,276854,568119
