auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.820968614,0.679096045,0.614519427,0.645195921,0.719678758,0.607361963,0.468868936,284,377,34954,121795
0.821322072,0.663344408,0.609359105,0.635206787,0.712988791,0.601220753,0.453058511,304,384,46570,126180
0.813288215,0.685875706,0.597440945,0.638611257,0.71128903,0.590551181,0.459718455,278,409,39518,108241
0.823319849,0.704307334,0.599009901,0.647405029,0.71634301,0.59009901,0.474302973,254,405,33472,115923
0.820364877,0.709599028,0.587525151,0.642817832,0.712907746,0.580482897,0.474970595,239,410,36748,112464
0.828208999,0.696158324,0.614594039,0.652838428,0.723464389,0.609455293,0.480849799,261,375,42362,101080
0.825618696,0.703284258,0.622244489,0.660287081,0.727998534,0.613226453,0.488252828,262,377,39145,119969
0.817118937,0.666666667,0.625754527,0.645563051,0.719720252,0.618712274,0.460431455,311,372,40587,110946
0.823975208,0.688413948,0.613226453,0.648648649,0.719692961,0.605210421,0.470946941,277,386,45493,123096
0.82736679,0.698949825,0.597804391,0.644432491,0.716021332,0.591816367,0.473848494,258,403,43514,115531
0.816289168,0.710556186,0.596758818,0.648704663,0.714384841,0.588179218,0.471203263,255,423,42769,123229
0.827846433,0.688135593,0.616396761,0.650293647,0.721827494,0.609311741,0.474315291,276,379,32746,114842
0.828375484,0.691513761,0.614052953,0.650485437,0.722195828,0.612016293,0.477320201,269,379,24037,93836
0.818967374,0.696055684,0.604229607,0.64690027,0.71804681,0.596173212,0.473994345,262,393,37073,118535
0.814281309,0.672055427,0.590263692,0.628509719,0.703804091,0.5831643,0.443419609,284,404,38001,111536
0.836409147,0.726447219,0.620756547,0.669456067,0.732572899,0.611057226,0.504152656,241,391,29554,111712
0.822363247,0.691501746,0.598187311,0.641468683,0.713882942,0.589123867,0.466822905,265,399,36400,105032
0.814578204,0.706766917,0.564564565,0.627712855,0.699121622,0.562562563,0.455896864,234,435,43718,108723
0.823365187,0.675339367,0.590504451,0.630079156,0.704744348,0.581602374,0.446132113,287,414,44853,128278
0.829020498,0.746867168,0.569789675,0.646420824,0.709596669,0.566921606,0.485689457,202,450,25031,92257
0.818847292,0.684269663,0.611445783,0.645811241,0.718619971,0.602409639,0.468869489,281,387,33991,114495
0.826287927,0.7,0.594963274,0.643221781,0.716597491,0.588667366,0.47797255,243,386,29725,98262
0.833123011,0.719526627,0.608,0.659078591,0.725346312,0.602,0.493648283,237,392,43759,113715
0.830524628,0.714116251,0.608080808,0.656846699,0.72508673,0.603030303,0.49231959,241,388,41073,112930
0.830589906,0.728813559,0.581081081,0.646616541,0.711830529,0.573359073,0.479464846,224,434,31514,113896
0.820569064,0.679389313,0.621756487,0.649296509,0.720619271,0.607784431,0.46667928,294,379,38409,125551
0.804143065,0.671411625,0.558736426,0.609913793,0.688291122,0.551826259,0.426286292,277,447,36296,100938
0.826870171,0.715109573,0.621242485,0.664879357,0.73096083,0.616232465,0.498223259,247,378,30414,100980
0.831600791,0.716686675,0.593439364,0.649265905,0.717156967,0.587475149,0.482597034,236,409,42332,121077
0.815718052,0.694935218,0.592964824,0.639913232,0.710637023,0.585929648,0.462395792,259,405,47323,128235
0.818243182,0.701711491,0.582150101,0.636363636,0.709391585,0.578093306,0.468920183,244,412,30958,99014
0.818633753,0.685419059,0.593439364,0.63612147,0.709298742,0.589463221,0.45733881,274,409,43885,110168
0.813488592,0.688942892,0.568136273,0.622734761,0.698760677,0.562124248,0.449708617,256,431,37356,105771
0.815943825,0.6858458,0.587192118,0.632696391,0.704240794,0.583251232,0.448421026,273,419,33364,91353
