auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.815436742,0.710045662,0.559352518,0.625754527,0.696563247,0.429856115,0.453717749,254,490,60870,310762
0.809523084,0.68202765,0.568138196,0.619895288,0.698431944,0.498080614,0.448023159,276,450,245465,452091
0.804275438,0.686059276,0.566123188,0.620347395,0.694334756,0.432065217,0.438398386,286,479,74029,324257
0.819482653,0.706533776,0.615830116,0.658071171,0.729213502,0.527992278,0.496654227,265,398,298076,540742
0.808849265,0.669861555,0.58079409,0.622156281,0.698526251,0.444136657,0.43613713,310,454,69524,402103
0.812835638,0.675296656,0.587793427,0.628514056,0.705904638,0.525821596,0.451350229,301,439,326860,600990
0.807711244,0.680586907,0.573193916,0.622291022,0.700875394,0.418250951,0.450259611,283,449,72349,286621
0.809746414,0.681355932,0.575931232,0.624223602,0.700736615,0.451766953,0.447527792,282,444,87960,314361
0.808648991,0.703828829,0.568698817,0.629089079,0.700772363,0.474067334,0.456490197,263,474,95085,366500
0.800347339,0.671009772,0.575418994,0.619548872,0.698493316,0.509310987,0.440516772,303,456,300095,535743
0.812981751,0.700902935,0.571823204,0.629817444,0.702214131,0.451197053,0.457493183,265,465,99036,344298
0.804796357,0.663007684,0.581888247,0.619805028,0.700829613,0.446050096,0.440704301,307,434,66536,317169
0.817980752,0.682022472,0.581975072,0.628039317,0.70571287,0.426653883,0.456406945,283,436,75755,277649
0.800658845,0.673202614,0.56232939,0.612791274,0.689341404,0.507734304,0.426245254,300,481,311008,548689
0.812570025,0.702640643,0.565619224,0.626728111,0.70048949,0.489833641,0.458643667,259,470,255521,502269
0.809974327,0.692480359,0.555355536,0.616383616,0.690855212,0.499549955,0.439038198,274,494,282094,542830
0.807593546,0.688195991,0.569585253,0.623298033,0.698545687,0.437788018,0.447646539,280,467,75395,288609
0.81921884,0.687643021,0.577329491,0.62767624,0.705125457,0.469740634,0.459497649,273,440,107035,358233
0.811977449,0.693115519,0.553588071,0.615544041,0.691821567,0.437092265,0.443865645,263,479,55332,350702
0.811087941,0.732505643,0.565823888,0.638465322,0.703363979,0.450741064,0.469387304,237,498,89969,306452
