auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.843580704,0.604332953,0.321601942,0.41980198,0.5539019,0.762742718,0.359851674,347,1118,47266,117241
0.837175083,0.602362205,0.281767956,0.383939774,0.519970511,0.767341928,0.334026801,303,1170,35941,93720
0.840455035,0.623261694,0.28480647,0.390959556,0.522788402,0.760254188,0.340556481,298,1238,40998,97786
0.838514997,0.610500611,0.306372549,0.407996736,0.541594041,0.784926471,0.35366117,319,1132,30741,82868
0.844957304,0.621419676,0.300783605,0.405361495,0.537174064,0.766726944,0.354179608,304,1160,36205,100213
0.842584557,0.601485149,0.3,0.400329489,0.535880496,0.766049383,0.346038221,322,1134,36445,96302
0.842860936,0.585394582,0.308695652,0.404229362,0.542467515,0.760248447,0.343802614,352,1113,46678,111571
0.841060849,0.600770218,0.285365854,0.386936751,0.522979335,0.788414634,0.335011243,311,1172,41985,88835
0.841003467,0.609727165,0.307232516,0.408585056,0.542003521,0.758517633,0.352118949,329,1159,43234,115917
0.837610851,0.60978836,0.27787824,0.381780538,0.516596606,0.755274262,0.333336433,295,1198,40048,102056
0.842519017,0.612293144,0.310179641,0.411764706,0.544700771,0.781437126,0.355815582,328,1152,45195,103697
0.840188243,0.587320574,0.304968944,0.401471791,0.539371526,0.780124224,0.342058379,345,1119,38725,94288
0.84398564,0.595555556,0.327828746,0.422879684,0.558425682,0.768807339,0.358863986,364,1099,43001,110356
0.843047698,0.619230769,0.288530466,0.393643032,0.526302108,0.770609319,0.344001535,297,1191,39836,99618
0.842065766,0.606060606,0.281345566,0.384294069,0.519806798,0.771865443,0.335828261,299,1175,38698,95203
0.837371282,0.594095941,0.295593635,0.394769105,0.531747374,0.766829865,0.339608323,330,1151,40323,93250
0.838868497,0.595647194,0.310818888,0.408483896,0.544108299,0.786610879,0.346349119,353,1153,40155,103545
0.8383368,0.598513011,0.290613718,0.391251519,0.527210728,0.780385078,0.335749677,324,1179,27529,85375
