auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.829263439,0.610441767,0.315516347,0.416010948,0.548485085,0.250129735,0.354863385,388,1319,426609,1100214
0.829417818,0.613247863,0.294510005,0.397920277,0.530607983,0.226269882,0.341056724,362,1375,288268,856536
0.829178547,0.613714286,0.274539877,0.379371247,0.513090623,0.216257669,0.328163057,338,1419,413887,941508
0.827126589,0.608695652,0.287032291,0.390107976,0.52388054,0.223987699,0.333824388,360,1391,338505,960975
0.826010379,0.585953878,0.295298468,0.392694064,0.530296675,0.229793978,0.330551065,395,1334,458283,1012402
0.833505454,0.596721311,0.282755049,0.383696416,0.519745823,0.23096841,0.326451393,369,1385,572171,1146268
0.834012573,0.621323529,0.262150982,0.368727273,0.502363407,0.214064116,0.324900834,309,1427,390861,968402
0.834202385,0.611518325,0.310803619,0.41213832,0.544878551,0.253326237,0.353971393,371,1295,478221,1065382
0.829503764,0.630309989,0.277272727,0.385128025,0.516203842,0.218686869,0.33736154,322,1431,303403,883646
0.832658978,0.635545557,0.288265306,0.396630397,0.526178856,0.235714286,0.347294131,324,1395,382089,987760
0.827937631,0.578732106,0.29618001,0.391831083,0.530683864,0.236002093,0.32757719,412,1345,507228,1060829
0.829036714,0.596432553,0.277777778,0.379029401,0.515331955,0.224818276,0.323031124,362,1391,500283,1055578
0.826646519,0.609756098,0.279755849,0.383542538,0.517405662,0.213123093,0.328701194,352,1416,321236,888008
0.826263899,0.598901099,0.282529808,0.383938006,0.519582567,0.22187662,0.326905389,365,1384,494042,1085085
0.827803983,0.594623656,0.285051546,0.385365854,0.521604431,0.218556701,0.326584768,377,1387,338369,896100
0.823595452,0.6,0.265979381,0.368571429,0.505023917,0.214948454,0.317879238,344,1424,405760,924905
0.820970768,0.593783494,0.288541667,0.388363127,0.524624993,0.2265625,0.328571359,379,1366,370606,892740
0.829676624,0.597790055,0.286394918,0.387258411,0.523191799,0.225516146,0.330669391,364,1348,314462,899294
0.824218348,0.581798483,0.284277395,0.381934566,0.520637256,0.232927475,0.321972967,386,1352,497871,1067956
0.832162961,0.610687023,0.290607161,0.393811533,0.527320356,0.22885314,0.338640814,357,1367,321640,926524
0.835826843,0.603982301,0.281008749,0.383561644,0.518555496,0.226968605,0.328844935,358,1397,402849,961712
0.825827277,0.630558723,0.292283298,0.399422174,0.529946566,0.228858351,0.350923245,324,1339,352824,915172
0.82668184,0.610169492,0.300312826,0.402515723,0.53566455,0.234619395,0.344818991,368,1342,381941,978985
0.828984374,0.609513274,0.285492228,0.388849682,0.522680244,0.23626943,0.333920672,353,1379,463818,1007053
0.826259733,0.559038662,0.285790598,0.378225521,0.520883212,0.234508547,0.312197831,422,1337,568446,1102240
0.823802778,0.591836735,0.283874292,0.383704735,0.520585619,0.222050489,0.325409391,380,1390,342448,911520
0.826491118,0.58419244,0.264385692,0.364025696,0.502771768,0.21254536,0.308633915,363,1419,449461,974605
0.83457112,0.617196702,0.270801034,0.376436782,0.509931341,0.213953488,0.32768034,325,1411,243669,847786
0.827615209,0.595419847,0.284079084,0.38464248,0.520935157,0.222684703,0.32726401,371,1376,420815,1007900
0.824377779,0.597285068,0.275,0.37660485,0.512958222,0.218229167,0.32201616,356,1392,378354,950979
0.834049847,0.603053435,0.28185525,0.384161167,0.519046139,0.219673802,0.327543733,364,1409,360688,889799
0.822127134,0.590374332,0.291600634,0.390381895,0.527349663,0.23032224,0.330414105,383,1341,421711,983881
0.827000428,0.613114754,0.290372671,0.394099052,0.527118453,0.237060041,0.33891494,354,1371,456266,1008379
0.833018006,0.625269978,0.295408163,0.401247401,0.531947401,0.237755102,0.347361605,347,1381,356822,978711
0.82476146,0.584514722,0.285258116,0.383404864,0.521760815,0.22884513,0.32477122,381,1343,427259,994924
0.825022216,0.592369478,0.308577406,0.405777166,0.54192956,0.251569038,0.342523,406,1322,410113,1011252
0.827000221,0.590386625,0.291838843,0.390597995,0.527284543,0.232954545,0.328891775,392,1371,395492,979975
0.825599219,0.604651163,0.250669523,0.354411208,0.491327072,0.20460632,0.31194073,306,1399,283698,814276
0.819226904,0.589232303,0.305268595,0.402177611,0.538676052,0.243285124,0.337036613,412,1345,410094,1011631
0.826011587,0.601779755,0.276161307,0.378586424,0.513948068,0.21898928,0.3232237,358,1418,395486,991292
0.830938363,0.591860465,0.269027484,0.369912791,0.507454817,0.219344609,0.316222951,351,1383,477108,960524
0.827546646,0.588901472,0.272536688,0.372626299,0.510530778,0.215408805,0.317468938,363,1388,292755,835000
0.830302847,0.605051665,0.278541226,0.381469417,0.516693116,0.218816068,0.329583733,344,1365,301682,806003
0.827076088,0.600858369,0.29582673,0.396460177,0.531544141,0.239302694,0.338490538,372,1333,439822,990545
0.831845011,0.59912854,0.287807431,0.388829975,0.524441722,0.231292517,0.331935744,368,1361,414735,979716
0.829764295,0.62116041,0.282901554,0.388750445,0.521063795,0.224352332,0.338638835,333,1384,308650,895607
0.831460102,0.605747126,0.275195822,0.378456014,0.513666562,0.218798956,0.327202539,343,1388,379428,906651
0.82808207,0.60237069,0.288292935,0.389954656,0.524770708,0.236719959,0.332212536,369,1380,542390,1141959
0.831326901,0.594438007,0.27699784,0.377900552,0.515152004,0.221922246,0.325595789,350,1339,389634,914153
0.832471513,0.601279318,0.288491049,0.389906671,0.524706562,0.227621483,0.330635375,374,1391,340680,904555
0.832650038,0.632552404,0.257271815,0.365775401,0.498068782,0.200100301,0.325035928,298,1481,282631,894843
0.827636576,0.589430894,0.302713987,0.4,0.536689915,0.239039666,0.336430931,404,1336,479918,1025636
0.834429343,0.622273249,0.277096115,0.383445348,0.515766386,0.221881391,0.333977232,329,1414,283512,834245
0.828527819,0.591928251,0.27543036,0.375934496,0.513187513,0.21648409,0.32034963,364,1389,357152,864490
0.835956995,0.613333333,0.287051482,0.391073326,0.524450081,0.226209048,0.338278468,348,1371,406908,938648
0.824644919,0.593220339,0.293809024,0.392982456,0.5293248,0.243441763,0.332794726,384,1346,548010,1053304
0.826843229,0.584812623,0.316435432,0.41066482,0.54809144,0.254002134,0.343948536,421,1281,541822,1131843
0.836951943,0.623235613,0.300996329,0.405940594,0.536933665,0.245411641,0.351914846,347,1333,453680,1043785
0.832736424,0.637028015,0.276573242,0.385693215,0.516323872,0.219989424,0.343389634,298,1368,334002,864120
0.828762577,0.610792193,0.270875764,0.375308642,0.509630851,0.222505092,0.324090702,339,1432,409647,940698
0.831147869,0.596966414,0.296715132,0.396402878,0.532425752,0.239095315,0.339095777,372,1306,412750,945768
0.829129558,0.617420066,0.287621983,0.392431675,0.524940409,0.234720082,0.339288021,347,1387,392513,963213
