auc,precision,recall,f1measure,gmean,recall20,MCC,fp,fn,waste_effort,all_effort
0.817232978,0.458290422,0.540048544,0.495821727,0.681710762,0.540048544,0.37642449,1052,758,135369,247266
0.810371225,0.457636566,0.503990178,0.479696173,0.662207337,0.503376304,0.360458381,973,808,135872,238050
0.812981181,0.479806139,0.514731369,0.496655518,0.668853564,0.514153668,0.373807874,966,840,140658,254878
0.812681124,0.45631068,0.518382353,0.485370052,0.669790076,0.62377451,0.365550119,1008,786,123952,227843
0.824665674,0.480595428,0.54490657,0.510734463,0.688269263,0.544303797,0.394950249,977,755,136109,258884
0.817333314,0.452982268,0.52037037,0.484343579,0.670821493,0.519753086,0.36523341,1018,777,131967,241764
0.816600168,0.45136387,0.544720497,0.493667323,0.683839693,0.543478261,0.37542688,1066,733,139801,260689
0.817726353,0.459401709,0.524390244,0.489749431,0.673410163,0.664634146,0.370036534,1012,780,136095,236602
0.812890117,0.452356557,0.527794381,0.487172414,0.672782458,0.527196653,0.363611071,1069,790,128464,245408
0.813213041,0.452777778,0.491259795,0.471234461,0.652909301,0.638336347,0.347971114,985,844,115317,231297
0.815960817,0.46627409,0.521556886,0.49236857,0.672797419,0.537125749,0.373160903,997,799,142494,240708
0.817576147,0.449320794,0.534161491,0.488081725,0.677490791,0.534161491,0.368398938,1054,750,128963,235503
0.821699876,0.461699895,0.5382263,0.497034736,0.681345656,0.537003058,0.378094844,1026,755,139263,261029
0.815719719,0.467880086,0.522102748,0.493506494,0.672484951,0.520310633,0.372465741,994,800,136791,259406
0.814242409,0.457844184,0.524770642,0.489028213,0.673887549,0.598165138,0.370331748,1016,777,129364,238203
0.807226818,0.443902439,0.50122399,0.47082495,0.658438258,0.50122399,0.349500727,1026,815,149674,242979
0.812053921,0.46856841,0.530185296,0.497476164,0.677059404,0.529587567,0.37677564,1006,786,138699,248844
0.815607828,0.46554445,0.532490975,0.496772383,0.678037867,0.532490975,0.376234164,1016,777,134949,245376
0.810609886,0.442077922,0.521765788,0.478627672,0.668728691,0.521152667,0.355751367,1074,780,136487,245148
0.821289058,0.484273319,0.531547619,0.506810443,0.681018345,0.666666667,0.389991685,951,787,120595,225090
0.820855692,0.465288818,0.530193237,0.495625176,0.677660793,0.528985507,0.37711044,1009,778,151429,261984
0.817782208,0.454779034,0.544615385,0.495659479,0.68391116,0.543384615,0.376810358,1061,740,132485,241132
0.819501403,0.469259065,0.536981359,0.500841279,0.681423917,0.536380036,0.381702597,1010,770,124598,248332
0.811464103,0.45076356,0.525798526,0.485398356,0.672330499,0.524570025,0.36362167,1043,772,145230,258232
0.811022858,0.452141724,0.526153846,0.486348123,0.673534316,0.525538462,0.366545487,1036,770,134409,248429
0.81773977,0.46758039,0.524852071,0.494563702,0.67447606,0.523668639,0.374776433,1010,803,136025,248514
0.81524357,0.473712161,0.530952381,0.500701656,0.678535366,0.530952381,0.381246104,991,788,127956,234561
0.809212431,0.450733753,0.520581114,0.483146067,0.668621188,0.520581114,0.359227883,1048,792,136374,238115
0.805535104,0.441558442,0.515776699,0.475790652,0.664754058,0.515169903,0.351237673,1075,798,132349,240168
0.807782941,0.445945946,0.500303214,0.471563304,0.656694059,0.63856883,0.346753597,1025,824,117228,230313
0.818424939,0.47826087,0.516431925,0.496613995,0.67060112,0.650234742,0.37609878,960,824,130434,225356
0.815994121,0.452205882,0.531481481,0.488649262,0.676322489,0.531481481,0.368757538,1043,759,140720,248714
0.815004203,0.472449536,0.522001206,0.495990836,0.673889986,0.522001206,0.377347891,967,793,131238,242332
0.81198165,0.450459653,0.526252983,0.48541552,0.671117902,0.525059666,0.360400352,1076,794,136472,252638
0.816060998,0.460741549,0.519360787,0.48829818,0.671681712,0.518746159,0.370611867,989,782,139489,247385
0.812363876,0.441980402,0.528034504,0.481190343,0.673043413,0.528034504,0.360629476,1082,766,142585,239690
0.810373075,0.456992084,0.52074564,0.486790332,0.670664811,0.520144317,0.365849449,1029,797,126484,244829
0.816396681,0.445623342,0.526976161,0.482897384,0.673498132,0.526348808,0.363673368,1045,754,144671,250770
0.812511078,0.456901111,0.520481928,0.486623486,0.670834243,0.519879518,0.366435857,1027,796,143926,260141
0.803889999,0.44620426,0.498170732,0.470757707,0.656394661,0.497560976,0.348044044,1014,823,133230,234676
0.814895158,0.472587719,0.510663507,0.490888383,0.666399521,0.51007109,0.369259998,962,826,131876,244359
0.80844979,0.462893753,0.509400705,0.485034965,0.663975081,0.508813161,0.361491242,1006,835,145434,246715
0.826036047,0.472145615,0.521315469,0.495513748,0.674293121,0.708282582,0.378812753,957,786,123559,223103
0.816927272,0.460569551,0.511246201,0.484586574,0.666288977,0.510638298,0.364731195,985,804,145518,248541
0.817847585,0.46739726,0.516343826,0.490652862,0.670465263,0.607748184,0.37245181,972,799,123200,237941
0.812058243,0.463519313,0.515820896,0.488273524,0.668538523,0.515820896,0.367053887,1000,811,138839,248296
0.818618889,0.457824934,0.519879518,0.486882934,0.670228978,0.518674699,0.365812695,1022,797,138927,246760
0.818198283,0.469904963,0.535499398,0.50056243,0.680883972,0.534296029,0.381831822,1004,772,144038,255053
0.813188642,0.454885211,0.508656716,0.480270575,0.662818518,0.675223881,0.356876646,1021,823,122650,230456
0.817614546,0.46567323,0.525525526,0.493792325,0.674182425,0.525525526,0.372920663,1004,790,124623,238856
0.813015053,0.466419884,0.516393443,0.490136149,0.66895442,0.637002342,0.368463109,1009,826,125448,230231
0.81708927,0.455472103,0.517052375,0.484312607,0.668861154,0.517052375,0.364214795,1015,793,131321,237808
0.817385164,0.46386192,0.52955665,0.49453709,0.677853124,0.556034483,0.377605352,994,764,137037,236157
0.809952809,0.449865952,0.511585366,0.47874465,0.664670308,0.626219512,0.357176435,1026,801,135026,236549
0.81603216,0.44507772,0.537210757,0.486823463,0.679151363,0.537210757,0.368409911,1071,740,160913,257861
0.814452975,0.457307491,0.527492447,0.48989899,0.674131191,0.525679758,0.368532108,1036,782,137767,258571
0.812364264,0.473322768,0.525513196,0.498054475,0.674590741,0.675073314,0.376310587,997,809,129312,224803
0.812353995,0.456256921,0.5,0.477127968,0.658925114,0.608009709,0.355669096,982,824,127612,230956
0.807547908,0.449197861,0.513761468,0.479315264,0.665366279,0.513761468,0.356758547,1030,795,138303,239368
0.823076844,0.472207232,0.531591738,0.500142898,0.679878802,0.668286756,0.383384604,978,771,125061,233573
0.814587534,0.444622793,0.512646514,0.476217765,0.66499079,0.58235657,0.355352959,1038,790,137482,241750
0.820680649,0.455590387,0.538271605,0.493491794,0.681112365,0.537654321,0.375509531,1042,748,145014,251455
0.816240991,0.469745223,0.5242891,0.495520717,0.673544933,0.523104265,0.373730972,999,803,126033,243006
0.812865492,0.451784763,0.51145959,0.479773692,0.663882851,0.510856454,0.356021731,1029,810,134702,243676
0.813146941,0.460815047,0.528143713,0.4921875,0.674633537,0.526347305,0.37030122,1032,788,150508,277087
0.815575596,0.453311618,0.511328843,0.48057554,0.665591057,0.615431721,0.360683512,1007,798,120762,230345
0.811861162,0.459016393,0.516052319,0.485866219,0.667431748,0.516052319,0.362801866,1023,814,131141,243792
0.808695128,0.437402597,0.52007412,0.4751693,0.667914321,0.580605312,0.353703203,1083,777,135661,241618
0.808665201,0.446601942,0.533251983,0.486095662,0.675188127,0.532031727,0.363039717,1083,765,148183,255391
0.81695161,0.45038961,0.532228361,0.487900957,0.67674962,0.53038674,0.368550437,1058,762,146242,264239
0.812362134,0.453305352,0.526508227,0.487172258,0.673614425,0.525898842,0.366827772,1042,777,148030,258956
0.810011481,0.44485684,0.508484848,0.474547511,0.661409469,0.507878788,0.350526384,1047,811,141187,250325
0.817185376,0.458354624,0.527957622,0.490700219,0.673496395,0.527369041,0.367039815,1060,802,146979,254244
0.809739289,0.454692557,0.513398295,0.482265446,0.666601756,0.676613886,0.361736023,1011,799,121136,223381
0.810909316,0.458666667,0.50887574,0.482468443,0.662954331,0.508284024,0.358181651,1015,830,139916,250595
0.814037166,0.461878453,0.506359782,0.483097371,0.664098911,0.505754088,0.364237842,974,815,128325,244059
0.810699791,0.455561469,0.513805522,0.482933709,0.666047678,0.512605042,0.360344021,1023,810,141413,255250
0.807332582,0.461368653,0.503008424,0.48128958,0.661090089,0.646811071,0.359781155,976,826,126244,227181
0.822616489,0.475890985,0.547978274,0.509396914,0.688913224,0.546771273,0.392530519,1000,749,132123,250542
0.818647947,0.468817204,0.51935676,0.492794575,0.671329862,0.64919595,0.372349126,988,807,119645,232691
0.82018062,0.46739726,0.53379224,0.498393222,0.681773495,0.53379224,0.384420048,972,745,120860,230536
0.809457663,0.446112601,0.515170279,0.47816092,0.666804324,0.514551084,0.357958408,1033,783,148130,256618
0.8149496,0.467484009,0.515579071,0.490355046,0.668101348,0.646678424,0.36744861,999,824,128627,224414
0.81777708,0.468322352,0.540350877,0.501764866,0.681453407,0.538596491,0.37889507,1049,786,132865,272104
0.817479761,0.469465649,0.513110846,0.490318907,0.667810103,0.545292014,0.369538951,973,817,129523,230585
0.819091505,0.471056824,0.531455962,0.499436937,0.678671619,0.530257639,0.380304562,996,782,131512,255768
0.815395887,0.45212766,0.525339926,0.485991995,0.673740619,0.524103832,0.367663261,1030,768,159628,276534
0.81271613,0.454059829,0.508982036,0.479954828,0.663055986,0.508383234,0.356904516,1022,820,141962,255847
0.809668171,0.45404814,0.505173463,0.478248343,0.662061976,0.50456482,0.357894629,998,813,129648,248044
0.810951457,0.445641026,0.529878049,0.484122563,0.673123653,0.52804878,0.360620177,1081,771,132015,245417
0.81862811,0.456556082,0.52833638,0.489830508,0.675116584,0.720292505,0.369885025,1032,774,119508,216360
0.808363065,0.445628998,0.496142433,0.469531031,0.654001582,0.629673591,0.343887122,1040,849,138479,235095
0.811674156,0.457093822,0.487195122,0.471664699,0.652722027,0.487195122,0.352860392,949,841,135025,236400
0.816954082,0.469300587,0.529199278,0.497453311,0.677624359,0.529199278,0.379130688,994,782,127351,231678
0.816549646,0.466216216,0.535202864,0.498333333,0.679047584,0.531622912,0.376653183,1027,779,136847,275861
0.807959156,0.443031267,0.514461538,0.476082005,0.665509305,0.513230769,0.354535446,1051,789,136238,248953
0.816805382,0.469055375,0.526508227,0.496124031,0.676687842,0.525289458,0.379080793,978,777,142335,256662
0.814572767,0.461074561,0.522036002,0.489665211,0.673958681,0.533829919,0.373822373,983,770,118089,231466
0.809127816,0.444793302,0.515463918,0.47752809,0.665158513,0.514857489,0.353459717,1061,799,137869,248118
0.816013337,0.475842697,0.50476758,0.489878543,0.665012235,0.504171633,0.372351622,933,831,125535,237534
0.81587774,0.45815678,0.52265861,0.488286763,0.672106659,0.521450151,0.368015888,1023,790,139064,252447
0.811010046,0.445738486,0.52007412,0.48004561,0.669221138,0.519456455,0.359414468,1047,777,143886,252712
0.815098241,0.460275424,0.511778563,0.484662577,0.664804982,0.511189635,0.36059332,1019,829,132140,249752
0.812288349,0.455259027,0.531784841,0.490555399,0.677040729,0.619193154,0.371155715,1041,766,131771,233149
0.811313821,0.459403905,0.531194296,0.492697713,0.675748279,0.531194296,0.370015272,1052,789,132481,240844
0.810177336,0.451647184,0.502067336,0.475524476,0.657376443,0.501476669,0.34857135,1032,843,140718,249378
0.809307009,0.454068241,0.519831731,0.484729616,0.668851173,0.518028846,0.361430806,1040,799,132740,254503
0.814922896,0.445856634,0.538697789,0.487899861,0.678609823,0.537469287,0.36640707,1090,751,160335,279458
0.811166378,0.472298409,0.495397008,0.48357203,0.657297446,0.495397008,0.360880285,962,877,153211,256281
0.807646485,0.447452229,0.503283582,0.473728575,0.658203369,0.548059701,0.348204887,1041,832,139846,241013
0.813465081,0.445814073,0.5377943,0.48750351,0.679027444,0.537174721,0.367960973,1079,746,151943,261413
0.81659362,0.46585495,0.541538462,0.500853728,0.684851734,0.540307692,0.384876536,1009,745,127603,241390
0.812611174,0.447753113,0.510178902,0.476931949,0.663537485,0.642196175,0.355028732,1020,794,128943,230271
0.806680957,0.453650958,0.528666264,0.488294314,0.673158609,0.527459264,0.364210548,1055,781,158755,267458
0.815064981,0.447268794,0.519146265,0.480534573,0.669445921,0.517890772,0.361186694,1022,766,140073,249741
0.816271682,0.456149455,0.549375,0.498440601,0.687532551,0.549375,0.381829195,1048,721,137841,238849
0.817762544,0.46344086,0.521160822,0.490608993,0.671788189,0.519951632,0.370203052,998,792,141631,260614
0.824415393,0.485911749,0.54437165,0.513483146,0.688860332,0.543776057,0.398472057,967,765,117639,230781
0.80955879,0.4375324,0.531486146,0.479954507,0.674743362,0.530856423,0.360343013,1085,744,137438,239124
0.80694733,0.447723862,0.526161082,0.483783784,0.669788861,0.525573192,0.356576335,1104,806,143748,247567
0.820981725,0.471382289,0.533618582,0.500573394,0.681053084,0.533007335,0.384204698,979,763,125208,238866
0.812606532,0.451847996,0.533169533,0.489151874,0.677156843,0.532555283,0.369234317,1053,760,144942,256753
0.816284189,0.453653217,0.507007922,0.478848921,0.66303328,0.507007922,0.35847009,1002,809,141355,248971
0.817841631,0.448537378,0.520754717,0.481955763,0.671579738,0.520125786,0.365220768,1018,762,145501,250123
0.816526828,0.473516949,0.527433628,0.499023165,0.67625148,0.526253687,0.378705358,994,801,132178,250703
0.815696464,0.47209181,0.528312901,0.49862259,0.676344334,0.528312901,0.377746294,1012,808,141095,248204
0.816369194,0.460978148,0.537295331,0.496219546,0.680307835,0.536688902,0.376218223,1036,763,146803,255378
0.818531547,0.470556456,0.509654769,0.489325843,0.66578698,0.509654769,0.368051111,980,838,136104,242319
0.818071176,0.461330449,0.508646392,0.483834373,0.664381659,0.507453787,0.36267308,996,824,130325,245368
0.811083535,0.458618872,0.52887538,0.491247883,0.675145598,0.528267477,0.370194681,1027,775,139683,251831
0.815535468,0.438632833,0.529375,0.479750779,0.673867362,0.52875,0.360341605,1084,753,148391,251562
0.817251922,0.467945205,0.513529765,0.489678899,0.668347433,0.675886951,0.369997732,971,809,132305,233348
0.808159668,0.449691992,0.534798535,0.488566648,0.677134088,0.534188034,0.367250793,1072,762,154114,250740
0.8142002,0.443181818,0.526057633,0.481076535,0.671332111,0.525444513,0.358684466,1078,773,145491,260220
0.812435867,0.456101601,0.507682852,0.480511926,0.664009967,0.572833436,0.360998218,985,801,124954,237436
0.818118522,0.451043339,0.514338011,0.480615735,0.666378949,0.513727883,0.359243793,1026,796,151017,252524
0.813113064,0.444966093,0.514475271,0.477202797,0.664960783,0.665259349,0.353867369,1064,805,122928,231341
0.816873779,0.463362069,0.518384569,0.489331437,0.670900531,0.563592526,0.370433662,996,799,129544,235181
0.819721722,0.464818763,0.527206771,0.494050992,0.675724143,0.527206771,0.37487603,1004,782,144338,255512
0.817139505,0.457310566,0.519079346,0.486241135,0.670419728,0.590551181,0.366766775,1017,794,145764,240825
0.812270436,0.451219512,0.518270402,0.482426304,0.668992211,0.518270402,0.362135443,1035,791,138954,243398
0.818672379,0.464833421,0.531760436,0.496049661,0.677747724,0.531760436,0.375912882,1012,774,133919,238673
0.810988764,0.449921342,0.531598513,0.487361545,0.675561345,0.530978934,0.366200282,1049,756,142491,247642
0.821935768,0.453968254,0.532258065,0.490005711,0.677860415,0.531637717,0.372221951,1032,754,146268,251436
0.814064017,0.448657188,0.519512195,0.481491947,0.668302876,0.518292683,0.358691136,1047,788,141026,251848
0.809265761,0.445220193,0.519098309,0.479329286,0.66890146,0.517845961,0.359299338,1033,768,144896,255383
0.812623852,0.453018373,0.509746013,0.479710951,0.66247872,0.509155346,0.354533815,1042,830,133161,246649
0.810992984,0.443501326,0.525455688,0.481012658,0.672549435,0.524827153,0.36200682,1049,755,140921,244948
0.819459019,0.455080214,0.522406384,0.486424693,0.672234201,0.521792511,0.367526049,1019,778,140625,243963
0.821019336,0.463246959,0.532199271,0.49533503,0.678685513,0.530984204,0.377209008,1015,770,129462,242956
0.80656039,0.449920509,0.515482696,0.480475382,0.666115043,0.513661202,0.357305646,1038,798,152758,266723
0.812919304,0.454257007,0.519661222,0.48476298,0.669358832,0.519661222,0.362816312,1032,794,138155,243808
0.815719481,0.468473163,0.530696576,0.497647384,0.676892493,0.628689492,0.375946475,1020,795,129166,244392
0.819892866,0.464055794,0.52265861,0.491616937,0.67323406,0.66163142,0.372555039,999,790,120170,227720
0.812867553,0.479317477,0.525808281,0.501487693,0.674510314,0.706749858,0.377731635,1007,836,116828,223574
0.812946222,0.455073996,0.522134627,0.486303304,0.670879951,0.54396604,0.364597102,1031,788,135662,240077
0.81568634,0.466774716,0.508534432,0.486760563,0.664342929,0.649205415,0.364362625,987,835,121986,219582
0.810645889,0.4625132,0.517730496,0.488566648,0.668463051,0.51713948,0.364922286,1018,816,128760,239951
0.811132908,0.452025586,0.515188335,0.481544577,0.666720819,0.612393682,0.35964409,1028,798,128231,241598
0.803284619,0.448017149,0.511627907,0.477714286,0.66424659,0.538555692,0.355550545,1030,798,138814,237226
0.822286667,0.464038359,0.533047736,0.496154942,0.679154996,0.531823745,0.377876026,1006,763,139675,250592
0.818129072,0.468553459,0.537906137,0.500840336,0.682091666,0.537304452,0.382283452,1014,768,139026,253287
0.810037788,0.453758789,0.510030395,0.48025186,0.663935995,0.613981763,0.358002723,1010,806,129855,232693
0.815026412,0.459259259,0.520071899,0.487777466,0.670797946,0.635110845,0.367448137,1022,801,130966,243749
0.812614663,0.457502623,0.532031727,0.491960508,0.677246426,0.679682733,0.372168121,1034,767,123134,231735
0.817982181,0.46278826,0.531287605,0.494677871,0.67745728,0.531287605,0.374955723,1025,779,133479,247769
0.810876879,0.449897751,0.524121501,0.484181568,0.670531889,0.522930316,0.360543603,1076,799,145428,261746
0.808309768,0.45444971,0.526540574,0.487846241,0.673824734,0.713849908,0.367657288,1036,776,129783,224422
0.823506917,0.467471144,0.538043478,0.500280741,0.681890722,0.640096618,0.38136511,1015,765,132825,235098
0.808806509,0.444736842,0.519680197,0.479296653,0.668425254,0.518450185,0.357574815,1055,781,149923,261209
0.821740954,0.471042471,0.507427213,0.488558352,0.665037511,0.681521093,0.368408245,959,829,122505,224331
0.810233483,0.463626493,0.511377246,0.486332574,0.66672328,0.652095808,0.366627042,988,816,124235,226910
0.814291627,0.452728255,0.527375708,0.487209302,0.67503094,0.526746381,0.369195583,1013,751,153264,257712
0.809903846,0.445585216,0.521321321,0.48048713,0.668591011,0.520720721,0.356919957,1080,797,136598,252619
0.817655993,0.458269329,0.543412265,0.497222222,0.683104721,0.542197936,0.377060519,1058,752,143607,258181
0.809354486,0.447995666,0.513027295,0.478311163,0.66597193,0.612903226,0.358420667,1019,785,144130,235307
0.816488257,0.462506842,0.529780564,0.493863238,0.678950848,0.621316614,0.37951907,982,750,129394,235430
0.817538564,0.46365105,0.518362432,0.489482661,0.670581526,0.518362432,0.369784589,996,800,142683,244705
0.819860694,0.462433862,0.53227771,0.494903737,0.678578392,0.654689403,0.376634816,1016,768,126291,233996
0.81594183,0.459122902,0.519926426,0.487636573,0.671127937,0.519313305,0.368303864,999,783,142280,247432
0.810780095,0.452519894,0.516343826,0.482329658,0.667488103,0.515133172,0.360635647,1032,799,153190,263698
0.821212079,0.475040258,0.520894644,0.496911847,0.672976561,0.520306062,0.376926446,978,814,136333,255699
0.813790486,0.45898968,0.503575685,0.480250071,0.660704917,0.697258641,0.357576289,996,833,121913,224746
0.816176168,0.472192513,0.51880141,0.494400896,0.672033314,0.518213866,0.375586703,987,819,135389,253278
